numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1178,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,54,Exports,Pierres a faux,Marseille,Pour l'Italie,3550,Livres,"0,2",710,0,
1179,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,54,Exports,Pierres de four,Marseille,Pour l'Italie,5,Charges,2,10,0,
1180,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,54,Exports,Pierres a fusils,Marseille,Pour l'Italie,2035,Livres,"0,1",203,"0,5",
1181,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,54,Exports,Pierres de marbre brut ,Marseille,Pour l'Italie,90000,Livres,"0,025",2250,0,
1182,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,54,Exports,Pierres Ponce,Marseille,Pour l'Italie,200,Livres,"0,08",16,0,
1183,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,54,Exports,Pignons cassés,Marseille,Pour l'Italie,47580,Livres,"0,25",11895,0,
1184,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,54,Exports,Pipes a fumer,Marseille,Pour l'Italie,540,Grosses,3,1620,0,
1185,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,54,Exports,Pistaches,Marseille,Pour l'Italie,9880,Livres,"0,5",4940,0,
1186,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,54,Exports,Planches de sapin,Marseille,Pour l'Italie,10,Douzaines,9,90,0,
1187,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,54,Exports,Plomb en grenailles,Marseille,Pour l'Italie,41981,Livres,"0,25",10495,"0,25",
1188,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,54,Exports,Plomb en saumons,Marseille,Pour l'Italie,1050,Livres,"0,225",236,"0,25",
1189,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,54,Exports,Poil de chevre,Marseille,Pour l'Italie,1835,Livres,3,5505,0,
1190,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Poil de lapin,Marseille,Pour l'Italie,497,Livres,4,1988,0,
1191,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Poires,Marseille,Pour l'Italie,1,Charges,18,18,0,
1192,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Pois secs,Marseille,Pour l'Italie,600,Livres,"0,05",30,0,
1193,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Poivre,Marseille,Pour l'Italie,54106,Livres,"1,25",67632,"0,5",
1194,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Poix raisine,Marseille,Pour l'Italie,167875,Livres,"0,09",15108,"0,75",
1195,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Poules ,Marseille,Pour l'Italie,34,Nombre,1,34,0,
1196,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Poulets,Marseille,Pour l'Italie,2440,en nombre,"0,75",1830,0,
1197,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Porcelaine,Marseille,Pour l'Italie,302,Livres,5,1510,0,
1198,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Poussiere d'encens,Marseille,Pour l'Italie,1950,Livres,10,19500,0,
1199,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,prunes,Marseille,Pour l'Italie,11109,Livres,"0,2",2221,"0,8",
1200,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Quincailles de fer et acier,Marseille,Pour l'Italie,64293,Livres,1,64293,0,
1201,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Quincaille grosse,Marseille,Pour l'Italie,300,Livres,"0,6",180,0,
1202,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Quinquina,Marseille,Pour l'Italie,3170,Livres,4,12680,0,
1203,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Raisin sec,Marseille,Pour l'Italie,645000,Livres,"0,2",129000,0,
1204,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Rapure de corne de cerf,Marseille,Pour l'Italie,742,Livres,"1,25",927,"0,5",
1205,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Reglisse,Marseille,Pour l'Italie,7050,Livres,"0,08",564,0,
1206,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Retaille de peaux,Marseille,Pour l'Italie,417,Livres,"0,1",41,"0,7",
1207,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Ris,Marseille,Pour l'Italie,657725,Livres,"0,12",78927,0,
1208,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Rocou,Marseille,Pour l'Italie,79997,Livres,"0,6",47998,"0,2",
1209,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Rozeaux de cannes,Marseille,Pour l'Italie,2,Douzaines,"0,25",0,"0,5",
1210,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Ruban de soye,Marseille,Pour l'Italie,100,Livres,60,6000,0,
1211,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,55,Exports,Rubarbre de levant,Marseille,Pour l'Italie,891,Livres,60,53460,0,
1212,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Saffran,Marseille,Pour l'Italie,7347,Livres,20,146940,0,
1213,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Saffranon,Marseille,Pour l'Italie,166975,Livres,"0,65",108533,"0,75",
1214,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Salsafras,Marseille,Pour l'Italie,200,Livres,"0,5",100,0,
1215,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Salsepareille,Marseille,Pour l'Italie,724,Livres,2,1448,0,
1216,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Sardines salées,Marseille,Pour l'Italie,6,Barrils,6,36,0,
1217,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Sardines salées,Marseille,Pour l'Italie,10750,Livres,"0,15",1612,"0,5",
1218,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Saumon salé,Marseille,Pour l'Italie,50650,Livres,"0,3",15195,0,
1219,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Savon blanc,Marseille,Pour l'Italie,6575,Livres,"0,28",1841,0,
1220,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Savon madré,Marseille,Pour l'Italie,246725,Livres,"0,28",69083,0,
1221,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Savonettes,Marseille,Pour l'Italie,1200,Livres,"0,6",720,0,
1222,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Sel armoniac,Marseille,Pour l'Italie,22477,Livres,"0,8",17981,"0,6",
1223,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Sel d'ipsum,Marseille,Pour l'Italie,1225,Livres,"0,3",367,"0,5",
1224,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Sel mistri,Marseille,Pour l'Italie,228,Livres,"0,75",171,0,
1225,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Sel de saturne,Marseille,Pour l'Italie,428,Livres,"0,75",321,0,
1226,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Sené,Marseille,Pour l'Italie,773,Livres,"1,5",1159,"0,5",
1227,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Sirop d'alkerme,Marseille,Pour l'Italie,1837,Livres,4,7348,0,
1228,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Sirop de capilaire,Marseille,Pour l'Italie,10302,Livres,1,10302,0,
1229,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Sirop melasse,Marseille,Pour l'Italie,538600,Livres,"0,2",107720,0,
1230,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Sivadille,Marseille,Pour l'Italie,590,Livres,"0,5",295,0,
1231,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Soude,Marseille,Pour l'Italie,146000,Livres,"0,09",13140,0,
1232,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Souffre,Marseille,Pour l'Italie,9225,Livres,"0,16",1476,0,
1233,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,56,Exports,Souliers,Marseille,Pour l'Italie,805,Paires,"3,5",2817,"0,5",
1234,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Soye aprestée,Marseille,Pour l'Italie,40666,Livres,20,813320,0,
1235,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Spicanardy,Marseille,Pour l'Italie,95,Livres,4,380,0,
1236,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Stocfiche,Marseille,Pour l'Italie,19491,Livres,"0,2",3898,"0,2",
1237,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Sucre blanc,Marseille,Pour l'Italie,9590375,Livres,"0,36",3452535,0,
1238,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Scure brut,Marseille,Pour l'Italie,482425,Livres,"0,25",120606,"0,25",
1239,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Sucre candy,Marseille,Pour l'Italie,760,Livres,1,760,0,
1240,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Sucre rafiné,Marseille,Pour l'Italie,50700,Livres,"0,5",25350,0,
1241,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Sucre versoir,Marseille,Pour l'Italie,173575,Livres,"0,4",69430,0,
1242,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Suif,Marseille,Pour l'Italie,21677,Livres,"0,4",8670,"0,8",
1243,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Sumac,Marseille,Pour l'Italie,1808,Livres,"0,2",361,"0,6",
1244,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Tabac en poudre,Marseille,Pour l'Italie,13002,Livres,2,26004,0,
1245,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Tabac a raper,Marseille,Pour l'Italie,23075,Livres,"1,5",34612,"0,5",
1246,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Tabatiere d'olivier,Marseille,Pour l'Italie,100,Douzaines,"2,5",250,0,
1247,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Tableaux commun,Marseille,Pour l'Italie,45,Douzaines,120,5400,0,
1248,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Tableaux commun,Marseille,Pour l'Italie,,,,5280,,
1249,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Tamarin,Marseille,Pour l'Italie,487,Livres,"0,4",194,"0,8",
1250,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Tapisserie d'auvergne,Marseille,Pour l'Italie,590,Livres,5,2950,0,
1251,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Tartre,Marseille,Pour l'Italie,16525,Livres,"0,24",3966,0,
1252,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Terebentine,Marseille,Pour l'Italie,200,Livres,"0,5",100,0,
1253,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Terraille,Marseille,Pour l'Italie,287,Charges,"22,5",6457,"0,5",
1254,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Terraille,Marseille,Pour l'Italie,2350,Livres,"0,075",176,"0,25",
1255,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Terramerita,Marseille,Pour l'Italie,126,Livres,"0,4",50,"0,4",
1256,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,57,Exports,Terre de porcelaine,Marseille,Pour l'Italie,30250,Livres,"0,05",1512,"0,5",
1257,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Terre segillée,Marseille,Pour l'Italie,215,Livres,"0,2",43,0,
1258,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Thé,Marseille,Pour l'Italie,5371,Livres,4,21484,0,
1259,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Theriaque,Marseille,Pour l'Italie,50,Livres,12,600,0,
1260,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Thon mariné,Marseille,Pour l'Italie,2220,Livres,"0,9",1998,0,
1261,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Toile a bats,Marseille,Pour l'Italie,240,Pieces,4,960,0,
1262,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Toile d'aman,Marseille,Pour l'Italie,8,Pieces,12,96,0,
1263,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Toile d'antioche,Marseille,Pour l'Italie,62,Pieces,6,372,0,
1264,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Toile blanche,Marseille,Pour l'Italie,44549,Livres,4,178196,0,
1265,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Toille caissie,Marseille,Pour l'Italie,810,Pieces,6,4860,0,
1266,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Toile d'embalage,Marseille,Pour l'Italie,1572,Livres,"0,6",943,"0,2",
1267,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Toile manouf,Marseille,Pour l'Italie,513,Pieces,5,2565,0,
1268,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Toile de Piemont,Marseille,Pour l'Italie,460,Livres,1,460,0,
1269,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Toile piquée,Marseille,Pour l'Italie,51,Livres,10,510,0,
1270,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Toile a serviette,Marseille,Pour l'Italie,812,Livres,2,1624,0,
1271,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Toile a voile,Marseille,Pour l'Italie,350,Pieces,26,9100,0,
1272,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Tournesol,Marseille,Pour l'Italie,40,Livres,"0,5",20,0,
1273,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Toutenagues,Marseille,Pour l'Italie,15000,Livres,"0,2",3000,0,
1274,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Treilly,Marseille,Pour l'Italie,362,Livres,"1,1",398,"0,2",
1275,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Truitte secher,Marseille,Pour l'Italie,892,Livres,4,3568,0,
1276,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Vaisselle d'argent,Marseille,Pour l'Italie,250,marcs,57,14250,0,
1277,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Vanille,Marseille,Pour l'Italie,50,Livres,100,5000,0,
1278,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,58,Exports,Velours,Marseille,Pour l'Italie,7,Pieces,300,2100,0,
1279,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,59,Exports,Verdet,Marseille,Pour l'Italie,71512,Livres,"0,8",57209,"0,6",
1280,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,59,Exports,Vermichel,Marseille,Pour l'Italie,1000,Livres,"0,2",200,0,
1281,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,59,Exports,Vermillon,Marseille,Pour l'Italie,3723,Livres,5,18615,0,
1282,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,59,Exports,Verres de cristal,Marseille,Pour l'Italie,3115,Livres,2,6230,0,
1283,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,59,Exports,Vin blanc,Marseille,Pour l'Italie,30,Milleroles,15,450,0,
1284,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,59,Exports,Vin de bourgogne,Marseille,Pour l'Italie,386,Milleroles,100,38600,0,
1285,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,59,Exports,Vin de champagne,Marseille,Pour l'Italie,137,Milleroles,150,20550,0,
1286,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,59,Exports,Vin de chipres,Marseille,Pour l'Italie,51,Milleroles,60,3060,0,
1287,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,59,Exports,Vin muscat,Marseille,Pour l'Italie,204,Milleroles,60,12240,0,
1288,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,59,Exports,Vin rouge,Marseille,Pour l'Italie,"9286,5",Charges,9,83578,"0,5",
1289,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,59,Exports,Vin rouge,Marseille,Pour l'Italie,"34007,5",Milleroles,6,204045,0,
1290,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,59,Exports,Vin rouge,Marseille,Pour l'Italie,64,Pots,"0,1",6,"0,4",
1291,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,59,Exports,Vinaigre,Marseille,Pour l'Italie,66,Charges,10,660,0,
1292,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,59,Exports,Acier,Marseille,Pour le Levant,15138,Livres,"0,35",5298,"0,3",
