numrodeligne,dataentryby,Source,,,Page,Année,Import/Import,Nom Marchandise,Direction,Pays/Région,Quantité,Unité de poids/quantité,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,Prix unitaire en  Lt (décimale),Valeur / unité de compte Lt,Valeur / unité de compte Sous,Valeur/ unité de compte Deniers,"Valeur en livres, sous et deniers",Valeur en décimales de livres tournois,Différence,Remarques
472,Pascal Fontaine,Marseille,,,9,1750,Import,Gans de laine,Marseille,Italie,"400,00",livres,"3,000",,,"3,00000",1200,,,"1200,00","1 200,00","0,00",
473,Pascal Fontaine,Marseille,,,9,1750,Import,Garance,Marseille,Italie,"28 830,00",livres,,"8,00",,"0,40000",11532,,,"11532,00","11 532,00","0,00",
474,Pascal Fontaine,Marseille,,,9,1750,Import,Gaude,Marseille,Italie,"30 000,00",livres,"0,120",,,"0,12000",3600,,,"3600,00","3 600,00","0,00",
475,Pascal Fontaine,Marseille,,,9,1750,Import,Gentes pour roues,Marseille,Italie,"8,00",douzaines,"18,000",,,"18,00000",144,,,"144,00","144,00","0,00",
476,Pascal Fontaine,Marseille,,,9,1750,Import,Gerles de terre,Marseille,Italie,"50,00",en nombre,,"30,00",,"1,50000",75,,,"75,00","75,00","0,00",
477,Pascal Fontaine,Marseille,,,9,1750,Import,Gerofles,Marseille,Italie,"3 400,00",livres,"8,000",,,"8,00000",27200,,,"27200,00","27 200,00","0,00",
478,Pascal Fontaine,Marseille,,,9,1750,Import,Glû,Marseille,Italie,"200,00",livres,,"10,00",,"0,50000",100,,,"100,00","100,00","0,00",
479,Pascal Fontaine,Marseille,,,9,1750,Import,Gomme adragan,Marseille,Italie,"1 782,00",livres,,"20,00",,"1,00000",1782,,,"1782,00","1 782,00","0,00",
480,Pascal Fontaine,Marseille,,,9,1750,Import,Gomme arabique,Marseille,Italie,"341,00",livres,,"7,00",,"0,35000",119,,,"119,00","119,35","-0,35",
481,Pascal Fontaine,Marseille,,,9,1750,Import,Gomme Ederée,Marseille,Italie,"300,00",livres,,"40,00",,"2,00000",600,,,"600,00","600,00","0,00",
482,Pascal Fontaine,Marseille,,,9,1750,Import,Gomme lacque,Marseille,Italie,"1 040,00",livres,,"25,00",,"1,25000",1300,,,"1300,00","1 300,00","0,00",
483,Pascal Fontaine,Marseille,,,9,1750,Import,Gomme sandarac,Marseille,Italie,"6 900,00",livres,,"15,00",,"0,75000",5175,,,"5175,00","5 175,00","0,00",
484,Pascal Fontaine,Marseille,,,9,1750,Import,Grabeau de cire,Marseille,Italie,"20 306,00",livres,,"10,00",,"0,50000",10153,,,"10153,00","10 153,00","0,00",
485,Pascal Fontaine,Marseille,,,9,1750,Import,Grabeau de corail,Marseille,Italie,"930,00",livres,,"10,00",,"0,50000",465,,,"465,00","465,00","0,00",
486,Pascal Fontaine,Marseille,,,9,1750,Import,Grabeau de mirhe,Marseille,Italie,"585,00",livres,,"10,00",,"0,50000",297,,,"297,00","292,50","4,50",
487,Pascal Fontaine,Marseille,,,9,1750,Import,Grabeau de poivre,Marseille,Italie,"18 309,00",livres,,"8,00",,"0,40000",7323,,,"7323,00","7 323,60","-0,60",
488,Pascal Fontaine,Marseille,,,9,1750,Import,Grabeau de sené,Marseille,Italie,"73 600,00",livres,,"13,00",,"0,65000",47840,,,"47840,00","47 840,00","0,00",
489,Pascal Fontaine,Marseille,,,9,1750,Import,Graine de chanvre,Marseille,Italie,"8 160,00",livres,,"3,00",,"0,15000",1224,,,"1224,00","1 224,00","0,00",
490,Pascal Fontaine,Marseille,,,9,1750,Import,Graine de choux,Marseille,Italie,"50,00",livres,,"10,00",,"0,50000",25,,,"25,00","25,00","0,00",
491,Pascal Fontaine,Marseille,,,9,1750,Import,Graine de jardin,Marseille,Italie,"500,00",livres,,"22,00",,"1,10000",550,,,"550,00","550,00","0,00",
492,Pascal Fontaine,Marseille,,,9,1750,Import,Graine de laitue,Marseille,Italie,"75,00",livres,,"10,00",,"0,50000",37,,,"37,00","37,50","-0,50",
493,Pascal Fontaine,Marseille,,,9,1750,Import,Graine longue,Marseille,Italie,"30,00",livres,,"2,00",,"0,10000",3,,,"3,00","3,00","0,00",
494,Pascal Fontaine,Marseille,,,9,1750,Import,Graine de moutarde,Marseille,Italie,"200,00",livres,,"4,00",,"0,20000",40,,,"40,00","40,00","0,00",
495,Pascal Fontaine,Marseille,,,9,1750,Import,Graine pour teinture,Marseille,Italie,"3 600,00",livres,,"10,00",,"0,50000",1800,,,"1800,00","1 800,00","0,00",
496,Pascal Fontaine,Marseille,,,9,1750,Import,Graisse de porc,Marseille,Italie,"260,00",livres,,"7,00",,"0,35000",91,,,"91,00","91,00","0,00",
497,Pascal Fontaine,Marseille,,,9,1750,Import,Guestre de toile,Marseille,Italie,"15,00",paires,,"40,00",,"2,00000",30,,,"30,00","30,00","0,00",
498,Pascal Fontaine,Marseille,,,9,1750,Import,Herbages,Marseille,Italie,"33,50",charges,"12,000",,,"12,00000",402,,,"402,00","402,00","0,00",
499,Pascal Fontaine,Marseille,,,10,1750,Import,Herbes capilaires,Marseille,Italie,"800,00",livres,,"3,00",,"0,15000",120,,,"120,00","120,00","0,00",
500,Pascal Fontaine,Marseille,,,10,1750,Import,Herbes d'orseille,Marseille,Italie,"2 400,00",livres,,"10,00",,"0,50000",1200,,,"1200,00","1 200,00","0,00",
501,Pascal Fontaine,Marseille,,,10,1750,Import,Hermodates,Marseille,Italie,"3 930,00",livres,,"19,00",,"0,95000",3733,,,"3733,00","3 733,50","-0,50",
502,Pascal Fontaine,Marseille,,,10,1750,Import,Huile d'amande,Marseille,Italie,"8 200,00",livres,,"20,00",,"1,00000",8200,,,"8200,00","8 200,00","0,00",
503,Pascal Fontaine,Marseille,,,10,1750,Import,Huile de lin,Marseille,Italie,"41 763,00",livres,,"6,00",,"0,30000",12528,,,"12528,00","12 528,90","-0,90",
504,Pascal Fontaine,Marseille,,,10,1750,Import,Huile d'olive,Marseille,Italie,"65 490,00",milleroles,"40,000",,,"40,00000",2619600,,,"2619600,00","2 619 600,00","0,00",
505,Pascal Fontaine,Marseille,,,10,1750,Import,Huile d'olive,Marseille,Italie,"3 416,00",livres,,"8,00",,"0,40000",1366,,,"1366,00","1 366,40","-0,40",
506,Pascal Fontaine,Marseille,,,10,1750,Import,Huile petrole,Marseille,Italie,"480,00",livres,,"40,00",,"2,00000",960,,,"960,00","960,00","0,00",
507,Pascal Fontaine,Marseille,,,10,1750,Import,Huile de vitriol,Marseille,Italie,"350,00",livres,,"36,00",,"1,80000",630,,,"630,00","630,00","0,00",
508,Pascal Fontaine,Marseille,,,10,1750,Import,Jambons,Marseille,Italie,"1 849,00",livres,,"10,00",,"0,50000",924,,,"924,00","924,50","-0,50",
509,Pascal Fontaine,Marseille,,,10,1750,Import,Jonc a voille,Marseille,Italie,"3 200,00",livres,,"2,00",,"0,10000",320,,,"320,00","320,00","0,00",
510,Pascal Fontaine,Marseille,,,10,1750,Import,Ipecacuana,Marseille,Italie,"750,00",livres,"4,000",,,"4,00000",3000,,,"3000,00","3 000,00","0,00",
511,Pascal Fontaine,Marseille,,,10,1750,Import,Iris,Marseille,Italie,"19 970,00",livres,,"15,00",,"0,75000",14977,,,"14977,00","14 977,50","-0,50",
512,Pascal Fontaine,Marseille,,,10,1750,Import,Jus de citron,Marseille,Italie,"114 030,00",livres,"0,060",,,"0,06000",6841,,,"6841,00","6 841,80","-0,80",
513,Pascal Fontaine,Marseille,,,10,1750,Import,Jus de reglisse,Marseille,Italie,"156 095,00",livres,,"7,00",,"0,35000",54633,,,"54633,00","54 633,25","-0,25",
514,Pascal Fontaine,Marseille,,,10,1750,Import,Lacque platte,Marseille,Italie,"5 750,00",livres,,"30,00",,"1,50000",8625,,,"8625,00","8 625,00","0,00",
515,Pascal Fontaine,Marseille,,,10,1750,Import,Laine de chevron,Marseille,Italie,"4 793,00",livres,,"30,00",,"1,50000",7189,,,"7189,00","7 189,50","-0,50",
516,Pascal Fontaine,Marseille,,,10,1750,Import,Laine lavée,Marseille,Italie,"122 014,00",livres,,"22,00",,"1,10000",134215,,,"134215,00","134 215,40","-0,40",
517,Pascal Fontaine,Marseille,,,10,1750,Import,Laine surge,Marseille,Italie,"1 420 944,00",livres,,"8,00",,"0,40000",568377,,,"568377,00","568 377,60","-0,60",
518,Pascal Fontaine,Marseille,,,10,1750,Import,Laine de vigogne,Marseille,Italie,"275,00",livres,"15,000",,,"15,00000",4125,,,"4125,00","4 125,00","0,00",
519,Pascal Fontaine,Marseille,,,10,1750,Import,Lard,Marseille,Italie,"310,00",livres,,"6,00",,"0,30000",93,,,"93,00","93,00","0,00",
520,Pascal Fontaine,Marseille,,,10,1750,Import,Legumes,Marseille,Italie,"326 680,00",livres,,"3,00",,"0,15000",49002,,,"49002,00","49 002,00","0,00",
521,Pascal Fontaine,Marseille,,,10,1750,Import,Leton,Marseille,Italie,"1 210,00",livres,,"30,00",,"1,50000",1815,,,"1815,00","1 815,00","0,00",
522,Pascal Fontaine,Marseille,,,10,1750,Import,Librairie,Marseille,Italie,"17 225,00",livres,,"40,00",,"2,00000",34450,,,"34450,00","34 450,00","0,00",
523,Pascal Fontaine,Marseille,,,10,1750,Import,Librairie et stampes,Marseille,Italie,"10 760,00",livres,"3,000",,,"3,00000",32280,,,"32280,00","32 280,00","0,00",
524,Pascal Fontaine,Marseille,,,10,1750,Import,Liege,Marseille,Italie,"18 100,00",livres,,"3,00",,"0,15000",2715,,,"2715,00","2 715,00","0,00",
525,Pascal Fontaine,Marseille,,,10,1750,Import,Limes,Marseille,Italie,"200,00",livres,,"10,00",,"0,50000",100,,,"100,00","100,00","0,00",
526,Pascal Fontaine,Marseille,,,10,1750,Import,Lin cru,Marseille,Italie,"25 500,00",livres,,"12,00",,"0,60000",15300,,,"15300,00","15 300,00","0,00",
527,Pascal Fontaine,Marseille,,,10,1750,Import,Lin peigné,Marseille,Italie,"237,00",livres,,"20,00",,"1,00000",237,,,"237,00","237,00","0,00",
528,Pascal Fontaine,Marseille,,,10,1750,Import,Liqueurs,Marseille,Italie,"33 503,00",livres,,"15,00",,"0,75000",25127,,,"25127,00","25 127,25","-0,25",
529,Pascal Fontaine,Marseille,,,10,1750,Import,Lunettes d'aproche,Marseille,Italie,"300,00",livres,"8,000",,,"8,00000",2400,,,"2400,00","2 400,00","0,00",
530,Pascal Fontaine,Marseille,,,10,1750,Import,Lustres de Venise,Marseille,Italie,"44 600,00",livres,,"30,00",,"1,50000",66900,,,"66900,00","66 900,00","0,00",
531,Pascal Fontaine,Marseille,,,10,1750,Import,Manches de mail,Marseille,Italie,"14 100,00",livres,,"5,00",,"0,25000",3525,,,"3525,00","3 525,00","0,00",
532,Pascal Fontaine,Marseille,,,10,1750,Import,Mane de Calabre,Marseille,Italie,"383 218,00",livres,,"25,00",,"1,25000",479022,,,"479022,00","479 022,50","-0,50",
533,Pascal Fontaine,Marseille,,,10,1750,Import,Maquet,Marseille,Italie,"10,00",barils,,"17,00",,"0,85000",8,,,"8,00","8,50","-0,50",
534,Pascal Fontaine,Marseille,,,10,1750,Import,Maquet,Marseille,Italie,"180,00",livres,,"3,00",,"0,15000",27,,,"27,00","27,00","0,00",
535,Pascal Fontaine,Marseille,,,10,1750,Import,Marbre ouvré,Marseille,Italie,"221 200,00",livres,,"10,00",,"0,50000",110600,,,"110600,00","110 600,00","0,00",
536,Pascal Fontaine,Marseille,,,10,1750,Import,Marbre en pierres,Marseille,Italie,"189,00",pierres,"20,000",,,"20,00000",3780,,,"3780,00","3 780,00","0,00",
537,Pascal Fontaine,Marseille,,,10,1750,Import,Marmittes de cuivre,Marseille,Italie,"2,00",en nombre,"10,000",,,"10,00000",20,,,"20,00","20,00","0,00",
538,Loïc,Marseille,,,10,1750,Import,Marmittes de fer,Marseille,Italie,"600,00",en nombre,"4,000",,,"4,00000",2400,,,"2400,00","2 400,00","0,00",
539,Pascal Fontaine,Marseille,,,10,1750,Import,Masques de Venise,Marseille,Italie,"100,00",livres,"4,000",,,"4,00000",400,,,"400,00","400,00","0,00",
540,Pascal Fontaine,Marseille,,,10,1750,Import,Merceries,Marseille,Italie,"43 158,00",livres,"3,000","10,00",,"3,50000",151053,,,"151053,00","151 053,00","0,00",
541,Pascal Fontaine,Marseille,,,10,1750,Import,Meules de moulin,Marseille,Italie,"72,00",en nombre,"60,000",,,"60,00000",4320,,,"4320,00","4 320,00","0,00",
542,Pascal Fontaine,Marseille,,,10,1750,Import,Miel,Marseille,Italie,"160,00",livres,,"3,00",,"0,15000",24,,,"24,00","24,00","0,00",
543,Pascal Fontaine,Marseille,,,10,1750,Import,Mortiers de marbre,Marseille,Italie,"6 754,00",pièces,,"30,00",,"1,50000",10131,,,"10131,00","10 131,00","0,00",
544,Pascal Fontaine,Marseille,,,10,1750,Import,Mouchoirs d'indienne,Marseille,Italie,"95,00",pièces,"24,000",,,"24,00000",2280,,,"2280,00","2 280,00","0,00",
545,Pascal Fontaine,Marseille,,,10,1750,Import,Mouchoirs de soye,Marseille,Italie,"550,00",douzaines,"28,000",,,"28,00000",15400,,,"15400,00","15 400,00","0,00",
546,Pascal Fontaine,Marseille,,,10,1750,Import,Nattes,Marseille,Italie,"3,00",douzaines,"18,000",,,"18,00000",54,,,"54,00","54,00","0,00",
547,Pascal Fontaine,Marseille,,,10,1750,Import,Noisettes,Marseille,Italie,"51 425,00",livres,,"2,00",,"0,10000",5142,,,"5142,00","5 142,50","-0,50",
548,Pascal Fontaine,Marseille,,,10,1750,Import,Noix,Marseille,Italie,"50,00",livres,,"4,00",,"0,20000",10,,,"10,00","10,00","0,00",
549,Pascal Fontaine,Marseille,,,10,1750,Import,Œufs,Marseille,Italie,"1,00",valeur,"250,000",,,"250,00000",250,,,"250,00","250,00","0,00",
550,Pascal Fontaine,Marseille,,,10,1750,Import,Oignons,Marseille,Italie,"15,00",charges,"5,000",,,"5,00000",75,,,"75,00","75,00","0,00",
551,Pascal Fontaine,Marseille,,,10,1750,Import,Oignons de fleurs,Marseille,Italie,"3 440,00",livres,,"9,00",,"0,45000",1548,,,"1548,00","1 548,00","0,00",
552,Pascal Fontaine,Marseille,,,10,1750,Import,Onglons de bœuf,Marseille,Italie,"4 500,00",livres,,"2,00",,"0,10000",450,,,"450,00","450,00","0,00",
553,Pascal Fontaine,Marseille,,,10,1750,Import,Opium,Marseille,Italie,"3 930,00",livres,"6,000",,,"6,00000",23580,,,"23580,00","23 580,00","0,00",
554,Pascal Fontaine,Marseille,,,10,1750,Import,Oranges,Marseille,Italie,"106,00",milliers,"10,000",,,"10,00000",1060,,,"1060,00","1 060,00","0,00",
555,Pascal Fontaine,Marseille,,,10,1750,Import,Orge,Marseille,Italie,"735,00",charges,"12,000",,,"12,00000",8820,,,"8820,00","8 820,00","0,00",
556,Pascal Fontaine,Marseille,,,10,1750,Import,Orpiment,Marseille,Italie,"3 720,00",livres,,"6,00",,"0,30000",1116,,,"1116,00","1 116,00","0,00",
557,Pascal Fontaine,Marseille,,,10,1750,Import,Palmes en feuilles,Marseille,Italie,"300,00",livres,,"20,00",,"1,00000",300,,,"300,00","300,00","0,00",
558,Pascal Fontaine,Marseille,,,10,1750,Import,Papier a ecrire,Marseille,Italie,"7 122,00",rames,"6,000",,,"6,00000",42732,,,"42732,00","42 732,00","0,00",
559,Pascal Fontaine,Marseille,,,10,1750,Import,Papier de pliage,Marseille,Italie,"2 800,00",livres,,"6,00",,"0,30000",840,,,"840,00","840,00","0,00",
560,Pascal Fontaine,Marseille,,,10,1750,Import,Papier d'estrasse gris,Marseille,Italie,"80,00",livres,,"4,00",,"0,20000",16,,,"16,00","16,00","0,00",
561,Pascal Fontaine,Marseille,,,10,1750,Import,Parepluye,Marseille,Italie,"247,00",douzaines,"36,000",,,"36,00000",8892,,,"8892,00","8 892,00","0,00",
562,Pascal Fontaine,Marseille,,,10,1750,Import,Pate d'amande,Marseille,Italie,"19 524,00",livres,,"8,00",,"0,40000",7809,,,"7809,00","7 809,60","-0,60",
563,Pascal Fontaine,Marseille,,,10,1750,Import,Peaux de bouc,Marseille,Italie,"6 367,00",en nombre,,"20,00",,"1,00000",6367,,,"6367,00","6 367,00","0,00",
564,Pascal Fontaine,Marseille,,,10,1750,Import,Peaux de cerfs,Marseille,Italie,"14,00",pièces,,"33,00",,"1,65000",23,,,"23,00","23,10","-0,10",
565,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de chagrin,Marseille,Italie,"100,00",livres,,"54,00",,"2,70000",270,,,"270,00","270,00","0,00",
566,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de chamois,Marseille,Italie,"10,00",livres,,"50,00",,"2,50000",25,,,"25,00","25,00","0,00",
567,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de chevre en poil,Marseille,Italie,"6 590,00",pièces,,"25,00",,"1,25000",8237,,,"8237,00","8 237,50","-0,50",
568,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de chevre en poil,Marseille,Italie,"17 153,00",livres,,"8,00",,"0,40000",6861,,,"6861,00","6 861,20","-0,20",
569,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de chevron,Marseille,Italie,"6 246,00",en nombre,,"30,00",,"1,50000",9369,,,"9369,00","9 369,00","0,00",
570,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de chien de mer,Marseille,Italie,"225,00",livres,,"40,00",,"2,00000",450,,,"450,00","450,00","0,00",
571,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de lapin,Marseille,Italie,"31 799,00",livres,,"50,00",,"2,50000",79497,,,"79497,00","79 497,50","-0,50",
572,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de lievres,Marseille,Italie,"900,00",livres,,"11,00",,"0,55000",495,,,"495,00","495,00","0,00",
573,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de maroquin,Marseille,Italie,"4 546,00",livres,,"30,00",,"1,50000",6819,,,"6819,00","6 819,00","0,00",
574,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de mouton apretées,Marseille,Italie,"3,00",douzaines,"7,000","10,00",,"7,50000",22,,,"22,00","22,50","-0,50",
575,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de mouton en laine,Marseille,Italie,"73,00",en nombre,"3,000",,,"3,00000",219,,,"219,00","219,00","0,00",
576,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de mouton en laine,Marseille,Italie,"7 150,00",livres,,"15,00",,"0,75000",5362,,,"5362,00","5 362,50","-0,50",
577,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de renard,Marseille,Italie,"590,00",livres,,"20,00",,"1,00000",590,,,"590,00","590,00","0,00",
578,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de veau en poil,Marseille,Italie,"15,00",douzaines,"60,000",,,"60,00000",900,,,"900,00","900,00","0,00",
579,Pascal Fontaine,Marseille,,,11,1750,Import,Peaux de veau en poil,Marseille,Italie,"7 539,00",livres,,"10,00",,"0,50000",3769,,,"3769,00","3 769,50","-0,50",
580,Pascal Fontaine,Marseille,,,11,1750,Import,Peignes d'yvoire,Marseille,Italie,"50,00",livres,"10,000",,,"10,00000",500,,,"500,00","500,00","0,00",
581,Pascal Fontaine,Marseille,,,11,1750,Import,Pelleterie,Marseille,Italie,"1 200,00",livres,,"40,00",,"2,00000",2400,,,"2400,00","2 400,00","0,00",
582,Pascal Fontaine,Marseille,,,11,1750,Import,Percerettes,Marseille,Italie,"36,00",douzaines,,"30,00",,"1,50000",54,,,"54,00","54,00","0,00",
583,Pascal Fontaine,Marseille,,,11,1750,Import,Pierres a batir,Marseille,Italie,"1 400,00",en nombre,,"10,00",,"0,50000",700,,,"700,00","700,00","0,00",
584,Pascal Fontaine,Marseille,,,11,1750,Import,Pierres codes,Marseille,Italie,"18 250,00",livres,,"1,00",,"0,05000",912,,,"912,00","912,50","-0,50",
585,Pascal Fontaine,Marseille,,,11,1750,Import,Pierres a faux,Marseille,Italie,"35 937,00",livres,,"4,00",,"0,20000",7187,,,"7187,00","7 187,40","-0,40",
586,Pascal Fontaine,Marseille,,,11,1750,Import,Pierres a huile,Marseille,Italie,"9 650,00",livres,,"6,00",,"0,30000",2895,,,"2895,00","2 895,00","0,00",
587,Pascal Fontaine,Marseille,,,11,1750,Import,Pierres ponce,Marseille,Italie,"3 550,00",livres,"0,040",,,"0,04000",142,,,"142,00","142,00","0,00",
588,Pascal Fontaine,Marseille,,,11,1750,Import,Pignons de pin,Marseille,Italie,"2 070,00",livres,,"6,00",,"0,30000",621,,,"621,00","621,00","0,00",
589,Pascal Fontaine,Marseille,,,11,1750,Import,Pipes a fumer,Marseille,Italie,"1 076,00",grosses,"3,000",,,"3,00000",3228,,,"3228,00","3 228,00","0,00",
590,Pascal Fontaine,Marseille,,,11,1750,Import,Pistaches,Marseille,Italie,"15 962,00",livres,,"20,00",,"1,00000",15962,,,"15962,00","15 962,00","0,00",
591,Pascal Fontaine,Marseille,,,11,1750,Import,Planches de sapin,Marseille,Italie,"1 861,25",douzaines,"9,000",,,"9,00000",16751,,,"16751,00","16 751,25","-0,25",
592,Pascal Fontaine,Marseille,,,11,1750,Import,Plantes diverses,Marseille,Italie,"57,00",charges,"30,000",,,"30,00000",1710,,,"1710,00","1 710,00","0,00",
593,Pascal Fontaine,Marseille,,,11,1750,Import,Plantes d'orangers,Marseille,Italie,"21 282,00",livres,,"10,00",,"0,50000",10641,,,"10641,00","10 641,00","0,00",
594,Pascal Fontaine,Marseille,,,11,1750,Import,Platre,Marseille,Italie,"87,00",charges,"3,000",,,"3,00000",261,,,"261,00","261,00","0,00",
595,Pascal Fontaine,Marseille,,,11,1750,Import,Plomb en saumon,Marseille,Italie,"291 600,00",livres,,"4,00",,"0,20000",58320,,,"58320,00","58 320,00","0,00",
596,Pascal Fontaine,Marseille,,,11,1750,Import,Plumes d'autruche,Marseille,Italie,"1 229,00",livres,"4,000",,,"4,00000",4916,,,"4916,00","4 916,00","0,00",
597,Pascal Fontaine,Marseille,,,11,1750,Import,Plumes d'oye,Marseille,Italie,"2 900,00",livres,,"30,00",,"1,50000",4350,,,"4350,00","4 350,00","0,00",
598,Pascal Fontaine,Marseille,,,11,1750,Import,Poil de chevre,Marseille,Italie,"40,00",livres,"4,000",,,"4,00000",160,,,"160,00","160,00","0,00",
599,Pascal Fontaine,Marseille,,,11,1750,Import,Poil de lapin,Marseille,Italie,"10 275,00",livres,"4,000",,,"4,00000",41100,,,"41100,00","41 100,00","0,00",
600,Pascal Fontaine,Marseille,,,11,1750,Import,Pointes de bois pour bats,Marseille,Italie,"75,00",en nombre,,"3,00",,"0,15000",11,,,"11,00","11,25","-0,25",
601,Pascal Fontaine,Marseille,,,11,1750,Import,Poires,Marseille,Italie,"4,50",charges,"25,000",,,"25,00000",112,,,"112,00","112,50","-0,50",
602,Pascal Fontaine,Marseille,,,11,1750,Import,Poissons salés,Marseille,Italie,"11 033,00",livres,,"5,00",,"0,25000",2758,,,"2758,00","2 758,25","-0,25",
603,Pascal Fontaine,Marseille,,,11,1750,Import,Poivre,Marseille,Italie,"110 500,00",livres,,"32,00",,"1,60000",176800,,,"176800,00","176 800,00","0,00",
604,Pascal Fontaine,Marseille,,,11,1750,Import,Poivre girofflé,Marseille,Italie,"2 818,00",livres,,"20,00",,"1,00000",2818,,,"2818,00","2 818,00","0,00",
605,Pascal Fontaine,Marseille,,,11,1750,Import,Poix raisine,Marseille,Italie,"18 000,00",livres,,"1,00",,"0,05000",900,,,"900,00","900,00","0,00",
606,Pascal Fontaine,Marseille,,,11,1750,Import,Pommade,Marseille,Italie,"1 495,00",livres,,"20,00",,"1,00000",1495,,,"1495,00","1 495,00","0,00",
607,Pascal Fontaine,Marseille,,,11,1750,Import,Pommes,Marseille,Italie,"337 175,00",livres,"0,080",,,"0,08000",26974,,,"26974,00","26 974,00","0,00",
608,Pascal Fontaine,Marseille,,,11,1750,Import,Poncires,Marseille,Italie,"8 000,00",livres,,"3,00",,"0,15000",1200,,,"1200,00","1 200,00","0,00",
609,Pascal Fontaine,Marseille,,,11,1750,Import,Porcelaine,Marseille,Italie,"200,00",livres,"5,000",,,"5,00000",1000,,,"1000,00","1 000,00","0,00",
610,Pascal Fontaine,Marseille,,,11,1750,Import,Potterie de greez,Marseille,Italie,"9 600,00",livres,,"4,00",,"0,20000",1920,,,"1920,00","1 920,00","0,00",
611,Pascal Fontaine,Marseille,,,11,1750,Import,Poussiere d'ensens,Marseille,Italie,"6 000,00",livres,"0,100",,,"0,10000",600,,,"600,00","600,00","0,00",
612,Pascal Fontaine,Marseille,,,11,1750,Import,Poussiere de tartre,Marseille,Italie,"29 719,00",livres,"0,060",,,"0,06000",1783,,,"1783,00","1 783,14","-0,14",
613,Pascal Fontaine,Marseille,,,11,1750,Import,Quincaille,Marseille,Italie,"12 400,00",livres,,"20,00",,"1,00000",12400,,,"12400,00","12 400,00","0,00",
614,Pascal Fontaine,Marseille,,,11,1750,Import,Quinquina,Marseille,Italie,"2 380,00",livres,"4,000",,,"4,00000",9520,,,"9520,00","9 520,00","0,00",
615,Pascal Fontaine,Marseille,,,11,1750,Import,Raclure de bois  de cerf,Marseille,Italie,"2 900,00",livres,,"4,00",,"0,20000",580,,,"580,00","580,00","0,00",
616,Pascal Fontaine,Marseille,,,11,1750,Import,Raisins secs,Marseille,Italie,"504 858,00",livres,,"4,00",,"0,20000",100971,,,"100971,00","100 971,60","-0,60",
617,Pascal Fontaine,Marseille,,,11,1750,Import,Rapures d'yvoire,Marseille,Italie,"1 356,00",livres,,"10,00",,"0,50000",678,,,"678,00","678,00","0,00",
618,Pascal Fontaine,Marseille,,,11,1750,Import,Rhubarbe,Marseille,Italie,"572,00",livres,"15,000",,,"15,00000",8580,,,"8580,00","8 580,00","0,00",
619,Pascal Fontaine,Marseille,,,11,1750,Import,Ris,Marseille,Italie,"350 365,00",livres,"0,120",,,"0,12000",42043,,,"42043,00","42 043,80","-0,80",
620,Pascal Fontaine,Marseille,,,11,1750,Import,Ris en poudre,Marseille,Italie,"400,00",livres,,"3,00",,"0,15000",60,,,"60,00","60,00","0,00",
621,Pascal Fontaine,Marseille,,,11,1750,Import,Rocou,Marseille,Italie,"600,00",livres,,"20,00",,"1,00000",600,,,"600,00","600,00","0,00",
622,Pascal Fontaine,Marseille,,,11,1750,Import,Rognures de cartes,Marseille,Italie,"2 200,00",livres,,"2,00",,"0,10000",220,,,"220,00","220,00","0,00",
623,Pascal Fontaine,Marseille,,,11,1750,Import,Rubea major,Marseille,Italie,"2 500,00",livres,,"20,00",,"1,00000",2500,,,"2500,00","2 500,00","0,00",
624,Pascal Fontaine,Marseille,,,11,1750,Import,Salicor,Marseille,Italie,"46 740,00",livres,"0,040",,,"0,04000",1869,,,"1869,00","1 869,60","-0,60",
625,Pascal Fontaine,Marseille,,,11,1750,Import,Salsepareille,Marseille,Italie,"3 800,00",livres,,"40,00",,"2,00000",7600,,,"7600,00","7 600,00","0,00",
626,Pascal Fontaine,Marseille,,,11,1750,Import,Sanguine,Marseille,Italie,"68 000,00",livres,,"4,00",,"0,20000",13600,,,"13600,00","13 600,00","0,00",
627,Pascal Fontaine,Marseille,,,11,1750,Import,Saucissons,Marseille,Italie,"28 226,00",livres,,"16,00",,"0,80000",22580,,,"22580,00","22 580,80","-0,80",
628,Pascal Fontaine,Marseille,,,11,1750,Import,Saumure,Marseille,Italie,"2 050,00",livres,,"3,00",,"0,15000",307,,,"307,00","307,50","-0,50",
629,Pascal Fontaine,Marseille,,,12,1750,Import,Savon,Marseille,Italie,"10,00",livres,,"8,00",,"0,40000",4,,,"4,00","4,00","0,00",
