numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,unit_price,Valeur en livres tournois,valeur en sous,valeur en denier,value,Valeur calculée (avec prix),probleme,Remarques
287,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Raisins de Corynthe et autres,Espagne,"188 710,00",Livres,,,,,"56 613,00",,,"56 613,00",,,Pas de prix unitaire
288,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Raisins de Corynthe et autres,Portugal,"360,00",Livres,,,,,"108,00",,,"108,00",,,Pas de prix unitaire
289,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Figues,Espagne,"2 968,73",Livres,"4,00","10,00",,"4,5000000","13 359,00",,,"13 359,00","13 359,30","-0,30",4 livres et 10 sous les 30
290,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Figues,Portugal,"14 522,00",Livres,"4,00","10,00",,"4,5000000","65 346,00",,,"65 346,00","65 349,00","-3,00",4 livres et 10 sous les 30
291,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Futailles vides,Angleterre,"30,00",Nombre,,,,,"180,00",,,"180,00",,,Pas de prix unitaire
292,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Grains comestibles (riz),Marseille,"1 079,00",Livres,"0,25",,,"0,2500000","269,00",,,"269,00","269,75","-0,75",25 livres le quintal
293,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,11,Alpiste,Espagne,"1 928,00",Livres,"0,35",,,"0,3500000","677,00",,,"677,00","674,80","2,20",35 livres le quintal
294,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Graine de lin,Russie et Courlande,"627 745,00",Livres,"0,15",,,"0,1500000","94 162,00",,,"94 162,00","94 161,75","0,25",15 livres le quintal
295,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Graine de lin,Etats unis de l'Amérique,"138 000,00",Livres,"0,15",,,"0,1500000","20 700,00",,,"20 700,00","20 700,00","0,00",15 livres le quintal
296,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Huile d'olive,Marseille,"9 468,00",Livres,"1,00",,,"1,0000000","9 468,00",,,"9 468,00","9 468,00","0,00",100 livres le quintal
297,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Huile de morue,Etats unis de l'Amérique,"1 900,00",Livres,,,,,"400,00",,,"400,00",,,Pas de prix unitaire
298,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Laine lavée,Marseille,"18 019,00",Livres,,"26,00",,"1,3000000","23 425,00",,,"23 425,00","23 424,70","0,30",
299,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Laine en toison,Marseille,"5 837,00",Livres,,"20,00",,"1,0000000","5 837,00",,,"5 837,00","5 837,00","0,00",
300,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Laine en toison,Angleterre,"500,00",Livres,,"20,00",,"1,0000000","500,00",,,"500,00","500,00","0,00",
301,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Laine non filée,Angleterre,"7 210,00",Livres,"2,00",,,"2,0000000","14 420,00",,,"14 420,00","14 420,00","0,00",
302,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Laine peignée,Angleterre,"2 800,00",Livres,,"30,00",,"1,5000000","4 200,00",,,"4 200,00","4 200,00","0,00",
303,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Légumes (haricots),Etats unis de l'Amérique,"1 050,00",Livres,,,,,"130,00",,,"130,00",,,Pas de prix unitaire
304,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Liège en bouchons,Marseille,"15 000,00",Nombre,"0,01",,,"0,0100000","150,00",,,"150,00","150,00","0,00",10 livres le mille
305,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Liège en Planches,Marseille,"4 600,00",Livres,"0,20",,,"0,2000000","920,00",,,"920,00","920,00","0,00",20 livres le quintal
306,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Lin avec son etoupe,Russie et Courlande,"1 800,00",Livres,"0,20",,,"0,2000000","360,00",,,"360,00","360,00","0,00",20 livres le quintal
307,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Marbre ouvré,Marseille,,,,,,,"1 200,00",,,"1 200,00",,,
308,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Marchandises à la valeur,Marseille,,,,,,,"731,00",,,"731,00",,,
309,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Marchandises à la valeur,Espagne,,,,,,,"162,00",,,"162,00",,,
310,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Marchandises à la valeur,Angleterre,,,,,,,"254,00",,,"254,00",,,
311,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Marchandises à la valeur,Hollande,,,,,,,"124,00",,,"124,00",,,
312,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Marchandises à la valeur,Russie et Courlande,,,,,,,"118,00",,,"118,00",,,
313,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Marchandises à la valeur,Etats unis de l'Amérique,,,,,,,"1 964,00",,,"1 964,00",,,
314,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Ouvrages en cuir ,Bayonne,,,,,,,"375,00",,,"375,00",,,
315,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Ouvrages en cuir ,Angleterre,,,,,,,"1 539,00",,,"1 539,00",,,
316,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Ouvrages de terre cuite,Angleterre,,,,,,,"395,00",,,"395,00",,,
317,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Papier blanc,Hollande,"20,00",Rames,"17,00",,,"17,0000000","340,00",,,"340,00","340,00","0,00",
318,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Parfumerie (pomade),Marseille,"34,00",Livres,,,,,"102,00",,,"102,00",,,Pas de prix unitaire
319,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Pierres à meules,Espagne,"160,00",Nombre,,"30,00",,"1,5000000","240,00",,,"240,00","240,00","0,00",
320,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Plomb en saumon,Angleterre,"1 000,00",Livres,"0,30",,,"0,3000000","300,00",,,"300,00","300,00","0,00",30 livres le quintal
321,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Provisions de bouches,Angleterre,,,,,,,"187,00",,,"187,00",,,
322,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Quincaillerie,Angleterre,"11 945,00",Livres,,,,,"14 570,00",,,"14 570,00",,,Pas de prix unitaire
323,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Roseaux,Espagne,"30 450,00",Nombre,"0,02",,,"0,0200000","913,00",,,"913,00","609,00","304,00",Erreur de calcul
324,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Roseaux,Portugal,"7 500,00",Nombre,"0,02",,,"0,0200000","150,00",,,"150,00","150,00","0,00",
325,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Ruban,Hollande,"648,00",Pièces,,"30,00",,"1,5000000","972,00",,,"972,00","972,00","0,00",
326,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Savon,Dunkerque,"350,00",Livres,"0,60",,,"0,6000000","210,00",,,"210,00","210,00","0,00",60 livres le quintal
327,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Savon,Marseille,"561 863,00",Livres,"0,60",,,"0,6000000","337 118,00",,,"337 118,00","337 117,80","0,20",
328,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Sel,Angleterre,"23 152,00",Livres,,"0,50",,"0,0250000","578,00",,,"578,00","578,80","-0,80",50 sous le quintal
329,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Sel blanc,Angleterre,"37 660,00",Livres,"0,03","0,10",,"0,0350000","1 318,00",,,"1 318,00","1 318,10","-0,10",3 livres et 10 sous le quintal
330,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Sirop capillaire,Marseille,"721,00",Toyette?,,,,,"566,00",,,"566,00",,,Pas de prix unitaire
331,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Souffre ,Marseille,"3 077,00",Livres,"0,15",,,"0,1500000","462,00",,,"462,00","461,55","0,45",15 livres le quintal
332,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Suif fondu,Etats unis de l'Amérique,"1 450,00",Livres,,,,,"680,00",,,"680,00",,,Pas de prix unitaire
333,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Suif en chandele,Marseille,"200,00",Livres,,"15,00",,"0,7500000","300,00",,,"300,00","150,00","150,00",Erreur de calcul
334,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Tabac en feuilles,L'Orient,"425 270,00",Livres,"0,40",,,"0,4000000","170 608,00",,,"170 608,00","170 108,00","500,00",Erreur de calcul; 40 livres le quintal
335,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Tabac en feuilles,Hollande,"118 676,00",Livres,"0,40",,,"0,4000000","47 470,00",,,"47 470,00","47 470,40","-0,40",40 livres le quintal
336,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,12,Tabac en feuilles,Etats unis de l'Amérique,"26 051,00",Livres,"0,40",,,"0,4000000","10 420,00",,,"10 420,00","10 420,40","-0,40",
337,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,13,Toille à voiles,Russie et Courlande,"870,00",Livres,,,,,"810,00",,,"810,00",,,Pas de prix unitaire
338,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,13,Verrerie,Angleterre,,,,,,,"1 545,00",,,"1 545,00",,,
339,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,13,Verre en bouteille,Angleterre,"4 800,00",Nombre,"0,20",,,"0,2000000","960,00",,,"960,00","960,00","0,00",20 livres le quintal
340,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,13,Vin muscat,Marseille,,?,,,,,"1 070,00",,,"1 070,00",,,2 muids 174 pintes et 150 bouteilles
341,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Morlaix,13,Vin d'Espagne,Espagne,"61 985,00",Pintes,,"20,00",,"1,0000000","61 976,00",,,"61 976,00","61 985,00","-9,00",
