goods_simpl_classification,nbr_occurences_simpl,hamburg_classification,obsolete,nbr_occurences_hamburg
plates de cuivre jaune,1,,non,442903
plates de cuivre rouge,1,,non,442903
plates de fer,20,,non,442903
platies,2,,non,442903
platille,341,,non,442903
platille de lin,8,,non,442903
platille de lin de Silésie,1,,non,442903
platille de retour,0,,oui,442903
platille de retour faute de vente,1,,non,442903
platille des Indes,2,,non,442903
platille pour Guinée,1,,non,442903
platille roussie,1,,non,442903
platines,4,,non,442903
platines à cassave,11,,non,442903
platines à verdet,1,,non,442903
platines de cuivre,106,,non,442903
platines de cuivre et plaques de cuivre,1,,non,442903
platines de fer,11,,non,442903
platines de fer coulé de fonte,1,,non,442903
platines de fer-blanc,1,,non,442903
platines de ferrure,1,,non,442903
platines de fusils,8,,non,442903
platines de serrure,0,,oui,442903
platines en lingots,2,,non,442903
platines minerai,1,,non,442903
plâtre,405,,non,442903
plâtre brut,1,,non,442903
plâtre calciné ou brut,2,,non,442903
plâtre calciné ou moulé préparé,2,,non,442903
plâtre calciné ou moulé soit préparé,4,,non,442903
plâtre de pierres,1,,non,442903
plâtre et pierres ditto,1,,non,442903
plâtre et pierres ditto par livre,1,,non,442903
plâtre gris,1,,non,442903
plâtre moulu,2,,non,442903
plâtre moulu soit préparé,1,,non,442903
plats de boire,1,,non,442903
plats de bois,8,,non,442903
plats de d'étain,1,,non,442903
plats de faïence,1,,non,442903
plats de fer,15,,non,442903
plats de sapin,1,,non,442903
plats et pots d'étain,1,,non,442903
plattile,0,,oui,442903
plawens,2,,non,442903
plawens ou codde,2,,non,442903
pléd,0,,oui,442903
plesny,1,,non,442903
plètes de 21 pièces chaque,0,,oui,442903
pleviers,1,,non,442903
plies sèches,4,,non,442903
ploc,0,,oui,442903
ploc de 30 pieds,0,,oui,442903
ploc filé,0,,oui,442903
ploc non filé,0,,oui,442903
ploc salé,0,,oui,442903
plocq,102,,non,442903
plomb,360,Plomb,non,3539
plomb à gibier,8,Plomb,non,3539
plomb à tirer,2,Plomb,non,3539
plomb argenté,1,Plomb,non,3539
plomb battu ou laminé,7,Plomb,non,3539
plomb brut,14,Plomb,non,3539
plomb brut en pain,1,Plomb,non,3539
plomb de caisse de thé,1,Plomb,non,3539
plomb de chasse,43,Plomb,non,3539
plomb de cuivre battu,4,,non,442903
plomb de pêche,1,Plomb,non,3539
plomb de soude,1,Plomb,non,3539
plomb divers,28,Plomb,non,3539
plomb en barre,19,Plomb,non,3539
plomb en bloc,8,Plomb,non,3539
plomb en feuilles,4,Plomb,non,3539
plomb en grenaille,890,Plomb,non,3539
plomb en lingot,8,Plomb,non,3539
plomb en masse,1,Plomb,non,3539
plomb en pain,13,Plomb,non,3539
plomb en plaque,17,Plomb,non,3539
plomb en poids,1,,non,442903
plomb en rolles et travaillé,1,Plomb,non,3539
plomb en rouleau,104,Plomb,non,3539
plomb en rouleau et en tables,2,,non,442903
plomb en rouleau lingots,4,,non,442903
plomb en rouleau lingots etc.,2,,non,442903
plomb en rouleau lingots tables,1,,non,442903
plomb en saumon,1271,Plomb,non,3539
plomb en saumon d'Allemagne,2,Plomb,non,3539
plomb et toutenague,93,Plomb,non,3539
plomb giboyer,1,Plomb,non,3539
plomb laminé,47,Plomb,non,3539
plomb laminé rouleau,1,,non,442903
plomb pour filet à pêcher,1,Plomb,non,3539
plomb sable,1,,non,442903
plomb thé,1,Plomb,non,3539
plomb tuyaux d'orgues,1,Plomb,non,3539
plomb vieux,4,Plomb,non,3539
plombagine,4,,non,442903
plomp de mer,0,,oui,442903
plumes,194,,non,442903
plumes à cure-dents,15,,non,442903
plumes à écrire,574,,non,442903
plumes à écrire d'oie,3,,non,442903
plumes à écrire et à lit,164,,non,442903
plumes à écrire et à lit duvet et édredon,15,,non,442903
plumes à écrire non travaillées,1,,non,442903
plumes à lit,504,,non,442903
plumes à lit brutes,1,,non,442903
plumes à lit vives,1,,non,442903
plumes à manchon,10,,non,442903
plumes à phants,1,,non,442903
plumes à plumet,1,,non,442903
plumes à volant,14,,non,442903
plumes apprêtées,3,,non,442903
plumes apprêtées à écrire,18,,non,442903
plumes apprêtées blanches de parure,2,,non,442903
plumes apprêtées blanches grandes de parure,2,,non,442903
plumes apprêtées d'autruche,328,,non,442903
plumes apprêtées de coq,1,,non,442903
plumes apprêtées de parure,2,,non,442903
plumes apprêtées grandes de parure,2,,non,442903
plumes apprêtées noires de parure,4,,non,442903
plumes apprêtées petites de parure,2,,non,442903
plumes blanches brutes de parure,2,,non,442903
plumes blanches brutes grandes de parure,2,,non,442903
plumes brutes,3,,non,442903
plumes brutes à écrire,22,,non,442903
plumes brutes à genice,4,,non,442903
plumes brutes de parure,28,,non,442903
plumes brutes et de parure,0,,oui,442903
plumes brutes grandes de parure,3,,non,442903
plumes brutes noires de parure,4,,non,442903
plumes brutes petites de parure,3,,non,442903
plumes communes à lit,1,,non,442903
plumes cordons gris et jaunes et rouges et à écrire,2,,non,442903
plumes cordons jaunes à écrire,1,,non,442903
plumes cordons rouges à écrire,1,,non,442903
plumes d'aigledon,31,,non,442903
plumes d'aiglon,5,,non,442903
plumes d'autruche,195,,non,442903
plumes d'autruche à écrire,1,,non,442903
plumes d'autruche blanches,2,,non,442903
plumes d'autruche brutes,181,,non,442903
plumes d'autruche crues,15,,non,442903
plumes d'autruche crues et noires,1,,non,442903
plumes d'autruche et autres de parure,66,,non,442903
plumes d'autruche et de vautour,11,,non,442903
plumes d'autruche noires,2,,non,442903
plumes d'autruche ouvrées,0,,oui,442903
plumes d'édredon,25,,non,442903
plumes d'oie,137,,non,442903
plumes d'oie à lit,2,,non,442903
plumes d'oiseaux,1,,non,442903
plumes de coq,3,,non,442903
plumes de lin,57,,non,442903
plumes de poule,48,,non,442903
plumes de soie,1,,non,442903
plumes duvet,3,,non,442903
plumes en ???,1,,non,442903
plumes idem,1,,non,442903
plumes mortes,1,,non,442903
plumes mortes à lit,2,,non,442903
plumes noire,3,,non,442903
plumes ouvrées,0,,oui,442903
plumes pour dévidoir,1,,non,442903
plumes pour duvet,1,,non,442903
plumes teintes,2,,non,442903
plumes vives,1,,non,442903
plumes vives à lit,2,,non,442903
plumets,8,,non,442903
plumets pour chapeaux,2,,non,442903
pluviers,1,,non,442903
poches de peau,1,,non,442903
poêles,2,,non,442903
poêles à chaudron de fer,1,,non,442903
poêles à chauffer,3,,non,442903
poêles à feu,38,,non,442903
poêles à frire,138,,non,442903
poêles à frire de fer,162,,non,442903
poêles à frire de fer battu,1,,non,442903
poêles d'airain,1,,non,442903
poêles de faïence,4,,non,442903
poêles de fer,62,,non,442903
poêles de fer à feu,4,,non,442903
poêles de fer de fonte,1,,non,442903
poêles de fer et leurs tuyaux,2,,non,442903
poêles de feu à frire,1,,non,442903
poêles de terre,1,,non,442903
poêlons de cuivre,2,,non,442903
poêlons de fer,1,,non,442903
poids,7,,non,442903
poids à peser,2,,non,442903
poids de fer,162,,non,442903
poids de fer de fonte,1,,non,442903
poids de fonde,1,,non,442903
poids de plomb,1,,non,442903
poignards de traite et sabres,0,,oui,442903
poignards et sabres de traite,1,,non,442903
poignées d'épée d'argent,1,,non,442903
poignées pour sabres,2,,non,442903
poignets de chemise,3,,non,442903
poil,12,,non,442903
poil blanc,1,,non,442903
poil brossiers et rognures,1,,non,442903
poil d'autruche en laine pour faire lisière,1,,non,442903
poil d'élan et de lièvre,1,,non,442903
poil d'Espagne d'argent,1,,non,442903
poil de ???,1,,non,442903
poil de bœuf,22,,non,442903
poil de bœuf c'est de la laine,1,,non,442903
poil de bœuf et de vache,6,,non,442903
poil de bœuf filé,0,,oui,442903
poil de bouc,2,,non,442903
poil de carton,1,,non,442903
poil de castor,35,,non,442903
poil de castor et d'élan,1,,non,442903
poil de chameau,105,,non,442903
poil de chameau et de chèvre,1,,non,442903
poil de chameau et de chèvre et de lièvre,2,,non,442903
poil de chameau et de lièvre,1,,non,442903
poil de cheval,1,,non,442903
poil de chèvre,159,,non,442903
poil de chèvre et de lapin et de lièvre,193,,non,442903
poil de chèvre filé,0,,oui,442903
poil de chèvre non filé,2,,non,442903
poil de chèvre simple,17,,non,442903
poil de chevreau,8,,non,442903
poil de chevrotin,36,,non,442903
poil de cochon,1,,non,442903
poil de coton,1,,non,442903
poil de laine,3,,non,442903
poil de lapin,187,,non,442903
poil de lapin et de lièvre,11,,non,442903
poil de lièvre,35,,non,442903
poil de loup,1,,non,442903
poil de porcs,4,,non,442903
poil de porcs et poil de sanglier,86,,non,442903
poil de sanglier,107,,non,442903
poil de vache,3,,non,442903
poil de vache et autres plocqs,0,,oui,442903
poil et cheveux,1,,non,442903
poil pour doublage,1,,non,442903
poil propre à la chapellerie et à la filature,4,,non,442903
poinade,2,,non,442903
poinçon neuf et vide,1,,non,442903
point d'argent et d'or,1,,non,442903
point d'Espagne,1,,non,442903
point d'Espagne d'argent,1,,non,442903
point d'Espagne d'argent et d'or,3,,non,442903
point d'Espagne d'or,3,,non,442903
point d'Espagne et ruban or et argent,1,,non,442903
point d'or,1,,non,442903
point de Hongrie,1,,non,442903
pointes de bâts,3,,non,442903
pointes de bois,5,,non,442903
pointes de bois pour bâts,5,,non,442903
pointes de corne,1,,non,442903
pointes de Hongrie,1,,non,442903
pointes de queues de martre,3,,non,442903
pointes pour bâtir de bois,1,,non,442903
poireaux,3,,non,442903
poireaux à planter,1,,non,442903
poires,54,,non,442903
poires de coing,1,,non,442903
poires du bon chrétien,2,,non,442903
poires du bon chrétien et de coing,1,,non,442903
poires en pommes,3,,non,442903
poires et pommes,4,,non,442903
poires et pommes communes,1,,non,442903
poires et pommes fraîches,80,,non,442903
poires et pommes sèches,1,,non,442903
poires fraîches,3,,non,442903
poires sèches,6,,non,442903
pois,142,,non,442903
pois blancs,5,,non,442903
pois chiches,14,,non,442903
pois communs,1,,non,442903
pois confits,1,,non,442903
pois crus,2,,non,442903
pois d'Espagne,1,,non,442903
pois de Bourgogne,105,,non,442903
pois de Grasse,1,,non,442903
pois en gerbe,1,,non,442903
pois et fève et haricot,2,,non,442903
pois et fèves,8,,non,442903
pois fayolles,1,,non,442903
pois haricots,1,,non,442903
pois résine,0,,oui,442903
pois secs,64,,non,442903
pois secs et verts,1,,non,442903
pois verts,105,,non,442903
poisson,634,,non,442903
poisson ???,1,,non,442903
poisson anchois,36,,non,442903
poisson blanc,1,,non,442903
poisson blanc et petit,1,,non,442903
poisson d'eau douce,23,,non,442903
poisson d'eau douce frais,1,,non,442903
poisson d'eau douce frais préparé,4,,non,442903
poisson de mer,40,,non,442903
poisson de mer 196 lignes,1,,non,442903
poisson de mer de pêche française,5,,non,442903
poisson de mer divers,6,,non,442903
poisson de mer frais,10,,non,442903
poisson de mer frais fumé salé ou sec,3,,non,442903
poisson de mer frais salé et sec,1,,non,442903
poisson de mer mariné à l'huile,7,,non,442903
poisson de mer salé,2,,non,442903
poisson de mer salé divers,1,,non,442903
poisson de mer salé et mariné,19,,non,442903
poisson de mer salé et mariné ??? blanc,3,,non,442903
poisson de mer salé ou mariné,10,,non,442903
poisson de mer sec,1,,non,442903
poisson divers salé,8,,non,442903
poisson en adobe,1,,non,442903
poisson en anchois,1,,non,442903
poisson en daube,2,,non,442903
poisson frais,163,,non,442903
poisson frais de mer,11,,non,442903
poisson frais et gros,10,,non,442903
poisson frais et mariné et salé,11,,non,442903
poisson frais et petit,4,,non,442903
poisson frais et salé,59,,non,442903
poisson frais menu,1,,non,442903
poisson frit,119,,non,442903
poisson frit et gros,1,,non,442903
poisson frit salé,1,,non,442903
poisson mariné,12,,non,442903
poisson salé,734,,non,442903
poisson salé et frais,9,,non,442903
poisson salé et mariné,13,,non,442903
poisson salé morue accompagnée de ???,3,,non,442903
poisson sec,8,,non,442903
poivre,1558,Poivre ; blanc-noir,non,2269
poivre à meules,1,Poivre ; blanc-noir,non,2269
poivre blanc,55,Poivre ; blanc-noir,non,2269
poivre blanc-noir,1,Poivre ; blanc-noir,non,2269
poivre brun,2,Poivre ; blanc-noir,non,2269
poivre commun,53,Poivre ; blanc-noir,non,2269
poivre concassé,1,Poivre ; blanc-noir,non,2269
poivre de Bourgogne,1,Poivre ; blanc-noir,non,2269
poivre de girofle,2,Poivre ; blanc-noir,non,2269
poivre de Jamaïque,1,Poivre ; blanc-noir,non,2269
poivre de roussi,1,Poivre ; blanc-noir,non,2269
poivre des entrepôts,1,Poivre ; blanc-noir,non,2269
poivre des Indes,4,Poivre ; blanc-noir,non,2269
poivre dit maniquette,2,Poivre ; blanc-noir,non,2269
poivre doux,1,Poivre ; blanc-noir,non,2269
poivre en grabeau,44,Poivre ; blanc-noir,non,2269
poivre en grains,10,Poivre ; blanc-noir,non,2269
poivre en poudre,1,,non,442903
poivre en poussière,2,Poivre ; blanc-noir,non,2269
poivre giroflé,240,Poivre ; blanc-noir,non,2269
poivre léger,1,Poivre ; blanc-noir,non,2269
poivre long,41,Poivre ; blanc-noir,non,2269
poivre noir,102,Poivre ; blanc-noir,non,2269
poivre ordinaire,36,Poivre ; blanc-noir,non,2269
poivre piment,12,Poivre ; blanc-noir,non,2269
poivre rond,1,Poivre ; blanc-noir,non,2269
poivre sec,1,Poivre ; blanc-noir,non,2269
poivre vert,1,Poivre ; blanc-noir,non,2269
poix,193,,non,442903
poix blanche,10,,non,442903
poix blanche et noire et résines,6,,non,442903
poix blanche et résines,4,,non,442903
poix de Bourgogne,2,,non,442903
poix et tartre,2,,non,442903
poix et térébenthine,1,,non,442903
poix étrangère,1,,non,442903
poix grasse,6,,non,442903
poix molle,1,,non,442903
poix noire,67,,non,442903
poix noire et poix blanche,1,,non,442903
poix ou galipot,5,,non,442903
poix résines,211,,non,442903
poix terck daguet goudron,2,,non,442903
polimi,71,,non,442903
polimi de poil,11,,non,442903
polimi gris,2,,non,442903
polipode,0,,oui,442903
polonaises,2,,non,442903
polypode,8,,non,442903
pomargues,1,,non,442903
pomelles à voiliers,1,,non,442903
pomette d'acier,1,,non,442903
pommade,540,,non,442903
pommade commune,1,,non,442903
pommade de senteur,31,,non,442903
pommade et poudre,10,,non,442903
pommade et poudre et savonettes,0,,oui,442903
pommade et poudre et savonnettes,2,,non,442903
pommade et savonnettes,1,Savon,non,2934
pommeaux de cuivre doré,1,,non,442903
pommes,184,,non,442903
pommes crues,1,,non,442903
pommes d'api,2,,non,442903
pommes de caille,1,,non,442903
pommes de cannes,1,,non,442903
pommes de grenade,1,,non,442903
pommes de paradis,1,,non,442903
pommes de rainettes,4,,non,442903
pommes de terre,41,,non,442903
pommes elemy,1,,non,442903
pommes et poires,17,,non,442903
pommes fraîches,36,,non,442903
pommes sèches,1,,non,442903
pompes,11,,non,442903
pompes à boire,1,,non,442903
pompes à éteindre le feu,1,,non,442903
pompes à feu,5,,non,442903
pompes à Hollande,1,,non,442903
pompes à incendie,3,,non,442903
pompes à laver les vitres,1,,non,442903
pompes à main et petites,1,,non,442903
pompes à navire,1,,non,442903
pompes de bois,26,,non,442903
pompes de cuivre,1,,non,442903
pompes de fer,1,,non,442903
pompes de Hollande,1,,non,442903
pompes de navire,1,,non,442903
pompes de plomb,1,,non,442903
pompes de plomb de 20 pieds,1,,non,442903
pompes pour pompiers,2,,non,442903
pompons,1,,non,442903
pompons d'argent et de soie,1,,non,442903
poncire,66,,non,442903
ponçure de pin,1,,non,442903
Pondichery,0,,oui,442903
Pondichéry,1,,non,442903
pondre à tirer,0,,oui,442903
popeline,18,,non,442903
popeline de coton et soie,1,,non,442903
popeline de filoselle,1,,non,442903
popeline de soie,1,,non,442903
popeline des prises,1,,non,442903
populeum,4,,non,442903
porcelaine,1463,,non,442903
porcelaine à la valeur,1,,non,442903
porcelaine commune,133,,non,442903
porcelaine commune et fine,2,,non,442903
porcelaine contrefaite,5,,non,442903
porcelaine de Chine,1,,non,442903
porcelaine de Hollande,9,,non,442903
porcelaine de Saint-Cloud,5,,non,442903
porcelaine de Saxe,10,,non,442903
porcelaine de Tournai,2,,non,442903
porcelaine des Indes,53,,non,442903
porcelaine diverse,4,,non,442903
porcelaine du Faubourg Saint-Antoine,1,,non,442903
porcelaine du Japon,1,,non,442903
porcelaine et faïence,2,,non,442903
porcelaine fine,8,,non,442903
porcelaine fine à la valeur,1,,non,442903
porcelaine fine au kilogramme,2,,non,442903
porcelaine Hollande,1,,non,442903
porcelaine ordinaire,0,,oui,442903
porcelaine soucoupes et tasses,1,,non,442903
porcelets,85,,non,442903
porcelets et porcs,19,,non,442903
porcs,122,,non,442903
porcs au-dessous de 6 mois,4,,non,442903
porcs au-dessus de 6 mois,1,,non,442903
porcs confits,6,,non,442903
porcs de 6 mois et au-dessus,4,,non,442903
porcs de lait,33,,non,442903
porcs de lait au-dessous de 3 mois,2,,non,442903
porcs et porcelets,1,,non,442903
porcs et porcselets,0,,oui,442903
porcs frais,10,,non,442903
porcs fumés,1,,non,442903
porcs gras,292,,non,442903
porcs gras en vie,1,,non,442903
porcs gras et maigres,1,,non,442903
porcs maigres,20,,non,442903
porcs maigres salés,2,,non,442903
porcs poulets,2,,non,442903
porcs salés,382,,non,442903
porcs salés jambon,0,,oui,442903
porcs tués,1,,non,442903
porcs tués petits,1,,non,442903
porphir,0,,oui,442903
porphyre,1,,non,442903
porte de verre,1,,non,442903
portefeuilles,2,,non,442903
portemanteaux,4,,non,442903
portemanteaux de cuir,2,,non,442903
portemanteaux de cuir de Russie,1,,non,442903
portemanteaux de peau de Russie,1,,non,442903
portemanteaux de Russie,1,,non,442903
portevoix,1,,non,442903
portevue,6,,non,442903
portrait,1,,non,442903
portrait à cadres dorés,1,,non,442903
portrait de cour,5,,non,442903
portrait de famille,3,,non,442903
portrait et ses bordures,1,,non,442903
portrait et ses bordures dorées,1,,non,442903
portrait et ses bordures dorées et en pastel,1,,non,442903
ports de terre pour apothicaire,0,,oui,442903
pot de terre,1,,non,442903
pot de terre couvert d'étain,1,,non,442903
potache,4,,non,442903
potasse,387,Potasse,non,708
potasse et gravelée et védasse,0,Potasse,oui,708
potasse et védasse,6,Potasse,non,708
potasse et védasse et gravelée,87,Potasse,non,708
potasse gravelée et védasse,32,Potasse,non,708
poterie,68,,non,442903
poterie à feu,1,,non,442903
poterie commune,3,,non,442903
poterie crue,1,,non,442903
poterie de cuivre,1,,non,442903
poterie de Delft,1,,non,442903
poterie de faïence,263,,non,442903
poterie de faïence et verrerie,53,,non,442903
poterie de fer,31,,non,442903
poterie de grès,244,,non,442903
poterie de grès barbançons,24,,non,442903
poterie de grès barbues,1,,non,442903
poterie de grès cavelle,1,,non,442903
poterie de grès commune,4,,non,442903
poterie de grès commune et fine,2,,non,442903
poterie de grès diverse,32,,non,442903
poterie de grès fine,2,,non,442903
poterie de grès moques,1,,non,442903
poterie de livre,4,,non,442903
poterie de pierre,1,,non,442903
poterie de pierre et de terre,1,,non,442903
poterie de raffinerie,1,,non,442903
poterie de terraille,1,,non,442903
poterie de terre,432,,non,442903
poterie de terre barbançons,1,,non,442903
poterie de terre cannette,1,,non,442903
poterie de terre cruche,1,,non,442903
poterie de terre cuite,9,,non,442903
poterie de terre diverse,57,,non,442903
poterie de terre grossière,7,,non,442903
poterie de terre terraille,43,,non,442903
poterie des Indes,1,,non,442903
poterie diverse,27,,non,442903
poterie et terre,3,,non,442903
poterie façon d'Angleterre et de terre,1,,non,442903
poterie grès,1,,non,442903
poterie jarre,9,,non,442903
poterie ordinaire,1,,non,442903
poterie petite et forme à sucre,1,,non,442903
poterie terraille,59,,non,442903
poterie tuiles et verrerie,3,,non,442903
potin,101,,non,442903
potin à plomber pots,1,,non,442903
potin cru,1,,non,442903
potin gris,17,,non,442903
potin raffiné,1,,non,442903
pots,1,,non,442903
pots à fleurs de faïence,1,,non,442903
pots à forme à sucre,3,,non,442903
pots à forme à sucre de terre,4,,non,442903
pots à huile de terre,1,,non,442903
pots à moutarde et verres à boire,1,,non,442903
pots à peinture,1,,non,442903
pots à raffinerie,2,,non,442903
pots à rouler du tabac,1,,non,442903
pots à sucre de terre,9,,non,442903
pots d'étain,2,,non,442903
pots de brai en fer,1,,non,442903
pots de cervier,1,,non,442903
pots de chaises de commodité,1,,non,442903
pots de chaises de faïence,1,,non,442903
pots de chambre de faïence,1,,non,442903
pots de faïence,2,,non,442903
pots de faïence à eau,1,,non,442903
pots de faïence à jardin,1,,non,442903
pots de faïence de commodité,1,,non,442903
pots de fer,16,,non,442903
pots de grès,18,,non,442903
pots de grès couverts d'étain,1,,non,442903
pots de grès grands,1,,non,442903
pots de rechange,2,,non,442903
pots de rouge,3,,non,442903
pots de sucre,1,,non,442903
pots de terre,23,,non,442903
pots de terre et forme de terre à sucre,1,,non,442903
pots de terre grands,1,,non,442903
pots de terre pour apothicaire,1,,non,442903
pots de terre rouge,1,,non,442903
pots garnis d'étain et de terre,1,,non,442903
pots non garnis et de terre,1,,non,442903
pots pour chaises de commodité,2,,non,442903
pou de soie,1,,non,442903
poudre,44,,non,442903
poudre ??? nationales d'après les états du département de poudre et de salpêtre,2,,non,442903
poudre à cacheter,1,,non,442903
poudre à canons,222,,non,442903
poudre à canons de guerre,2,,non,442903
poudre à canons et à tirer,1,,non,442903
poudre à cirer,1,,non,442903
poudre à encre,1,,non,442903
poudre à fers,1,,non,442903
poudre à feu,110,,non,442903
poudre à fusil,3,,non,442903
poudre à fusil et à tirer,1,,non,442903
poudre à liser,1,,non,442903
poudre à odeur,1,,non,442903
poudre à poudrer,693,,non,442903
poudre à poudrer et de senteur,2,,non,442903
poudre à poudrer et pommade,1,,non,442903
poudre à tirer,229,,non,442903
poudre à tirer d'après les états fournis par le directeur des poudres et salpêtre,5,,non,442903
poudre à tirer fine,1,,non,442903
poudre blanche,2,,non,442903
poudre brillant,2,,non,442903
poudre bronzante,1,,non,442903
poudre cosmétique,4,,non,442903
poudre d'Ailhaud,34,,non,442903
poudre d'aventurine,2,,non,442903
poudre d'émeri,1,,non,442903
poudre d'iris,6,,non,442903
poudre d'or,1,,non,442903
poudre d'oxaca,1,,non,442903
poudre de canons,1,,non,442903
poudre de capucin,1,,non,442903
poudre de carène,1,,non,442903
poudre de chasse,1,,non,442903
poudre de gouaxaca,1,,non,442903
poudre de guerre,2,,non,442903
poudre de marbre,1,,non,442903
poudre de mine,1,,non,442903
poudre de plomb,1,Plomb,non,3539
poudre de riz,2,,non,442903
poudre de sapin,1,,non,442903
poudre de terre,3,,non,442903
poudre de traite,6,,non,442903
poudre de traite d'Angleterre et de Hollande,1,,non,442903
poudre en grenaille,1,,non,442903
poudre en pommade,1,,non,442903
poudre et teinture verte,1,,non,442903
poudre fine,1,,non,442903
poudre jaune,1,,non,442903
poudre médicinale,8,,non,442903
poudre noire,1,,non,442903
poudre précipité,1,,non,442903
poudre purgative,3,,non,442903
poudre purgative d'Ailhaud,3,,non,442903
poudre verte,1,,non,442903
poudrer à encre,0,,oui,442903
poulailler de cordonnier,2,,non,442903
poulains,63,,non,442903
poulains à zin,1,,non,442903
poulains de somme,2,,non,442903
poulains mulards,2,,non,442903
poulardes,5,,non,442903
poules,26,,non,442903
poules d'étain,1,,non,442903
poules d'Inde,1,,non,442903
poules de bois,1,,non,442903
poules des Indes,2,,non,442903
poules en vie,1,,non,442903
poules et poulets,1,,non,442903
poulets,63,,non,442903
poulets d'Inde,4,,non,442903
poulets de cane,1,,non,442903
poulies,20,,non,442903
poulies de bois,3,,non,442903
poulies de gaïac,1,,non,442903
poulies de sapin,1,,non,442903
poulies de vaisseaux,1,,non,442903
poulies garnies,2,,non,442903
poulles en vie,0,,oui,442903
poupée,6,,non,442903
poupée d'enfant,1,,non,442903
pour les peintures et la teinture,1,,non,442903
pourette,1,,non,442903
pourette de mûrier,1,,non,442903
pourette de mûriers,0,,oui,442903
pousses de houblon et vignes,1,,non,442903
poussière,2,,non,442903
poussière d'écorce de pin,1,,non,442903
poussière d'encens,34,,non,442903
poussière de barille,1,,non,442903
poussière de bourde,2,,non,442903
poussière de buis,3,,non,442903
poussière de foin,3,,non,442903
poussière de martre,1,,non,442903
poussière de mûriers,1,,non,442903
poussière de pin,3,,non,442903
poussière de raisin,1,,non,442903
poussière de résine,0,,oui,442903
poussière de résines,4,,non,442903
poussière de soude,7,,non,442903
poussière de tartre,57,Tartre,non,1470
poussière de terre,1,,non,442903
poussière de vitriol,2,Vitriol ; blanc,non,1044
poussins,1,,non,442903
poutardes,1,,non,442903
poutargues,82,,non,442903
poutines,1,,non,442903
poutreaux,23,,non,442903
poutreaux de 12 pieds,1,,non,442903
poutreaux de 9 pieds,1,,non,442903
poutreaux de chêne,2,,non,442903
poutreaux de sapin,10,,non,442903
poutreaux de sapin de 10 pieds,1,,non,442903
poutreaux de sapin de 24 pieds,1,,non,442903
poutrelles,12,,non,442903
poutrelles de frêne,1,,non,442903
poutrelles de sapin,1,,non,442903
poutrelles et solives,1,,non,442903
poutres,187,,non,442903
poutres de 16 à 28 pieds,1,,non,442903
poutres de 60 pieds,1,,non,442903
poutres de bois pour bâtir,1,,non,442903
poutres de chêne,5,,non,442903
poutres de chêne de 20 pieds,1,,non,442903
poutres de chêne de 24 à 39 pieds,1,,non,442903
poutres de chêne de 30 pieds,2,,non,442903
poutres de chêne de 34 pieds,1,,non,442903
poutres de chêne de 45 pieds,1,,non,442903
poutres de sapin,45,,non,442903
poutres de sapin de 12 pieds,1,,non,442903
poutres de sapin de 14 pieds,2,,non,442903
poutres de sapin de 22 pieds,3,,non,442903
poutres de sapin de 24 pieds,4,,non,442903
poutres de sapin de 25 pieds,3,,non,442903
poutres de sapin de 26 pieds,2,,non,442903
poutres de sapin de 27 pieds,1,,non,442903
poutres de sapin de 28 pieds,1,,non,442903
poutres de sapin de 30 pieds,3,,non,442903
poutres de sapin de 32 pieds,1,,non,442903
poutres de sapin de 34 pieds,1,,non,442903
poutres de sapin de 35 pieds,2,,non,442903
poutres de sapin de 36 pieds,2,,non,442903
poutres de sapin de 40 pieds,3,,non,442903
poutres de sapin de 45 pieds,4,,non,442903
poutres de sapin de 55 pieds,2,,non,442903
poutres demies,6,,non,442903
poutres demies poutres,0,,oui,442903
poutres et poutrelles,3,,non,442903
poutres et solives de sapin,1,,non,442903
poutres grosses,1,,non,442903
pouzzolane,1,,non,442903
prastre,2,,non,442903
preceintes,34,,non,442903
preceintes de 30 à 40 pieds à 5 à 8 pouces d'épaisseur,1,,non,442903
preceintes de chêne,5,,non,442903
precipité,14,,non,442903
précipité,28,,non,442903
précipité rouge,5,,non,442903
preillons à faire colle,1,,non,442903
prélat de toile,1,,non,442903
prélat pour navire,1,,non,442903
préparation de chimie,1,,non,442903
presse,4,,non,442903
presse à étoffe,1,,non,442903
presse à imprimer,4,,non,442903
presse de bois,1,,non,442903
presse de bois de mâture,1,,non,442903
présure,40,,non,442903
pretes torches,2,,non,442903
primaselle,1,,non,442903
primula veris,1,,non,442903
provisions,454,,non,442903
provisions à poudrer,1,,non,442903
provisions de bouche,640,,non,442903
provisions de Carême,5,,non,442903
provisions de caserne,20,,non,442903
provisions diverses principalement en beurre,13,Beurre,non,2710
pruneaux,1052,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
pruneaux Brignoles,1,,non,442903
pruneaux communs,24,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
pruneaux cuits,1,,non,442903
pruneaux d'Amont,47,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
pruneaux de Bordeaux,1,,non,442903
pruneaux de Sainte-Catherine,66,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
pruneaux de Tours,1,,non,442903
pruneaux et prunes,4,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
pruneaux et raisin sec,1,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
pruneaux et sucre,1,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
