marchandises_simplification,classification_hamburg_large,obsolete
planches de sapin de 9 pieds,,non
planches de sapin de bordage,,non
planches de sapin de Norvège,,non
planches de sapin de Poméranie,,non
planches de sapin de rebut,,non
planches de sapin de rebut de 75 pieds,,non
planches de sapin demi planches,,non
planches de sapin duicroco,,non
planches de sapin fendues,,non
planches de sapin grand,,non
planches de sapin pour grenier,,non
planches de sapin refendues,,non
planches de sapin resciées,,non
planches de serva,,non
planches de Suisse,,non
planches de vathout,,non
planches de wagheschot scié,,non
planches demie,,non
planches demies,,non
planches dites feuillet,,non
planches dites feuillet et quartiers,,non
planches dites genoux de bateaux,,non
planches dites Noordschedelen de 11 à 12 pieds,,non
planches dites Noordschedelen de 15 à 16 pieds,,non
planches en faux,,non
planches en poutres,,non
planches lourdes,,non
planches moyennes,,non
planches petites,,non
planches petites de sapin,,non
planches pour bateaux,,oui
planches pour faux,,non
planches pour grenier,,non
planches refendues,,non
planches sciées,,non
planches sciées de long,,non
plançons,,non
plançons courbes,,non
plançons de chêne,,non
plannes de cuivre,,non
plante diverse,,non
plantes d'asperge et jets de houblon,,non
plantes de romarin,,non
plantes herbes racines etc.,,non
plants d'arbres,,non
plants d'asperge,,non
plants d'oignon,,non
plants d'oignons,,non
plants d'oranger,,non
plants de bois,,non
plants de cédrat,,non
plants de citronnier,,non
plants de fleur,,non
plants de jardin,,non
plants de jasmin,,non
plants de mûrier,,non
plants de tabac,,non
plants de vigne,,non
plants des bois sauvages,,non
plants en fleurs,,oui
plaqué de bois,,non
plaques,,non
plaques de bois,,non
plaques de cheminée,,non
plaques de cornes,,non
plaques de cuirasse,,oui
plaques de cuivre,,non
plaques de cuivre rouge,,non
plaques de fer,Fer,non
plaques de fer battu,Fer,non
plaques de four,,non
plaques en cuivre,,oui
plaques en tôle,,non
plaquette,,oui
plastres,,non
plat de bois,,non
plat en grès,,non
plateau,,non
plateaux argentés,,non
plateaux de bois,,non
plateaux de cuivre,,non
plateaux de fer et vernis,Fer,non
plateaux de fer vernis,Fer,non
plateaux pour fléaux,,non
plateaux vernis,,non
plateaux vernis et de cote,,non
plates ciselées et de cuivre et gravées,,non
plates de fer,Fer,non
platille,,non
platille de lin,,non
platille de lin de Silésie,,non
platille de retour,,non
platille des Indes,,non
platille pour Guinée,,non
platille roussie,,non
platines,,non
platines à cassave,,non
platines de cuivre,,non
platines de cuivre et plaques de cuivre,,non
platines de fer,Fer,non
platines de fer coulé de fonte,Fer,non
platines de ferrure,Fer,non
platines de fusils,,non
plâtre,,non
plâtre de pierres,,non
plâtre et pierres ditto,,non
plâtre et pierres ditto par livre,,non
plâtre gris,,non
plâtre moulu,,non
plats de bois,,non
plats de fer,Fer,non
plats de sapin,,non
plattes de cuivre,,non
plattes de cuivre jaune,,non
plattes de cuivre rouge,,non
plattile,,non
plays,,non
pléd,,non
plesny,,non
pleviers,,non
plies sèches,,non
ploc,,non
ploc de 30 pieds,,non
ploc filé,,non
ploc non filé,,non
ploc salé,,non
plomb,Plomb,non
plomb à gibier,Plomb,non
plomb argenté,Plomb,non
plomb brut,Plomb,non
plomb brut en pain,Plomb,non
plomb de caisse de thé,Plomb,non
plomb de chasse,Plomb,non
plomb de pêche,Plomb,non
plomb de soude,Plomb,non
plomb divers,Plomb,non
plomb en balle,Plomb,non
plomb en balles et en dragées,Plomb,non
plomb en barre,Plomb,non
plomb en bloc,Plomb,non
plomb en feuilles,Plomb,non
plomb en grenaille,Plomb,non
plomb en lingot,Plomb,non
plomb en masse,Plomb,non
plomb en pain,Plomb,non
plomb en plaque,Plomb,non
plomb en rolles et travaillé,Plomb,non
plomb en rouleau,Plomb,non
plomb en saumon,Plomb,non
plomb en table,Plomb,non
plomb en tuyau,Plomb,non
plomb et toutenague,Plomb,non
plomb giboyer,Plomb,non
plomb grenaille,Plomb,non
plomb laminé,Plomb,non
plomb thé,Plomb,non
plomb tuyaux d'orgues,Plomb,non
plomb vieux,Plomb,non
pluche de coton,,non
plumes,,non
plumes à cure-dents,,non
plumes à écrire,,non
plumes à écrire et à lit,,non
plumes à écrire et à lit duvet et édredon,,non
plumes à écrire et d'oie,,non
plumes à écrire non travaillée,,non
plumes à faire lit et vives,,non
plumes à lit,,non
plumes à manchon,,non
plumes à phants,,non
plumes à plumet,,non
plumes à volant,,non
plumes apprêtée,,non
plumes apprêtée à écrire,,non
plumes apprêtée d'autruche,,non
plumes brute à écrire,,non
plumes brutes,,non
plumes brutes et à écrire,,non
plumes brutes et de parure,,non
plumes communes et à lit,,non
plumes cordons gris et jaunes et rouges et à écrire,,non
plumes cordons jaunes et à écrire,,non
plumes cordons rouges et à écrire,,non
plumes d'aigledon,,non
plumes d'aiglon,,non
plumes d'autruche,,non
plumes d'autruche et à écrire,,non
plumes d'autruche et autres de parure,,non
plumes d'autruche et blanches,,non
plumes d'autruche et brutes,,non
plumes d'autruche et crues,,non
plumes d'autruche et crues et noires,,non
plumes d'autruche et de vautour,,non
plumes d'autruche et noires,,non
plumes d'autruche et ouvrées,,non
plumes d'édredon,,non
plumes d'oie,,non
plumes d'oie à lit,,non
plumes d'oiseaux,,non
plumes de coq,,non
plumes de lin,,non
plumes de soie,,non
plumes duvet,,non
plumes en ???,,non
plumes idem,,non
plumes mortes,,non
plumes mortes à lit,,non
plumes noire,,non
plumes ouvrées,,non
plumes pour dévidoir,,non
plumes teinte,,non
plumes vives,,non
plumes vives à lit,,non
plumets,,non
plumets pour chapeau,,non
pluviers,,non
poche de peau,,non
pocle de fer,Fer,non
poêles,,non
poêles à chauffer,,non
poêles à feu,,non
poêles à frire,,non
poêles à frire de fer,Fer,non
poêles à frire en fer,Fer,non
poêles à frire en fer battu,Fer,non
poêles d'airain,,non
poêles de fer,Fer,non
poêles de fer à feu,Fer,non
poêles de fer à frire,Fer,non
poêles de fer et à frire,Fer,non
poêles de fer et leurs tuyaux,Fer,non
poêles de feu à frire,,non
poêles de terre,,non
poêles en fer pour chauffage,Fer,oui
poêles en fer pour faire la cuisine,Fer,oui
poêles en laiton,,oui
poêlons de cuivre,,non
poêlons de fer,Fer,non
poids,,non
poids à peser,,non
poids de fer,Fer,non
poids de fer à peser,Fer,oui
poids de fonde,,non
poids de plomb,,non
poignards de traite et sabre,,non
poignées d'épée,,oui
poignées pour sabres,,non
poignet de chemise,,non
poil,,non
poil blanc,,non
poil d'élan er de lièvre,,non
poil d'Espagne d'argent,,non
poil de ???,,non
poil de bœuf,,non
poil de bœuf c'est de la laine,,non
poil de bœuf et de vache,,non
poil de bouc,,non
poil de carton,,non
poil de castor,,non
poil de castor et d'élan,,non
poil de chameau,,non
poil de chameau et chèvre et de lièvre,,non
poil de chameau et de chèvre,,non
poil de chameau et de lièvre,,non
poil de cheval,,non
poil de chèvre,,non
poil de chèvre de lapin et de lièvre,,non
poil de chèvre et de lapin et de lièvre,,non
poil de chèvre et non filé,,non
poil de chèvre filé,,non
poil de chèvre simple,,non
poil de chevreau,,non
poil de chevrotin,,non
poil de coton,,non
poil de laine,,non
poil de lapin,,non
poil de lapin et de lièvre,,non
poil de lièvre,,non
poil de loup,,non
poil de porc,,non
poil de porc et poil de sanglier,,non
poil de sanglier,,non
poil de vache,,non
poil et cheveu,,non
poil pour doublage,,non
poinade,,non
poinçon neuf et vide,,non
point d'argent et d'Espagne,,non
point d'argent et d'or,,non
point d'argent et d'or et d'Espagne,,non
point d'Espagne et d'or,,non
point d'Espagne et ruban or et argent,,non
point d'or,,non
point de Hongrie,,non
pointe en métal,,oui
pointes de bat,,non
pointes de bois,,non
pointes de corne,,non
pointes de Hollande,,oui
pointes de Lübeck,,oui
pointes de queue de martre,,non
pointes pour bâtir de bois,,non
poires,,non
poires de bon chrétien,,non
poires de coing,,non
poires du bon chrétien et de coing,,non
poires en pommes,,non
poires et pommes,,non
poires et pommes communes,,non
poires et pommes fraîches,,non
poires et pommes sèches,,non
poires fraiches,,non
poires sèches,,non
pois,,non
pois blancs,,non
pois chiches,,non
pois commun,,non
pois d'Espagne,,non
pois de Bougogne,,non
pois de Bourgogne,,non
pois de Bourgonne,,non
pois en gerbe,,non
pois et fève et haricot,,non
pois et fèves,,non
pois fayolles,,non
pois secs,,non
pois vert,,non
poisson,,non
poisson ???,,non
poisson anchois,,non
poisson blanc,,non
poisson blanc et petit,,non
poisson d'eau douce,,non
poisson d'eau douce frais,,non
poisson d'Islande,,oui
poisson de mer,,non
poisson de mer divers,,non
poisson de mer frais,,non
poisson de mer frais hareng,,non
poisson de mer morue tête,,non
poisson de mer morue verte,,non
poisson de mer salé,,non
poisson de mer salé anchois,,non
poisson de mer salé divers,,non
poisson de mer salé et mariné,,non
poisson de mer salé et mariné ??? blanc,,non
poisson de mer salé harengs blanc,,non
poisson de mer salé harengs saur,,non
poisson de mer salé merluche,,non
poisson de mer salé morue,,non
poisson de mer salé morue et salée,,oui
poisson de mer salé morue sèche,,non
poisson de mer salé ou mariné,,non
poisson de mer salé rogue de morue,,non
poisson de mer salé sardine,,non
poisson de mer salé saumon,,non
poisson de mer salé stockfish,,non
poisson de mer salé thon,,non
poisson de mer saumon,,non
poisson de mer sec,,non
poisson de mer stockfish,,non
poisson de mer thon thonine,,non
poisson de mersalé sardine,,non
poisson de Norvège,,oui
poisson de rebut,,oui
poisson divers salé,,non
poisson dos,,oui
poisson en adobe,,non
poisson en anchoi,,non
poisson en daube,,non
poisson en hareng,,non
poisson en huître,,non
poisson en tonneau,,oui
poisson et poisson frais,,non
poisson et produit de poisson,,oui
poisson flet et carrelet,,oui
poisson flétan salé,,oui
poisson frais,,non
poisson frais de mer,,non
poisson frais et gros,,non
poisson frais et mariné et salé,,non
poisson frais et petit,,non
poisson frais et salé,,non
poisson frit,,non
poisson frit et gros,,non
poisson huître,,non
poisson mariné,,non
poisson morue,,non
poisson œuf,,oui
poisson salé,,non
poisson salé anchois,,non
poisson salé et frais,,non
poisson salé et mariné,,non
poisson salé maquereau,,non
poisson salé mariné anchois,,non
poisson salé mariné harengs blanc,,non
poisson salé mariné morue,,non
poisson salé mariné saumon,,non
poisson salé morue,,non
poisson salé morue accompagnée de ???,,non
poisson salé morue sèche et stockfish suivant l'état des primes,,non
poisson salé morue verte,,non
poisson salé rogues de maquereaux et stockfish,,non
poisson salé sardine,,non
poisson sardine,,non
poisson saumon salé,,oui
poisson sec,,non
poisson séché,,oui
poisson sole,,non
poisson stockfish,,non
poisson thon mariné,,non
poivre,Poivre ; blanc-noir,non
poivre blanc,Poivre ; blanc-noir,non
poivre blanc-noir,Poivre ; blanc-noir,non
poivre brun,Poivre ; blanc-noir,non
poivre commun,Poivre ; blanc-noir,non
poivre concassé,Poivre ; blanc-noir,non
poivre de Brésil,Poivre ; blanc-noir,oui
poivre de Guinée et poivre du paradis,Poivre ; blanc-noir,oui
poivre des Indes,Poivre ; blanc-noir,non
poivre dit maniquette,Poivre ; blanc-noir,non
poivre doux,Poivre ; blanc-noir,non
poivre en grabeau,Poivre ; blanc-noir,non
poivre en grain,Poivre ; blanc-noir,non
poivre en grains,Poivre ; blanc-noir,non
poivre en poussière,Poivre ; blanc-noir,non
poivre giroflé,Poivre ; blanc-noir,non
poivre long,Poivre ; blanc-noir,non
poivre noir,Poivre ; blanc-noir,non
poivre ordinaire,Poivre ; blanc-noir,non
poivre piment,Poivre ; blanc-noir,non
poivre rond,Poivre ; blanc-noir,non
poivre vert,Poivre ; blanc-noir,non
poix,,non
poix blanche,,non
poix blanche et noire,,non
poix blanche et résines,,non
poix fin,,oui
poix grasse,,non
poix gros,,oui
poix molle,,non
poix noire,,non
poix noire et poix blanche,,non
poix résines,,non
poix terck daguet goudron,,non
polimi,,non
polin gris,,non
polini de poil,,non
polipode,,non
polonaises,,non
pomelles à voiliers,,non
pommade,,non
pommade commune,,non
pommade de senteur,,non
pommade et savonnettes,Savon,non
pommeaux de cuivre doré,,non
pommes,,non
pommes d'ananas et de grenade,,non
pommes d'api,,non
pommes de canne,,non
pommes de grenade,,non
pommes de rainettes,,non
pommes de terre,,non
pommes elemy,,non
pommes et noix,,oui
pommes et poire fraîches,,oui
pommes et poires,,non
pommes fraiches,,non
pommes fraîches,,non
pompes,,non
pompes à éteindre le feu,,non
pompes à feu,,non
pompes à hollande,,non
pompes à incendie,,non
pompes à main et petites,,non
pompes de bois,,non
pompes de cuivre,,non
pompes de fer,Fer,non
pompes de Hollande,,non
pompes de plomb,,non
pompes en cuivre,,oui
pompes pour pompier,,non
pompons,,non
pompons d'argent et de soie,,non
poncire,,non
pondre à tirer,,non
populeum,,non
porcelaine,,non
porcelaine commune,,non
porcelaine contrefaite,,non
porcelaine de Hollande,,non
porcelaine de Saint-Cloud,,non
porcelaine de Saxe,,non
porcelaine de Tournai,,non
porcelaine des Indes,,non
porcelaine du Faubourg Saint-Antoine,,non
porcelaine du Japon,,non
porcelaine et faïence,,non
porcelaine fine,,non
porcelaine Hollande,,non
porcelaine ordinaire,,non
porcelets,,non
porcelets et porcs,,non
porcs,,non
porcs de lait,,non
porcs et porcelets,,non
porcs frais,,non
porcs gras,,non
porcs gras et maigres,,non
porcs maigres,,non
porcs maigres salés,,non
porcs poulets,,non
porcs salés,,non
porcs salés et chair salée,,non
porcs tués,,non
portants,,oui
porte de verre,,non
portefeuilles,,non
portemanteaux,,non
portemanteaux de cuir,,non
portemanteaux de cuir de Russie,,non
portemanteaux de peau de Russie,,non
portemanteaux de Russie,,non
portevoix,,non
portevue,,non
portrait,,non
portrait avec ses bordures,,non
portrait bordures dorées,,non
portrait bordures dorées et en pastel,,non
portrait de cour,,non
portrait de famille,,non
potache,,non
potasse,Potasse,non
potasse de cuivre,Potasse,non
potasse gravelée et vedasse,Potasse,non
poteau et montant en chêne,,oui
poterie,,non
poterie à feu,,non
poterie commune,,non
poterie de cuivre,,non
poterie de faïence,,non
poterie de faïence et verrerie,,non
poterie de fer,Fer,non
poterie de grès,,non
poterie de grès barbançons,,non
poterie de grès barbue,,non
poterie de grès cavelle,,non
poterie de grès divers,,non
poterie de grès moque,,non
poterie de livre,,non
poterie de pierre,,non
poterie de pierre et de terre,,oui
poterie de raffinerie,,non
poterie de terre,,non
poterie de terre barbançons,,non
poterie de terre cannette,,non
poterie de terre cruche,,non
poterie de terre cuite,,non
poterie de terre diverse,,non
poterie de terre terraille,,non
poterie des Indes,,non
poterie diverse,,non
poterie façon d'Angleterre et de terre,,non
poterie jarre,,non
poterie petite et forme à sucre,,non
poterie terraille,,non
poterie tuiles et verrerie,,non
potin,,non
potin à plomber poterie,,non
potin cru,,non
potin de fer,Fer,non
potin gris,,non
potin raffiné,,non
pots,,non
pots à fleurs de faïence,,non
pots à forme à sucre,,non
pots à forme à sucre de terre,,non
pots à huile et de terre,,non
pots à moutarde et verres à boire,,non
pots à peinture,,non
pots à raffinerie,,non
pots à rouler du tabac,,non
pots à sucre de terre,,non
pots d'étain,,non
pots de cervier,,non
pots de chaises de commodité,,non
pots de chambre de faïence,,non
pots de faïence,,non
pots de faïence de commodité,,non
pots de faïence et à eau,,non
pots de faïence et à jardin,,non
pots de fer,Fer,non
pots de grès,,non
pots de grès grands,,non
pots de rechange,,non
pots de sucre,,non
pots de terre,,non
pots de terre et forme de terre à sucre,,non
pots de terre grands,,non
pots garnis d'étain et de terre,,non
pots non garnis et de terre,,non
pou de soie,,non
poudre,,non
poudre ??? nationales d'après les états du département de poudre et de salpêtre,,non
poudre à cacheter,,non
poudre à canon,,non
poudre à canons de guerre,,non
poudre à canons et à tirer,,non
poudre à fer,,non
poudre à feu,,non
poudre à fusil,,non
poudre à fusils et à tirer,,non
poudre à liser,,non
poudre à odeur,,non
poudre à poudrer,,non
poudre à tirer,,non
poudre à tirer d'après les états fournis par le directeur des poudres et salpêtre,,non
poudre blanche,,non
poudre brillant,,non
poudre bronzant,,non
poudre cosmétique,,non
poudre d'Ailhant,,oui
poudre d'ailhaud,,non
poudre d'Ailhaud,,non
poudre d'Angleterre et de Hollandede et de traite,,non
poudre d'aventurine,,non
poudre d'iris,,non
poudre d'or,,oui
poudre d'oxaca,,non
poudre de canons,,non
poudre de capucin,,non
poudre de chasse,,non
poudre de gouaxaca,,non
poudre de guerre,,non
poudre de marbre,,non
poudre de mine,,non
poudre de plomb,,non
poudre de terre,,non
poudre de traite,,non
poudre en grenaille,,non
poudre en pommade,,non
poudre et amidon,,oui
poudre et teinture verte,,non
poudre médicinale,,non
poudre précipité,,non
poudre purgative,,non
poudre purgative d'Ailhaud,,non
poulailler de cordonnier,,non
poulains,,non
poulains de somme,,non
poularde,,non
poulardes,,non
poule,,non
poules,,non
poules d'étain,,non
poules de bois,,non
poules des Indes,,non
poulets,,non
poulets d'Inde,,non
poulets des Indes,,non
poulies,,non
poulies de bois,,non
poulies de sapin,,non
poulies garnies,,non
poulles en vie,,non
poupée,,non
poupée d'enfant,,non
pour les peintures et la teinture,,non
pourette,,non
pourette de mûrier,,non
pousses de houblon et vignes,,non
poussière,,non
poussière d'écorce de pin,,non
poussière d'encens,,non
poussière de barille,,non
poussière de bourde,,non
poussière de buis,,non
poussière de foin,,non
poussière de mûrier,,non
poussière de pin,,non
poussière de raisin,,non
poussière de résine,,non
poussière de soude,,non
poussière de tartre,Tartre,non
poussière de terre,,non
poussière de vitriol,Vitriol ; blanc,non
poussins,,non
poutardes,,non
poutargues,,non
pouteaux,,oui
poutre,,non
poutre de chêne,,non
poutre de navire,,oui
poutre de sapin,,non
poutreaux,,non
poutreaux de sapin,,non
poutrelles,,non
poutrelles de sapin,,non
poutrelles et solives,,non
poutres,,non
poutres de ???,,oui
poutres de 60 pieds,,non
poutres de chêne,,non
poutres de chêne de 24 à 39 pieds,,non
poutres de chêne de 30 pieds,,non
poutres de sapin de 25 pieds,,non
poutres de sapin de 30 pieds,,non
poutres de sapin de 32 pieds,,non
poutres de sapin de 35 pieds,,non
poutres de sapin de 36 pieds,,non
poutres de sapin de 40 pieds,,non
poutres et poutrelles,,non
prastre,,non
preceintes,,non
preceintes de chêne,,non
precipité,,non
précipité,,non
précipité rouge,,non
preillons à faire colle,,non
prélat de toile,,non
prélat pour navire,,non
préparation de chimie,,non
presse,,non
presse à étoffe,,non
presse à imprimer,,non
presse de bois,,non
présure,,non
pretes torches,,non
primula veris,,non
produits chinois et des Indes orientales,,oui
produits coloniaux,,oui
produits d'épicier,,oui
produits d'Islande,,oui
produits de bois,,oui
produits de fer,Fer,oui
produits de pharmacie,,oui
produits des Antilles ou peut-être les Antilles danoises,,oui
produits des îles Féroés,,oui
produits divers et non spécifiés,,oui
produits du Groenland,,oui
provisions,,non
provisions de bouche,,non
provisions de Carême,,non
provisions diverses principalement en beurre,Beurre,non
provisions principalement en beurre,,oui
pruneaux,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
pruneaux communs,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
pruneaux d'Amont,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
pruneaux de Sainte-Catherine,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
pruneaux et prunes,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
pruneaux et raisin sec,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
pruneaux et sucre,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
pruneaux et vert-de-gris,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
pruneaux noirs,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
prunelle,,non
prunelle buratée de laine,,non
prunelle de laine,,non
prunelle de laine raz de castor,,non
prunelle de poil,,non
prunelle de soie,,non
prunelle fine,,non
prunes,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
prunes Brignoles,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
prunes communes,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
prunes communes sèches,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
prunes d'ente,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
prunes de Bordeaux,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
prunes de Hongrie,"Fruits ; divers ; amandes, pelures, raisins, prunes",oui
prunes de Sainte-Catherine,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
prunes et pruneaux,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
prunes fraîches de ...,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
prunes pêches cerises nèfles etc.,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
prunes sèches,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
prusses,,non
prusus,,non
psalterion,,non
pumes,,non
pupitre,,non
pyrèthre,,non
quadrilles,,non
quadruple ou pièce d'or d'Espagne,,non
quarlais bottes etc.,,non
quart à farine,,non
quart de nonante,,non
quart de nonante à prendre hauteur,,non
quarteaux cerclés de fer,Fer,non
quartier de réduction,,non
quatre-épices toute-épice,,oui
quenouilles,,non
quenouilles de cannes,,non
quenouilles de cannes de peinte,,non
quenouilles de roseau au peinte,,non
quercas,,non
quercitron,,non
queues de martre,,non
queues de martres,,non
queues de petit gris,,non
queues de rat musqué,,non
queues de renard et ecureuil,,non
queues de renard et écureuil,,non
queues penne et noppes,,non
quicaille de fer,Fer,non
quikous chaus,,non
quilles de hêtre,,non
quilles de navire,,non
quilles de vaisseaux,,non
quincaille,,non
quincaille de fonte acier,,non
quincaillerie,,non
quincaillerie carde,,non
quincaillerie clou,,non
quincaillerie colorié et de cuivre,,non
quincaillerie commune,,non
quincaillerie commune et de fer,Fer,non
quincaillerie d'acier,,non
quincaillerie d'acier doré,,non
quincaillerie d'acier et de cuivre,,non
quincaillerie d'acier et de cuivre et de fer,,non
quincaillerie d'acier et de fer,,non
quincaillerie d'acier et de fer en fauty,,non
quincaillerie d'acier et fine,,non
quincaillerie d'acier ou de fer,,non
quincaillerie de bois,,non
quincaillerie de cuivre,,non
quincaillerie de cuivre clou,,non
quincaillerie de cuivre fil de laiton,,non
quincaillerie de fer,Fer,non
quincaillerie de fer clou,Fer,non
quincaillerie de fer en fil,Fer,non
quincaillerie de fer et acier ???,,non
quincaillerie de fer et d'acier et moulins à café,,non
quincaillerie de fer et grosse,Fer,non
quincaillerie de fer étain en faux,Fer,non
quincaillerie de fer faux,Fer,non
quincaillerie de fer faux et ferraille,Fer,non
quincaillerie de fer fil,Fer,non
quincaillerie de fer grosse,Fer,non
quincaillerie de fer pigne à corde,Fer,non
quincaillerie de fer scie,Fer,non
quincaillerie de fil de fer,Fer,non
quincaillerie de fumée,,non
quincaillerie de laiton filé,,non
quincaillerie de laiton filé et jaune,,non
quincaillerie de laiton filé et jaune et noir,,non
quincaillerie de laiton filé noir pour épingle,,non
quincaillerie de menu fer,Fer,non
quincaillerie de soie,,non
quincaillerie diverse,,non
quincaillerie en ???,,non
quincaillerie et mercerie,,non
quincaillerie étrangère,,non
quincaillerie faux,,non
quincaillerie fine,,non
quincaillerie fine d'acier,,non
quincaillerie française,,non
quincaillerie grosse,,non
quincaillerie platine,,non
quincaillerie pour épingles et de laiton filé et jaune et noir,,non
quincaillerie y compris armes et ferraille,,oui
quinette,,non
quinoa,,non
quinquina,,non
quinquina des Indes,,non
quinquina en extrait,,non
quinquina en grabeau,,non
quintessence,,non
quintessence de bergamote,,non
quintessence de rose,,non
quire,,non
rabots,,non
racines,,non
racines d' ???,,non
racines d'alizari,,non
racines d'angélique,,non
racines d'Angleterre,,non
racines d'arcanette,,non
racines d'Espagne,,non
racines d'ortie,,non
racines de ???,,non
racines de brionc,,non
racines de calamus,,non
racines de dictame,,non
racines de Florence et d'iris,,non
racines de galanga,,non
racines de garance,,non
racines de ginsin,,non
racines de guimauve,,non
racines de jalap,,non
racines de la Chine,,non
racines de persil,,non
racines de pierrestre,,non
racines de réglisse,,oui
racines de rhubea,,non
racines de riz,,non
racines de rutum,,non
racines de salsepareille,,non
racines de squine,,non
racines de turbit,,non
racines de violette,,non
racines de zedoar,,non
racines du pays,,non
racines jalap,,non
racines marron,,oui
racines médicinales,,non
racines rhubarbe,,non
raclure de carnet,,non
raclure de chamois,,non
raclure de corne,,non
raclure de fer,Fer,non
radeau,,non
radis chins,,non
radis dictame,,non
raie,,non
rail de fer,Fer,oui
raince de lin,,non
rais,,non
rais à charrettes,,non
rais à charrue,,non
rais à charrues,,non
raiseau d'argent et d'or,,non
raiseau d'argent ou d'or,,non
raisin,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin à l'eau-de-vie,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin de Corinthe,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin de Damas,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin de Galop,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin de Provence,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin de Provence et sec,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin en barils,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin en grappe,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin et tabac secs,"Fruits ; divers ; amandes, pelures, raisins, prunes",oui
raisin frais,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin frais de Corinthe,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin frais muscat,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin petit,"Fruits ; divers ; amandes, pelures, raisins, prunes",oui
raisin sec,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin sec d'époque,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin sec d'Espagne,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin sec de Corinthe,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisin sec en grappes,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
raisins frais,"Fruits ; divers ; amandes, pelures, raisins, prunes",non
rame,,non
rame de bateau,,non
rames à ramer,,non
rames de bois,,non
rames de lin,,non
ramolaches,,non
ramure,,non
ramure de sapin,,non
rapatelle,,non
râpes,,non
râpes d'ivoire et à tabac,,non
rapières,,oui
raponty,,non
rapsel,,non
râpure d'ivoire,,non
râpure de bois de cerf,,non
râpure de cerf,,non
râpure de forme,,non
raquette,,non
raquette et volant,,non
ras et revêche de ???,,non
rasade,,non
rasoirs,,non
rasoirs communs,,non
rasoirs de fer-blanc,Fer,non
rasorde,,non
rassade et verroterie,,non
rassade ou verroterie,,non
rassades,,non
rassades et vitrifications,,non
ratafia,,non
râteaux,,non
râteaux de fer,Fer,non
ratières,,non
ratine,,non
ratine aune,,non
ratine commune,,non
ratine croisée,,non
ratine de Beauvais,,non
ratine de Hollande,,non
ratine fine,,non
ratine frisée,,non
ratine teint,,non
ratisoire,,oui
rats de canons,,non
rave,,non
rave à filer,,non
rave à pêche,,non
rave à pêcher,,non
rave à seches,,non
rave de morue,,non
raveaux,,non
ravitaillement,,oui
rayon,,non
rayon de mouches à miel,,non
raz d'Angleterre,,non
raz de castor,,non
raz de Fleury,,non
raz de laine,,non
raz de Maroc,,non
raz de morue,,non
raz de Reims,,non
raz de Saint-Maur de soie,,non
raz de soie de St Cyr,,non
raz des Lo,,non
raz du Maroc,,non
raze blanche,,non
reagal,,non
rebut,,oui
rechanges à nègre,,non
réchaud de fer,Fer,non
réchaud de terre,,non
réchauds à café de fer,Fer,non
rechauds de cuivre ouvré,,non
rediné,,non
redingotes,,non
redingotes d'Angleterre et de drap,,non
redingotes de drap,,non
redon,,non
redou,,non
registre,,non
registre en blanc,,non
registres blancs,,non
registres en blanc,,non
réglisse,,non
réglisse en bois,,non
réglisse en jus,,non
réglisse en poudre,,non
réglisse moulu,,non
réglisse par balles de 150 livres,,non
réglisse sur bâne,,non
régule d'antimoine,,non
reliquaire,,non
remèdes,,non
remèdes composés,,non
remèdes sercé en feuilles,,non
remorque de navire,,oui
