goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,nbr_occurences_medicinales
sonnettes de bronze,1,not a medical product,non,1,530316
sonnettes de fonte,1,not a medical product,non,1,530316
soquet,1,not a medical product,non,,530316
sorbet,7,not a medical product,non,7,530316
sortes,1,not a medical product,non,1,530316
sotas,1,not a medical product,non,1,530316
soucade,3,not a medical product,non,3,530316
soucis,53,not a medical product,non,17,530316
soucis de soie,1,not a medical product,non,1,530316
soucis pour mouchoirs,1,not a medical product,non,,530316
soucoupes de faïence,1,not a medical product,non,,530316
soucoupes et tasses de faïence,2,not a medical product,non,2,530316
soucoupes vernies,1,not a medical product,non,1,530316
soucrillon,2,not a medical product,non,2,530316
soucrillon en gerbes,1,not a medical product,non,1,530316
soude de toute sorte,6,not a medical product,non,6,530316
soude soufre,1,not a medical product,non,1,530316
soudes,859,not a medical product,non,757,530316
soudes et natron et salin,40,not a medical product,non,40,530316
soudes et potasse,23,not a medical product,non,23,530316
soudes et tartre,1,not a medical product,non,1,530316
soudure,10,not a medical product,non,9,530316
soudure de cuivre,1,not a medical product,non,1,530316
soufflets,46,not a medical product,non,40,530316
soufflets à bouche,2,not a medical product,non,1,530316
soufflets à feu,11,not a medical product,non,3,530316
soufflets à forge,10,not a medical product,non,1,530316
soufflets à poudre,3,not a medical product,non,3,530316
soufflets à tirer,1,not a medical product,non,1,530316
soufflets à tirer le vin,7,not a medical product,non,4,530316
soufflets à tirer le vin au clair,1,not a medical product,non,,530316
soufflets à tirer le vin au clair et sa garniture,1,not a medical product,non,,530316
soufflets à tirer vin au clair,1,,non,,1394
soufflets d'hermine,1,not a medical product,non,1,530316
soufflets de bois,1,not a medical product,non,1,530316
soufflets de cheminée,7,not a medical product,non,3,530316
soufflets de fer,1,,non,,1394
soufflets de forge,21,not a medical product,non,15,530316
soufflets de maréchal,2,not a medical product,non,1,530316
soufflets petits,5,not a medical product,non,4,530316
soufflets pour orgues,2,not a medical product,non,1,530316
soufre,1237,not a medical product,non,1047,530316
soufre ???,1,not a medical product,non,1,530316
soufre à canons,1,not a medical product,non,,530316
soufre brut,7,not a medical product,non,7,530316
soufre en canons,57,not a medical product,non,56,530316
soufre en canons épuré,1,not a medical product,non,1,530316
soufre en fanon,12,not a medical product,non,12,530316
soufre en fleurs,17,not a medical product,non,17,530316
soufre en mèche,1,not a medical product,non,,530316
soufre épuré,7,not a medical product,non,7,530316
soufre raffiné,3,not a medical product,non,1,530316
soufre sublimé en poudre,8,not a medical product,non,8,530316
soufre vif,1,not a medical product,non,1,530316
souliers,836,not a medical product,non,679,530316
souliers à dessus de soie pour femme,5,not a medical product,non,5,530316
souliers anglais,1,not a medical product,non,,530316
souliers blancs,3,not a medical product,non,3,530316
souliers brodés,22,not a medical product,non,17,530316
souliers brodés d'argent,4,not a medical product,non,2,530316
souliers brodés d'argent et d'or,8,not a medical product,non,2,530316
souliers brodés d'argent et de soie,1,not a medical product,non,1,530316
souliers brodés d'or,1,,non,,1394
souliers brodés et pour femme,11,not a medical product,non,10,530316
souliers communs,23,not a medical product,non,18,530316
souliers couverts en callemande et pour femme,1,not a medical product,non,1,530316
souliers couverts en étoffe,3,not a medical product,non,3,530316
souliers couverts en étoffes et pour femme,5,not a medical product,non,5,530316
souliers couverts en soie et pour femme,8,not a medical product,non,8,530316
souliers d'enfant,6,not a medical product,non,4,530316
souliers d'étoffe de soie,7,not a medical product,non,7,530316
souliers d'homme,20,not a medical product,non,15,530316
souliers de chanvre,1,not a medical product,non,1,530316
souliers de corde,2,not a medical product,non,2,530316
souliers de cordonnier,12,not a medical product,non,12,530316
souliers de cordonnier pour femme,6,not a medical product,non,6,530316
souliers de cordonnier pour homme,12,not a medical product,non,12,530316
souliers de cordonnier vieux,1,not a medical product,non,1,530316
souliers de cuir,49,not a medical product,non,40,530316
souliers de cuir couverts en soie pour femme,5,not a medical product,non,5,530316
souliers de cuir et pour femme,3,not a medical product,non,3,530316
souliers de cuir et pour homme,5,not a medical product,non,5,530316
souliers de cuir et pour homme et femme,1,not a medical product,non,1,530316
souliers de cuir pour homme,6,not a medical product,non,6,530316
souliers de cuir pour homme et femme,5,not a medical product,non,5,530316
souliers de dame,1,not a medical product,non,1,530316
souliers de maroquin,3,not a medical product,non,3,530316
souliers de soie,13,not a medical product,non,12,530316
souliers enfant,1,not a medical product,non,1,530316
souliers neufs,11,not a medical product,non,11,530316
souliers pantoufles et galoches,2,not a medical product,non,1,530316
souliers par paires,2,not a medical product,non,1,530316
souliers petits,2,not a medical product,non,1,530316
souliers pour enfant,12,not a medical product,non,10,530316
souliers pour femme,40,not a medical product,non,25,530316
souliers pour homme,77,not a medical product,non,67,530316
souliers pour homme et femme,2,not a medical product,non,1,530316
souliers vieux,3,not a medical product,non,3,530316
souline étoffe des Indes,1,not a medical product,non,1,530316
soupières de faïence,1,not a medical product,non,1,530316
souquets de mâts,1,not a medical product,non,,530316
southoy,1,not a medical product,non,,530316
soutien,1,not a medical product,non,1,530316
soux de grabanite,1,not a medical product,non,1,530316
soux en feuilles,1,not a medical product,non,1,530316
soyette de fil,1,not a medical product,non,1,530316
spalme,3,not a medical product,non,3,530316
spalte,1,not a medical product,non,1,530316
spardilles,7,not a medical product,non,7,530316
spart brut,3,not a medical product,non,3,530316
spart brut et presle,2,not a medical product,non,2,530316
sparterie,9,not a medical product,non,9,530316
sparterie brute en auf jonc et roseau,26,not a medical product,non,26,530316
spath,1,not a medical product,non,1,530316
spéculation,1,not a medical product,non,,530316
spermaceti,59,narrow medical product,non,48,24136
sperme,1,narrow medical product,non,1,24136
sperme de baleine,14,narrow medical product,non,11,24136
spermecely,1,not a medical product,non,1,530316
sphères,1,,non,,1394
spiante,1,not a medical product,non,1,530316
spicaceltica,47,narrow medical product,non,40,24136
spicajudica,1,narrow medical product,non,1,24136
spicanardi,16,narrow medical product,non,14,24136
spinenardi,1,narrow medical product,non,1,24136
spirinck,1,not a medical product,non,1,530316
spode,3,narrow medical product,non,3,24136
sprottes,1,not a medical product,non,1,530316
square,1,not a medical product,non,,530316
squille de grain,4,not a medical product,non,1,530316
squine,152,narrow medical product,non,122,24136
stafisagre,30,narrow medical product,non,31,24136
stagnon,1,not a medical product,non,1,530316
statue de pierre,2,not a medical product,non,1,530316
statue de plomb,1,not a medical product,non,1,530316
stechas arabique,1,not a medical product,non,1,530316
stephais,1,not a medical product,non,,530316
sthouchais,1,not a medical product,non,,530316
stil de grain,55,not a medical product,non,54,530316
stil de grains et vermillon,1,not a medical product,non,1,530316
stinkerque,28,not a medical product,non,7,530316
stinkerque à barre,1,not a medical product,non,,530316
stinkerque brodées,1,not a medical product,non,,530316
stinkerque brodées de couleur,1,,non,,1394
stinkerque de fil organdis,1,not a medical product,non,,530316
stirax liquide,1,narrow medical product,non,1,24136
stockfisch,498,not a medical product,non,401,530316
stockfisch et morue,1,not a medical product,non,,530316
stockfisch mariné et salé,15,not a medical product,non,15,530316
stockfisch salé,5,not a medical product,non,4,530316
stopilles,0,not a medical product,oui,1,530316
storax,202,narrow medical product,non,180,24136
storax calames,2,narrow medical product,non,2,24136
storax calamin,1,narrow medical product,non,1,24136
storax en larme,1,,non,,1394
storax liquide,7,narrow medical product,non,6,24136
stragondis,5,not a medical product,non,4,530316
sublimé,142,narrow medical product,non,126,24136
sublimé corosif,14,narrow medical product,non,11,24136
subsistances,27,not a medical product,non,27,530316
substances et produits chimiques,29,not a medical product,non,29,530316
substances et produits chimiques principalement eau-forte et couperose,14,not a medical product,non,14,530316
substances et produits chimiques principalement en eau-forte et couperose bleue et blanche,12,not a medical product,non,12,530316
suc de réglisse,27,narrow medical product,non,27,24136
succade,1,not a medical product,non,1,530316
sucre,564,not a medical product,non,560,530316
sucre à devises et à casser,1,not a medical product,non,1,530316
sucre bâtard,1,not a medical product,non,1,530316
sucre blanc,1250,not a medical product,non,1019,530316
sucre blanc brut des entrepôts étranger,1,not a medical product,non,1,530316
sucre blanc brut étranger,3,not a medical product,non,3,530316
sucre blanc en pain,4,not a medical product,non,3,530316
sucre blanc et sucre terré,49,not a medical product,non,20,530316
sucre blanc et sucre terré des Îles françaises de l'Amérique,1,not a medical product,non,1,530316
sucre blanc et sucre terré et sucre têtes,3,not a medical product,non,4,530316
sucre blanc et tabatières de bergamote,1,not a medical product,non,1,530316
sucre blanc terré et têtes,20,not a medical product,non,20,530316
sucre brun,83,not a medical product,non,62,530316
sucre brun brut,3,not a medical product,non,3,530316
sucre brun prix bas,1,not a medical product,non,1,530316
sucre brut,1623,not a medical product,non,1167,530316
sucre brut autre que blanc,6,not a medical product,non,6,530316
sucre brut autre que blanc des entrepôts étranger,1,not a medical product,non,1,530316
sucre brut autre que blanc étranger,4,not a medical product,non,4,530316
sucre brut blanc,4,not a medical product,non,4,530316
sucre brut blanc ou terré,5,not a medical product,non,5,530316
sucre brut des colonies françaises au-delà du Cap,2,not a medical product,non,2,530316
sucre brut en forme,1,not a medical product,non,1,530316
sucre brut et sucre terré,5,not a medical product,non,4,530316
sucre brut par Nantes,1,not a medical product,non,1,530316
sucre candi,201,not a medical product,non,176,530316
sucre candi en pain et en poudre raffiné,1,not a medical product,non,1,530316
sucre candi et en pain,3,not a medical product,non,3,530316
sucre candi et sucre en pain par Bayonne Bordeaux Le Havre et Dunkerque,1,not a medical product,non,1,530316
sucre candi raffiné,1,not a medical product,non,1,530316
sucre carré,1,not a medical product,non,1,530316
sucre cassonade,1,not a medical product,non,1,530316
sucre commun,18,not a medical product,non,13,530316
sucre d'érable,4,not a medical product,non,4,530316
sucre d'orge,14,not a medical product,non,12,530316
sucre de Brésil et sucre blanc et sucre cru,1,not a medical product,non,1,530316
sucre de canne,1,not a medical product,non,1,530316
sucre de Cayenne,1,not a medical product,non,1,530316
sucre de Cayenne terré,5,not a medical product,non,5,530316
sucre de forme,1,not a medical product,non,1,530316
sucre de lait,1,not a medical product,non,1,530316
sucre de réglisse,2,not a medical product,non,2,530316
sucre de têtes,15,not a medical product,non,1,530316
sucre des Indes brut,1,not a medical product,non,1,530316
sucre des Indes terré,2,not a medical product,non,2,530316
sucre des Indes têtes,1,not a medical product,non,1,530316
sucre des prises terré,1,not a medical product,non,1,530316
sucre dit lompen,1,not a medical product,non,1,530316
sucre en blanc,1,not a medical product,non,1,530316
sucre en dragées,1,not a medical product,non,1,530316
sucre en forme terré,1,not a medical product,non,1,530316
sucre en lait,1,not a medical product,non,1,530316
sucre en pain,861,not a medical product,non,675,530316
sucre en pain blanc,1,not a medical product,non,,530316
sucre en pain et en poudre raffiné,1,not a medical product,non,1,530316
sucre en pain et sucre raffiné,9,not a medical product,non,10,530316
sucre en pain et sucre raffiné et sucre têtes etc.,1,not a medical product,non,1,530316
sucre en pain et sucre terré,2,not a medical product,non,2,530316
sucre en pain par Le Havre,1,not a medical product,non,1,530316
sucre en pain par Strasbourg,1,not a medical product,non,1,530316
sucre en pain par Strasbourg Metz et Riltzeim,1,not a medical product,non,1,530316
sucre en pain pour la Compagnie des Indes,1,not a medical product,non,,530316
sucre en pain raffiné,25,not a medical product,non,21,530316
sucre en pain sorti avec prime,13,not a medical product,non,13,530316
sucre en poudre,2,not a medical product,non,2,530316
sucre en poudre blanc,1,not a medical product,non,1,530316
sucre en poudre blanc de haut prix,1,not a medical product,non,1,530316
sucre en poudre brun,1,not a medical product,non,1,530316
sucre et raisin sec,2,not a medical product,non,1,530316
sucre et rocou,1,not a medical product,non,1,530316
sucre et tabac,1,not a medical product,non,1,530316
sucre et verdet,1,not a medical product,non,1,530316
sucre ferré,3,not a medical product,non,3,530316
sucre fin,3,not a medical product,non,3,530316
sucre mélasse,3,not a medical product,non,4,530316
sucre mélisse,1,not a medical product,non,1,530316
sucre mes ???,1,not a medical product,non,1,530316
sucre moscovade,8,not a medical product,non,4,530316
sucre noix,1,not a medical product,non,,530316
sucre orianne,1,not a medical product,non,1,530316
sucre raffiné,279,not a medical product,non,196,530316
sucre roulé,1,not a medical product,non,,530316
sucre royal,1,,non,,1394
sucre terré,1372,not a medical product,non,947,530316
sucre terré autre que blanc,1,not a medical product,non,1,530316
sucre terré autre que blanc des entrepôts étranger,1,not a medical product,non,1,530316
sucre terré autre que blanc étranger,3,not a medical product,non,3,530316
sucre terré blanc,1,not a medical product,non,1,530316
sucre terré blanc des entrepôts étranger,1,not a medical product,non,1,530316
sucre terré blanc étranger,7,not a medical product,non,7,530316
sucre terré blanc ordinaire et têtes de forme,11,not a medical product,non,,530316
sucre terré brun étranger,3,not a medical product,non,3,530316
sucre terré commun,1,not a medical product,non,,530316
sucre terré des colonies françaises au-delà du Cap,2,not a medical product,non,1,530316
sucre terré des Indes,1,not a medical product,non,1,530316
sucre terré et sucre têtes,18,not a medical product,non,17,530316
sucre terré moyen,1,,non,,1394
sucre terré par Bayonne Marseille et Nantes,1,not a medical product,non,1,530316
sucre terré par Chapareillan,1,not a medical product,non,1,530316
sucre terré têtes,19,not a medical product,non,19,530316
sucre terré têtes de forme,1,,non,,1394
sucre têtes,405,not a medical product,non,288,530316
sucre têtes de forme,113,,non,,1394
sucre têtes forme,0,not a medical product,oui,76,530316
sucre vergeoise,142,not a medical product,non,108,530316
sucrerie,18,not a medical product,non,18,530316
sucrerie drapée,2,not a medical product,non,2,530316
sucrier,4,not a medical product,non,4,530316
sucrier de faïence,2,not a medical product,non,2,530316
sucs d'espèces particulières,2,not a medical product,non,2,530316
suie de cheminée,3,not a medical product,non,2,530316
suif,1820,not a medical product,non,1532,530316
suif à chandelle,19,not a medical product,non,18,530316
suif brut,10,not a medical product,non,10,530316
suif de mouton,1,not a medical product,non,1,530316
suif en branche,1,not a medical product,non,1,530316
suif en chandelle et en rames,1,not a medical product,non,1,530316
suif en masse,1,not a medical product,non,1,530316
suif en pain,95,not a medical product,non,96,530316
suif en poil,1,not a medical product,non,1,530316
suif en rames,13,not a medical product,non,12,530316
suif fondu,68,not a medical product,non,61,530316
suif pour faire du savon,1,not a medical product,non,1,530316
suif pour raffiner le cuivre,1,not a medical product,non,1,530316
suif soude,9,not a medical product,non,9,530316
suin,1,not a medical product,non,1,530316
suine,1,not a medical product,non,1,530316
sulfate d'alumine,2,not a medical product,non,2,530316
sulfate d'ammoniaque,2,not a medical product,non,2,530316
sulfate de cuivre,5,not a medical product,non,5,530316
sulfate de cuivre de fer et de zinc,2,not a medical product,non,2,530316
sulfate de cuivre et de fer,1,not a medical product,non,1,530316
sulfate de fer,5,not a medical product,non,5,530316
sulfate de magnésie de potasse et de soude,2,not a medical product,non,2,530316
sulfate de plomb,1,not a medical product,non,1,530316
sulfate de potasse,7,not a medical product,non,7,530316
sulfate de quinine,2,not a medical product,non,2,530316
sulfate de zinc,3,not a medical product,non,3,530316
sulfure d'arsenic jaune et rouge,4,not a medical product,non,4,530316
sulfure de mercure en pierres,3,not a medical product,non,3,530316
sumac,632,not a medical product,non,538,530316
sumac des corroyeurs,1,not a medical product,non,1,530316
sumac et autres feuilles tinctoriales,2,not a medical product,non,2,530316
sumeuille de cuivre,1,not a medical product,non,1,530316
surge de laine,4,not a medical product,non,4,530316
surons,1,not a medical product,non,1,530316
sutoze,1,not a medical product,non,1,530316
tabac,965,not a medical product,non,842,530316
tabac à fumer,35,not a medical product,non,29,530316
tabac à mâcher,1,not a medical product,non,1,530316
tabac à râper,4,not a medical product,non,2,530316
tabac à varié,1,not a medical product,non,1,530316
tabac avarié,4,not a medical product,non,1,530316
tabac briquet,5,not a medical product,non,5,530316
tabac brut,1,not a medical product,non,,530316
tabac commun,15,not a medical product,non,15,530316
tabac commun en feuilles,1,not a medical product,non,1,530316
tabac côte de ???,1,not a medical product,non,1,530316
tabac d'Espagne,44,not a medical product,non,35,530316
tabac d'Espagne en feuilles,1,not a medical product,non,1,530316
tabac de ???,1,not a medical product,non,1,530316
tabac de Brésil,1,,non,,1394
tabac de caisse,1,not a medical product,non,1,530316
tabac de cantine,20,not a medical product,non,12,530316
tabac de carottes,2,not a medical product,non,2,530316
tabac de coco,1,not a medical product,non,,530316
tabac de Hollande,10,not a medical product,non,5,530316
tabac de la Ferme,217,not a medical product,non,188,530316
tabac de la Havane,11,not a medical product,non,3,530316
tabac de renvoi,1,not a medical product,non,1,530316
tabac de Séville,2,not a medical product,non,2,530316
tabac de St. Domingue,18,not a medical product,non,5,530316
tabac de St. Vincent,2,not a medical product,non,2,530316
tabac de Virginie,28,not a medical product,non,22,530316
tabac de Virginie en feuilles,10,not a medical product,non,8,530316
tabac des Indes,1,not a medical product,non,1,530316
tabac des prises,7,not a medical product,non,4,530316
tabac divers,1,not a medical product,non,1,530316
tabac du Brésil,70,not a medical product,non,58,530316
tabac du Brésil acheté à Lisbonne,2,not a medical product,non,2,530316
tabac du Brésil acheté à Lisbonne en faisant route pour la Côte d'Or,2,not a medical product,non,2,530316
tabac du Brésil de Virginie,2,not a medical product,non,1,530316
tabac du Brésil pris à Lisbonne par les bâtiments français négriers expédiés des ports de France pour la Côte d'Or,1,not a medical product,non,1,530316
tabac du Brésil pris à Lisbonne par les bâtiments négriers expédiés des côtes de France pour la Côte d'Or,1,not a medical product,non,1,530316
tabac en ???,1,not a medical product,non,1,530316
tabac en andouille,8,not a medical product,non,3,530316
tabac en caisse,5,not a medical product,non,5,530316
tabac en cantine,1,not a medical product,non,1,530316
tabac en carotte,81,not a medical product,non,77,530316
tabac en carotte et en feuilles,1,not a medical product,non,1,530316
tabac en carotte et en feuilles et en côtes,1,not a medical product,non,1,530316
tabac en carotte et en feuilles et râpé,1,not a medical product,non,1,530316
tabac en carotte et fabriqué,2,not a medical product,non,2,530316
tabac en carotte et feuilles côtes,1,not a medical product,non,1,530316
tabac en carotte et rolles,1,not a medical product,non,1,530316
tabac en carotte par Bayonne,1,not a medical product,non,1,530316
tabac en cordes,16,not a medical product,non,13,530316
tabac en coren ???,3,not a medical product,non,3,530316
tabac en côtes,16,not a medical product,non,15,530316
tabac en côtes et en feuilles,27,not a medical product,non,27,530316
tabac en côtes et en feuilles des entrepôts pour la régie,1,not a medical product,non,1,530316
tabac en côtes et en feuilles pour la régie,6,not a medical product,non,6,530316
tabac en feuille,1,not a medical product,non,,530316
tabac en feuilles,2,not a medical product,non,2,530316
tabac en feuilles de la Louisiane,1,not a medical product,non,1,530316
tabac en feuilles de Virginie,10,not a medical product,non,3,530316
tabac en feuilles et autres,3,not a medical product,non,3,530316
tabac en feuilles et en poudre,1,not a medical product,non,1,530316
tabac en feuilles par Bayonne,1,not a medical product,non,1,530316
tabac en feuilles par Dunkerque,1,not a medical product,non,1,530316
tabac en filé,1,not a medical product,non,1,530316
tabac en graine,1,not a medical product,non,,530316
tabac en manoque,19,not a medical product,non,13,530316
tabac en poudre,277,not a medical product,non,226,530316
tabac en poudre commun,1,not a medical product,non,,530316
tabac en poudre commun supérieur,1,not a medical product,non,1,530316
tabac en poudre de la Havane,3,not a medical product,non,,530316
tabac en rolle,4,not a medical product,non,1,530316
tabac en rouleau,12,not a medical product,non,7,530316
tabac et savon,1,not a medical product,non,1,530316
tabac et son d'Espagne,1,not a medical product,non,1,530316
tabac fabriqué,47,not a medical product,non,41,530316
tabac fabriqué et préparé,4,not a medical product,non,4,530316
tabac ficelé,6,not a medical product,non,3,530316
tabac filé,73,not a medical product,non,44,530316
tabac fin,2,not a medical product,non,1,530316
tabac frisé,2,not a medical product,non,,530316
tabac haché,4,not a medical product,non,1,530316
tabac haché et à fumer,1,not a medical product,non,1,530316
tabac pour échantillon,1,not a medical product,non,1,530316
tabac pressé d'Allemagne,1,not a medical product,non,1,530316
tabac râpé,92,not a medical product,non,82,530316
tabac râpé de la Ferme,7,not a medical product,non,7,530316
tabac râpé par Dunkerque,1,not a medical product,non,1,530316
tabac viedé,1,not a medical product,non,1,530316
tabagies,1,not a medical product,non,1,530316
tabatières,113,not a medical product,non,98,530316
tabatières à bergamote,1,not a medical product,non,1,530316
tabatières communes,3,not a medical product,non,2,530316
tabatières corne,1,not a medical product,non,1,530316
tabatières d'agate,7,not a medical product,non,6,530316
tabatières d'argent,21,not a medical product,non,18,530316
tabatières d'argent et d'or,1,not a medical product,non,1,530316
tabatières d'argent et dorées,1,not a medical product,non,1,530316
tabatières d'argent et petites,2,not a medical product,non,2,530316
tabatières d'écaille,53,not a medical product,non,49,530316
tabatières d'écaille à charnière d'or,1,not a medical product,non,1,530316
tabatières d'écaille à pitons d'argent,1,not a medical product,non,1,530316
tabatières d'écaille garnies d'argent,1,not a medical product,non,1,530316
tabatières d'écaille incrustées d'argent,1,not a medical product,non,1,530316
tabatières d'écaille incrustées d'argent et d'or,2,not a medical product,non,2,530316
tabatières d'écaille incrustées d'or,1,not a medical product,non,1,530316
tabatières d'écaille unie,3,not a medical product,non,3,530316
tabatières d'émail,1,not a medical product,non,1,530316
tabatières d'olivier,52,not a medical product,non,50,530316
tabatières d'or,11,not a medical product,non,9,530316
tabatières d'os,1,not a medical product,non,1,530316
tabatières de bergamote,12,not a medical product,non,10,530316
tabatières de bois,49,not a medical product,non,48,530316
tabatières de bois blanc,1,not a medical product,non,1,530316
tabatières de bois d'olivier,7,not a medical product,non,6,530316
tabatières de bois verni,1,not a medical product,non,1,530316
tabatières de buis,3,not a medical product,non,2,530316
tabatières de carton,77,not a medical product,non,73,530316
tabatières de coco,1,not a medical product,non,,530316
tabatières de composition,2,not a medical product,non,2,530316
tabatières de corne,82,not a medical product,non,79,530316
tabatières de cuir,1,not a medical product,non,1,530316
tabatières de cuivre,1,not a medical product,non,1,530316
tabatières de cuivre jaune,1,,non,,1394
tabatières de fer-blanc,7,not a medical product,non,7,530316
tabatières de forme,1,not a medical product,non,1,530316
tabatières de nacre,1,not a medical product,non,1,530316
tabatières de paille,9,not a medical product,non,9,530316
tabatières de pinsbeck,3,not a medical product,non,1,530316
tabatières de vermeil,1,not a medical product,non,,530316
tabatières émaillées,1,not a medical product,non,1,530316
tabatières enrichies,5,not a medical product,non,5,530316
tabatières garnies d'or,1,not a medical product,non,1,530316
tabatières unies,1,not a medical product,non,1,530316
tabatières vernies,3,not a medical product,non,2,530316
tabernacle,3,not a medical product,non,3,530316
tabernacle de marbre,1,not a medical product,non,1,530316
tabernacle doré,1,not a medical product,non,1,530316
table en plomb,62,not a medical product,non,53,530316
tableaux,540,not a medical product,non,486,530316
tableaux à bordures dorées,3,not a medical product,non,3,530316
tableaux à cadres dorés,3,not a medical product,non,2,530316
tableaux à l'huile,1,not a medical product,non,1,530316
tableaux anciens,1,not a medical product,non,1,530316
tableaux avec leurs cadres,2,not a medical product,non,,530316
tableaux communs,21,not a medical product,non,21,530316
tableaux communs et sur toile,7,not a medical product,non,7,530316
tableaux communs et vieux,1,not a medical product,non,1,530316
tableaux d'optique,2,not a medical product,non,2,530316
tableaux de famille,4,not a medical product,non,4,530316
tableaux de papier peint,1,not a medical product,non,,530316
tableaux et thèses,1,not a medical product,non,,530316
tableaux fins et sur toile,1,not a medical product,non,1,530316
tableaux grossiers,3,not a medical product,non,3,530316
tableaux portraits,1,not a medical product,non,1,530316
tableaux sans bordures,2,not a medical product,non,2,530316
tableaux sans bordures et sur toile,2,not a medical product,non,2,530316
tableaux sur bois,1,not a medical product,non,1,530316
tableaux sur toile,17,not a medical product,non,16,530316
tableaux vieux,4,not a medical product,non,3,530316
tables,4,not a medical product,non,3,530316
tables à café,1,not a medical product,non,1,530316
tables à cannelle,1,not a medical product,non,1,530316
tables à écrire,1,not a medical product,non,1,530316
tables à jouer,6,not a medical product,non,3,530316
tables à thé,6,not a medical product,non,6,530316
tables d'acajou,1,not a medical product,non,1,530316
tables d'ardoises,13,not a medical product,non,10,530316
tables de bois,24,not a medical product,non,21,530316
tables de bois peintes,2,not a medical product,non,,530316
tables de bois petites,1,not a medical product,non,1,530316
tables de chêne,2,not a medical product,non,,530316
tables de marbre,142,not a medical product,non,112,530316
tables de marbre avec leurs pieds,1,not a medical product,non,1,530316
tables de marbre et à pieds dorés,2,not a medical product,non,2,530316
tables de marbre ouvré,1,not a medical product,non,,530316
tables de marbre petites,2,not a medical product,non,2,530316
tables de noyer,1,not a medical product,non,1,530316
tables de nuit,2,not a medical product,non,2,530316
tables de quadrilles,3,not a medical product,non,3,530316
tables de sapin,17,not a medical product,non,15,530316
tables de sapin en forme de commonde,1,not a medical product,non,,530316
tables de sapin peinte,2,not a medical product,non,,530316
tables de sapin peintes,11,not a medical product,non,6,530316
tables de sapin vernies,2,not a medical product,non,,530316
tables de toilette,1,not a medical product,non,1,530316
tables de verre,47,not a medical product,non,47,530316
tables en feuilles,1,not a medical product,non,,530316
tables en marbre,24,not a medical product,non,23,530316
tables fermées,1,not a medical product,non,1,530316
tables jacinthes,1,not a medical product,non,1,530316
tables peintes,8,not a medical product,non,2,530316
tables vernies,13,not a medical product,non,12,530316
tabletterie,7,not a medical product,non,7,530316
tabletterie et porcelaine,1,not a medical product,non,,530316
tablettes anisées,1,not a medical product,non,1,530316
tablettes d'ardoise,3,not a medical product,non,1,530316
tablier,4,not a medical product,non,2,530316
tablier brodé,4,not a medical product,non,2,530316
tablier brodé et de taffetas,1,not a medical product,non,1,530316
tablier de peau de chamois,1,not a medical product,non,1,530316
tablier de quadrilles,1,not a medical product,non,1,530316
tablier de taffetas,4,not a medical product,non,2,530316
tablier de toile peinte,3,not a medical product,non,,530316
tablier peint,2,not a medical product,non,1,530316
tabourets,1,not a medical product,non,1,530316
tabourets d'enfant,1,not a medical product,non,1,530316
tacelle de fer,1,not a medical product,non,1,530316
taffetas,216,not a medical product,non,134,530316
taffetas à la bonne femme,1,not a medical product,non,,530316
taffetas blanc,2,not a medical product,non,1,530316
taffetas bleu,3,not a medical product,non,3,530316
taffetas broché,1,,non,,1394
taffetas chiné,1,not a medical product,non,1,530316
taffetas cirés de soie,1,not a medical product,non,1,530316
taffetas crin,1,,non,,1394
taffetas d'Angleterre,4,not a medical product,non,1,530316
taffetas d'Avignon,2,not a medical product,non,2,530316
taffetas de Florence,2,not a medical product,non,2,530316
taffetas de Léon,1,not a medical product,non,,530316
taffetas de Lyon,1,not a medical product,non,1,530316
taffetas de Pékin,2,not a medical product,non,,530316
taffetas de soie,34,not a medical product,non,34,530316
taffetas foulard,1,not a medical product,non,,530316
taffetas foulas,7,not a medical product,non,2,530316
taffetas lustré,1,not a medical product,non,,530316
taffetas noir,3,not a medical product,non,1,530316
taffetas petit,3,not a medical product,non,,530316
taffetas rayé,3,not a medical product,non,,530316
tafia,333,not a medical product,non,242,530316
tafia par Dunkerque et étranger,1,not a medical product,non,1,530316
taillanderie,5,not a medical product,non,4,530316
taille de bois à couvrir,1,not a medical product,non,1,530316
taillole de coton,2,not a medical product,non,2,530316
taillole de laine,4,not a medical product,non,4,530316
talaris,5,not a medical product,non,1,530316
talc,5,not a medical product,non,4,530316
talc de Venise,2,not a medical product,non,2,530316
talons de bois,34,not a medical product,non,33,530316
talons de bois et forme de bois,1,not a medical product,non,1,530316
talons de cuir,1,not a medical product,non,1,530316
tamarin,300,narrow medical product,non,260,24136
tamarin confit dans le sucre,4,not a medical product,non,4,530316
tamarin en gousse,38,not a medical product,non,38,530316
tamarin gousse entière,5,not a medical product,non,5,530316
tamarin gras,1,narrow medical product,non,1,24136
tamarindy,2,not a medical product,non,1,530316
tambours,11,not a medical product,non,8,530316
tambours à sucre,5,not a medical product,non,3,530316
tambours d'acier,1,not a medical product,non,,530316
tambours d'enfant,1,not a medical product,non,1,530316
tambours de fer,35,not a medical product,non,20,530316
tambours de fer pour moulins à sucre,1,,non,,1394
tambours de forme,1,not a medical product,non,1,530316
tambours de moulins à sucre,0,not a medical product,oui,,530316
tambours pour moulins à sucre,1,,non,,1394
tamis,58,not a medical product,non,49,530316
tamis à faire et faits,1,not a medical product,non,1,530316
tamis à sucre,2,not a medical product,non,1,530316
