goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,sitc18_rev3,nbr_occurences_medicinales
toile de lin fine à drap,1,not a medical product,non,1,6d,530318
toile de lin fine de ???,7,not a medical product,non,7,6d,530318
toile de lin fine de Hollande,1,not a medical product,non,1,6d,530318
toile de lin grosse,2,not a medical product,non,2,6d,530318
toile de lin grosse pointe,1,not a medical product,non,1,6d,530318
toile de lin haut prix et teinte,1,not a medical product,non,1,6d,530318
toile de lin imprimée,3,not a medical product,non,2,6d,530318
toile de lin indigo,1,not a medical product,non,1,6d,530318
toile de lin large,2,not a medical product,non,2,6d,530318
toile de lin lingerie,4,not a medical product,non,4,6d,530318
toile de lin linon,24,not a medical product,non,24,6d,530318
toile de lin linon brodée,1,not a medical product,non,1,6d,530318
toile de lin linon et Cambrai,1,not a medical product,non,1,6d,530318
toile de lin ouvrée,20,not a medical product,non,20,6d,530318
toile de lin peinte,13,not a medical product,non,13,6d,530318
toile de lin pour emballage,1,not a medical product,non,1,6d,530318
toile de lin pour mouchoirs et teinte,1,not a medical product,non,1,6d,530318
toile de lin pour robes et rayée,5,not a medical product,non,5,6d,530318
toile de lin rayée,3,not a medical product,non,1,6d,530318
toile de lin rayée en carreaux,1,not a medical product,non,1,6h,530318
toile de lin rayée et teinte,1,not a medical product,non,1,6d,530318
toile de lin rousse,4,not a medical product,non,1,6d,530318
toile de lin royale,56,not a medical product,non,52,6d,530318
toile de lin teinte,17,not a medical product,non,11,6d,530318
toile de lin toilette,3,not a medical product,non,3,6d,530318
toile de linet,2,not a medical product,non,2,6d,530318
toile de linge de tables,30,not a medical product,non,29,6d,530318
toile de linge de tables et à serviettes,2,not a medical product,non,2,6d,530318
toile de linge vieux,1,not a medical product,non,,,530318
toile de lingerie,1,not a medical product,non,1,6h,530318
toile de linon,8,not a medical product,non,8,6d,530318
toile de linon de Saint-Quentin,1,not a medical product,non,1,6h,530318
toile de Lisieux,1,,non,,,1431
toile de lisson,1,not a medical product,non,1,6h,530318
toile de Lombourg,3,not a medical product,non,3,6h,530318
toile de Lyon,3,not a medical product,non,3,6h,530318
toile de Lyon teinte,1,not a medical product,non,1,6h,530318
toile de Marigny,12,not a medical product,non,4,6h,530318
toile de Marigny blanche,1,not a medical product,non,,,530318
toile de Marigny écrue,1,not a medical product,non,,,530318
toile de Mayenne,1,not a medical product,non,1,6h,530318
toile de ménage,160,not a medical product,non,,,530318
toile de Moncontour,1,not a medical product,non,1,6h,530318
toile de montagne,1,not a medical product,non,1,6h,530318
toile de Morlaix,145,not a medical product,non,75,6h,530318
toile de Mortagne,136,not a medical product,non,109,6h,530318
toile de Mortagne ???,1,not a medical product,non,1,6h,530318
toile de Moutier,1,not a medical product,non,,,530318
toile de Moutiers,1,not a medical product,non,1,6h,530318
toile de Noirmoutier,1,not a medical product,non,,,530318
toile de paille,4,not a medical product,non,4,6d,530318
toile de pays,1,,non,,,1431
toile de peinte,0,not a medical product,oui,2,6h,530318
toile de Piémont,17,not a medical product,non,17,6f,530318
toile de plocq,12,not a medical product,non,12,6e,530318
toile de poil de chèvre,1,not a medical product,non,1,6e,530318
toile de Poldavie,38,not a medical product,non,,,530318
toile de Pontigny,1,not a medical product,non,1,6h,530318
toile de Pontivy,32,not a medical product,non,10,6h,530318
toile de Pontorson,1,not a medical product,non,,,530318
toile de Pouldavid,21,not a medical product,non,20,6h,530318
toile de prises,0,not a medical product,oui,,,530318
toile de Quintin,22,not a medical product,non,11,6h,530318
toile de réforme,2,not a medical product,non,,,530318
toile de retour,3,not a medical product,non,1,6h,530318
toile de rite,1,not a medical product,non,1,6h,530318
toile de rouanée,1,not a medical product,non,1,6h,530318
toile de Rouen,64,not a medical product,non,33,6h,530318
toile de Russie,5,not a medical product,non,4,6h,530318
toile de Saint-Gail,5,not a medical product,non,1,6h,530318
toile de Saint-Georges,10,not a medical product,non,5,6h,530318
toile de Saint-Jean,6,not a medical product,non,3,6h,530318
toile de Saint-Quentin,3,,non,,,1431
toile de Saint-Quentin commune,1,not a medical product,non,,,530318
toile de Saintonge,65,not a medical product,non,51,6h,530318
toile de Saintonge fine,1,,non,,,1431
toile de Savigny,2,not a medical product,non,,,530318
toile de senigat,1,not a medical product,non,,,530318
toile de serpillière,2,not a medical product,non,1,6h,530318
toile de serviette,4,not a medical product,non,2,6h,530318
toile de serviette vieille,1,not a medical product,non,1,6h,530318
toile de Sevigneau,1,not a medical product,non,1,6h,530318
toile de siamoise,313,not a medical product,non,277,6g,530318
toile de siamoise au sixième de soie,2,not a medical product,non,2,6f,530318
toile de Silésie,6,not a medical product,non,4,6h,530318
toile de soie,5,not a medical product,non,5,6f,530318
toile de Suisse,41,not a medical product,non,41,6h,530318
toile de Surate,1,,non,,,1431
toile de Suvignan,1,not a medical product,non,,,530318
toile de table,2,not a medical product,non,,,530318
toile de treillis,2,not a medical product,non,2,6h,530318
toile de Troyes,12,not a medical product,non,10,6h,530318
toile de Valenciennes,43,not a medical product,non,40,6h,530318
toile de Vigery,1,not a medical product,non,,,530318
toile de ville,1,,non,,,1431
toile de Vimoutiers,29,not a medical product,non,18,6h,530318
toile de Vitré,15,not a medical product,non,4,6h,530318
toile de Vitrée,3,not a medical product,non,,,530318
toile de voile,15,not a medical product,non,6,7,530318
toile découpée,1,not a medical product,non,1,6h,530318
toile demitte,2,not a medical product,non,1,6h,530318
toile des Flandres,2,not a medical product,non,,,530318
toile des Indes,175,not a medical product,non,173,6h,530318
toile des Indes ???,4,not a medical product,non,4,6h,530318
toile des Indes ??? ??? ??? Indes,1,not a medical product,non,1,6h,530318
toile des Indes commerce français,3,not a medical product,non,3,6h,530318
toile des Indes du commerce étranger,2,not a medical product,non,2,6h,530318
toile des Indes du commerce français,2,not a medical product,non,2,6h,530318
toile des Indes en ??? français,2,not a medical product,non,2,6h,530318
toile des Indes et perles,2,not a medical product,non,2,9b,530318
toile des Indes gastas,1,not a medical product,non,1,6h,530318
toile des Indes imitant celles des Indes,1,not a medical product,non,1,6h,530318
toile des Indes peinte,7,not a medical product,non,2,6h,530318
toile des Indes peinte de thille,1,not a medical product,non,1,6h,530318
toile des Indes Perse du commerce étranger,1,not a medical product,non,1,6h,530318
toile des prises,1,not a medical product,non,,,530318
toile du Béarn,10,not a medical product,non,10,6h,530318
toile du Brabant,3,not a medical product,non,3,6h,530318
toile du cerf,1,not a medical product,non,1,6h,530318
toile du commerce de France et des Indes,18,not a medical product,non,18,6h,530318
toile du commerce étranger et des Indes,10,not a medical product,non,10,6h,530318
toile du Levant,1,not a medical product,non,1,6h,530318
toile du Lyonnais,1,not a medical product,non,1,6h,530318
toile du Mans,1,not a medical product,non,,,530318
toile du pays,15,not a medical product,non,15,6h,530318
toile du Piémont,3,not a medical product,non,1,6h,530318
toile dure,12,not a medical product,non,12,6h,530318
toile écrue,65,not a medical product,non,54,6h,530318
toile écrue commune,1,not a medical product,non,,,530318
toile écrue de Languenan,1,not a medical product,non,,,530318
toile écrue de lin,55,not a medical product,non,55,6d,530318
toile écrue et grise de lin,4,not a medical product,non,4,6d,530318
toile écrue et grosse de lin,1,not a medical product,non,1,6d,530318
toile écrue large,1,not a medical product,non,,,530318
toile écrue pour essuie-mains,1,not a medical product,non,1,6h,530318
toile embabis,14,not a medical product,non,13,6h,530318
toile emballée,1,not a medical product,non,1,6h,530318
toile en ???,1,not a medical product,non,1,6h,530318
toile en basin de coton,6,not a medical product,non,6,6g,530318
toile en basin de coton brodé en soie,1,not a medical product,non,1,6f,530318
toile en chemises,1,not a medical product,non,,,530318
toile en claire et de lin,1,not a medical product,non,1,6d,530318
toile en fair,2,not a medical product,non,2,6h,530318
toile en sacs,4,not a medical product,non,3,6h,530318
toile en serviettes,1,not a medical product,non,,,530318
toile entre large,8,not a medical product,non,,,530318
toile escamite,0,not a medical product,oui,,,530318
toile et bonneterie,1,not a medical product,non,1,9b,530318
toile et laine à bouquets de laine,1,not a medical product,non,1,6e,530318
toile et treillis lustrés,2,not a medical product,non,1,6i,530318
toile étoilée,1,not a medical product,non,,,530318
toile étoupes de lin,7,not a medical product,non,7,6h,530318
toile étoupière,6,not a medical product,non,4,6h,530318
toile étrangère,52,not a medical product,non,51,6h,530318
toile étroite,42,not a medical product,non,,,530318
toile étroite de lin,5,not a medical product,non,5,6d,530318
toile étroite et fine,1,not a medical product,non,1,6h,530318
toile façon de Hollande,3,not a medical product,non,,,530318
toile façon de Silésie,1,not a medical product,non,,,530318
toile fil de laine,1,not a medical product,non,1,6e,530318
toile fine,48,not a medical product,non,43,6h,530318
toile fine de Flandre,1,not a medical product,non,1,6h,530318
toile fine de lin,73,not a medical product,non,69,6d,530318
toile fine de lin de Valenciennes,6,not a medical product,non,6,6d,530318
toile fine et large,1,not a medical product,non,1,6h,530318
toile fine rousse,1,,non,,,1431
toile française,4,,non,,,1431
toile futaine,3,not a medical product,non,3,6g,530318
toile galcienne de lin,1,not a medical product,non,1,6d,530318
toile glacée,2,not a medical product,non,1,6h,530318
toile gommée,4,not a medical product,non,4,6h,530318
toile gommée bougron,3,not a medical product,non,3,6h,530318
toile gommée et de lin,1,not a medical product,non,1,6d,530318
toile gommée et treillis,3,not a medical product,non,3,6h,530318
toile grasse,8,not a medical product,non,8,6h,530318
toile gratienne,26,not a medical product,non,,,530318
toile gratienne rayée,1,not a medical product,non,,,530318
toile grise,107,not a medical product,non,86,6h,530318
toile grise de laine,1,not a medical product,non,1,6e,530318
toile grise de lin,29,not a medical product,non,28,6d,530318
toile grise de lin à 10 sols et en dessous,1,not a medical product,non,1,6d,530318
toile grise de lin à 10 sols et en dessus,2,not a medical product,non,1,6d,530318
toile grise de lin à 30 sols l'aune,1,not a medical product,non,1,6d,530318
toile grise de lin à bas prix,1,not a medical product,non,1,6d,530318
toile grise de lin en dessous de 10 sols l'aune,4,not a medical product,non,1,6d,530318
toile grise de lin en dessous de 20 sols l'aune,1,not a medical product,non,1,6d,530318
toile grise non battue,1,not a medical product,non,1,6h,530318
toile gros brin,2,not a medical product,non,1,6h,530318
toile gros fort,33,not a medical product,non,26,6h,530318
toile grosse,225,not a medical product,non,207,6h,530318
toile grosse ???,3,not a medical product,non,3,6h,530318
toile grosse blanche,1,not a medical product,non,,,530318
toile grosse commune,1,not a medical product,non,,,530318
toile grosse de lin,32,not a medical product,non,32,6d,530318
toile grosse de lin de Saint-Quentin,1,,non,,,1431
toile grosse de lin et pour nègre,4,not a medical product,non,4,6d,530318
toile grosse en faces,12,not a medical product,non,12,6h,530318
toile grosse et sommiers,6,not a medical product,non,6,9b,530318
toile grosse garnie ??? pour prélat,1,not a medical product,non,1,6h,530318
toile grossière en pièce de 50 aunes,1,not a medical product,non,1,6h,530318
toile haut brin,4,not a medical product,non,1,6h,530318
toile haut brin de Dinant,4,not a medical product,non,,,530318
toile hivre,1,not a medical product,non,1,6h,530318
toile hollande,1,,non,,,1431
toile Hollande de Paris,1,not a medical product,non,,,530318
toile hollandille,1,not a medical product,non,,,530318
toile hollandille de Paris,2,not a medical product,non,,,530318
toile humaine,2,not a medical product,non,,,530318
toile imitant celle des Indes,2,not a medical product,non,2,6h,530318
toile imitant celle des Indes et de Rouen,6,not a medical product,non,6,6h,530318
toile imitant celle des Indes et nationale,1,not a medical product,non,1,6h,530318
toile imprimée,12,not a medical product,non,12,6h,530318
toile imprimée et de fil et peinte et teinte,4,not a medical product,non,4,6h,530318
toile imprimée et de lin et nationale et peinte,4,not a medical product,non,4,6d,530318
toile imprimée et de lin et peinte,6,not a medical product,non,6,6d,530318
toile imprimée ou peinte,3,,non,,,1431
toile indienne,9,not a medical product,non,9,6g,530318
toile indienne fine,2,not a medical product,non,2,6g,530318
toile indienne française,6,not a medical product,non,6,6g,530318
toile indienne grosse,1,not a medical product,non,1,6g,530318
toile indienne nationale,5,not a medical product,non,5,6g,530318
toile judieau,3,not a medical product,non,3,6h,530318
toile kettroy,1,not a medical product,non,1,6h,530318
toile killis,40,not a medical product,non,34,6i,530318
toile kircochaye,2,not a medical product,non,2,6h,530318
toile lagias,1,not a medical product,non,1,6h,530318
toile laistoufaire,1,not a medical product,non,1,6h,530318
toile Languenan,11,not a medical product,non,,,530318
toile large,35,not a medical product,non,1,6h,530318
toile large de lin,2,not a medical product,non,2,6h,530318
toile lavée,3,not a medical product,non,1,6h,530318
toile lesat,1,not a medical product,non,1,6h,530318
toile linon,41,not a medical product,non,39,6h,530318
toile lizat,3,not a medical product,non,2,6h,530318
toile lustrée,12,not a medical product,non,12,6h,530318
toile manche,1,not a medical product,non,1,6h,530318
toile manouf,145,not a medical product,non,112,6h,530318
toile mêlée,7,not a medical product,non,7,6h,530318
toile mêlée de coton et de fil,1,not a medical product,non,1,6h,530318
toile mêlée ganak,2,not a medical product,non,2,6h,530318
toile merdin,0,not a medical product,oui,3,6h,530318
toile mesdin,8,not a medical product,non,1,6h,530318
toile mi-blanche de moins de 8 fils,1,not a medical product,non,1,6h,530318
toile miennel,1,not a medical product,non,1,6h,530318
toile montagne,15,not a medical product,non,5,6h,530318
toile Morlaix,5,not a medical product,non,,,530318
toile Mortagne,4,not a medical product,non,1,6h,530318
toile mouchoirs,4,not a medical product,non,4,9b,530318
toile nationale,5,not a medical product,non,5,6h,530318
toile navale,8,not a medical product,non,,,530318
toile neganepeau et imitant celle des Indes,1,not a medical product,non,1,6h,530318
toile noire,1,not a medical product,non,1,6h,530318
toile non battue,29,not a medical product,non,29,6h,530318
toile ordre et rousse,1,not a medical product,non,1,6h,530318
toile organdi,1,not a medical product,non,1,6h,530318
toile ouvragée de chanvre et de lin pour linge de table,3,not a medical product,non,3,6h,530318
toile ouvrée chaussettes,1,not a medical product,non,,,530318
toile ouvrée chemises,2,not a medical product,non,,,530318
toile ouvrée nappes,1,not a medical product,non,,,530318
toile ouvrée nappes et serviettes,1,not a medical product,non,,,530318
toile ouvrée serviettes,1,not a medical product,non,,,530318
toile palmite,1,not a medical product,non,,,530318
toile pécate,1,not a medical product,non,,,530318
toile peignée,1,not a medical product,non,1,6h,530318
toile peinte,966,not a medical product,non,730,6h,530318
toile peinte de Hollande,1,,non,,,1431
toile peinte en camaïeu,1,not a medical product,non,,,530318
toile peinte et siamoise,1,not a medical product,non,1,6h,530318
toile peinte et teinte,7,not a medical product,non,8,6h,530318
toile peinte française,1,not a medical product,non,1,6h,530318
toile peinte imprimée,1,not a medical product,non,1,6h,530318
toile peinte indienne,6,not a medical product,non,6,6h,530318
toile peinte pour paravent,1,not a medical product,non,,,530318
toile peinte sur enduit pour tapisserie,2,not a medical product,non,2,6h,530318
toile petite,5,not a medical product,non,3,6h,530318
toile photas,9,not a medical product,non,9,6h,530318
toile photas imitant celle des Indes,1,not a medical product,non,1,6h,530318
toile pièces étroites,2,not a medical product,non,,,530318
toile pièces larges,2,not a medical product,non,,,530318
toile pignée,1,not a medical product,non,1,6h,530318
toile pignole,1,not a medical product,non,,,530318
toile piquée,84,not a medical product,non,73,6h,530318
toile piquée de Marseille,3,not a medical product,non,3,6h,530318
toile piqûre de Marseille,1,not a medical product,non,1,6h,530318
toile platier de Guinée,1,not a medical product,non,1,6h,530318
toile point,1,not a medical product,non,1,6h,530318
toile Poldavie,2,not a medical product,non,,,530318
toile polonaise,16,not a medical product,non,11,6h,530318
toile Pontivy,1,not a medical product,non,,,530318
toile poupoulis,2,not a medical product,non,2,6h,530318
toile pour ameublement,1,not a medical product,non,1,6h,530318
toile pour ameublement cirée,2,not a medical product,non,1,6h,530318
toile pour ameublement teinte,2,not a medical product,non,1,6h,530318
toile pour chemise à nègre,1,not a medical product,non,1,6h,530318
toile pour coiffes de chapeaux de lin et teinte,1,not a medical product,non,1,6h,530318
toile pour cribles,1,not a medical product,non,1,6h,530318
toile pour doublure,1,not a medical product,non,,,530318
toile pour emballage,9,not a medical product,non,3,6h,530318
toile pour emballage grise de lin,2,not a medical product,non,2,6d,530318
toile pour essuie-mains,2,not a medical product,non,1,6h,530318
toile pour essuie-mains grise de lin,1,not a medical product,non,1,6d,530318
toile pour faire chemise à nègre,1,not a medical product,non,1,6i,530318
toile pour faire linge,1,not a medical product,non,1,6h,530318
toile pour la Hollande,1,not a medical product,non,1,6h,530318
toile pour matelas,2,not a medical product,non,1,6h,530318
toile pour mouchoirs,2,not a medical product,non,1,6h,530318
toile pour mouchoirs rayée,2,not a medical product,non,1,6h,530318
toile pour nappes,1,not a medical product,non,1,6h,530318
toile pour nappes et serviettes,1,not a medical product,non,1,6h,530318
toile pour serviettes,2,not a medical product,non,1,6h,530318
toile pour tabac,2,not a medical product,non,1,6h,530318
toile pour tableaux,1,not a medical product,non,1,6h,530318
toile pour talliet,1,not a medical product,non,1,6h,530318
toile pour tente,1,not a medical product,non,1,6h,530318
toile pour voile,1008,not a medical product,non,801,7,530318
toile pour voile commune,1,not a medical product,non,,,530318
toile pour voile de 24 aunes,1,not a medical product,non,1,7,530318
toile pour voile étrangère,1,not a medical product,non,,,530318
toile presitte,1,not a medical product,non,1,6h,530318
toile pressée,2,not a medical product,non,2,6h,530318
toile preville,1,not a medical product,non,1,6h,530318
toile prohibée,1,not a medical product,non,1,6h,530318
toile quatre fils,1,not a medical product,non,,,530318
toile quilly,1,not a medical product,non,1,6h,530318
toile ralette de Hambourg,1,not a medical product,non,1,6h,530318
toile ramoise,14,not a medical product,non,14,6h,530318
toile rayée,55,not a medical product,non,41,6h,530318
toile rayée coton et soie,1,not a medical product,non,,,530318
toile rayée de couleur,1,not a medical product,non,,,530318
toile réforme,1,not a medical product,non,,,530318
toile reploc,1,not a medical product,non,1,6h,530318
toile romals,14,not a medical product,non,14,6h,530318
toile rondelette,4,not a medical product,non,,,530318
toile rondelle,1,not a medical product,non,1,6h,530318
toile rosconne,39,not a medical product,non,,,530318
toile rouge,3,not a medical product,non,1,6h,530318
toile rousse,52,not a medical product,non,35,6h,530318
toile royale,127,not a medical product,non,71,6h,530318
toile royalle,1,not a medical product,non,1,6h,530318
toile sacs à boîtes,1,not a medical product,non,1,6h,530318
toile Saintonge,0,not a medical product,oui,1,6h,530318
toile salemporis,2,not a medical product,non,2,6h,530318
toile salemporis bleue,1,not a medical product,non,1,6h,530318
toile sanas lustrée,1,not a medical product,non,1,6h,530318
toile sangalette,14,not a medical product,non,12,6h,530318
toile sans apprêt,1,not a medical product,non,,,530318
toile sans apprêt de chanvre et de lin écrue de 13 à 20 fils,2,not a medical product,non,2,6h,530318
toile sans apprêt de chanvre et de lin écrue de 20 fils et au-dessus,2,not a medical product,non,2,6h,530318
toile sans apprêt de chanvre et de lin écrue de 8 à 13 fils,2,not a medical product,non,2,6h,530318
toile sans apprêt de chanvre et de lin écrue de moins de 8 fils,2,not a medical product,non,2,6h,530318
toile sans apprêt de chanvre et de lin écrue unie,2,not a medical product,non,2,6h,530318
toile sans apprêt de chanvre et de lin écrue unie de 13 fils inclusivement à 20 fils exclusivement,1,not a medical product,non,1,6h,530318
toile sans apprêt de chanvre et de lin écrue unie de 20 fils et au-dessus,1,not a medical product,non,1,6h,530318
toile sans apprêt de chanvre et de lin écrue unie de 8 fils inclusivement à 13 fils exclusivement,1,not a medical product,non,1,6h,530318
toile sans apprêt de chanvre et de lin écrue unie de moins de 8 fils,1,not a medical product,non,1,6h,530318
toile sans apprêt écrue de 13 à 20 fils,1,not a medical product,non,1,6h,530318
toile sans apprêt écrue de 20 fils et au-dessus,1,not a medical product,non,1,6h,530318
toile sans apprêt écrue de 8 à 13 fils inclus,1,not a medical product,non,1,6h,530318
toile sans apprêt écrue de moins de 8 fils,1,not a medical product,non,1,6h,530318
toile sempiterne,1,not a medical product,non,1,6h,530318
toile serpillère,3,not a medical product,non,3,6h,530318
toile serpillère commune,1,not a medical product,non,,,530318
toile serpillière,98,not a medical product,non,78,6h,530318
toile serviettes,3,not a medical product,non,3,6h,530318
toile siamoise,1,not a medical product,non,,,530318
toile sigillée,1,not a medical product,non,1,6h,530318
toile sirsacas,4,not a medical product,non,4,6h,530318
toile sistresaye,1,not a medical product,non,1,6h,530318
toile socreton,1,not a medical product,non,1,6h,530318
toile socreton bleue,1,not a medical product,non,1,6h,530318
toile solonaise,2,not a medical product,non,2,6h,530318
toile Suisse,1,not a medical product,non,1,6h,530318
toile tapsel,12,not a medical product,non,12,6h,530318
toile tapsel imitant celle des Indes,1,not a medical product,non,1,6h,530318
toile tarnatanes,1,not a medical product,non,1,6h,530318
toile teinte,96,not a medical product,non,94,6h,530318
toile teinte de 13 à 20 fils,3,not a medical product,non,3,6h,530318
toile teinte de 8 à 13 fils,2,not a medical product,non,2,6h,530318
toile teinte de moins de 8 fils,2,not a medical product,non,2,6h,530318
toile tissée,1,not a medical product,non,1,6h,530318
toile tissée très fin,1,not a medical product,non,1,6h,530318
toile treillis,25,not a medical product,non,24,6h,530318
toile vernante,13,not a medical product,non,13,6h,530318
toile vernie,1,not a medical product,non,,,530318
toile Vimoutiers,3,not a medical product,non,,,530318
toile Vitré,2,not a medical product,non,,,530318
toilettes,8,not a medical product,non,6,8,530318
toilettes blanches de lin,1,not a medical product,non,1,8,530318
toilettes brodées de soie,1,not a medical product,non,1,8,530318
toilettes d'acajou,1,,non,,,1431
toilettes de bois,1,not a medical product,non,1,8,530318
toilettes de bois de Chine,1,not a medical product,non,,,530318
toilettes de bois verni,1,not a medical product,non,1,8,530318
toilettes de Valenciennes,2,not a medical product,non,2,8,530318
toilettes façon Chine,1,not a medical product,non,1,8,530318
toilettes grises de lin,1,not a medical product,non,1,8,530318
toilettes pour femme,20,not a medical product,non,19,8,530318
toilettes vernie de Chine,1,,non,,,1431
tôle,1,not a medical product,non,1,6j,530318
tôle de fer,585,not a medical product,non,529,6j,530318
tôle de fer laminé ou platiné,2,not a medical product,non,2,6j,530318
tôle de fer noir laminé ou platiné,6,not a medical product,non,6,6j,530318
tôle de fer simple,2,not a medical product,non,2,6j,530318
tôle de fer-blanc,2,not a medical product,non,1,6j,530318
tôle double de fer,2,not a medical product,non,2,6j,530318
tôle en platines vernies,1,not a medical product,non,1,6j,530318
tombas,1,not a medical product,non,1,???,530318
tombe de marbre,1,not a medical product,non,1,,530318
tombeaux,4,not a medical product,non,3,8,530318
tombeaux de marbre,2,not a medical product,non,2,8,530318
tombereaux,18,not a medical product,non,13,7,530318
tombereaux et voitures,2,not a medical product,non,1,7,530318
tondelle,1,not a medical product,non,1,2,530318
tondures de drap,4,not a medical product,non,4,2,530318
tonneaux,3,not a medical product,non,3,6b,530318
tonneaux à l'eau cerclés de fer,2,not a medical product,non,1,6b,530318
tonneaux cercles de bois,17,not a medical product,non,16,6b,530318
tonneaux cercles de fer,8,not a medical product,non,7,6b,530318
tonneaux cerclés de fer,7,not a medical product,non,6,6b,530318
tonneaux cuvelles et futailles,2,not a medical product,non,1,6b,530318
tonneaux neufs,1,not a medical product,non,1,6b,530318
tonneaux vides,14,not a medical product,non,14,6b,530318
tonneaux vieux,1,not a medical product,non,1,6b,530318
topazes bruts,1,not a medical product,non,1,6k,530318
topazes taillés,2,not a medical product,non,2,6k,530318
toques,2,not a medical product,non,2,8,530318
tortue,3,not a medical product,non,2,0a,530318
tortue marinée et salée,1,not a medical product,non,1,0a,530318
tortues vivantes et volailles,6,not a medical product,non,6,0a,530318
touques de grès,4,not a medical product,non,3,6k,530318
touques petites,1,not a medical product,non,1,6j,530318
tourbe,9,not a medical product,non,8,3,530318
toures,1,not a medical product,non,,,530318
tournebres,1,not a medical product,non,1,???,530318
tournebroche,18,not a medical product,non,16,6j,530318
tournes-viandes,1,not a medical product,non,1,6j,530318
tournesol,287,not a medical product,non,263,0a,530318
tournesol apprêté,2,not a medical product,non,2,9c,530318
tournesol en drapeau,8,not a medical product,non,8,0a,530318
tournesol en herbes,2,not a medical product,non,2,0a,530318
tournesol en pain,9,not a medical product,non,9,0a,530318
tournesol et d'acmail,1,not a medical product,non,1,5,530318
tourons,40,not a medical product,non,36,0a,530318
tourons d'Espagne,2,not a medical product,non,1,0a,530318
tours,1,not a medical product,non,1,9c,530318
tours à barriques,1,not a medical product,non,1,7,530318
tours à filer,15,not a medical product,non,13,7,530318
tours à filer de bois,1,not a medical product,non,1,7,530318
tours à guillocher,1,not a medical product,non,1,7,530318
tours de col,3,,non,,,1431
tours de lit de bourre,10,not a medical product,non,10,8,530318
tours de pin,1,not a medical product,non,1,8,530318
tours pour tourneur,1,not a medical product,non,,8,530318
tourteaux de graines grasses,4,not a medical product,non,4,2,530318
tourteaux de graines oléagineuses,3,not a medical product,non,3,2,530318
toutenague,40,not a medical product,non,28,2,530318
train de cabriolet,1,not a medical product,non,1,7,530318
train de carrosses,2,not a medical product,non,2,7,530318
trait d'argent et d'or,2,not a medical product,non,2,8,530318
trait d'or,3,not a medical product,non,3,8,530318
tramail,4,not a medical product,non,4,6h,530318
traques de cuir,1,not a medical product,non,,,530318
traverses,1,,non,,,1431
travettes,1,not a medical product,non,1,6b,530318
travettes de bois,1,not a medical product,non,1,6b,530318
travons,8,not a medical product,non,6,???,530318
travons de sapin,6,not a medical product,non,4,???,530318
travout,1,not a medical product,non,1,???,530318
trèfle,1,not a medical product,non,1,2,530318
treillis,95,not a medical product,non,85,6h,530318
treillis bougrand et canevas,4,not a medical product,non,1,6h,530318
treillis d'Allemagne,3,not a medical product,non,3,6h,530318
treillis gommé,5,not a medical product,non,5,6h,530318
treillis non lustré,1,not a medical product,non,1,6h,530318
treillis peint,1,not a medical product,non,1,6h,530318
tremille,1,not a medical product,non,1,???,530318
trenelle,1,not a medical product,non,1,6b,530318
trenelle d'Espagne,2,not a medical product,non,2,6b,530318
trenelle d'espars,47,not a medical product,non,44,6b,530318
trenelle de jonc,2,not a medical product,non,2,6b,530318
trépan,1,,non,,,1431
trépan de marbre,1,,non,,,1431
trépieds,1,not a medical product,non,1,8,530318
trépieds de fer,1,not a medical product,non,1,8,530318
tresse d'argent,2,not a medical product,non,2,8,530318
tresse d'argent et d'or,9,not a medical product,non,5,8,530318
tresse d'or,5,not a medical product,non,5,8,530318
tresse de fil,4,not a medical product,non,4,6i,530318
tresse de fleures,1,not a medical product,non,1,8,530318
tresse de fleuret,6,not a medical product,non,6,6f,530318
tresse de jonc,1,not a medical product,non,1,6b,530318
tresse de laine,3,not a medical product,non,3,6e,530318
tresse de laine 30 lignes,1,not a medical product,non,1,6e,530318
tresse de lin,1,not a medical product,non,1,6d,530318
tresse de soie,15,not a medical product,non,14,6f,530318
tréteaux de chêne de 6 pouces,1,not a medical product,non,1,6b,530318
tricots,3,not a medical product,non,1,8,530318
tricots chinés de 6 aunes,1,not a medical product,non,,,530318
tricots de coton,2,not a medical product,non,2,8,530318
tricots de coton et tricots de fil,1,not a medical product,non,1,8,530318
tricots de fil,2,not a medical product,non,2,8,530318
tricots de laine,1,not a medical product,non,1,8,530318
tricots de laine en bonneterie,1,not a medical product,non,1,8,530318
tricots de soie,3,not a medical product,non,3,8,530318
trictrac,4,not a medical product,non,2,8,530318
triomphante,1,not a medical product,non,,,530318
tripe,3,not a medical product,non,1,9c,530318
tripe d'huîtres,1,not a medical product,non,1,0a,530318
tripe de bœuf salé,1,not a medical product,non,1,0a,530318
tripe de fil et de laine,1,not a medical product,non,1,6i,530318
tripe de laine,2,not a medical product,non,2,6e,530318
tripe de laine et de fil,1,not a medical product,non,1,6i,530318
tripe de Lannoy,1,not a medical product,non,1,6i,530318
tripe de morue,1,not a medical product,non,,,530318
tripe de velours,103,not a medical product,non,102,6i,530318
tripe mêlée de soie et tripe de velours,56,not a medical product,non,56,6f,530318
tripe sur soie,2,not a medical product,non,1,6f,530318
tripes marinées et salées,1,not a medical product,non,1,0a,530318
tripes salées,1,not a medical product,non,1,0a,530318
tripoli,16,not a medical product,non,13,5,530318
trompes,1,not a medical product,non,1,8,530318
