simplification,nbr_occurences_simpl,obsolete,medicinales,nbr_obs,nbr_occurences_medicinales
talons de bois,37,non,not a medical product,33,795416
talons de bois et forme de bois,1,non,not a medical product,1,795416
talons de cuir,1,non,not a medical product,1,795416
tamarin,330,non,narrow medical product,260,26542
tamarin confit dans le sucre,4,non,not a medical product,4,795416
tamarin en gousse,38,non,not a medical product,38,795416
tamarin gousse entière,5,non,not a medical product,5,795416
tamarin gras,1,non,narrow medical product,1,26542
tamarindy,2,non,not a medical product,1,795416
tambours,14,non,not a medical product,8,795416
tambours à sucre,5,non,not a medical product,3,795416
tambours d'acier,2,non,not a medical product,,795416
tambours d'enfant,2,non,not a medical product,1,795416
tambours de cuir,1,non,,,42621
tambours de fer,35,non,not a medical product,20,795416
tambours de fer pour moulins à sucre,1,non,,,42621
tambours de fonte,1,non,,,42621
tambours de forme,1,non,not a medical product,1,795416
tambours de moulins à sucre,0,oui,not a medical product,,795416
tambours pour moulins à sucre,1,non,,,42621
tamis,58,non,not a medical product,49,795416
tamis à faire et faits,111,non,not a medical product,1,795416
tamis à sucre,2,non,not a medical product,1,795416
tamis à tabac,1,non,not a medical product,1,795416
tamis de crin,4,non,not a medical product,4,795416
tamis de fil de laiton,3,non,not a medical product,2,795416
tamis de laine,1,non,,,42621
tamis de soie,1,non,not a medical product,1,795416
tamis de toile de crin,1,non,not a medical product,1,795416
tan,3,non,not a medical product,1,795416
tanabare ???,1,non,not a medical product,1,795416
tanches,2,non,not a medical product,1,795416
tanelles,1,non,not a medical product,1,795416
tanier de laine,1,non,not a medical product,1,795416
tanjebs,7,non,not a medical product,1,795416
tanquets de terre,1,non,not a medical product,,795416
tapenade,1,non,,,42621
tapetal,0,non,not a medical product,1,795416
tapette,1,non,not a medical product,1,795416
tapette à mouches,1,non,not a medical product,1,795416
tapis,119,non,not a medical product,93,795416
tapis à côtes et à nœuds de laine,2,non,not a medical product,2,795416
tapis à petit point,1,non,,,42621
tapis autres qu'à côtes et à nœuds de laine,1,non,not a medical product,1,795416
tapis brodés,2,non,not a medical product,,795416
tapis brodés en soie,1,non,not a medical product,,795416
tapis brodés en surface et de drap,1,non,not a medical product,,795416
tapis courtepointe,1,non,,,42621
tapis courtepointe de toile peinte,1,non,not a medical product,1,795416
tapis d'Angleterre,3,non,not a medical product,1,795416
tapis d'Aubusson,10,non,not a medical product,4,795416
tapis d'Auvergne,12,non,not a medical product,10,795416
tapis d'indienne,18,non,not a medical product,14,795416
tapis de billard,1,non,not a medical product,1,795416
tapis de chitte,2,non,not a medical product,1,795416
tapis de coton,1,non,not a medical product,1,795416
tapis de coton et de fil,2,non,not a medical product,2,795416
tapis de fil et de laine,3,non,not a medical product,2,795416
tapis de Guinée,2,non,not a medical product,2,795416
tapis de laine,113,non,not a medical product,100,795416
tapis de laine à côtes et à nœuds,1,non,not a medical product,1,795416
tapis de laine d'Aubusson,3,non,,,42621
tapis de laine d'Auvergne,1,non,,,42621
tapis de laine simples,4,non,not a medical product,4,795416
tapis de moquette,9,non,not a medical product,9,795416
tapis de palampoux,2,non,not a medical product,,795416
tapis de Perse,2,non,not a medical product,1,795416
tapis de pieds,4,non,not a medical product,4,795416
tapis de pure laine,3,non,not a medical product,3,795416
tapis de Rouen,1,non,not a medical product,,795416
tapis de satin,2,non,not a medical product,,795416
tapis de satin blanc brodé,1,non,not a medical product,,795416
tapis de satin brodé,8,non,not a medical product,,795416
tapis de soie,1,non,not a medical product,,795416
tapis de table,68,non,not a medical product,1,795416
tapis de table pièces,171,non,not a medical product,1,795416
tapis de toile cirée,1,non,not a medical product,1,795416
tapis de toile peinte,14,non,not a medical product,5,795416
tapis de toile rayée,1,non,not a medical product,,795416
tapis de Turquie,12,non,not a medical product,6,795416
tapis de velours,8,non,not a medical product,4,795416
tapis des Indes,7,non,not a medical product,6,795416
tapis divers,19,non,not a medical product,19,795416
tapis du Caire,3,non,not a medical product,3,795416
tapis du Levant,2,non,not a medical product,2,795416
tapis et courtepointe,1,non,,,42621
tapis et tapisserie,3,non,not a medical product,1,795416
tapis fabrique de Tournai,3,non,not a medical product,1,795416
tapis fil teint,1,non,not a medical product,1,795416
tapis gros point,1,non,,,42621
tapis indienne,1,non,not a medical product,1,795416
tapis peints,7,non,not a medical product,1,795416
tapis peints brodés,1,non,not a medical product,,795416
tapis vieux de renvoi,1,non,not a medical product,1,795416
tapisserie,199,non,not a medical product,91,795416
tapisserie à l'Aubusson,4,non,not a medical product,4,795416
tapisserie aux aiguilles,3,non,not a medical product,3,795416
tapisserie commune,24,non,not a medical product,20,795416
tapisserie d'Amiens,2,non,not a medical product,2,795416
tapisserie d'Anvers,1,non,not a medical product,1,795416
tapisserie d'Aubusson,112,non,not a medical product,102,795416
tapisserie d'Aubusson en tenture,1,non,,,42621
tapisserie d'Aubusson tenture,2,non,not a medical product,2,795416
tapisserie d'Audenarde,17,non,not a medical product,11,795416
tapisserie d'Auvergne,104,non,not a medical product,102,795416
tapisserie d'Auvergne en tentures,1,non,,,42621
tapisserie d'Auvergne tentures,1,oui,not a medical product,1,795416
tapisserie d'Elbeuf,13,non,not a medical product,13,795416
tapisserie d'oudenarde,2,non,not a medical product,,795416
tapisserie d'ouvrage,1,non,,,42621
tapisserie d'ouvragre,0,oui,,,42621
tapisserie de Bayonne,1,non,not a medical product,,795416
tapisserie de Beauvais,1,non,not a medical product,1,795416
tapisserie de Bergame,12,non,not a medical product,11,795416
tapisserie de Bruxelles,1,non,not a medical product,1,795416
tapisserie de Bruxelles et autres,5,non,not a medical product,5,795416
tapisserie de coton,1,non,not a medical product,1,795416
tapisserie de coton imprimé,3,non,not a medical product,1,795416
tapisserie de coutil,2,non,,,42621
tapisserie de coutil peinte,1,non,not a medical product,1,795416
tapisserie de cuir doré,13,non,not a medical product,7,795416
tapisserie de fil et de laine,3,non,not a medical product,3,795416
tapisserie de fil peint,1,non,not a medical product,1,795416
tapisserie de fil teint,2,non,not a medical product,2,795416
tapisserie de filoselle,1,non,not a medical product,1,795416
tapisserie de Flandre avec argent et or,1,non,not a medical product,1,795416
tapisserie de haut lieu vieille,1,non,not a medical product,,795416
tapisserie de haute lice,23,non,not a medical product,12,795416
tapisserie de haute lice en tenture,3,non,not a medical product,1,795416
tapisserie de Hongrie,3,non,not a medical product,3,795416
tapisserie de la Marche,1,non,not a medical product,1,795416
tapisserie de laine,8,non,not a medical product,6,795416
tapisserie de laine d'Aubusson,1,non,,,42621
tapisserie de moquette,33,non,not a medical product,33,795416
tapisserie de papier peau,1,non,not a medical product,1,795416
tapisserie de papier peint,1,non,not a medical product,1,795416
tapisserie de point de Hongrie,3,non,not a medical product,3,795416
tapisserie de Rouen,104,non,not a medical product,102,795416
tapisserie de toile cirée,1,non,not a medical product,1,795416
tapisserie de toile peinte,4,non,not a medical product,4,795416
tapisserie de verdure,4,non,not a medical product,3,795416
tapisserie de verdure tentures,1,non,not a medical product,1,795416
tapisserie des Gobelins,21,non,not a medical product,21,795416
tapisserie du Dauphiné,1,non,not a medical product,1,795416
tapisserie en tentures,2,non,,,42621
tapisserie fausse et de toile,1,non,not a medical product,1,795416
tapisserie filoselle et laine,1,non,not a medical product,1,795416
tapisserie fine coutil,1,non,not a medical product,1,795416
tapisserie hachée et de laine,2,non,not a medical product,2,795416
tapisserie peinte,15,non,not a medical product,11,795416
tapisserie peinte ??? toile,1,non,not a medical product,1,795416
tapisserie peinte de Hongrie,4,non,not a medical product,4,795416
tapisserie peinte sur coutil,2,non,not a medical product,,795416
tapisserie peinte sur toile,2,non,,,42621
tapisserie peinte tentures,1,non,not a medical product,1,795416
tapisserie pièce,2,non,not a medical product,1,795416
tapisserie point de Hongrie,3,non,not a medical product,3,795416
tapisserie pour chaises,1,non,not a medical product,1,795416
tapisserie pur ??? coutil,1,non,not a medical product,1,795416
tapisserie simple,2,non,not a medical product,1,795416
tapisserie sur toile,3,non,not a medical product,1,795416
tapisserie tontisse,3,non,not a medical product,3,795416
tapisserie verdure,2,non,not a medical product,2,795416
tapisserie vieille,17,non,not a medical product,6,795416
tapkankanias,1,non,,,42621
tapsel,177,non,not a medical product,118,795416
tapsel des Indes,3,non,not a medical product,3,795416
tapsel étoffe,1,non,,,42621
tapsel étroite,1,non,not a medical product,,795416
tapsel grand,4,non,not a medical product,1,795416
tapsel large,1,non,not a medical product,1,795416
tapsel longue et large,1,non,not a medical product,,795416
taques de cheminée,2,non,not a medical product,,795416
tarnatanes,3,non,not a medical product,2,795416
tars,1,non,not a medical product,1,795416
tartagogne,1,non,not a medical product,1,795416
tartre,1664,non,not a medical product,693,795416
tartre blanc,8,non,not a medical product,7,795416
tartre brut,3,non,not a medical product,3,795416
tartre de lie de vin désséchée,2,non,not a medical product,2,795416
tartre de lie de vin liquide,1,non,not a medical product,1,795416
tartre de potasse de soude et de potasse,2,oui,not a medical product,2,795416
tartre de potasse de soudes et de potasse,2,non,,,42621
tartre de soude et de potasse,1,oui,not a medical product,1,795416
tartre de soudes et de potasse,1,non,,,42621
tartre émétique,3,non,narrow medical product,3,26542
tartre en grabeau,26,non,,,42621
tartre en pierre,1,non,not a medical product,1,795416
tartre en poussière,1,non,not a medical product,1,795416
tartre et lie de vin,22,non,not a medical product,22,795416
tartre et térébenthine,6,non,not a medical product,1,795416
tartre glan,1,non,not a medical product,1,795416
tartre rouge,8,non,not a medical product,7,795416
tartre térébenthine,4,non,not a medical product,4,795416
tartre vitriolé,1,non,not a medical product,1,795416
tase rouge,1,non,not a medical product,1,795416
tasse à café de terre anglaise,1,non,,,42621
tasseaux,1,non,not a medical product,1,795416
tasses,3,non,not a medical product,3,795416
tasses de coco,1,non,not a medical product,,795416
tasses de coraux garnies d'argent,1,non,,,42621
tasses de faïence,2,non,not a medical product,2,795416
tasses de terre blanche,1,non,not a medical product,1,795416
tasses de vermillon,4,non,not a medical product,4,795416
tatie,1,non,not a medical product,1,795416
taulier pour canon,1,non,not a medical product,1,795416
taupine,3,non,not a medical product,1,795416
taupine de coton et de soie,2,non,not a medical product,2,795416
taureaux,68,non,not a medical product,56,795416
taureaux et vache,6,non,not a medical product,1,795416
tavelle,33,non,not a medical product,30,795416
tavelle de fil et de laine,1,non,not a medical product,1,795416
tavelle de laine,1,non,not a medical product,1,795416
tavelle passement,1,oui,not a medical product,,795416
tayolles,70,non,not a medical product,62,795416
tayolles de ???,1,non,,,42621
tayolles de coton,10,non,not a medical product,8,795416
tayolles de coton et de fil,1,non,not a medical product,1,795416
tayolles de coton et de soie,1,non,not a medical product,1,795416
tayolles de fil,1,non,not a medical product,1,795416
tayolles de laine,12,non,not a medical product,7,795416
tayolles de soie,7,non,not a medical product,4,795416
tegers de cuivre,0,non,not a medical product,1,795416
teinture,289,non,not a medical product,40,795416
teinture cerise,2,non,not a medical product,2,795416
teinture commune,1,non,not a medical product,1,795416
teinture d'herbes,1,non,not a medical product,1,795416
teinture jaune,1,non,not a medical product,,795416
teinture pour les filets,1,non,not a medical product,1,795416
teinture préparée,1,non,not a medical product,1,795416
tejenes de cuivre,1,non,not a medical product,,795416
télescope,9,non,not a medical product,8,795416
télescope de bois uni,1,non,not a medical product,1,795416
télescope de cuivre poli,1,non,not a medical product,1,795416
temparille,2,non,not a medical product,,795416
tenaille,3,non,not a medical product,3,795416
tenaille de fer,2,non,not a medical product,1,795416
tenaille grossière,2,non,not a medical product,2,795416
tendeurs pour voile,4,non,not a medical product,1,795416
tenelle d'espars,1,non,not a medical product,1,795416
tenevie,1,non,not a medical product,,795416
tentes,6,non,not a medical product,1,795416
tentes canonnières,1,non,not a medical product,1,795416
tentes d'officiers vieilles,1,non,,,42621
tentes et voile,58,non,not a medical product,1,795416
tentes et voile en rolles ou pièces,6,non,not a medical product,1,795416
tepaye des Indes,1,non,not a medical product,1,795416
tepays,12,non,not a medical product,,795416
tepis,0,oui,not a medical product,,795416
terc,4,non,not a medical product,4,795416
térébenthine,1268,non,not a medical product,479,795416
térébenthine brune,1,non,,,42621
térébenthine commune,2,non,not a medical product,2,795416
térébenthine compacte,45,non,not a medical product,45,795416
térébenthine d' ???,1,oui,not a medical product,1,795416
térébenthine de bergamote,1,non,not a medical product,1,795416
térébenthine de Venise,6,non,not a medical product,6,795416
térébenthine en essence et en huile et en pâte,19,non,not a medical product,19,795416
térébenthine en essence et térébenthine en huile et térébenthine en pâte,19,oui,,,42621
térébenthine en pâte,20,non,not a medical product,19,795416
térébenthine essence,50,non,narrow medical product,50,26542
térébenthine grosse,1,non,not a medical product,,795416
térébenthine liquide,44,non,not a medical product,44,795416
terendine,5,non,not a medical product,1,795416
terixe,1,non,not a medical product,1,795416
ternilles,1,non,not a medical product,1,795416
terra merita,2,non,not a medical product,1,795416
terraille,506,non,not a medical product,231,795416
terraille blanche,19,non,not a medical product,15,795416
terraille commune,62,non,not a medical product,43,795416
terraille de brin ???,1,non,not a medical product,1,795416
terraille de Gênes,4,non,not a medical product,4,795416
terraille de Gênes noire,2,non,not a medical product,2,795416
terraille de grès,18,non,not a medical product,18,795416
terraille de terre,4,non,not a medical product,4,795416
terraille étrangère,2,non,,,42621
terraille grise,1,non,not a medical product,1,795416
terraille grosse,2,oui,not a medical product,1,795416
terraille grossière,5,non,not a medical product,1,795416
terraille minime,1,non,,,42621
terraille noire,14,non,not a medical product,14,795416
terraillon de grès,1,non,not a medical product,1,795416
terraque,1,oui,not a medical product,1,795416
terrasse,1,non,not a medical product,1,795416
terre,81,non,not a medical product,64,795416
terre ?,4,non,not a medical product,1,795416
terre à baril,0,oui,not a medical product,1,795416
terre à bâtir,9,non,not a medical product,4,795416
terre à brûler,1,non,not a medical product,1,795416
terre à ciment,20,non,not a medical product,13,795416
terre à cimenter,2,non,not a medical product,2,795416
terre à faïence,24,non,not a medical product,24,795416
terre à faïence commune,1,non,not a medical product,1,795416
terre à fouler,72,non,not a medical product,1,795416
terre à fouler et à potier,16,non,not a medical product,1,795416
terre à foulon,45,non,not a medical product,37,795416
terre à nettoyer,2,non,not a medical product,1,795416
terre à piment,1,non,,,42621
terre à pipes,94,non,not a medical product,22,795416
terre à porcelaine,5,non,not a medical product,5,795416
terre à poterie,1,non,not a medical product,1,795416
terre à potier,180,non,not a medical product,98,795416
terre à pots à sucre,1,non,not a medical product,,795416
terre à raffiner le sucre,71,non,not a medical product,1,795416
terre à sucre,69,oui,not a medical product,41,795416
terre à teindre,1,non,not a medical product,1,795416
terre blanche,12,non,not a medical product,11,795416
terre ciselée,2,non,not a medical product,,795416
terre commune,3,non,not a medical product,1,795416
terre d'émeri,3,non,not a medical product,1,795416
terre d'ombre,208,non,not a medical product,150,795416
terre d'ombre de Cologne et de rocou,46,non,not a medical product,1,795416
terre d'ombre et terre pour la peintures,4,non,not a medical product,4,795416
terre d'orfèvre,4,non,not a medical product,4,795416
terre de Bologne,1,non,not a medical product,1,795416
terre de Boulogne,1,non,not a medical product,1,795416
terre de broue,16,non,,,42621
terre de ciment,8,non,not a medical product,8,795416
terre de Cologne,42,non,not a medical product,5,795416
terre de corail,2,non,not a medical product,1,795416
terre de creusets,2,non,not a medical product,2,795416
terre de cristal,1,non,not a medical product,,795416
terre de foulon,4,non,not a medical product,4,795416
terre de graide,1,non,not a medical product,1,795416
terre de grès,10,non,not a medical product,6,795416
terre de Hongrie,1,non,not a medical product,1,795416
terre de marne,6,non,not a medical product,6,795416
terre de marne et argile,7,non,not a medical product,7,795416
terre de marne et engrais,17,non,not a medical product,17,795416
terre de mine,3,non,not a medical product,2,795416
terre de monnaie,1,non,not a medical product,1,795416
terre de mulardeau,4,non,not a medical product,1,795416
terre de myrthe,1,non,not a medical product,1,795416
terre de pipes,28,non,not a medical product,27,795416
terre de plomb,31,non,not a medical product,27,795416
terre de poil,1,non,not a medical product,1,795416
terre de porcelaine,183,non,not a medical product,144,795416
terre de pouzzolane,2,non,not a medical product,1,795416
terre de rocou,5,non,not a medical product,5,795416
terre de Rome,4,non,not a medical product,1,795416
terre de Rouen,4,non,not a medical product,1,795416
terre de satine,2,non,not a medical product,2,795416
terre de Vérone,7,non,not a medical product,7,795416
terre de Vérone verte,1,non,not a medical product,1,795416
terre de verrerie,3,non,not a medical product,3,795416
terre dite souda,88,non,not a medical product,1,795416
terre du Faubourg Saint-Antoine,1,non,not a medical product,1,795416
terre du Limousin,2,non,not a medical product,2,795416
terre glaise,8,non,not a medical product,6,795416
terre grasse,39,non,not a medical product,28,795416
terre houille,187,non,not a medical product,1,795416
terre jaune,35,non,not a medical product,14,795416
terre maganaise,3,non,not a medical product,3,795416
terre maganaize,1,non,not a medical product,1,795416
terre manganèse,14,non,not a medical product,12,795416
terre noire,1,non,not a medical product,1,795416
terre orianne ???,1,non,,,42621
terre pour le goudron,1,non,not a medical product,1,795416
terre pour pipes et à potier,49,non,not a medical product,1,795416
terre pour teinture,1,non,not a medical product,1,795416
terre pour verrerie,7,non,not a medical product,1,795416
terre pourrie,3,non,not a medical product,3,795416
terre pouzolanne,8,oui,not a medical product,8,795416
terre pouzzolane,12,non,not a medical product,3,795416
terre rouge,36,non,not a medical product,30,795416
terre sigillée,21,non,narrow medical product,18,26542
terre silvestre,1,non,,,42621
terre vernie,1,non,,,42621
terre verte,24,non,not a medical product,13,795416
terrementil,0,non,not a medical product,1,795416
terrerie,22,non,not a medical product,15,795416
terrerie blanche,1,non,not a medical product,1,795416
terrerie de grès,2,non,,,42621
terrier de fer,2,non,not a medical product,2,795416
terrine,1,non,,,42621
terrine de grès,1,non,not a medical product,1,795416
têtes à perruques,6,non,not a medical product,4,795416
têtes brodées et de basin,1,non,not a medical product,1,795416
têtes de cabillaud,1,non,not a medical product,1,795416
têtes de carabé,1,non,not a medical product,1,795416
têtes de choux,3,non,not a medical product,3,795416
têtes de clou de girofle,2,non,not a medical product,1,795416
têtes de clous,2,non,not a medical product,1,795416
têtes de cuir,1,non,,,42621
têtes de cuir et en poil,20,non,not a medical product,16,795416
têtes de cuivre en poêle,1,non,not a medical product,1,795416
têtes de girofle,8,non,not a medical product,3,795416
têtes de morue,5,non,not a medical product,4,795416
têtes de morue des Indes,1,non,not a medical product,1,795416
têtes de pavot,1,non,not a medical product,1,795416
têtes de pipe,1,non,,,42621
thé,2109,non,not a medical product,1344,795416
thé ???,2,non,not a medical product,2,795416
the bou,1,non,not a medical product,1,795416
thé bou,71,non,not a medical product,15,795416
thé cambou,15,non,not a medical product,,795416
thé congo,1,non,,,42621
thé de mauvaise qualité,1,non,,,42621
thé des entrepôts,0,non,not a medical product,1,795416
thé des Indes,14,non,not a medical product,14,795416
thé du pays,1,oui,,,42621
thé en fleurs blanc,1,non,not a medical product,,795416
thé et porcelaine,1,non,not a medical product,1,795416
thé étranger,1,non,not a medical product,1,795416
thé étranger par Strasbourg,1,non,not a medical product,1,795416
thé filé,1,non,not a medical product,1,795416
thé fin,3,non,,,42621
thé haysswen,2,non,not a medical product,,795416
thé impérial,16,non,not a medical product,,795416
thé ordinaire,1,non,not a medical product,1,795416
thé par Dunkerque,1,non,not a medical product,1,795416
thé par Pontarlier et Saint-Louis,1,non,not a medical product,1,795416
thé pays,1,non,,,42621
thé pékan,7,non,not a medical product,,795416
thé roux,6,non,not a medical product,,795416
thé saotchaon,2,non,not a medical product,1,795416
thé saoul,4,non,not a medical product,,795416
thé souchon,7,non,not a medical product,,795416
thé tonkay,0,non,not a medical product,1,795416
thé vert,53,non,not a medical product,16,795416
thé vert commun,2,oui,not a medical product,2,795416
thé vert foncé,1,non,,,42621
thé vert saoul,9,non,not a medical product,,795416
théières,3,non,not a medical product,2,795416
théières d'étain,11,non,not a medical product,10,795416
théières de cuivre,5,non,not a medical product,5,795416
théières de fer-blanc,1,non,not a medical product,1,795416
théières de métal,2,non,not a medical product,2,795416
théières de terre noire,1,non,not a medical product,1,795416
theloc,1,non,not a medical product,1,795416
thénique,1,non,,,42621
thepays,6,non,not a medical product,3,795416
thériaque,212,non,narrow medical product,133,26542
thériaque de Venise,1,non,narrow medical product,1,26542
thermomètre,2,non,not a medical product,2,795416
thon,12,non,not a medical product,7,795416
thon à l'huile,3,non,not a medical product,2,795416
thon frais,56,non,not a medical product,24,795416
thon mariné,470,non,not a medical product,368,795416
thon mariné au vinaigre,2,non,not a medical product,2,795416
thon mariné de retour de la foire de Beaucaire,1,non,,,42621
thon mariné et salé,9,non,not a medical product,9,795416
thon salé,126,non,not a medical product,82,795416
thon salé et mariné,2,non,,,42621
thon sec,1,non,not a medical product,1,795416
thon thonine,24,non,not a medical product,24,795416
thonine,70,non,not a medical product,59,795416
thonine salée,1,non,not a medical product,1,795416
tierçon en jarre,1,non,not a medical product,,795416
tierçons de bois,2,non,not a medical product,1,795416
tierçons en bottes,1,non,not a medical product,1,795416
tierçons vides,1,non,,,42621
tiers à tonneau,1,non,not a medical product,1,795416
tiges de bottes,1,non,not a medical product,1,795416
tigois,1,non,not a medical product,,795416
tilles à tonnelier,1,non,not a medical product,1,795416
tilleul,3,non,not a medical product,,795416
timbres,1,non,not a medical product,1,795416
timon,1,non,not a medical product,,795416
tin canarie,1,non,not a medical product,1,795416
tinettes,2,non,not a medical product,,795416
tires-bouchons d'acier,1,non,not a medical product,,795416
tiretaine,14,non,not a medical product,10,795416
tiretaine de laine,2,non,not a medical product,1,795416
tiretaine et miselaine,90,non,not a medical product,1,795416
tiretaine et miselaine aune,1,oui,not a medical product,1,795416
tiretaine grosse de fil,1,non,,,42621
tirtaine,0,oui,not a medical product,1,795416
tirtaine de laine,0,oui,not a medical product,1,795416
tissus de laine,3,non,,,42621
tissus de poils,3,non,,,42621
tobines,1,non,not a medical product,,795416
tobines de Hollande,1,non,not a medical product,,795416
toile,1033,non,not a medical product,608,795416
toile ???,21,non,not a medical product,21,795416
toile ...,0,non,not a medical product,17,795416
toile ..ya,0,non,,,42621
toile 3/4,1,non,not a medical product,,795416
toile a ???,1,non,not a medical product,1,795416
toile à 4 fils,5,non,not a medical product,,795416
toile à bas,8,non,not a medical product,7,795416
toile à bas prix blanche de lin,5,non,not a medical product,1,795416
toile à bas prix blanche et de coton,6,non,not a medical product,1,795416
toile à bas prix de chanvre,3,non,not a medical product,1,795416
toile à bas prix de coton et imprimée,11,non,not a medical product,1,795416
toile à bâts,14,non,not a medical product,13,795416
toile à bluteaux,2,non,not a medical product,2,795416
toile à bouquets de laine de coton,2,non,not a medical product,2,795416
toile à Bretagne,1,oui,not a medical product,1,795416
toile à camis ???,1,non,,,42621
toile à canevas,4,oui,not a medical product,3,795416
toile à carreaux,262,non,not a medical product,221,795416
toile à carreaux de fil et de laine,1,non,not a medical product,1,795416
toile à carreaux de Rouen,2,non,not a medical product,,795416
toile à carreaux et à matelas,4,non,not a medical product,4,795416
toile à carreaux et de coton,5,non,not a medical product,4,795416
toile à carreaux et de coutil,56,non,not a medical product,56,795416
toile à carreaux et de lin,11,non,not a medical product,10,795416
toile à carreaux et en pièces de 50 aunes,1,oui,not a medical product,1,795416
toile à carreaux fine et de lin,1,non,not a medical product,1,795416
toile à carreaux grosse et de Lille,1,non,not a medical product,1,795416
toile à carreaux pièces de 50 aunes,1,non,,,42621
toile à carreaux pour matelas,8,non,not a medical product,8,795416
toile à cottray,1,non,not a medical product,1,795416
toile à doubler,1,non,not a medical product,1,795416
toile à drap,1,non,,,42621
toile à faire drap de lin,1,non,not a medical product,1,795416
toile à fleurs,4,non,,,42621
toile à halle,1,non,,,42621
toile à image,1,non,,,42621
toile à matelas,74,non,not a medical product,68,795416
toile à matelas et à carreaux,3,non,not a medical product,3,795416
toile à matelot,5,non,not a medical product,5,795416
toile à napon ???,1,non,,,42621
toile à nappes,7,non,not a medical product,6,795416
toile à nappes et serviettes,3,non,not a medical product,2,795416
toile à nègre,6,non,not a medical product,5,795416
toile à paillasse,3,non,not a medical product,3,795416
toile à pavillon,4,non,not a medical product,4,795416
toile à peindre,21,non,not a medical product,1,795416
toile à robes,2,non,not a medical product,2,795416
toile à sacquette dite talette,4,non,not a medical product,1,795416
toile à sacs,13,non,not a medical product,13,795416
toile à serpillère,10,oui,not a medical product,2,795416
toile à serviettes,65,non,not a medical product,54,795416
toile à sorties,1,non,,,42621
toile à tamis,117,non,not a medical product,15,795416
toile à tapisser,3,non,not a medical product,1,795416
toile à voile,1552,non,,,42621
toile à voile commune,1,non,,,42621
toile à voile de 24 aunes,1,non,,,42621
toile à voile de fil,1,non,,,42621
toile abas,1,non,not a medical product,1,795416
toile abat,32,non,not a medical product,15,795416
toile ajamis,13,non,not a medical product,10,795416
toile alanea,1,non,not a medical product,1,795416
toile aman,5,oui,,,42621
toile amant,3,oui,not a medical product,1,795416
toile anascotes,2,non,not a medical product,,795416
toile anglaise,1,non,not a medical product,,795416
toile anglaise de prise,0,oui,not a medical product,,795416
toile anglaise des prises,1,non,not a medical product,,795416
toile Antioche,6,non,not a medical product,,795416
toile apprêtée de chanvre et de lin écrue de 13 à 20 fils,2,non,not a medical product,2,795416
toile apprêtée de chanvre et de lin écrue de 20 fils et au-dessus,2,non,not a medical product,2,795416
toile apprêtée de chanvre et de lin écrue de 8 à 13 fils,2,non,not a medical product,2,795416
toile apprêtée de chanvre et de lin écrue de moins de 8 fils,2,non,not a medical product,2,795416
toile apprêtée de chanvre et de lin écrue unie,2,non,not a medical product,2,795416
toile apprêtée de chanvre et de lin écrue unie de 13 fils inclusivement à 20 fils exclusivement,1,non,not a medical product,1,795416
toile apprêtée de chanvre et de lin écrue unie de 8 fils inclusivement à 13 fils exclusivement,1,non,not a medical product,1,795416
toile apprêtée de chanvre et de lin écrue unie de moins de 8 fils,1,non,not a medical product,1,795416
toile ardoisée et grise de lin,5,non,not a medical product,1,795416
toile ardoisée et rayée et rayonnée,85,non,not a medical product,1,795416
toile ardoisée et rayonnée,57,non,not a medical product,1,795416
toile ardoisée grise et écrue,3,non,not a medical product,1,795416
toile au lain,1,non,not a medical product,1,795416
toile au lait,7,non,not a medical product,7,795416
toile au lait lin,1,non,not a medical product,1,795416
toile bajas,1,non,not a medical product,1,795416
toile bajouge,1,non,not a medical product,,795416
toile barrière,2,non,not a medical product,2,795416
toile Barrois,1,non,not a medical product,1,795416
toile bas brin,3,oui,not a medical product,1,795416
toile basin coutil croisée et autre de chanvre et de lin,2,non,not a medical product,2,795416
toile basin coutil croisée et autres,2,non,not a medical product,2,795416
toile basin coutil croisée et autres de chanvre et de lin,3,non,not a medical product,3,795416
toile batiste en carreaux,5,non,,,42621
toile batiste et lino,9,oui,,,42621
toile batiste et linon,9,oui,,,42621
toile beaugrain,8,non,not a medical product,,795416
toile blancard,124,non,not a medical product,88,795416
toile blancard cirée large,1,non,,,42621
toile blancard de chanvre,1,non,,,42621
toile blancard de lin,8,non,not a medical product,8,795416
toile blancard de Rouen,13,non,not a medical product,1,795416
toile blancard et fleuret,8,non,not a medical product,8,795416
toile blanche,916,non,not a medical product,667,795416
toile blanche à étoupe,1,non,,,42621
toile blanche à imprimer,1,non,not a medical product,1,795416
toile blanche abati,1,non,not a medical product,1,795416
toile blanche aman,2,oui,not a medical product,2,795416
toile blanche bleue et de lin,1,non,not a medical product,1,795416
toile blanche cirée,1,non,,,42621
toile blanche commune,5,non,not a medical product,4,795416
toile blanche d'aman,2,non,,,42621
toile blanche damassée de lin pour nappes et serviettes,3,non,not a medical product,1,795416
toile blanche de 13 à 20 fils,2,non,not a medical product,2,795416
toile blanche de 13 fils,2,non,not a medical product,2,795416
toile blanche de 20 aunes,1,non,,,42621
toile blanche de 20 fils et au-dessus,2,non,not a medical product,2,795416
toile blanche de chanvre,11,non,not a medical product,3,795416
toile blanche de chanvre 398 lignes,1,non,not a medical product,1,795416
toile blanche de chanvre et de lin,5,non,not a medical product,5,795416
toile blanche de chanvre et de lin de 13 à 20 fils,2,non,not a medical product,2,795416
