exportsimports,pays_grouping,direction,marchandises_simplification,quantity_unit_ortho,quantity_unit_ajustees,u_conv,q_conv,remarques
Exports,Colonies françaises,,morue de pêche française,quintaux,livres,kg,48.949999,
Imports,Colonies françaises,,morue et stockfish,quintaux,livres,kg,48.949999,
Imports,Espagne,,morue par Bayonne,quintaux,livres,kg,48.949999,
Exports,Hollande,,mouchoirs de coton,quintaux,livres,kg,48.949999,
Exports,Italie,,mouchoirs de fil,quintaux,livres,kg,48.949999,
Exports,Italie,,mousselines de coton,quintaux,livres,kg,48.949999,
Exports,Angleterre,,mousselines de coton unies et brûlées,quintaux,livres,kg,48.949999,
Exports,Nord,,moutarde,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,munitions de guerre,quintaux,livres,kg,48.949999,
Imports,Hollande,,munitions de guerre et projectile,quintaux,livres,kg,48.949999,
Exports,Italie,,muscades,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,muse,quintaux,livres,kg,48.949999,
Exports,France,,métal de cloches et plomb et et zinc,quintaux,livres,kg,48.949999,
Imports,États-Unis d'Amérique,,nacre de perles,quintaux,livres,kg,48.949999,
Imports,Hollande,,noir commun de fumée,quintaux,livres,kg,48.949999,
Exports,Suisse,,noir d'ivoire,quintaux,livres,kg,48.949999,
Exports,Suisse,,noir d'or,quintaux,livres,kg,48.949999,
Imports,Angleterre,,noir de fumée,quintaux,livres,kg,48.949999,
Imports,Italie,,noisette,quintaux,livres,kg,48.949999,
Exports,Nord,,noix de galle,quintaux,livres,kg,48.949999,
Imports,États-Unis d'Amérique,,noix pour peintures,quintaux,livres,kg,48.949999,
Exports,États-Unis d'Amérique,,ocre,quintaux,livres,kg,48.949999,
Imports,Levant et Barbarie,,oignons de fleurs,quintaux,livres,kg,48.949999,
Exports,Russie,,olives,quintaux,livres,kg,48.949999,
Imports,Italie,,olives fraîches,quintaux,livres,kg,48.949999,
Imports,États-Unis d'Amérique,,opium,quintaux,livres,kg,48.949999,
Imports,Italie,,oreillons,quintaux,livres,kg,48.949999,
Imports,Hollande,,orseille ou tournesol préparé,quintaux,livres,kg,48.949999,
Exports,Nord,,ouvrages de bois,quintaux,livres,kg,48.949999,
Exports,Allemagne et Pologne (par terre),,ouvrages de bois et ouvrages d'osier et ouvrages d'osier,quintaux,livres,kg,48.949999,
Exports,Nord,,ouvrages de carton,quintaux,livres,kg,48.949999,
Exports,États-Unis d'Amérique,,ouvrages de coutellerie,quintaux,livres,kg,48.949999,
Exports,Nord,,ouvrages de cuir,quintaux,livres,kg,48.949999,
Exports,Nord,,ouvrages de cuivre doré et argenté,quintaux,livres,kg,48.949999,
Exports,États-Unis d'Amérique,,ouvrages de cuivre simples,quintaux,livres,kg,48.949999,
Exports,Colonies françaises,,ouvrages de fer,quintaux,livres,kg,48.949999,
Exports,Portugal,,ouvrages de fer-blanc et tôle vernie,quintaux,livres,kg,48.949999,
Exports,Colonies françaises,,ouvrages de fonte,quintaux,livres,kg,48.949999,
Exports,Espagne,,ouvrages de peau,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,ouvrages de sparterie,quintaux,livres,kg,48.949999,
Imports,Italie,,ouvrages de sparterie commune cordage de jonc paille roseaux et écorce de bois,quintaux,livres,kg,48.949999,
Exports,Flandre et autres états de l'Empereur,,ouvrages de tabletterie,quintaux,livres,kg,48.949999,
Exports,Suisse,,ouvrages de vannerie et bois et osier,quintaux,livres,kg,48.949999,
Exports,États-Unis d'Amérique,,ouvrages dorure fausse,quintaux,livres,kg,48.949999,
Exports,Nord,,ouvrages dorés argentés et plaqués,quintaux,livres,kg,48.949999,
Exports,Nord,,ouvrages en cuivre plaqué et dorés et argentés,quintaux,livres,kg,48.949999,
Exports,Allemagne et Pologne (par terre),,ouvrages en passementerie ordinaire,quintaux,livres,kg,48.949999,
Exports,Italie,Marseille,paille,quintaux,livres,kg,48.949999,
Exports,Hollande,,pain de navette,quintaux,livres,kg,48.949999,
Exports,Hollande,,papier,quintaux,livres,kg,48.949999,
Exports,Espagne,,papier peint,quintaux,livres,kg,48.949999,
Exports,États-Unis d'Amérique,,papier à écrire,quintaux,livres,kg,48.949999,
Imports,Italie,,parfumerie,quintaux,livres,kg,48.949999,
Exports,Levant et Barbarie,,parfumerie eau de senteur,quintaux,livres,kg,48.949999,
Exports,Nord,,parfumerie huile et essence,quintaux,livres,kg,48.949999,
Exports,Nord,,passementerie,quintaux,livres,kg,48.949999,
Exports,Angleterre,,passementerie de soie,quintaux,livres,kg,48.949999,
Exports,Suisse,,passementerie ordinaire,quintaux,livres,kg,48.949999,
Exports,Flandre et autres états de l'Empereur,,peaux brute et apprêtée,quintaux,livres,kg,48.949999,
Imports,Flandre et autres états de l'Empereur,,peaux brutes de chèvre et de mouton et de veau,quintaux,livres,kg,48.949999,
Imports,Hollande,,peaux brutes et de chèvre et de mouton et de veau,quintaux,livres,kg,48.949999,
Imports,Italie,,peaux crues de chèvre,quintaux,livres,kg,48.949999,
Imports,États-Unis d'Amérique,,peaux en poil de veau,quintaux,livres,kg,48.949999,
Exports,Nord,,peaux et pelleterie,quintaux,livres,kg,48.949999,
Exports,Nord,,pelleterie,quintaux,livres,kg,48.949999,
Exports,Espagne,Montpellier,pierres de taille,quintaux,livres,kg,48.949999,
Imports,Italie,Lyon,pierres pourrie,quintaux,livres,kg,48.949999,
Exports,Italie,,pierres à aiguiser,quintaux,livres,kg,48.949999,
Exports,Angleterre,Caen,pierres à bâtir,quintaux,livres,kg,48.949999,
Exports,Nord,,pierres à fusils,quintaux,livres,kg,48.949999,
Imports,Hollande,,piment et poivre,quintaux,livres,kg,48.949999,
Exports,Espagne,,planches de liège,quintaux,livres,kg,48.949999,
Exports,Hollande,,plomb,quintaux,livres,kg,48.949999,
Imports,Nord,,plomb et toutenague,quintaux,livres,kg,48.949999,
Exports,Italie,,plumes d'autruche et autres de parure,quintaux,livres,kg,48.949999,
Imports,Italie,,plumes d'autruche et brutes,quintaux,livres,kg,48.949999,
Imports,Nord,,plumes à écrire et à lit,quintaux,livres,kg,48.949999,
Imports,Italie,Marseille,plâtre,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,poil de chèvre de lapin et de lièvre,quintaux,livres,kg,48.949999,
Imports,États-Unis d'Amérique,,poil de chèvre et non filé,quintaux,livres,kg,48.949999,
Imports,États-Unis d'Amérique,,poil de chèvre filé,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,poil de lapin et de lièvre,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,poil de porc et poil de sanglier,quintaux,livres,kg,48.949999,
Exports,Angleterre,,poil de sanglier,quintaux,livres,kg,48.949999,
Imports,Angleterre,,poisson,quintaux,livres,kg,48.949999,
Imports,Italie,,poisson anchois,quintaux,livres,kg,48.949999,
Imports,Colonies françaises,La Rochelle,poisson de mer salé morue,quintaux,livres,kg,48.949999,
Imports,Italie,,poisson morue,quintaux,livres,kg,48.949999,
Imports,Espagne,,poisson sardine,quintaux,livres,kg,48.949999,
Exports,États-Unis d'Amérique,,poivre,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,poix noire,quintaux,livres,kg,48.949999,
Exports,Colonies françaises,,pommade,quintaux,livres,kg,48.949999,
Exports,Portugal,,porcelaine,quintaux,livres,kg,48.949999,
Exports,Colonies françaises,,poterie,quintaux,livres,kg,48.949999,
Imports,Italie,,poterie de terre,quintaux,livres,kg,48.949999,
Exports,Colonies françaises,,poudre à poudrer,quintaux,livres,kg,48.949999,
Exports,Portugal,,poudre à tirer,quintaux,livres,kg,48.949999,
Exports,Hollande,,pruneaux,quintaux,livres,kg,48.949999,
Exports,Colonies françaises,,quincaillerie,quintaux,livres,kg,48.949999,
Exports,Suisse,,quincaillerie carde,quintaux,livres,kg,48.949999,
Exports,Colonies françaises,,quincaillerie d'acier et de fer,quintaux,livres,kg,48.949999,
Exports,Italie,,quincaillerie de laiton filé,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,quincaillerie de laiton filé et jaune,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,quincaillerie de laiton filé et jaune et noir,quintaux,livres,kg,48.949999,
Imports,Nord,,quincaillerie de laiton filé noir pour épingle,quintaux,livres,kg,48.949999,
Imports,Flandre et autres états de l'Empereur,,quincaillerie diverse,quintaux,livres,kg,48.949999,
Imports,Italie,,quincaillerie faux,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,quincaillerie pour épingles et de laiton filé et jaune et noir,quintaux,livres,kg,48.949999,
Imports,Portugal,,quinquina,quintaux,livres,kg,48.949999,
Imports,Italie,,raisin,quintaux,livres,kg,48.949999,
Exports,Afrique,,rassades,quintaux,livres,kg,48.949999,
Imports,Italie,,rassades et vitrifications,quintaux,livres,kg,48.949999,
Exports,Italie,,rhubarbe,quintaux,livres,kg,48.949999,
Exports,Italie,,rocou,quintaux,livres,kg,48.949999,
Imports,Hollande,,rogues,quintaux,livres,kg,48.949999,
Imports,Espagne,,rogues de poisson,quintaux,livres,kg,48.949999,
Exports,Colonies françaises,,ruban,quintaux,livres,kg,48.949999,
Exports,Russie,,ruban de soie,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,ruban et passementerie de soie,quintaux,livres,kg,48.949999,
Imports,Nord,,ruban et passementerie divers,quintaux,livres,kg,48.949999,
Exports,Suisse,,rubannerie,quintaux,livres,kg,48.949999,
Imports,Espagne,,réglisse,quintaux,livres,kg,48.949999,
Imports,Espagne,,safran,quintaux,livres,kg,48.949999,
Imports,Angleterre,,safranum,quintaux,livres,kg,48.949999,
Imports,Colonies françaises,,salpêtre,quintaux,livres,kg,48.949999,
Exports,Italie,,salsepareille,quintaux,livres,kg,48.949999,
Imports,Espagne,,sardines,quintaux,livres,kg,48.949999,
Imports,Suisse,,sassafras,quintaux,livres,kg,48.949999,
Exports,Italie,Montpellier,saur,quintaux,livres,kg,48.949999,
Exports,?,,savon,quintaux,livres,kg,48.949999,
Imports,Suisse,,savon de retour,quintaux,livres,kg,48.949999,
Exports,Hollande,,scammonée,quintaux,livres,kg,48.949999,
Exports,Nord,,sel,quintaux,livres,kg,48.949999,
Imports,Italie,,sel Glauber,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,sel Saturne,quintaux,livres,kg,48.949999,
Exports,Italie,,sel chimique,quintaux,livres,kg,48.949999,
Imports,Suisse,,sel chimique de lait,quintaux,livres,kg,48.949999,
Imports,Italie,,sel chimique de nitre,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,sel chimique en gemme,quintaux,livres,kg,48.949999,
Imports,Hollande,,sel d'ammoniac,quintaux,livres,kg,48.949999,
Exports,Espagne,,sel de Saturne,quintaux,livres,kg,48.949999,
Exports,Nord,,sel ordinaire,quintaux,livres,kg,48.949999,
Imports,Angleterre,,semen contra,quintaux,livres,kg,48.949999,
Exports,Nord,,siamoise de coton et toile de coton peinte,quintaux,livres,kg,48.949999,
Exports,Italie,,sirop de mélasse,quintaux,livres,kg,48.949999,
Exports,Nord,,sirop fin,quintaux,livres,kg,48.949999,
Exports,États-Unis d'Amérique,,sirop fins et sucre,quintaux,livres,kg,48.949999,
Exports,Hollande,,sirop mélasse,quintaux,livres,kg,48.949999,
Imports,Levant et Barbarie,,soie,quintaux,livres,kg,48.949999,
Imports,Angleterre,,soie de porc et soie de sanglier,quintaux,livres,kg,48.949999,
Imports,États-Unis d'Amérique,,soie en estrasse,quintaux,livres,kg,48.949999,
Exports,Italie,,soie grèse par Marseille,quintaux,livres,kg,48.949999,
Imports,Italie,,soie ouvrée,quintaux,livres,kg,48.949999,
Exports,Suisse,,soie par Collonge et Srasbourg,quintaux,livres,kg,48.949999,
Imports,Espagne,,soie par Marseille,quintaux,livres,kg,48.949999,
Imports,France,,soudes,quintaux,livres,kg,48.949999,
Exports,Allemagne et Pologne (par terre),,soufre,quintaux,livres,kg,48.949999,
Imports,Hollande,,sparterie brute en auf jonc et roseau,quintaux,livres,kg,48.949999,
Exports,Italie,,stil de grain,quintaux,livres,kg,48.949999,
Imports,Italie,,storax,quintaux,livres,kg,48.949999,
Exports,Italie,,substances et produits chimiques,quintaux,livres,kg,48.949999,
Imports,États-Unis d'Amérique,,sucre,quintaux,livres,kg,48.949999,
Exports,États-Unis d'Amérique,,sucre brut,quintaux,livres,kg,48.949999,
Imports,Espagne,,sucre brut par Nantes,quintaux,livres,kg,48.949999,
Imports,Hollande,,sucre candi et en pain,quintaux,livres,kg,48.949999,
Imports,Angleterre,,sucre candi et sucre en pain par Bayonne Bordeaux Le Havre et Dunkerque,quintaux,livres,kg,48.949999,
Imports,Nord,,sucre en pain,quintaux,livres,kg,48.949999,
Imports,Suisse,,sucre en pain par Strasbourg,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,sucre en pain par Strasbourg Metz et Riltzeim,quintaux,livres,kg,48.949999,
Exports,Nord,,sucre en pain sorti avec prime,quintaux,livres,kg,48.949999,
Imports,États-Unis d'Amérique,,sucre par Le Havre en pain,quintaux,livres,kg,48.949999,
Exports,Russie,,sucre raffiné,quintaux,livres,kg,48.949999,
Exports,Nord,,sucre terré,quintaux,livres,kg,48.949999,
Exports,Italie,,sucre terré et sucre têtes,quintaux,livres,kg,48.949999,
Imports,Espagne,,sucre terré par Bayonne Marseille et Nantes,quintaux,livres,kg,48.949999,
Imports,Suisse,,sucre terré par Chapareillan,quintaux,livres,kg,48.949999,
Imports,Colonies françaises,,sucre têtes,quintaux,livres,kg,48.949999,
Imports,?,,suif,quintaux,livres,kg,48.949999,
Imports,Italie,,suif en pain,quintaux,livres,kg,48.949999,
Imports,Italie,,sumac,quintaux,livres,kg,48.949999,
Imports,Hollande,,tabac,quintaux,livres,kg,48.949999,
Exports,Hollande,,tabac en carotte,quintaux,livres,kg,48.949999,
Imports,Portugal,,tabac en carotte par Bayonne,quintaux,livres,kg,48.949999,
Exports,Italie,,tabac en côtes,quintaux,livres,kg,48.949999,
Imports,États-Unis d'Amérique,,tabac en feuilles,quintaux,livres,kg,48.949999,
Exports,Allemagne et Pologne (par terre),,tabac en poudre,quintaux,livres,kg,48.949999,
Exports,Allemagne et Pologne (par terre),,tabac fabriqué,quintaux,livres,kg,48.949999,
Exports,Espagne,,tabac par Bayonne et en feuilles,quintaux,livres,kg,48.949999,
Imports,Angleterre,,tabac par Dunkerque et en feuilles,quintaux,livres,kg,48.949999,
Exports,Italie,,tabac râpé,quintaux,livres,kg,48.949999,
Exports,Espagne,,tabac râpé par Dunkerque,quintaux,livres,kg,48.949999,
Imports,Italie,,tamarin,quintaux,livres,kg,48.949999,
Exports,Italie,,tartre,quintaux,livres,kg,48.949999,
Exports,Suisse,,tartre de vin,quintaux,livres,kg,48.949999,
Exports,Nord,,terre de argile et de marne,quintaux,livres,kg,48.949999,
Exports,Colonies françaises,,terre de marne et engrais,quintaux,livres,kg,48.949999,
Imports,Nord,,terre de pipes,quintaux,livres,kg,48.949999,
Imports,Hollande,,terre manganèse,quintaux,livres,kg,48.949999,
Imports,Italie,,thon mariné,quintaux,livres,kg,48.949999,
Imports,Hollande,,thé,quintaux,livres,kg,48.949999,
Imports,Nord,,thé par Dunkerque,quintaux,livres,kg,48.949999,
Exports,Suisse,,thé par Pontarlier et Saint-Louis,quintaux,livres,kg,48.949999,
Exports,Portugal,,thé étranger,quintaux,livres,kg,48.949999,
Exports,Allemagne et Pologne (par terre),,thé étranger par Strasbourg,quintaux,livres,kg,48.949999,
Exports,Italie,,toile cirée et de crin et gommée,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,toile coutil,quintaux,livres,kg,48.949999,
Exports,Allemagne et Pologne (par terre),,toile de chanvre,quintaux,livres,kg,48.949999,
Exports,Colonies françaises,,toile de chanvre et de lin,quintaux,livres,kg,48.949999,
Exports,États-Unis d'Amérique,,toile de coton et de fil,quintaux,livres,kg,48.949999,
Imports,Suisse,,toile de crin cirée,quintaux,livres,kg,48.949999,
Exports,Portugal,,toile de lin,quintaux,livres,kg,48.949999,
Imports,Nord,,toile de lin blanche,quintaux,livres,kg,48.949999,
Exports,Nord,,toile de lin et de batiste et linon,quintaux,livres,kg,48.949999,
Imports,Nord,,toile de lin et de chanvre,quintaux,livres,kg,48.949999,
Exports,Portugal,,toile imprimée et de fil et peinte et teinte,quintaux,livres,kg,48.949999,
Exports,Portugal,,toile mouchoirs,quintaux,livres,kg,48.949999,
Exports,Italie,,toile peinte et teinte,quintaux,livres,kg,48.949999,
Imports,Hollande,,toile treillis,quintaux,livres,kg,48.949999,
Imports,Suisse,,toile à carreaux,quintaux,livres,kg,48.949999,
Exports,Allemagne et Pologne (par terre),,toile à carreaux et de coutil,quintaux,livres,kg,48.949999,
Exports,Espagne,,toile à voile,quintaux,livres,kg,48.949999,
Imports,Prises,,toile écrue,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,tournesol,quintaux,livres,kg,48.949999,
Exports,Hollande,,térébenthine,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,tôle de fer-blanc,quintaux,livres,kg,48.949999,
Imports,États-Unis d'Amérique,,vanille,quintaux,livres,kg,48.949999,
Exports,Colonies françaises,,verdet,quintaux,livres,kg,48.949999,
Exports,Italie,,verdet et vert-de-gris,quintaux,livres,kg,48.949999,
Imports,Italie,,vermicelle,quintaux,livres,kg,48.949999,
Exports,États-Unis d'Amérique,,vermillon,quintaux,livres,kg,48.949999,
Exports,Suisse,,vernis préparés,quintaux,livres,kg,48.949999,
Exports,Italie,,verrerie bouteilles,quintaux,livres,kg,48.949999,
Exports,Angleterre,,verrerie cristal,quintaux,livres,kg,48.949999,
Exports,Italie,,verrerie diverse,quintaux,livres,kg,48.949999,
Exports,Italie,,vert-de-gris,quintaux,livres,kg,48.949999,
Imports,Hollande,,zinc,quintaux,livres,kg,48.949999,
Imports,Nord,,zinc pour fabriquer le laiton,quintaux,livres,kg,48.949999,
Imports,Hollande,,écaille,quintaux,livres,kg,48.949999,
Imports,Hollande,,écaille de tortue,quintaux,livres,kg,48.949999,
Imports,Allemagne et Pologne (par terre),,écorce pour tanner,quintaux,livres,kg,48.949999,
Exports,Hollande,,écorce à tanner,quintaux,livres,kg,48.949999,
Imports,Hollande,,émeri,quintaux,livres,kg,48.949999,
Exports,France,,épingles,quintaux,livres,kg,48.949999,
Imports,Suisse,,éponges,quintaux,livres,kg,48.949999,
Imports,Espagne,,étain,quintaux,livres,kg,48.949999,
Exports,Italie,,étain et plomb,quintaux,livres,kg,48.949999,
Exports,Allemagne et Pologne (par terre),,étoffe,quintaux,livres,kg,48.949999,
Exports,Hollande,,étoffe brochées et de soie et unies,quintaux,livres,kg,48.949999,
Exports,France,,étoffe de coton,quintaux,livres,kg,48.949999,
Exports,Nord,,étoffe de coton et drap de coton et velours de coton et couverture de coton,quintaux,livres,kg,48.949999,
Exports,États-Unis d'Amérique,,étoffe de laine et de soie,quintaux,livres,kg,48.949999,
Exports,Italie,,étoffe de soie,quintaux,livres,kg,48.949999,
Exports,France,,étoffe en or mêlée de soie,quintaux,livres,kg,48.949999,
Exports,Suisse,,œufs,quintaux,livres,kg,48.949999,
Imports,Colonies françaises,,café,quintaux de Saint-Domingue,,,,
Imports,Colonies françaises,,cacao,quintaux des colonies françaises,,,,
Imports,Colonies françaises,,café,quintaux des colonies françaises,,,,
Imports,Colonies françaises,,indigo,quintaux des colonies françaises,,,,
Imports,Colonies françaises,,sucre,quintaux des colonies françaises,,,,
Imports,Suisse,,beurre,quintaux métriques,,,,
Imports,Espagne,Rennes,alpiste,sacs,,,,
Imports,Portugal,Rennes,amandes,sacs,,,,
Imports,Indes,Rennes,cauris,sacs,,,,
Imports,Levant et Barbarie,Marseille,cendre,sacs,,,,
Imports,Italie,Marseille,cendre commune,sacs,,,,
Imports,Levant et Barbarie,Marseille,cendre du Levant,sacs,,,,
Imports,Flandre et autres états de l'Empereur,Lille,cendre gravelée,sacs,,,,
Exports,Suisse,"Lyon, Grenoble et Valence",charbon de bois,sacs,sacs,litres,208.13,"Doursther page 485 : 1 sac de charbon de bois de Paris = 208,13 L"
Imports,Flandre et autres états de l'Empereur,Lille,charbon de boulanger,sacs,,,,
Imports,Angleterre,Rennes,farine,sacs,,,,
Imports,Flandre et autres états de l'Empereur,Flandre,farine de bouquette,sacs,,,,
Imports,Flandre et autres états de l'Empereur,Lille,fruits,sacs,,,,
Imports,Hollande,Bordeaux,fèves,sacs,,,,
Imports,Hollande,Bordeaux,grain avoine,sacs,,,,
Imports,Angleterre,Bordeaux,grain froment,sacs,,,,
Imports,Nord,La Rochelle,grain orge,sacs,,,,
Imports,Hollande,Bordeaux,grain seigle,sacs,,,,
Imports,Flandre et autres états de l'Empereur,Flandre,graine de bouquette,sacs,,,,
Imports,Levant et Barbarie,Marseille,graine de chanvre,sacs,,,,
Imports,Hollande,Nantes,graine de lin,sacs,sacs,litres,150,Doursther page 485 : 1 sac de Nantes = 150 L
Exports,Flandre et autres états de l'Empereur,Flandre,graine de luzerne,sacs,,,,
Exports,Flandre et autres états de l'Empereur,Flandre,graine de navette,sacs,,,,
Exports,Flandre et autres états de l'Empereur,Flandre,graine de sainfoin,sacs,,,,
Imports,Flandre et autres états de l'Empereur,Flandre,graine de trèfle,sacs,,,,
Imports,Colonies françaises,,graine jaune,sacs,,,,
Imports,Hollande,Nantes,gruau,sacs,sacs,litres,150,Doursther page 485 : 1 sac de Nantes = 150 L
Imports,Flandre et autres états de l'Empereur,Flandre,laine peignée,sacs,,,,
Imports,Hollande,Bordeaux,mongette,sacs,,,,
Exports,Italie,Marseille,noix,sacs,,,,
Exports,Colonies françaises,Rouen,plomb en grenaille,sacs,,,,
Exports,Suisse,,plâtre,sacs,,,,
Imports,Nord,Rouen,pois,sacs,,,,
Imports,Flandre et autres états de l'Empereur,Flandre,pois secs,sacs,,,,
Imports,Hollande,Bordeaux,pois vert,sacs,,,,
Imports,Indes,Rennes,poivre,sacs,,,,
Imports,Hollande,Bordeaux,sacs,sacs,,,,
Exports,Colonies françaises,Lille - port de Dunkerque - commerce privilégié,sacs de toile,sacs,,,,
Imports,Indes,Rennes,salpêtre,sacs,,,,
Exports,États-Unis d'Amérique,Nantes,sel,sacs,,,,
Exports,Nord,Nantes,sel de Bourgneuf,sacs,,,,
Imports,Flandre et autres états de l'Empereur,Flandre,écorce de chêne,sacs,,,,
Imports,Nord,La Rochelle,saumon salé,sixième de baril,,,,
Exports,Colonies françaises,La Rochelle,bière,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Imports,Hollande,Rennes,blanc de céruse,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Exports,Colonies françaises,Nantes,bœuf salé,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Exports,Afrique,Nantes,bœuf salé d'Irlande,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Exports,Colonies françaises,Nantes,bœuf salé du pays,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Exports,Colonies françaises,Nantes,charbon de terre,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Exports,Colonies françaises,Bayonne,eau-de-vie,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Imports,Hollande,La Rochelle,fontaine de fer-blanc,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Imports,Nord,La Rochelle,futaille,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Imports,Angleterre,La Rochelle,futaille vieille,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Imports,Hollande,Bordeaux,futailles vides,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Imports,Angleterre,Rennes,grain froment,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Exports,Hollande,La Rochelle,gravelle,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Exports,Nord,La Rochelle,indigo,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Imports,Italie,Rennes,lard,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Exports,Colonies françaises,La Rochelle,liqueurs à boire,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Exports,Hollande,Rennes,miel,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Exports,Hollande,Nantes,ocre,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Exports,Hollande,La Rochelle,pierres à fusils,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Exports,Nord,Nantes,pruneaux,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Imports,Angleterre,Nantes,saumon,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
Exports,Colonies françaises,Rouen,saumon salé,tierçons,tierçons,litres,91.406016,CNTRL et Doursther page 531 : 1 tierçons = 96 pintes ; mesure de la pinte : https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises
