marchandises,marchandises_norm_ortho,mériteplusdetravail
"Térébenthine (pâte, huile et essence de)",térébenthine pâte huile et essence de,
Terebenthine en pate,térébenthine en pâte,
Terebenthine en pâte,térébenthine en pâte,
Térébenthine en pâte,térébenthine en pâte,
"Térébenthine en pâte, huile et essence",térébenthine en pâte huile et essence,
Térébenthine et blanc de plomb,térébenthine et blanc de plomb,
Térébenthine et résine,térébenthine et résines,
Térébenthine et tartre,térébenthine et tartre,
Terebentine,térébenthine,
Térébentine,térébenthine,
Terebentine ; commune,térébenthine commune,
Terebentine ; de venise,térébenthine de Venise,
Terebentine en pate,térébenthine en pâte,
Terendine,terendine,x
teriac,thériaque,
Teriac,,
teriaque,thériaque,
Teriaque,thériaque,
Tériaque,thériaque,
Teribantine d'...tain,térébenthine d' ???,
Terique,thériaque,x
terixe,terixe,x
Termometre,thermomètre,
Ternilles,ternilles,x
terra merita,terra merita,
Terra merita,terra merita,
Terra Merita,terra merita,
Terra mérita,terra merita,
Terra veritas,terra merita,x
Terra-merita,terra merita,
Terraile,,
Terraile ; commune,terraile commune,
Terraille,terraille,
Terraille ; commune,terraille commune,
terraille blanche,terraille blanche,
Terraille blanche,,
Terraille commune,terraille commune,
Terraille comune,,
Terraille de genes,,
terraille de gray,terraille de grès,
Terraille de gray,,
Terraille de grez,,
terraille noire,terraille noire,
Terraille noire,terraille noire,
Terraille noire de genes,terraille noire de Gênes,
Terraille noire de Gennes,terraille noire de Gênes,
Terraille; Grise,terraille grise,
Terraille; Noire,terraille noire,
Terrailles,terraille,
terrailles blanches,terraille blanche,
Terraillon de gray,,
Terramenta,,
Terrameria,terra merita,
terramerita,terra merita,
Terramerita,terra merita,
Terramérita,terra merita,
Terraque,,
Terrasse,terrasse,
Terre,terre,
"Terre , magnanaise",terre manganèse,
Terre ; ?,terre ?,
Terre ; à bâtir,terre à bâtir,
Terre ; a ciment,terre à ciment,
Terre ; à ciment,terre à ciment,
Terre ; à fayance,terre à faïence,
Terre ; à foulon,terre à foulon,
Terre ; à pipe,terre à pipes,
Terre ; a pipes,terre à pipes,
Terre ; à pipes,terre à pipes,
Terre ; à piques,terre à pipes,x
Terre ; à poterie,terre à poterie,
Terre ; à potier,terre à potier,
Terre ; a pottier,terre à potier,
Terre ; à pottier,terre à potier,
Terre ; à pottiers,terre à potier,
Terre ; à potties,terre à potier,
Terre ; a sucre,terre à sucre,
Terre ; à sucre,terre à sucre,
Terre ; à Toulon,terre à foulon,
Terre ; blanche,terre blanche,
Terre ; d'emery,terre d'émeri,
Terre ; d'hongrie,terre de Hongrie,
Terre ; d'ombre,terre d'ombre,
Terre ; d'orfebre,terre d'orfèvre,
Terre ; de Bologne,terre de Bologne,x
Terre ; de Boulogne,terre de Boulogne,x
Terre ; de ciment,terre de ciment,
Terre ; de cologne,terre de Cologne,x
Terre ; de Cologne,terre de Cologne,x
Terre ; de creuset,terre de creusets,
Terre ; de fayance,terre de faïence,
Terre ; de grez,terre de grès,x
Terre ; de mine,terre de mine,
Terre ; de Mine,terre de mine,
Terre ; de monnoye,terre de monnaie,
Terre ; de plomb,terre de plomb,
Terre ; de porcelaine,terre de porcelaine,
Terre ; de Pozolane,terre de pouzzolane,
Terre ; de rocou,terre de rocou,
Terre ; de satine,terre de satine,x
Terre ; de veronne,terre de Vérone,
Terre ; de verrerie,terre de verrerie,
Terre ; diverse,terre diverse,
Terre ; dombre,terre d'ombre,
Terre ; du Limousin,terre du Limousin,
Terre ; glaise,terre glaise,
Terre ; grasse,terre grasse,
Terre ; jaune,terre jaune,
Terre ; maganaise,terre maganaise,
Terre ; maganaize,terre maganaize,
Terre ; noire,terre noire,
Terre ; pour verrerie,terre pour verrerie,
Terre ; pourie,terre pourrie,x
Terre ; pozolane,terre pouzolanne,
Terre ; pozolanne,terre pouzolanne,
Terre ; rouge,terre rouge,
Terre ; segillée,terre segillée,x
Terre ; seguillée,terre segillée,x
Terre ; Séguillée,terre segillée,x
Terre ; verte,terre verte,
Terre a barils,terre à barils,
Terre a faire fayence,terre à faire faïence,
terre à faire pippes,terre à faire pipes,
Terre a fayance,terre à faïence,
Terre à fayance commune,,
Terre a fayence,terre à faïence,
terre à fouler,terre à fouler,
Terre a foulon,,
Terre à foulon,,
Terre à netoyer,,
Terre a pipes,terre à pipes,
terre à pipes,terre à pipes,
Terre a porcelaine,,
terre a pottier,terre à potier,
Terre a pottier,terre à potier,
terre à pottier,terre à potier,
terre à pottier et à faire pipes,terre à potier et à faire pipes,
terre à pottier et à fouler,terre à potier et à fouler,
Terre à raffiner le sucre,terre à raffiner le sucre,
Terre a sucre,terre à sucre,
Terre à sucre,terre à sucre,
Terre a teindre,terre à teindre,
Terre Bentine,térébenthine,
Terre blanche,,
terre commune,terre commune,
terre d'ombre,terre d'ombre,
Terre d'ombre,terre d'ombre,
Terre d'Ombre,terre d'ombre,
Terre D'ombre,terre d'ombre,
terre d'ombre de Cologne et de Roucou,terre d'ombre de Cologne et de rocou,
Terre d'ombre et autres pour la peinture,terre d'ombre et autres pour la peinture,
terre d'orcre,terre d'ombre,x
terre de cologne,terre de Cologne,
Terre de corail,,
Terre de fayance,terre de faïence,
Terre de fayence,terre de faïence,
Terre de foulon,terre de foulon,
Terre de graide,terre de graide,x
Terre de gray,terre de grès,x
Terre de Gray,terre de grès,x
Terre de Grez,terre de grès,x
Terre de marne,terre de marne,
Terre de marne et argile,terre de marne et argile,
Terre de marne et autres pour engrais,terre de marne et autres pour engrais,
terre de mirthe,terre de myrthe,x
terre de mulardeau,terre de mulardeau,x
Terre de pipe,terre de pipes,
Terre de pipes,terre de pipes,
Terre de plomb,terre de plomb,
terre de porcelaine,terre de porcelaine,
Terre de porcelaine,terre de porcelaine,
Terre de posselane,,
Terre de procelaine,,
terre de Rome,terre de Rome,
terre de Rouen,terre de Rouen,
Terre de veronne,terre de Vérone,
Terre de verrerie,,
Terre de Verrone,terre de Vérone,
terre dite souda,terre dite souda,x
Terre dOmbre,terre d'ombre,
Terre du Faubourg Saint Antoine,terre du Faubourg Saint-Antoine,
Terre du Limousin,terre du Limousin,
Terre en grais,terre en grès,
Terre figillée,terre segillée,x
Terre grasse,terre grasse,
terre houille,terre houille,
terre jaune,terre jaune,
terre jaune ou herbe à teindre,terre jaune ou herbes à teindre,
Terre maganese,terre manganèse,
Terre maganèse,terre manganèse,
Terre manganèse,terre manganèse,
Terre murita,terra merita,
Terre pour engrais et argile,terre pour engrais et argile,
Terre pour le goldron,terre pour le goudron,
terre pour verreries,,
Terre pozolane,terre pouzolanne,
Terre pozolanne,terre pouzolanne,
terre rouge,terre rouge,
Terre rouge,terre rouge,
Terre segilée,,
terre segillée,terre segillée,
Terre segillée,,
terre verte,terre verte,
Terre verte de Veronne,terre verte de Vérone,
Terre; à batir,terre à bâtir,
Terre; à fouton,terre à foulon,
Terre; à pipes,terre à pipes,
Terre; à pottier,terre à potier,
Terre; à pouier,terre à potier,
Terre; à sucre,terre à sucre,
Terre; Blanche,terre blanche,
Terre; d'ombre,terre d'ombre,
Terre; D'ombre,terre d'ombre,
Terre; de porcelaine,terre de porcelaine,
Terre; de Satine,terre de satine,x
Terre; de Veronne,terre de Vérone,
Terre; grasse,terre grasse,
Terre; maganaise,terre manganèse,
Terre; Pozolane,terre pouzolanne,
Terre; rouge,terre rouge,
Terre; segillé,terre segillée,
Terre;Rouge,terre rouge,
Terrebentine,,
Terrementil,terrementil,x
Terrerie,terrerie,
Terrerie ; blanche,terrerie blanche,
Terres,terre,
Terres ; à pottier,terre à potier,
Terres ; diverses,terre diverse,
Terres ; mayaneses (?),terre manganèse,
Terres ; Pozolane,terre pouzzolane,
Terres a pipes,terre à pipes,
Terres de marne et autres engrais,terre de marne et autres engrais,
Terres de toutes sortes,terre de toute sorte,
Terres de verrerie,terre de verrerie,
Terres diverses,terre diverse,
Terres et argiles propres aux engrais,terre et argile propres aux engrais,
Terriers ; de fer,terriers de fer,
Terriers de fer,terriers de fer,
Terrine de grez,terrine de grès,
Terse ; à ciment,terre à ciment,
Terse ; à pipes,terre à pipes,
Terse ; d'ombre,terre d'ombre,
Terse ; de porcelaine,terre de porcelaine,
Terse ; graisse,terre grasse,x
Testes ; a perruques,têtes à perruques,
Testes ; de carabé,têtes de carabé,
Testes ; de geroffle,têtes de girofle,
Testes ; de morue,têtes de morue,
Testes ; de pavots,têtes de pavot,
Testes de basin brodées,têtes de basin brodées,
Testes de clous,têtes de clous,
testes de cuir en poil,têtes de cuir en poil,
Testes de cuir en poil,têtes de cuir en poil,
Testes de cuirs en poil,,
Testes de morue,têtes de morue,
Testes de sucre,têtes de sucre,
Tête ; de choux,têtes de chou,
Tête ; de clouds ; de geroffle,têtes de clou de girofle,
Tête ; de morue ; des Isles,têtes de morue des Îles,
Tete de cuivre en poel,,
Tete de geroffle,têtes de girofle,
Tete de morue,têtes de morue,
Tête de moruë,têtes de morue,
Têtes ; à perruques,têtes à perruques,
Tetes ; de choux,tetes de chou,
tetes de cabillau,tetes de cabillaud,
Tetes de cuir en poil,,
Tetes de cuirs en poil,têtes de cuir en poil,
têtes de cuirs en poil,têtes de cuir en poil,
Têtes de geroffle,têtes de girofle,
Teyeres ; d'etain,théières d'étain,
teyeres d'etaim,théières d'étain,
Teyeres de Cuivre,,
the,thé,
The,thé,
thé,thé,
Thé,thé,
Thè,thè,
Thé ; ?,thé ???,
The ; bou,the bou,x
Thé ; bou,thé bou,x
Thé ; boue,thé bou,x
Thé ; bouy,thé bou,x
Thé ; de l'Inde,thé des Indes,
Thé ; des entrepôts,,
Thé ; par Dunkerque,thé par Dunkerque,
Thé ; par Saint-Louis et Pontarlier,thé par Saint-Louis et Pontarlier,
Thé ; verd,thé vert,
Thé bou,thé bou,
Thé Bou,thé bou,
Thé Boui,thé bou,x
Thé Bouy,thé bou,x
Thé divers,thé divers,
Thé et porcelaine,thé et porcelaine,
Thé étranger,thé étranger,
Thé étranger ; par Strasbourg,thé étranger par Strasbourg,
Thé Filée,thé filé,
Thé ordinaire,,
Thé verd,,
Thé vert,thé vert,
Thé vert commun,thé vert commun,
Theloc,theloc,x
Thepaïs,,
Thepaya,thepaya,x
Thépays,thepaya,x
thepieres d'Etain,théières d'étain,x
Therbentine,,
therebantine,térébenthine,
Therebantine,térébenthine,
Therebantine de Venise,térébenthine de Venise,
Therebanttine,térébenthine,
Therebenthine,térébenthine,
Thérébenthine,térébenthine,
therebentine,térébenthine,
Therebentine,térébenthine,
ThéreBentine,térébenthine,
Thérébentine,térébenthine,
Thérébentine ; commune,térébenthine commune,
Thérébentine ; de Venise,térébenthine de Venise,
Therebentine en paste,térébenthine en pâte,
Therebentine en pate,térébenthine en pâte,
Thérebentine en pâte,térébenthine en pâte,
Thérébentine et harpoix,térébenthine et harpoix,x
Therebentines,térébenthine,
therebentinne,térébenthine,
Théreses de taffetas,térébenthine,
theriac,thériaque,
theriaque,theriaque,
Theriaque,theriaque,
Thériaque,thériaque,
Theriaque de Venise,theriaque de Venise,
Therinque,thériaque,
Thés,thé,
Thés ; bony,thé bou,x
Thés ; camphon,thé camphon,x
Thés ; campony,thé camphon,x
Thés ; hayssuen,thé hayssuen,x
Thés ; saotchaon,thé saotchaon,x
Thés ; tonkay,thé tonkay,x
Thés ; verd,thé vert,
Thés divers,thé divers,
Theyere d'étain,théières d'étain,
Theyeres,théières,
Theyères,théières,
Theyeres ; d'etain,théières d'étain,
Théyeres ; de cuivre,théières de cuivre,
Theyeres ; de fer blanc,théières de fer-blanc,
Theyères ; de métal,théières de métal,
theyeres d'Etain,théières d'étain,
Theyeres d'etain,théières d'étain,
Theyeres d'Etain,théières d'étain,
theyeres de cuivre,théières de cuivre,
Theyeres de cuivre,théières de cuivre,
Theyeres de metal,théières de métal,
Theyeres de terre noire,théières de terre noire,
Thome,thome,x
thon,thon,
Thon,thon,
Thon ; à l'huile,thon à l'huile,
Thon ; frais,thon frais,
Thon ; mariné,thon mariné,
Thon ; marinée,thon mariné,
Thon ; salé,thon salé,
Thon ; salés,thon salé,
Thon ; thomine,thon thonine,x
Thon ; thonine,thon thonine,x
Thon ; tonine,thon thonine,x
thon frais,thon frais,
Thon frais,,
Thon marine,,
thon mariné,thon mariné,
Thon mariné,thon mariné,
thon salé,thon salé,
Thon salé,thon salé,
"Thon, mariné",thon mariné,
Thon; frais,thon frais,
Thon; mariné,thon mariné,
thonine,thonine,
Thonine,thonine,
thonnine,thonine,
Thuile,tuiles,
Thuiles,tuiles,
Thuille,tuiles,
Thuilles,tuiles,
Thyeres de cuivres,théières de cuivre,
tiercons en Bottes,tierçons en bottes,
Tiers à tonneaux,tiers à tonneaux,
Tiges ; de bottes,tiges de bottes,
Tilles a tonnelier,tilles à tonnelier,x
Timbres,timbres,
tin canarie,tin canarie,x
Tiretaine,tirtaine,x
Tiretaine de laine,tirtaine de laine,x
tiretaine et miselaine,tirtaine et miselaine,x
tiretaine et miselaine / aune,tirtaine et miselaine aune,x
Tirtaine,tirtaine,x
Tissu de fil,tissus de fil,
Tissu de plocq,tissus de plocq,
tissu en laine à poils longs,tissus en laine à poil long,
Tissu en laine fabriqué à Arras,tissus en laine fabriqué à Arras,
Tissus,tissus,
Tissus ; de coton ; Nankin des Indes,,
"Tissus ; de coton, étoffes, toiles, mousselines, etc",,
Tissus ; de fleuret ; Bonneterie,,
"Tissus ; de fleuret ; Étoffes pures, et mouchoirs",,
Tissus ; de fleuret ; Rubans,,
Tissus ; de laine ; en bonneterie,,
"Tissus ; de laine ; en pièce, tapis ; à noeuds ou à côtes",,
"Tissus ; de laine ; en pièce, tapis ; simples",,
"Tissus ; de laine ; en pièces, draps, couvertures et étoffes",,
Tissus ; de laine ; Passementerie ; de laines pure écrue,,
Tissus ; de laine ; Passementerie ; de laines pure teintes,,
Tissus ; de laine ; Passementerie ; mêlée de fil,,
Tissus ; de laine ; Rubans ; de laines pures ; écrus,,
Tissus ; de laine ; Rubans ; de laines pures ; teints,,
Tissus ; de laine ; Rubans ; mélangés de fil teint,,
Tissus ; de lin ou de chanvre ; Batiste et linon,,
Tissus ; de lin ou de chanvre ; Dentelles,,
Tissus ; de lin ou de chanvre ; Toiles ; blanhes,,
"Tissus ; de lin ou de chanvre ; Toiles ; écrues, sans apprêt et apprêtées",,
"Tissus ; de soie ; Dentelles de soie, dites blondes",,
Tissus ; de soie ; étoffes pures ; brochées ; d'or ou d'argent faux,,
Tissus ; de soie ; étoffes pures ; brochées ; d'or ou d'argent fin,,
"Tissus ; de soie ; étoffes pures ; unies et façonnées, mouchoirs et shals",,
"Tissus ; de soie ; gazes, crêpes et tulles",,
Tissus ; de soie ; Passementerie ; d'or et d'argent faux,,
Tissus ; de soie ; Passementerie ; de soie sans mélange,,
Tissus ; de soie ; Passementerie ; mêlée d'autres matières,,
"Tissus ; de soie ;Rubans et passementerie, soie pure",,
"Tissus de coton , tulle et gaze",,
"Tissus de coton ; Basins, piqués, mousselinettes",,
Tissus de coton ; bonneterie,,
Tissus de coton ; Bonneterie,,
Tissus de coton ; couvertures,,
Tissus de coton ; Couvertures et tapis,,
"Tissus de coton ; croisés (basins piqués, etc)",,
Tissus de coton ; Draps,,
Tissus de coton ; Draps et velours,,
Tissus de coton ; Mousseline de toute sorte,,
Tissus de coton ; Mousseline et tous tissus simples,,
Tissus de coton ; Nankin apporté en droiture de l'Inde,,
Tissus de coton ; Nankinet et autres étoffes de goût,,
Tissus de coton ; nanrin,,
Tissus de coton ; passementerie,,
Tissus de coton ; Passementerie et rubans,,
Tissus de coton ; Percale ; imprimée en schals,,
Tissus de coton ; Schals et mouchoirs,,
Tissus de coton ; toile mêlée de coton et de fil,,
"Tissus de coton ; Toiles, unies, brochées, brodées, imprimées",,
"Tissus de coton ; Tulle, gaze et tricot de Berling",,
Tissus de coton ; velours,,
Tissus de coton ;Toile et calicou ; écrus et blancs,,
Tissus de coton ;Toile et calicou ; teints et imprimés,,
Tissus de crin,tissus de crin,
Tissus de crin ; étoffes,,
Tissus de crin ; passementerie,,
Tissus de crin ; Passementerie,,
Tissus de crin ; Tissus de poils,,
Tissus de crin ; Toile à tamis,,
Tissus de fil de lin et de chanvre en toile de toute sorte,tissus de fil de lin et de chanvre en toile de toute sorte,
Tissus de fil et coton mélangés,tissus de fil et coton mélangés,
Tissus de fleuret,tissus de fleuret,
Tissus de fleuret ; bonneterie,,
Tissus de fleuret ; Bonneterie,,
Tissus de fleuret ; Couvertures et tapis,,
"Tissus de fleuret ; couvertures, tapis et schals",,
Tissus de fleuret ; étoffes,,
Tissus de fleuret ; passementerie et rubans,,
Tissus de fleuret ; Passementerie et rubans,,
Tissus de fleuret en étoffes et rubanneries,tissus de fleuret en étoffe et rubannerie,
Tissus de laine ; bonneterie,,
Tissus de laine ; Bonneterie,,
Tissus de laine ; Casimirs et mérinos,,
Tissus de laine ; Couvertures,,
Tissus de laine ; Draps de toute sorte,,
Tissus de laine ; en pièces ; couvertures,,
Tissus de laine ; en pièces ; étoffes diverses,,
Tissus de laine ; en pièces ; tapis ; autres ; à nœuds ou à côtes,,
Tissus de laine ; en pièces ; tapis ; autres ; simples,,
Tissus de laine ; en pièces ; tapis ; de pure laine,,
Tissus de laine ; Passementerie,,
Tissus de laine ; Passementerie ; de laine pire ; écrue,,
Tissus de laine ; Passementerie ; de laine pire ; teinte,,
"Tissus de laine ; Passementerie ; mélangée de fil, laine et poil",,
Tissus de laine ; Passementerie et rubans ; idem teinte,,
Tissus de laine ; Passementerie et rubans ; mélangée de fil,,
Tissus de laine ; Schals brochés et façonnés,,
"Tissus de laine ; Serge, escot, panne, etc",,
Tissus de laine ; Tapis,,
Tissus de laine ; Tapis ; à nœuds ou à côtes,,
Tissus de laine ; Tapis ; simples,,
Tissus de laine ; Velours de laine,,
Tissus de laine en tapis,tissus de laine en tapis,
Tissus de lin et chanvre ; Toile ; écrue ; à voile,,
Tissus de lin et chanvre ; Toile ; écrue ; apprêtée ; de 13 à 20 fils,,
Tissus de lin et chanvre ; Toile ; écrue ; apprêtée ; de 8 à 13 fils,,
Tissus de lin et chanvre ; Toile ; écrue ; apprêtée ; de fils,,
Tissus de lin et chanvre ; Toile ; écrue ; apprêtée ; de moins de 8 fils,,
Tissus de lin et chanvre ; Toile ; écrue ; sans apprêt ; d'étoupes,,
Tissus de lin et chanvre ; Toile ; écrue ; sans apprêt ; de 13 à 20 fils,,
Tissus de lin et chanvre ; Toile ; écrue ; sans apprêt ; de 8 à 13 fils,,
Tissus de lin et chanvre ; Toile ; écrue ; sans apprêt ; de fils,,
Tissus de lin et chanvre ; Toile ; écrue ; sans apprêt ; de moins de 8 fils,,
Tissus de lin et de chanvre ; Batiste et linon,,
Tissus de lin et de chanvre ; Bonneterie,,
Tissus de lin et de chanvre ; Dentelle,,
Tissus de lin et de chanvre ; Linge de table en pièces,,
Tissus de lin et de chanvre ; mélangés sans indications d'espèces,,
Tissus de lin et de chanvre ; Mouchoirs ; blancs,,
Tissus de lin et de chanvre ; Mouchoirs ; teints et imprimés,,
Tissus de lin et de chanvre ; Passementerie de laine ; blanche,,
Tissus de lin et de chanvre ; Passementerie de laine ; écrue,,
Tissus de lin et de chanvre ; Passementerie de laine ; teinte,,
Tissus de lin et de chanvre ; Rubans,,
Tissus de lin et de chanvre ; Rubans ; blancs,,
Tissus de lin et de chanvre ; Rubans ; écrus,,
Tissus de lin et de chanvre ; Rubans ; teints,,
Tissus de lin et de chanvre ; Tulle,,
Tissus de lin et de chanvre en toile diverses,tissus de lin et de chanvre en toile diverse,
Tissus de lin et de chanvre en toiles diverses,tissus de lin et de chanvre en toile diverse,
Tissus de lin ou de chanvre ; Bonneterie,,
Tissus de lin ou de chanvre ; Dentelles,,
"Tissus de lin ou de chanvre ; Mouchoirs ; blancs, même brodés en fil",,
"Tissus de lin ou de chanvre ; Mouchoirs ; teints, imprimés, rayés par le tissage",,
Tissus de lin ou de chanvre ; Passementerie de fil ; blanc ou mélangé de blanc,,
"Tissus de lin ou de chanvre ; Passementerie de fil ; écru, bis ou herbé",,
Tissus de lin ou de chanvre ; Passementerie de fil ; teint en tout ou en partie,,
Tissus de lin ou de chanvre ; Ratiste et linon,,
Tissus de lin ou de chanvre ; Rubans,,
Tissus de lin ou de chanvre ; Sans indication (mélangés),,
"Tissus de lin ou de chanvre ; Toile ; croisée. - Coutil, basin et autre",,
"Tissus de lin ou de chanvre ; Toile ; ouvragée, pour linge de table",,
Tissus de lin ou de chanvre ; Toile ; unie ; à matelas,,
Tissus de lin ou de chanvre ; Toile ; unie ; blanche,,
Tissus de lin ou de chanvre ; Toile ; unie ; blanche ; de 13 fils inclusivement à 20 fils exclusivement,,
Tissus de lin ou de chanvre ; Toile ; unie ; blanche ; de 20 fils et au-dessus,,
Tissus de lin ou de chanvre ; Toile ; unie ; blanche ; de moins de 13 fils,,
Tissus de lin ou de chanvre ; Toile ; unie ; cirée,,
Tissus de lin ou de chanvre ; Toile ; unie ; écrue ; apprêtée,,
Tissus de lin ou de chanvre ; Toile ; unie ; écrue ; apprêtée ; de 13 fils inclusivement à 20 fils exclusivement,,
Tissus de lin ou de chanvre ; Toile ; unie ; écrue ; apprêtée ; de 8 fils inclusivement à 13 fils exclusivement,,
Tissus de lin ou de chanvre ; Toile ; unie ; écrue ; apprêtée ; de moins de 8 fils,,
Tissus de lin ou de chanvre ; Toile ; unie ; écrue ; sans apprêt,,
Tissus de lin ou de chanvre ; Toile ; unie ; écrue ; sans apprêt ; de 13 fils inclusivement à 20 fils exclusivement,,
Tissus de lin ou de chanvre ; Toile ; unie ; écrue ; sans apprêt ; de 20 fils et au-dessus,,
Tissus de lin ou de chanvre ; Toile ; unie ; écrue ; sans apprêt ; de 8 fils inclusivement à 13 fils exclusivement,,
Tissus de lin ou de chanvre ; Toile ; unie ; écrue ; sans apprêt ; de moins de 8 fils,,
Tissus de lin ou de chanvre ; Toile ; unie ; imprimée,,
"Tissus de lin ou de chanvre ; Toile ; unie ; mi-blanche, de moins de 8 fils",,
Tissus de lin ou de chanvre ; Toile ; unie ; peinte sur enduit pour tapisserie,,
Tissus de lin ou de chanvre ; Toile ; unie ; teinte,,
Tissus de lin ou de chanvre ; Toile ; unie ; teinte ; de 13 fils inclusivement à 20 fils exclusivement,,
Tissus de lin ou de chanvre ; Toile ; unie ; teinte ; de moins de 8 fils,,
Tissus de lin ou de chanvre ; Toile ; unie ; teintes ; de 8 fils inclusivement à 13 fils exclusivement,,
Tissus de lin ou de chanvre ; Tulle,,
"Tissus de poil ; tapis, bonneteries et étoffes",,
Tissus de soie ; blonde,,
Tissus de soie ; Blonde,,
Tissus de soie ; bonneterie,,
Tissus de soie ; brochés ; d'or et d'argent ; faux,,
Tissus de soie ; brochés ; d'or et d'argent ; fin,,
Tissus de soie ; brochés ; de soie,,
Tissus de soie ; crêpe,,
Tissus de soie ; Étoffes ; mêlées de fil,,
Tissus de soie ; Étoffes ; pures ; brochées ; d'or ou d'argent ; faux,,
Tissus de soie ; Étoffes ; pures ; brochées ; d'or ou d'argent ; fin,,
Tissus de soie ; Étoffes ; pures ; brochées ; de soie,,
Tissus de soie ; Étoffes ; pures ; façonnées,,
Tissus de soie ; Étoffes ; pures ; unies,,
Tissus de soie ; façonnés,,
Tissus de soie ; gaze de toute espèce,,
Tissus de soie ; Gaze de toute espèce,,
Tissus de soie ; mêlés d'autres matières,,
Tissus de soie ; passementerie ; de mêlée d'or et d'argent,,
Tissus de soie ; passementerie ; de soie pure,,
Tissus de soie ; passementerie ; mêlée d'or ou d'argent fin et faux,,
Tissus de soie ; Rubans (ceux de velours compris),,
Tissus de soie ; rubans unis et veloutés,,
Tissus de soie ; tulle,,
Tissus de soie ; Tulle,,
Tissus de soie ; unis,,
Tissus de soie ; velours,,
"Tissus de soie, coton et laine mélangés",tissus de soie coton et laine mélangés,
Tissus de toile de coutil,tissus de toile de coutil,
Tissus de toile en linge de table,tissus de toile en linge de tables,
Tissus de toiles de coutil et à carreaux,tissus de toile de coutil et à carreaux,
Tissus de toiles en linge de table,tissus de toile en linge de tables,
Tissus dentelles de fil,tissus dentelle de fil,
Tissus en feuilles,,
Tissus en feuilles des mêmes matières,,
"Tissus en feuilles, des mêmes matières",,
tocfiche,stockfish,
toffe de soye,,
Toie ; Cholet,toile Cholet,
Toie ; de coton,toile de coton,
Toie ; piquée,toile piquée,
Toie ; Toilerie,toile toilerie,
Toiel d'emballage,,
Toiile ; à carreau,toile à carreaux,
Toil en Rossière,toile en rossière,x
Toilà ; à Bluteaux,toile à bluteaux,
Toile,toile,
"Toile , Bem ; ?",toile bem ???,x
"Toile , siamoise",toile siamoise,
Toile ; ?,toile ???,
Toile ; à bas,toile à bas,
Toile ; a bats,toile à bâts,x
Toile ; à caneva,toile à canevas,
Toile ; à canneva,toile à canevas,
Toile ; à carreau,toile à carreaux,
Toile ; a carreaux,toile à carreaux,
Toile ; A carreaux,toile à carreaux,
Toile ; à carreaux,toile à carreaux,
Toile ; a matelas,toile à matelas,
Toile ; A matelas,toile à matelas,
Toile ; à matelas,toile à matelas,
Toile ; à matelat,toile à matelas,
Toile ; a matelats,toile à matelas,
Toile ; à matelats,toile à matelas,
Toile ; à matelot,toile à matelot,
Toile ; à napes,toile à nappes,
Toile ; à napes et serviettes,toile à nappes et serviettes,
Toile ; à paillasse,toile à paillasses,
Toile ; à pavillon,toile à pavillon,
Toile ; a sac,toile à sacs,
Toile ; à sac,toile à sacs,
Toile ; à Sac,toile à sacs,
Toile ; a serviettes,toile à serviettes,
Toile ; à serviettes,toile à serviettes,
Toile ; à Serviettes,toile à serviettes,
Toile ; à tamis,toile à tamis,
Toile ; a voile,toile à voile,
Toile ; A voile,toile à voile,
Toile ; à voile,toile à voile,
Toile ; à Voile,toile à voile,
Toile ; à voile ; de 24 aunes,toile à voile de 24 aunes,
Toile ; a Voille,toile à voile,
Toile ; ab???,toile a ???,x
Toile ; abas,toile abat,x
Toile ; abat,toile abat,x
Toile ; assortie,toile assortie,
Toile ; assorties,toile assortie,
Toile ; au lain,toile au lain,x
Toile ; au lait,toile au lait,
Toile ; aulau,toile au lait,x
Toile ; baptiste,toile batiste,
Toile ; Baptiste,toile batiste,
Toile ; bariste,toile batiste,
Toile ; barriere,toile barrière,x
Toile ; barrois,toile Barrois,x
Toile ; basin,toile basin,
toile ; basine,toile basine,
toile ; batiste,toile batiste,
Toile ; batiste,toile batiste,
Toile ; Batiste,toile batiste,
Toile ; batiste ou toilette,toile batiste ou toilettes,
Toile ; battiste,toile batiste,
Toile ; bazin,toile basin,
Toile ; Bazin,toile basin,
Toile ; Bazir,toile basin,x
Toile ; Bem ; A voile,toile bem à voile,x
Toile ; Bem ; De Vimoutiers,toile bem de Vimoutiers,x
Toile ; beuricre,toile beurrière,x
Toile ; beuriere,toile beurrière,x
Toile ; beurriere,toile beurrière,x
Toile ; Beurriere,toile beurrière,x
Toile ; beurrière,toile beurrière,x
Toile ; blanc,toile blanche,
Toile ; blancard,toile blancard,
Toile ; Blancard,toile blancard,x
Toile ; blancard ; de Rouen,toile blancard de Rouen,
Toile ; blancard de lin,toile blancard de lin,
Toile ; blancart,toile blancard,
toile ; blanche,toile blanche,
Toile ; blanche,toile blanche,
Toile ; Blanche,toile blanche,
Toile ; blanche ; commune,toile blanche commune,
Toile ; blanche ; de 13 à 20 fils,,
Toile ; blanche ; de 20 fils et au-dessus,,
Toile ; blanche ; de moins de 13 fils,,
Toile ; blanche ; et teinte,toile blanche et teinte,
Toile ; blanche ; fine,toile blanche fine,
Toile ; blanche ; ordinaire,toile blanche ordinaire,
Toile ; blanche de Cholet,toile blanche de Cholet,
Toile ; blanche de lin,toile blanche de lin,
Toile ; blanche de menage,toile blanche de ménages,
Toile ; blanche et rouge,toile blanche et rouge,
