marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames
Poil ; de chevreau	Poil	2	2				
Poil ; de chevrotin	Poil	2	2				
Poil ; de chèvre	Poil	2	2				
Poil ; de chèvre ; Filé	Poil	2	2				
Poil ; de chèvre ; filé							
Poil ; de chèvre ; simple	Poil	2	2				
Poil ; de chèvre et de chameau	Poil	2	2		2	2	
Poil ; de chèvre, lièvre et lapin	Poil	2	2				
Poil ; de chèvre ; filé	Poil	2	2				
Poil ; de lapin	Poil	2	2				
Poil ; de lièvre	Poil	2	2				
Poil ; de lièvre et lapin	Poil	2	2				
Poil ; de lièvres et lapins	Poil	2	2		2	2	
Poil ; de loup							
Poil ; de porc							
Poil ; de porc et sanglier	Poil	2	2				
Poil ; de sanglier	Poil	2	2				
Poil ; de vache	Poil	2	2				
Poil ; de vache dit bourre	Poil	2	2		2	2	
Poils ; verds	Poil	2	2				
Poils ; verts							
Poils ; de castor							
Poils ; de chameau							
Poils ; de cheval							
Poils ; de chèvre							
Poils ; de lapin							
Poils ; de vache							
Poils et cheveux							
Poil ; de cerf dit bourre	Poil	2	2		2	2	
Point ; d'or	Point ; d'or	6	6				
Point ; or et argent	Point ; or et argent	6	6				
Pointes ; de bois	Pointes ; de bois	6	6				
Pointes ; de bois ; pour bâtir	Pointes ; de bois ; pour bâtir	6	6				
Pointes ; de corne	Pointes ; de corne	6	6				
Pointes ; de queue ; de martre	Pointes ; de queue ; de martre	6	6				
Pointes ; de Hollande							
Pointes ; de Lübeck							
Pointes ; en métal							
Points ; de Hongrie							
Points ; de Hongrie	Points ; de Hongrie	6	6		6	6	
Poires	Fruits	0	0a				
Poires de bons chrétiens	Fruits	0	0a	poires de bon chretien	0	0a	poires de bon chretien
Poires de bons chrétiens et de coing	Fruits	0	0a		0	0a	
Poires de coing	Fruits	0	0a		0	0a	
Poires et Pomme							
Poires et Pomme ; sèches							
Poires et pommes	Fruits	0	0a				
Poires et pommes ; sèches	Fruits	0	0a		0	0a	
Poisson							
Poisson ; De mer salée et marinée ; Anchois	Poisson	0	0a				
Poisson ; De mer salée et marinée ; Divers	Poisson	0	0a				
Poisson ; De mer salée et marinée ; Hareng ; Blanc	Poisson	0	0a				
Poisson ; De mer salée et marinée ; Sardines	Poisson	0	0a				
Poisson ; De mer salée et marinée ; Saumon	Poisson	0	0a				
Poisson ; De mer salée et marinée ; Thon	Poisson	0	0a				
Poisson ; De mer salée et marinée ; Thon ; Mariné	Poisson	0	0a				
Poisson ; De mer salée et marinée ; Tortue	Poisson	0	0a				
Poisson ; De mer salés ou marinés ; Anchois	Poisson	0	0a				
Poisson ; De mer salés ou marinés ; Congre	Poisson	0	0a				
Poisson ; De mer salés ou marinés ; Divers	Poisson	0	0a				
Poisson ; De mer salés ou marinés ; Hareng ; Blanc	Poisson	0	0a				
Poisson ; De mer salés ou marinés ; Hareng ; Saur	Poisson	0	0a				
Poisson ; De mer salés ou marinés ; Marsouin	Poisson	0	0a				
Poisson ; De mer salés ou marinés ; Sardines	Poisson	0	0a				
Poisson ; De mer salés ou marinés ; Stocfich	Poisson	0	0a				
Poisson ; Hareng ; Blanc							
Poisson ; Harengs ; Blanc	Poisson	0	0a				
Poisson ; Harengs ; Saurs	Poisson	0	0a				
Poisson ; Maquereaux	Poisson	0	0a				
Poisson ; Merlu							
Poisson ; Morue ; Salée	Poisson	0	0a				
Poisson ; Morue ; Sèche	Poisson	0	0a				
Poisson ; Morue ; Têtes	Poisson	0	0a				
Poisson ; Morue ; Verte	Poisson	0	0a				
Poisson ; Sardine	Poisson	0	0a				
Poisson ; Stockfich	Poisson	0	0a				
Poisson ; Turbots							
Poisson ; Turbots ; salé							
Poisson ; d'eau douce	Poisson	0	0a				
Poisson ; d'eau douce ; frais							
Poisson ; d'eau douce ; truite							
Poisson ; d'eau ; cru	Poisson	0	0a				
Poisson ; de mer	Poisson	0	0a				
Poisson ; de mer ; frais							
Poisson ; de mer ; frais ; Hareng							
Poisson ; de mer ; frais ; maquereaux							
Poisson ; de mer ; maquereaux							
Poisson ; de mer ; salé ou mariné							
Poisson ; de mer ; salé ou mariné ; Anchois							
Poisson ; de mer ; salé ou mariné ; Congre							
Poisson ; de mer ; salé ou mariné ; Hareng							
Poisson ; de mer ; salé ou mariné ; Hareng ; Blanc							
Poisson ; de mer ; salé ou mariné ; Marsouin							
Poisson ; de mer ; salé ou mariné ; Morue							
Poisson ; de mer ; salé ou mariné ; Poisson ; de mer; sardine							
Poisson ; de mer ; salé ou mariné ; Saumon							
Poisson ; de mer ; salé ou mariné ; Thon							
Poisson ; de mer ; salé ou mariné ; maquereaux							
Poisson ; de mer; salé ; sardine							
Poisson ; de mer; sardine							
Poisson ; de mer ; morue							
Poisson ; de mer ; morue ; Langue							
Poisson ; de mer ; morue ; Rave							
Poisson ; de mer ; morue ; Têtes							
Poisson ; de mer ; morue ; Verte							
Poisson ; de mer ; salé ; morue							
Poisson ; de mer ; salé ; morue et salée							
Poisson ; de mer ; salé et mariné							
Poisson ; de mer ; salé et mariné ; Hareng ; Blanc							
Poisson ; de mer ; salé et mariné ; Saumon							
Poisson ; de mer ; salé et mariné ; anchois							
Poisson ; de mer ; salé et mariné ; morue							
Poisson ; de mer ; salé et mariné ; thon							
Poisson ; de mer ; salé et mariné ; tortue							
Poisson ; de toute sorte	Poisson	0	0a				
Poisson ; divers	Poisson	0	0a				
Poisson ; dos							
Poisson ; flets et carrelets							
Poisson ; flétan							
Poisson ; frais	Poisson	0	0a				
Poisson ; frais ; anguilles							
Poisson ; frais ; de mer	Poisson	0	0a				
Poisson ; frais ; divers	Poisson	0	0a				
Poisson ; frais ; vendu en mer	Poisson	0	0a				
Poisson ; frit	Poisson	0	0a				
Poisson ; mariné	Poisson	0	0a				
Poisson ; salé	Poisson	0	0a				
Poisson ; salé ; anchois							
Poisson ; salé ; maquereau							
Poisson ; salé ; mariné ; anchois							
Poisson ; salé ; mariné ; harengs							
Poisson ; salé ; mariné ; harengs ; blanc							
Poisson ; salé ; mariné ; morue							
Poisson ; salé ; mariné ; saumon							
Poisson ; salé ; morue							
Poisson ; salé ; sardine							
Poisson ; salé ; saumon							
Poisson ; salé ou mariné ; Hareng							
Poisson ; salés	Poisson	0	0a				
Poisson ; sardine							
Poisson ; saumon							
Poisson ; saumon ; salé							
Poisson ; sec	Poisson	0	0a				
Poisson ; séché							
Poisson ; à la daube	Poisson	0	0a		0	0a	
Poisson ; œufs de thon	Poisson	0	0a				
Poissons ; harengs ; merlans ; frais							
Poissons, petits blancs	Poisson	0	0a				
Poisson ; Flétan ; salé							
Poisson ; Maquereau							
Poisson ; Merlan							
Poisson ; Merlus	Poisson	0	0a				
Poisson ; Morue ; Langue	Poisson	0	0a				
Poisson ; Morue ; Rave	Poisson	0	0a				
Poisson ; Soles							
Poisson ; Turbots	Poisson	0	0a		0	0a	
Poisson ; Turbots ; salé	Poisson	0	0a		0	0a	
Poisson ; de Norvège							
Poisson ; de mer ; Narval							
Poisson ; de mer ; séché ; morue							
Poisson ; de rebut							
Poisson ; d’Islande							
Poisson et produit de poisson							
Poisson ; loche							
Poisson ; morue	Poisson	0	0a				
Poisson ; petits ; blancs							
Poisson ; sec et fumés ; Soles et playsses							
Poisson ; séché							
Poisson ; œufs							
Poix	Poix	0	0a				
Poix ;  en gerbe							
Poix ;  en jarbes	Légumes	0	0a		0	0a	
Poix ; blanche	Poix	5	5				
Poix ; d'Espagne ou Garavance							pois dits garavance
Poix ; de bourgogne	Légumes	0	0a				
Poix ; noir	Poix	5	5				
Poix ; résine	Poix	5	5				
Poix ; secs	Légumes	0	0a				
Poix ; verds	Légumes	0	0a				
Poix ; verts							
Poix blanche et noire	Poix	5	5				
Poix blanche et résine	Poix	5	5				
Poix, terck, daguet, goudron	Poix	5	5				
Poix ; commun	Légumes	0	0a		0	0a	
Poix ; d'Espagne ou Garavance	Légumes	0	0a	pois dits garavance	0	0a	pois dits garavance
Poix ; fin							
Poix ; gros							
Polemits	Polemits	6	6b		6	6b	
Polipodes	Polipodes	5	5		5	5	
Pommade	Pommade	5	5				
Pommade et savonnette	Pommade	5	5	pomades, savonettes et pate à laver les mains	5	5	pomades, savonettes et pate à laver les mains
Pomme							
Pomme ; d'apis	Fruits	0	0a				
Pomme ; de canne							
Pomme ; de grenades							grenades
Pomme ; de grenades et ananas							
Pomme ; de terre							
Pommes	Fruits	0	0a				
Pommes ; de canne	Pommes ; de canne	8	8				
Pommes ; de terre	Légumes	0	0a				
Pommes ; de grenades	Fruits	0	0a	grenades	0	0b	grenades
Pommes ; de grenades et ananas	Fruits	0	0b		0	0b	
Pompe							
Pompe ; de bois							
Pompe ; pour pompiers							
Pompe ; à feu							
Pompe ; à hollande							
Pompes	Pompes	6	6		6	6	
Pompes ; de bois	Pompes	6	6				
Pompes ; à feu	Pompes	6	6				
Pompes ; à hollande	Pompes	6	6				
Pompes ; pour pompiers	Pompes	6	6				
Pompe ; en cuivre							
Poncire	Fruits et légumes	0	0a	Variété de citron dont on fait plutôt des confitures.			
Porc							
Porc ; en vie	Bétail	0	0a				
Porc ; frais	Viande	0	0a				
Porc ; gras							
Porc ; maigres							
Porc ; porcelet							
Porc ; salé	Viande	0	0a				
Porc ; tué							
Porc et poulets							
Porcelaine	Porcelaine	6	6				
Porcelaine ; contrefaite	Porcelaine	6	6				
Porcelaine ; de Saxe	Porcelaine	6	6				
Porcelaine ; de Tournai	Porcelaine	6	6				
Porcelaine ; ordinaire	Porcelaine	6	6				
Porcelets	Bétail	0	0a				
Porcs	Bétail	0	0a				
Porcs ; en vie	Bétail	0	0a				
Porcs ; frais	Viande	0	0a				
Porcs ; gras	Bétail	0	0a				
Porcs ; maigres	Bétail	0	0a				
Porcs ; porcelets	Bétail	0	0a				
Porcs ; salé	Viande	0	0a				
Porcs ; tués	Viande	0	0a				
Porcs et poulets	Viande	0	0a				
Portants							
Portefeuille	Portefeuille	8	8		8	8	
Portevue	Portevue	…	…				
Porte ; de verre							
Portraits							
Portraits de familles	Portraits de familles	8	8				
Potache	Potasse	5	5	Potasse (autre forme de)			
Potasse	Potasse	5	5	5			
Potasses	Potasses	5	5				
Potasses, vedasses et gravelées	Potasses	5	5				
Poteaux et montants ; en chêne							
Poterie	Poterie	6	6				
Poterie ; de farine à sucre	Poterie	6	6				
Poterie ; de fer	Poterie	6	6				
Poterie ; de grès	Poterie	6	6				
Poterie ; de grès ; barbançon							
Poterie ; de grès ; barbançons	Poterie	6	6				
Poterie ; de grès ; barbues	Poterie	6	6				
Poterie ; de grès ; bouteille							
Poterie ; de grès ; bouteilles	Poterie	6	6				
Poterie ; de grès ; canette							
Poterie ; de grès ; canettes	Poterie	6	6				
Poterie ; de grès ; cannettes	Poterie	6	6				
Poterie ; de grès ; cruche							
Poterie ; de grès ; cruches	Poterie	6	6				
Poterie ; de grès ; divers	Poterie	6	6				
Poterie ; de grès ; diverse	Poterie	6	6				
Poterie ; de livre	Poterie	6	6				
Poterie ; de pierre							potteries de terre et de pierre
Poterie ; de terre	Poterie	6	6				
Poterie ; de terre ; cannette							
Poterie ; de terre ; divers	Poterie	6	6				
Poterie ; de terre ; diverses	Poterie	6	6				
Poterie ; de terre ; terraille	Poterie	6	6				
Poterie ; de terre cuite et de pierre							service de cuisine
Poterie ; de terre ; cannettes	Poterie	6	6				
Poterie ; diverse	Poterie	6	6				
Poterie ; formes ; à sucre	Poterie	6	6				
Poterie ; jarres	Poterie	6	6				
Poterie ; terraille	Poterie	6	6				
Poterie ; à raffinerie							
Poterie et bouteilles ; en pierre							
Poterie ; de cuivre							
Poterie ; de terre cuite							
Potin	Potin	6	6				
Potin ; cru							
Potin ; gris							
Potin ; à plomber poterie							
Potin; raffiné	Potin	6	6		6	6	
Potin ; cru	Potin	6	6		6	6	
Potin ; gris	Potin	6	6				
Potin ; à plomber pots	Potin	6	6		6	6	
Pots ; de grès	Pots	6	6				
Pots ; de terre	Pots	6	6				
Pots ; à raffinerie	Pots	6	6				
Pots et bouteilles ; pierres	Pots	6	6		6	6	
Pots ; de pierres	Pots	6	6	potteries de terre et de pierre	6	6	potteries de terre et de pierre
Pottin ; gris	Potin	6	6				
Poudre							
Poudre ; bronzant							
Poudre ; d'Ailhaud	Poudre ; d'Ailhaud	5	5				
Poudre ; d'aventurine	Poudre ; d'aventurine	5	5				
Poudre ; d'iris	Poudre ; d'iris	5	5				
Poudre ; de capucin							sabadille ou poudre de capucins
Poudre ; de gouaxaca	Poudre ; de gouaxaca	5	5				
Poudre ; médicinale	Poudre ; médicinale	5	5				
Poudre ; purgative	Poudre ; purgative	5	5				
Poudre ; à canon	Poudre ; à canon	9	9				
Poudre ; à poudrer	Poudre ; à poudrer	5	5				
Poudre ; à tirer	Poudre ; à tirer	5	5				
Poudre à tirer	Poudre à tirer	9	9				
Poudre ; bronzant	Poudre ; bronzant	5	5		5	5	
Poudre ; cosmétique							
Poudre ; d'or							
Poudre ; de capucin	Poudre ; de capucin	5	5	sabadille ou poudre de capucins	5	5	sabadille ou poudre de capucins
Poudre ; de senteur	Poudre ; de senteur	5	5		5	5	
Poudre et amidon							
Poudre ; à tirer	Poudre ; à tirer	9	9		9	9	
Poulains	Bétail	0	0a		0	0a	
Poulardes	Volaille	0	0a		0	0a	
Poules	Volaille	0	0a		0	0a	
Poules ; de bois	Poules ; de bois	0	0a		0	0a	
Poulets	Poulets	0	0a				
Poulies	Poulies	6	6				
Poulies ; de bois							
Pourette	Plants	0	0a				
Pourette ; de mûriers	Plants	0	0a	C'est un plant de murier d'un ou deux ans.			
Pourçaux	Bétail	0	0a				
Pousses ; de houblon et de vigne							plantes de vigne et jets d'houblon
Pousses ; de houblon et de vigne	Plants	2	2	plantes de vigne et jets d'houblon	2	2	plantes de vigne et jets d'houblon
Poussins	Volaille	0	0a		0	0a	
Poussière ; d'encens	Poussière ; d'encens	5	5				
Poussière ; de résine	Poussière ; de résine	5	5				
Poussière ; de tartre	Poussière ; de tartre	5	5				
Poussière ; de terre							
Poutargues	Poutargues	0	0a	ou Boutargue : sorte de mets qu'on prépare en Italie et dans le midi de la France avec des oeufs de poisson salé, confits dans le vinaigre.			
Pouteaux							
Poutrelles	Poutrelles	6	6				
Poutrelles ; de sapin	Poutrelles ; de sapin	6	6				
Poutres	Poutres	6	6				
Poutres ; de chêne							
Poutres ; de navire							
Poutres ; de sapin	Poutres	6	6				
Poutres et poutrelles							
Poêles							
Poêles ; à feu	Poêles ; à feu	6	6				
Poêles ; à frire	Poêles ; à frire	6	6				
Poêles; de fer	Poêles; de fer	6	6				
Poêles ; de fer							
Poêles ; en fer ; pour chauffage							
Poêles ; en fer ; pour faire la cuisine							
Poêles ; en laiton							
Preceintes	Planches	2	2	Il s'agit des planches de chêne qui servent à faire la préceinte des navires.			
Presse	Presse	7	7				
Presure	Présure	5	5	« C'est un composé d'eau, de sel et de vessie de veau » (Savary)			
Primula veris	Primula veris	5	5		5	5	
Produits ; chimiques							
Prohibé	Prohibé	…	…				
Provisions							
Provisions ; de bouche	Provisions	0	0a				
Provisions ; de bouche ; réunies	Provisions	0	0a				
Provisions ; diverses	Provisions	0	0a				
Pruneaux	Fruits	0	0a				
Prunes	Fruits	0	0a		0	0a	
Prunes de St. Catherine	Fruits	0	0a		0	0a	
Prunes, pêches, cerises, meffles, etc.	Fruits	0	0a				
Prunes; communes	Fruits	0	0a		0	0a	
Précipité	Précipité	5	5				
Précipité ; rouge							
Précipité ; rouge	Précipité ; rouge	5	5		5	5	
Présure	Présure	…	…				
Pâte							
Pâte ; aux vieux chiffons	Pâte ; aux vieux chiffons	2	2				
Pâte ; d'amande	Pâte ; d'amande	0	0a		0	0a	
Pâte ; d'orgeat	Pâte ; d'orgeat	0	0a				
Pâte ; de guimauve	Pâte ; de guimauve	0	0a				
Pâte ; diverse	Pâte ; diverse	0	0a				
Pâte ; diverse ; d'Italie	Pâte ; diverse	0	0a				
Pâte ; diverses	Pâte ; diverse	0	0a				
Pâte ; semoule	Pâte ; diverse	0	0a				
Pâte ; vermicelle	Pâte ; diverse	0	0a				
Pâte ; à papier	Pâte ; à papier	2	2				
Pâte et tablette de guimauve	Pâte ; de guimauve	0	0a		5	5	
Pâte et tablette ; de guimauve							
Pâtes							
Pâtes ; semoule							
Pâtes ; vermicelle							
Pâtes d'Italie							
Pâtisserie							
Pâtisseries ; de toute espèce	Pâtisseries ; de toute espèce	0	0a	mastelles	0	0a	mastelles
Pâté							
Pâté ; de canard							
Pâté ; de chèvre et autres							
Pâtés	Pâtés	0	0a				
Pâtés ; de canards	Pâtés	0	0a				
Pâté ; de chèvre et autres	Pâté ; de chèvre et autres	0	0a		0	0a	
Pékin	Pékin	…	…				
Pêches	Poisson	0	0a		0	0a	
Pêches ; sèches	Poisson	0	0a				
Quarlais, bottes, etc.	Quarlais, bottes, etc.	…	…				
Quarts ; de nonante	Quarts ; de nonante	…	…				
Quenouilles	Quenouilles	…	…				
Queue ; de martre							
Queue ; de petits gris							
Queue ; de renard et écureuil							
Queues ; de martre	Queues	2	2				
Queues ; de renard et écureuil	Queues	2	2		2	2	
Quilles ; de hêtre	Quilles ; de hêtre	7	7				
Quilles ; de vaisseaux	Quilles ; de vaisseaux	7	7				
Quincaille	Quincaillerie	6	6				
Quincaillerie	Quincaillerie	6	6				
Quincaillerie ; Commune	Quincaillerie	6	6				
Quincaillerie ; D'acier ; Diverse	Quincaillerie ; D'acier ; Diverse	6	6				
Quincaillerie ; Divers	Quincaillerie	6	6				
Quincaillerie ; Diverse	Quincaillerie	6	6				
Quincaillerie ; Faux et faucilles	Quincaillerie	6	6				
Quincaillerie ; Fil de fer							
Quincaillerie ; Fine	Quincaillerie	6	6				
Quincaillerie ; Limes	Quincaillerie	6	6				
Quincaillerie ; Moulins à café	Quincaillerie	6	6				
Quincaillerie ; Poids de fer	Quincaillerie ; de fer	6	6				
Quincaillerie ; Serrures pour faurevette	Quincaillerie	6	6				
Quincaillerie ; Têtes de clous	Quincaillerie	6	6				
Quincaillerie ; clous							
Quincaillerie ; d'acier	Quincaillerie ; d'acier	6	6				
Quincaillerie ; de bois	Quincaillerie ; de bois	6	6				
Quincaillerie ; de cuivre	Quincaillerie ; de cuivre	6	6				
Quincaillerie ; de cuivre ; En clous	Quincaillerie ; de cuivre	6	6				
Quincaillerie ; de cuivre ; clou							
Quincaillerie ; de cuivre, fer et d'acier	Quincaillerie ; de cuivre, fer et d'acier	6	6				
Quincaillerie ; de fer	Quincaillerie ; de fer	6	6				
Quincaillerie ; de fer ; Clous	Quincaillerie ; de fer	6	6				
Quincaillerie ; de fer ; Divers	Quincaillerie ; de fer	6	6				
Quincaillerie ; de fer ; Diverse	Quincaillerie ; de fer	6	6				
Quincaillerie ; de fer ; Faux et ferraille	Quincaillerie ; de fer	6	6				
Quincaillerie ; de fer ; Fil de fer	Quincaillerie ; de fer	6	6				
Quincaillerie ; de fer ; Haches	Quincaillerie ; de fer	6	6				
Quincaillerie ; de fer ; Haches, houes et serpes							
Quincaillerie ; de fer ; Haches, pailles							
Quincaillerie ; de fer ; Limes	Quincaillerie ; de fer	6	6				
Quincaillerie ; de fer ; Pignes à cordes	Quincaillerie ; de fer	6	6				
Quincaillerie ; de fer ; Scies							
Quincaillerie ; de fer ; Truelles							
Quincaillerie ; de fer ; clou							
Quincaillerie ; de fer ; faux							
Quincaillerie ; de fer ; faux et ferraille							
Quincaillerie ; de fer ; fil							
Quincaillerie ; de fer ; hache							
Quincaillerie ; de fer ; lime							
Quincaillerie ; de fer ; pignes à cordes							
Quincaillerie ; de fer et acier	Quincaillerie ; de fer	6	6				
Quincaillerie ; de fer et acier ; faux							
Quincaillerie ; de fer et d'acier	Quincaillerie ; de fer	6	6				
Quincaillerie ; diverses	Quincaillerie	6	6				
Quincaillerie ; faux et faucilles							
Quincaillerie ; fine							
Quincaillerie ; lime							
Quincaillerie ; poids de fer							
Quincaillerie ; serans ; à peigner							
Quincaillerie ; serrures							
Quincaillerie ; serrures pour faurevette							
Quincaillerie et mercerie mêlées	Quincaillerie et mercerie mêlées	6	6		6	6	
Quincaillerie y compris les armes et ferrailles	Quincaillerie y compris les armes et ferrailles	6	6		6	6	
Quincailleries ; de fer ; scies							
Quincaillerie ; Fil de fer							
Quincaillerie ; de fer							
Quincaillerie ; de fer ; Haches, houes et serpes	Quincaillerie ; de fer	6	6				
Quincaillerie ; de fer ; Haches, pailles	Quincaillerie ; de fer	6	6				
Quincaillerie ; de fer ; Scies	Quincaillerie ; de fer	6	6				
Quincaillerie ; de fer ; Truelles	Quincaillerie ; de fer	6	6				
Quincaillerie et arme et ferraille							
Quincaillerie et mercerie							
Quinette	Quinette	6	6b	(ou Quignette) Espèce de camelot tout de laine et quelquefois mêlé de poils de chèvre qui se fabrique en Flandres et en Picardie (Savary)			
Quinquina	Quinquina	5	5		5	5	
Quintessence	Quintessence	5	5				
Racines ; d'Angleterre	Racines	2	2				
Racines ; d'alizari	Racines	2	2				
Racines ; d'angélique	Racines	2	2				
Racines ; d'arcanettes	Racines	2	2				
Racines ; d'atizari	Racines	2	2				
Racines ; d'orties	Racines	2	2				
Racines ; de Jalap	Racines	2	2				
Racines ; de brionc	Racines	2	2				
Racines ; de dictam	Racines	2	2				
Racines ; de galanga	Racines	2	2				
Racines ; de guimauve	Racines	2	2				
Racines ; de lizary	Racines	2	2				
Racines ; de pirrestre	Racines	2	2				
Racines ; de riz	Racines	2	2				
Racines ; de squine	Racines	2	2				
Racines ; de zedoar							
Racines ; médicinales	Racines	2	2				
Racines ; de zedoar	Racines	2	2		5	5	
Racine ; marron							
Raclure ; de carnet	Raclure ; de carnet	2	2				
Raclure ; de corne	Raclure ; de corne	2	2				
Raclure ; de fer	Raclure ; de fer	2	2				
Radis ; chins	Radis ; chins	2	2		5	5	
Radis ; dictame	Radis ; dictame	2	2	radix dictami (dictame dans le Savary – plante médicinale)			
Raie							
Raies	Poisson	0	0a	rayes, la mande de 40 pieces	0	0a	rayes, la mande de 40 pieces
Rail ; de fer							
Raisin	Raisin	0	0a				
Raisin ; Sec	Raisin	0	0a				
Raisin ; frais	Raisin	0	0a				
Raisine ; de Jalap	Raisine	2	2				
Raisine ; de fer	Raisine	…	…				
Raisine ; de scamnoée	Raisine	…	…				
Raisins ; en barils	Raisine	0	0a		0	0a	
Raisins ; en grappe	Raisine	0	0a		0	0a	
Raisin ; à l'eau de vie							
Rames	Rames	6	6		6	6	
Ramolaches	Ramolaches	0	0a		0	0a	
Ramures	Ramures	…	…				
Ramures ; de sapin	Ramures	2	2				
Rapières							
Raponty	Raponty	…	…				
Rapure ; d'ivoire	Rapure ; d'ivoire	2	2				
Rapure ; de corne	Rapure ; de corne	2	2				
Rapure ; de corne ; de cerf	Rapure ; de corne ; de cerf	2	2				
Raquettes	Raquettes	8	8				
Raquettes et volants							
Raquettes et volants	Raquettes	6	6		6	6	
Rasoirs	Rasoirs	8	8				
Rasoirs ; communs							
Rasorde	Rasorde	…	…				
Ratafia	Ratafia	1	1				
Ratine	Ratine	6	6b	Sorte d'étoffe de laine croisée (Savary)			
Ratine ; teint							
Ratine ; teint	Ratine ; teint	6	6b		6	6b	
Ratissoire							
Raves	Raves	0	0a				
Raves ; de castor	Raves ; de castor	0	0a				
Ravitaillement							
Rayons ; de mouche à miel							rayons et gateaux de miel
Rayons ; de mouche à miel	Rayons ; de mouche à miel	0	0a	rayons et gateaux de miel	0	0a	rayons et gateaux de miel
Raz ; de Saint-Cyr	Raz ; de Saint-Cyr	0	0b				
Raz ; du Maroc	Raz ; du Maroc	0	0b				
Razure ; de corne	Razure ; de corne	2	2		2	2	
Rebut							
Redingotes	Redingotes	8	8				
Redon	Redon	…	…				
Registres	Registres	…	…				
Reliquaires	Reliquaires	…	…				
Remorque ; de navire							
Remèdes	Remèdes	5	5				
Retaille ; de peau	Résine	2	2				
Rez	Rez	6	6		6	6	
Rez ; de charrette	Rez	7	7				
Rez ; de charrue	Rez	6	6				
Rez ; pour la chasse et la pêche							
Rez ; pour tisser							
Rez ; à pêcher	Rez	6	6				
Rez ; pour la chasse et la pêche	Rez	6	6		6	6	
Rez ; pour tisser	Rez	6	6		6	6	
Rhapontica							
Rhubarbe	Rhubarbe	0	0a				
Rhum							
Rhum, rac, anis, etc.	Rhum, rac, anis, etc.	1	1		1	1	
Rideau							
Rivet ; en bois							
Riz	Riz	0	0a				
Riz et garancine							
Robes	Robes	8	8				
Robes ; brodées	Robes	8	8				
Robes ; de chambre	Robes	8	8				
Robinets ; de bronze	Robinets ; de bronze	8	8				
Robinets ; de cuivre	Robinets ; de cuivre	8	8				
Rocaille	Rocaille	2	2				
Rocaille ; de verre	Rocaille	2	2				
Roche ; de diable							
Roche ; de diable	Roche ; de diable	2	2				
Rogne							
Rognes	Rognes	2	2				
Rognons ; de castor	Rognons ; de castor	2	2				
Rognure							
Rognure ; d'ivoire							
Rognure ; d'écaille							
Rognure ; de baleines							
Rognure ; de carte							
Rognure ; de cartes							
Rognure ; de cartes et de papier							
Rognure ; de chapeaux							
Rognure ; de corne							
Rognure ; de corne ; de cerf							
Rognure ; de cornes							
Rognure ; de cornes et de parchemins							
Rognure ; de cuir							
Rognure ; de cuir et de peaux							
Rognure ; de dent d'éléphant							
Rognure ; de drap							
Rognure ; de fer blanc							
Rognure ; de mis							
Rognure ; de papier							
Rognure ; de parchemin							
Rognure ; de peau							
Rognures ; ?	Rognures	2	2				
Rognures ; d'écailles	Rognures	2	2				
Rognures ; de baleines	Rognures	2	2		2	2	
Rognures ; de cartes	Rognures	2	2				
Rognures ; de cartes et de papier	Rognures	2	2		2	2	
Rognures ; de chapeaux	Rognures	2	2		2	2	
Rognures ; de cornes	Rognures	2	2		2	2	
Rognures ; de cornes et de parchemins	Rognures	2	2		2	2	
Rognures ; de cuir	Rognures	2	2		2	2	
Rognures ; de cuir et de peaux	Rognures	2	2		2	2	
Rognures ; de dent d'éléphant	Rognures	2	2				
Rognures ; de drap	Rognures	2	2				
Rognures ; de draps							
Rognures ; de fer blanc	Rognures	2	2		2	2	
Rognures ; de mis	Rognures	2	2				
Rognures ; de papier	Rognures	2	2				
Rognures ; de parchemin	Rognures	2	2				
Rognures ; de peau	Rognures	2	2				
Rognures ; diverses	Rognures	2	2		2	2	
Roldor	Roldor	2	2				
Rollet	Rollet	6	6a		6	6a	
Rollet et batistes							
Rollet et batistes	Rollet ; et batistes	6	6a		6	6a	
Romaines	Romaines	…	…				
Romals ; pour mouchoir							
Romals ; pour mouchoir	Romals ; pour mouchoir	8	8		8	8	
Romarin							
Ronnais	Ronnais	…	…				
Rosaire	Rosaire	…	…				
Roseau							
Roseau ; champêtre							
Roseau ; coupé							
Roseau ; d'Espagne							
Roseau ; d'Inde							
Roseaux	Roseaux	2	2				
Roseaux ; d'Espagne	Roseaux	2	2				
Roseaux ; d'Espagne	Roseaux	2	2		2	2	
Roseaux ; d'Inde	Roseaux ; d'Inde	2	2		2	2	
Roses ; de provinces	Roses ; de provinces	2	2				
Rotin	Rotin	2	2				
Rotins	Rotins	2	2				
Rouauls	Rouauls	…	…				
Roucou et oléane	Roucou et oléane	5	5		5	5	
Roue							
Roue ; de bois							
Roue ; de charrette							
Roue ; diverses							
Roue ; ferrées							
Roue ; neuves							
Roue ; non ferrées							
Roues	Roues	7	7				
Roues ; de bois	Roues	7	7				
Roues ; de charrette	Roues	7	7				
Roues ; diverses	Roues	7	7				
Roues ; ferrées	Roues	7	7		6	6	
Roues ; neuves	Roues	7	7		6	6	
Roues ; non ferrées	Roues	7	7		6	6	
Rouets	Rouets	7	7				
Rouets ; à filer	Rouets	7	7				
Roue ; de chariot							
Rouge	Rouge	5	5		5	5	
