marchandises_normalisees	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG	SITC_rev1	SITC_rev2	remarques_marchandises
"Toile ; de Bretagne ; de mantoncour"		""	""	""	""	""	""
"Toile ; de Bretagne ; de ménage"		""	""	""	""	""	""
"Toile ; de Bretagne ; de rondelette"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Bretagne ; de rosconne"		""	""	""	""	""	""
"Toile ; de Bretagne ; de rousse"		""	""	""	""	""	""
"Toile ; de Bretagne ; diverse"		""	""	""	""	""	""
"Toile ; de Bretagne ; diverses"		""	""	""	""	""	""
"Toile ; de Bretagne ; entre large"		""	""	""	""	""	""
"Toile ; de Bretagne ; gracienne"		""	""	""	""	""	""
"Toile ; de Bretagne ; gris"		""	""	""	""	""	""
"Toile ; de Bretagne ; grise"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Bretagne ; gros brin"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Bretagne ; langerneau"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Bretagne ; large"		""	""	""	""	""	""
"Toile ; de Bretagne ; ocbrin"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Bretagne ; ouvrée"		""	""	""	""	""	""
"Toile ; de Bretagne ; peinte"		""	""	""	""	""	""
"Toile ; de Bretagne ; raxonne"		""	""	""	""	""	""
"Toile ; de Bretagne ; rayée"		""	""	""	""	""	""
"Toile ; de Bretagne ; reforme"		""	""	""	""	""	""
"Toile ; de Bretagne ; rondelette"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Bretagne ; rosconne"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Bretagne ; roudelette"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Bretagne ; rouge et bleue"		""	""	""	""	""	""
"Toile ; de Bretagne ; rousse"		""	""	""	""	""	""
"Toile ; de Bretagne ; serpilliere"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Bretagne ; serpillère"		""	""	""	""	""	""
"Toile ; de Bretagne ; vitrée"		""	""	""	""	""	""
"Toile ; de Bretagne ; à carreaux"		""	""	""	""	""	""
"Toile ; de Bretagne ; à voile"		""	""	""	""	""	""
"Toile ; de Bretagne ; étroite"		""	""	""	""	""	""
"Toile ; de Bruges"	6	"6a"	""	""	""	""	""
"Toile ; de Cambrais"		""	""	""	""	""	""
"Toile ; de Cambray"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Cholet"		""	""	""	""	""	""
"Toile ; de Château-Gontier"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Comté"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Flandre"		""	""	""	""	""	""
"Toile ; de France"		""	""	""	""	""	""
"Toile ; de Grenoble"		""	""	""	""	""	""
"Toile ; de Laval"		""	""	""	""	""	""
"Toile ; de Levant"		""	""	""	""	""	""
"Toile ; de Levant ; divers"		""	""	""	""	""	""
"Toile ; de Levant ; diverses"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Lille"		""	""	""	""	""	""
"Toile ; de Lyon"		""	""	""	""	""	""
"Toile ; de Marigny"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Mortagne"		""	""	""	""	""	""
"Toile ; de Moûtiers"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Nanquin"	6	"6"	""	""	""	""	""
"Toile ; de Piemont"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Piémont"		""	""	""	""	""	""
"Toile ; de Rosconne"		""	""	""	""	""	""
"Toile ; de Rouen"		""	""	""	""	""	""
"Toile ; de Saintonge"		""	""	""	""	""	""
"Toile ; de Saintonges"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Saintongs"		""	""	"linens"	"6"	"6a"	""
"Toile ; de Silésie"	6	"6a"	""	""	""	""	""
"Toile ; de St Georges"		""	""	""	""	""	""
"Toile ; de Suisse"		""	""	""	""	""	""
"Toile ; de Valenciennes"		""	""	"linens"	"6"	"6a"	""
"Toile ; de bearn"		""	""	"linens"	"6"	"6a"	""
"Toile ; de bretagne ; de ménage"		""	""	"linens"	"6"	"6a"	""
"Toile ; de capiton"		""	""	""	""	""	""
"Toile ; de chanvre"		""	""	""	""	""	""
"Toile ; de chanvre ; ?"		""	""	""	""	""	""
"Toile ; de chanvre ; blanche"		""	""	""	""	""	""
"Toile ; de chanvre ; de coutil"		""	""	""	""	""	""
"Toile ; de chanvre ; diverse"		""	""	""	""	""	""
"Toile ; de chanvre ; diverses"		""	""	""	""	""	""
"Toile ; de chanvre ; fine"		""	""	""	""	""	""
"Toile ; de chanvre ; lerue"		""	""	""	""	""	""
"Toile ; de chanvre ; loutil"		""	""	""	""	""	""
"Toile ; de chanvre ; trillin"		""	""	"linens"	"6"	"6a"	""
"Toile ; de chanvre ; à voile"		""	""	""	""	""	""
"Toile ; de chasse"		""	""	"linens"	"6"	"6a"	""
"Toile ; de cordat"		""	""	""	""	""	""
"Toile ; de coton"		""	""	"cotton"	"6"	"6d"	""
"Toile ; de coton ; ?"		""	""	""	""	""	""
"Toile ; de coton ; De piémont"		""	""	"cotton"	"6"	"6d"	""
"Toile ; de coton ; Nankin"		""	""	""	""	""	""
"Toile ; de coton ; basin"		""	""	""	""	""	""
"Toile ; de coton ; bazin"		""	""	"cotton"	"6"	"6d"	""
"Toile ; de coton ; blanc"	6	"6d"	""	""	""	""	""
"Toile ; de coton ; blanche bas prix"	6	"6d"	""	""	""	""	""
"Toile ; de coton ; des Indes"		""	""	""	""	""	""
"Toile ; de coton ; divers"		""	""	""	""	""	""
"Toile ; de coton ; diverse"		""	""	"cotton"	"6"	"6d"	""
"Toile ; de coton ; diverses"		""	""	""	""	""	""
"Toile ; de coton ; du Levant"		""	""	"cotton"	"6"	"6d"	""
"Toile ; de coton ; fulaine"		""	""	""	""	""	""
"Toile ; de coton ; imprimée"	6	"6d"	""	""	""	""	""
"Toile ; de coton ; imprimée bas prix"	6	"6d"	""	""	""	""	""
"Toile ; de coton ; imprimée haut prix"	6	"6d"	""	""	""	""	""
"Toile ; de coton ; mousseline"		""	""	""	""	""	""
"Toile ; de coton ; peinte"	6	"6d"	""	""	""	""	""
"Toile ; de coton ; peinte et imprimée"	6	"6d"	""	""	""	""	""
"Toile ; de coton ; peinte, peignée et imprimée"	6	"6d"	""	""	""	""	""
"Toile ; de coton ; rayé"	6	"6d"	""	""	""	""	""
"Toile ; de coton piquée"	6	"6d"	""	""	""	""	""
"Toile ; de coton teinte bas prix"	6	"6d"	""	""	""	""	""
"Toile ; de coton teinte haut prix"	6	"6d"	""	""	""	""	""
"Toile ; de coton, mousseline et nankin"		""	""	""	""	""	""
"Toile ; de coton, mousseline, nankin et des indes"		""	""	""	""	""	""
"Toile ; de cottray"		""	""	""	""	""	""
"Toile ; de couleur"		""	""	""	""	""	""
"Toile ; de crin"		""	""	""	""	""	""
"Toile ; de fil"		""	""	""	""	""	""
"Toile ; de fil de coton ; siamoise"		""	""	""	""	""	""
"Toile ; de fil et coton"		""	""	""	""	""	""
"Toile ; de fil et coton ; Diverses"		""	""	""	""	""	""
"Toile ; de fil et coton ; Siamoise"		""	""	""	""	""	""
"Toile ; de fil et coton ; diverses"		""	""	""	""	""	""
"Toile ; de fil et de coton dite Sciamoise"	6	"6"	""	""	""	""	""
"Toile ; de lin"		""	""	""	""	""	""
"Toile ; de lin ; ?"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; Beauvais"		""	""	""	""	""	""
"Toile ; de lin ; Cholet"		""	""	""	""	""	""
"Toile ; de lin ; Royale"		""	""	""	""	""	""
"Toile ; de lin ; au lait"		""	""	""	""	""	""
"Toile ; de lin ; batiste"		""	""	""	""	""	""
"Toile ; de lin ; blanche"	6	"6a"	""	""	""	""	""
"Toile ; de lin ; brochée"		""	""	""	""	""	""
"Toile ; de lin ; cholet"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; commune"		""	""	""	""	""	""
"Toile ; de lin ; crue"		""	""	""	""	""	""
"Toile ; de lin ; d'Abbeville"		""	""	""	""	""	""
"Toile ; de lin ; d'Alençon"		""	""	""	""	""	""
"Toile ; de lin ; d'Hollande"		""	""	""	""	""	""
"Toile ; de lin ; de Beauvais"		""	""	""	""	""	""
"Toile ; de lin ; de Cambrais"		""	""	""	""	""	""
"Toile ; de lin ; de Cambray"		""	""	""	""	""	""
"Toile ; de lin ; de Cholet"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; de Flandre"		""	""	""	""	""	""
"Toile ; de lin ; de Frise"		""	""	""	""	""	""
"Toile ; de lin ; de Gand"		""	""	""	""	""	""
"Toile ; de lin ; de Laval"		""	""	""	""	""	""
"Toile ; de lin ; de Lille"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; de Pinon"		""	""	""	""	""	""
"Toile ; de lin ; de Rouen"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; de Russie"		""	""	""	""	""	""
"Toile ; de lin ; de Senlis"		""	""	""	""	""	""
"Toile ; de lin ; de Servins"		""	""	""	""	""	""
"Toile ; de lin ; de St. Malo"		""	""	""	""	""	""
"Toile ; de lin ; de St. Quentin"		""	""	""	""	""	""
"Toile ; de lin ; de Troyes"		""	""	""	""	""	""
"Toile ; de lin ; de Valenciennes"		""	""	""	""	""	""
"Toile ; de lin ; de bernay"		""	""	""	""	""	""
"Toile ; de lin ; de frize"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; de gand"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; divers"		""	""	""	""	""	""
"Toile ; de lin ; diverses"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; fine"		""	""	""	""	""	""
"Toile ; de lin ; fine de Cambrais"		""	""	""	""	""	""
"Toile ; de lin ; fine de Hollande"		""	""	""	""	""	""
"Toile ; de lin ; fine de Valencienne"		""	""	""	""	""	""
"Toile ; de lin ; fine de fambrai"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; fine de hollande"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; fine de valencienne"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; grise"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; grosse"		""	""	""	""	""	""
"Toile ; de lin ; grosse pointe"		""	""	""	""	""	""
"Toile ; de lin ; imprimée"	6	"6a"	""	""	""	""	""
"Toile ; de lin ; latille"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; lerue"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; linon"		""	""	""	""	""	""
"Toile ; de lin ; ouvré"		""	""	"linens"	"6"	"6a"	""
"Toile ; de lin ; ouvrée"		""	""	""	""	""	""
"Toile ; de lin ; platille"		""	""	""	""	""	""
"Toile ; de lin ; rayée"	6	"6a"	""	""	""	""	""
"Toile ; de lin ; rayée et teinte"	6	"6a"	""	""	""	""	""
"Toile ; de lin ; teinte"		""	""	""	""	""	""
"Toile ; de lin blanche haut prix"	6	"6a"	""	""	""	""	""
"Toile ; de lin et chanvre"		""	""	""	""	""	""
"Toile ; de lin et chanvre ; diverse"		""	""	""	""	""	""
"Toile ; de lin et chanvre ; diverses"		""	""	""	""	""	""
"Toile ; de lin grise"	6	"6a"	""	""	""	""	""
"Toile ; de lin grise et ardoisée"	6	"6a"	""	""	""	""	""
"Toile ; de lin teinte"	6	"6a"	""	""	""	""	""
"Toile ; de lin teinte bas prix"	6	"6a"	""	""	""	""	""
"Toile ; de lin teinte haut prix"	6	"6a"	""	""	""	""	""
"Toile ; de lin teinte pour coiffes de chapeaux"	6	"6a"	""	""	""	""	""
"Toile ; de lin teinte pour mouchoirs"	6	"6a"	""	""	""	""	""
"Toile ; de montagne"		""	""	""	""	""	""
"Toile ; de ménage"		""	""	""	""	""	""
"Toile ; de ploc"		""	""	""	""	""	""
"Toile ; des Indes"		""	""	""	""	""	""
"Toile ; des Indes ; ?"		""	""	""	""	""	""
"Toile ; des Indes ; Baffetas"		""	""	"Cotton"	"6"	"6d"	""
"Toile ; des Indes ; Bajutapeaux"		""	""	""	""	""	""
"Toile ; des Indes ; Bandanas"		""	""	""	""	""	""
"Toile ; des Indes ; Bayette"		""	""	""	""	""	""
"Toile ; des Indes ; Biranpeaux"		""	""	""	""	""	""
"Toile ; des Indes ; Brantes"		""	""	""	""	""	""
"Toile ; des Indes ; Brauls"		""	""	""	""	""	""
"Toile ; des Indes ; Bétilles"		""	""	""	""	""	""
"Toile ; des Indes ; Cachelats"		""	""	""	""	""	""
"Toile ; des Indes ; Cachelis"		""	""	""	""	""	""
"Toile ; des Indes ; Caladaris"		""	""	""	""	""	""
"Toile ; des Indes ; Chafelas"		""	""	""	""	""	""
"Toile ; des Indes ; Chouclas"		""	""	"Cotton"	"6"	"6d"	""
"Toile ; des Indes ; Gastas"		""	""	""	""	""	""
"Toile ; des Indes ; Guinée blanche"		""	""	""	""	""	""
"Toile ; des Indes ; Guinée blanche et bleue"		""	""	""	""	""	""
"Toile ; des Indes ; Indienne"		""	""	""	""	""	""
"Toile ; des Indes ; Korola"		""	""	"Cotton"	"6"	"6d"	""
"Toile ; des Indes ; Meganepeaux"		""	""	""	""	""	""
"Toile ; des Indes ; Nankin"		""	""	""	""	""	""
"Toile ; des Indes ; Nicanéas"		""	""	""	""	""	""
"Toile ; des Indes ; Nilas"		""	""	""	""	""	""
"Toile ; des Indes ; Néganépane"		""	""	""	""	""	""
"Toile ; des Indes ; Perle"		""	""	"Cotton"	"6"	"6d"	""
"Toile ; des Indes ; Perse du commerce étranger"		""	""	""	""	""	""
"Toile ; des Indes ; Photes"		""	""	""	""	""	""
"Toile ; des Indes ; Platille"		""	""	""	""	""	""
"Toile ; des Indes ; Ricanias"		""	""	""	""	""	""
"Toile ; des Indes ; Romalis"		""	""	""	""	""	""
"Toile ; des Indes ; Shetas"		""	""	""	""	""	""
"Toile ; des Indes ; Slatille"		""	""	""	""	""	""
"Toile ; des Indes ; Taffetas"		""	""	""	""	""	""
"Toile ; des Indes ; Tapse"		""	""	""	""	""	""
"Toile ; des Indes ; Tapsels"		""	""	""	""	""	""
"Toile ; des Indes ; Tepaye"		""	""	""	""	""	""
"Toile ; des Indes ; coupis"		""	""	""	""	""	""
"Toile ; des Indes ; divers"		""	""	""	""	""	""
"Toile ; des Indes ; diverses"		""	""	""	""	""	""
"Toile ; des Indes ; liménéas"		""	""	""	""	""	""
"Toile ; dite drol et drouel"	6	"6a"	""	""	""	""	""
"Toile ; divers"		""	""	""	""	""	""
"Toile ; diverses"		""	""	""	""	""	""
"Toile ; du Béarn"		""	""	""	""	""	""
"Toile ; du pays"		""	""	""	""	""	""
"Toile ; dure"		""	""	""	""	""	""
"Toile ; découpée"		""	""	""	""	""	""
"Toile ; et coton en balles"	6	"6"	""	""	""	""	""
"Toile ; et treillis lustrée"	6	"6a"	""	""	""	""	""
"Toile ; façonnée en sacs"	6	"6"	""	""	""	""	""
"Toile ; fil et coton pour mouchoirs"	6	"6"	""	""	""	""	""
"Toile ; fine"		""	""	""	""	""	""
"Toile ; fine a commune"		""	""	""	""	""	""
"Toile ; fine de lin"		""	""	""	""	""	""
"Toile ; fine et commune"		""	""	"linens"	"6"	"6a"	""
"Toile ; gingas"		""	""	""	""	""	""
"Toile ; glacée"	6	"6a"	""	""	""	""	""
"Toile ; gommée ; bourgon"		""	""	""	""	""	""
"Toile ; gommée ; canevas"		""	""	""	""	""	""
"Toile ; gommée ; cannevas"		""	""	"linens"	"6"	"6a"	""
"Toile ; gommée ; treillis"		""	""	""	""	""	""
"Toile ; grenade"		""	""	""	""	""	""
"Toile ; grenade de lin"		""	""	"linens"	"6"	"6a"	""
"Toile ; grise"		""	""	"linens"	"6"	"6a"	""
"Toile ; gros fort"		""	""	""	""	""	""
"Toile ; grosse"		""	""	""	""	""	""
"Toile ; idem ; fin"		""	""	""	""	""	""
"Toile ; imprimée"		""	""	""	""	""	""
"Toile ; kettroy"		""	""	""	""	""	""
"Toile ; linge de table"		""	""	""	""	""	""
"Toile ; linge de table ; canapes"		""	""	"linens"	"6"	"6a"	""
"Toile ; linge de table ; canapés"		""	""	""	""	""	""
"Toile ; linge de table ; divers"		""	""	""	""	""	""
"Toile ; linge de table ; serviettes"		""	""	""	""	""	""
"Toile ; linge de table ; vieux"		""	""	""	""	""	""
"Toile ; linge de table ; à napes"		""	""	"linens"	"6"	"6a"	""
"Toile ; linge de table ; à nappes"		""	""	""	""	""	""
"Toile ; linge de table ; à serviettes"		""	""	"linens"	"6"	"6a"	""
"Toile ; linge table ; divers"		""	""	"linens"	"6"	"6a"	""
"Toile ; lin ; gingas"		""	""	""	""	""	""
"Toile ; lin ; grenade"		""	""	""	""	""	""
"Toile ; lustrée"		""	""	""	""	""	""
"Toile ; montagne"		""	""	""	""	""	""
"Toile ; mêlée ; ?"		""	""	"linens"	"6"	"6a"	""
"Toile ; mêlée ; blanches"		""	""	"linens"	"6"	"6a"	""
"Toile ; mêlée ; d'embalage"		""	""	"linens"	"6"	"6a"	""
"Toile ; mêlée ; d'emballage"		""	""	"linens"	"6"	"6a"	""
"Toile ; mêlée ; d'étoupe"		""	""	""	""	""	""
"Toile ; mêlée ; de Bretagne"		""	""	"linens"	"6"	"6a"	""
"Toile ; mêlée ; de Cambray"		""	""	""	""	""	""
"Toile ; mêlée ; de Flandre"		""	""	""	""	""	""
"Toile ; mêlée ; de Laval"		""	""	""	""	""	""
"Toile ; mêlée ; de Rouen"		""	""	""	""	""	""
"Toile ; mêlée ; de linge de table"		""	""	""	""	""	""
"Toile ; mêlée ; di"		""	""	"linens"	"6"	"6a"	""
"Toile ; mêlée ; diverses"		""	""	""	""	""	""
"Toile ; mêlée ; en linge de table"		""	""	""	""	""	""
"Toile ; mêlée ; fine"		""	""	""	""	""	""
"Toile ; mêlée ; ganak"		""	""	"linens"	"6"	"6a"	""
"Toile ; mêlée ; grosses"		""	""	""	""	""	""
"Toile ; mêlée ; grosses en faces"		""	""	"linens"	"6"	"6a"	""
"Toile ; mêlée ; grosses et sommiers"		""	""	""	""	""	""
"Toile ; mêlée ; guingan"		""	""	""	""	""	""
"Toile ; mêlée ; peinte"		""	""	""	""	""	""
"Toile ; mêlée ; peintes"		""	""	""	""	""	""
"Toile ; mêlée ; serpillere"		""	""	"linens"	"6"	"6a"	""
"Toile ; mêlée ; serpillère"		""	""	""	""	""	""
"Toile ; mêlée ; à carreaux"		""	""	"linens"	"6"	"6a"	""
"Toile ; mêlée ; écrues"		""	""	""	""	""	""
"Toile ; mêlées ; ?"		""	""	""	""	""	""
"Toile ; mêlées ; blanches"		""	""	"linens"	"6"	"6a"	""
"Toile ; mêlées ; d'emballage"		""	""	""	""	""	""
"Toile ; mêlées ; de Bretagne"		""	""	""	""	""	""
"Toile ; mêlées ; de lin et de chanvre"		""	""	"linens"	"6"	"6a"	""
"Toile ; mêlées ; divers"		""	""	""	""	""	""
"Toile ; mêlées ; en linge jetable"		""	""	""	""	""	""
"Toile ; mêlées ; en sacs"		""	""	""	""	""	""
"Toile ; mêlées ; fine"		""	""	""	""	""	""
"Toile ; mêlées ; imprimés"		""	""	"linens"	"6"	"6a"	""
"Toile ; mêlées ; teinte"		""	""	""	""	""	""
"Toile ; mêlées ; à bretagne"		""	""	"linens"	"6"	"6a"	""
"Toile ; mêlées ; à carreaux"		""	""	""	""	""	""
"Toile ; non battue"		""	""	""	""	""	""
"Toile ; ordinaire"		""	""	""	""	""	""
"Toile ; ouvrée"		""	""	""	""	""	""
"Toile ; peinte"		""	""	""	""	""	""
"Toile ; piquée"		""	""	""	""	""	""
"Toile ; platille"		""	""	""	""	""	""
"Toile ; platille de lin"		""	""	""	""	""	""
"Toile ; pour ameublement"	6	"6a"	""	""	""	""	""
"Toile ; pour essuie mains"	6	"6"	""	""	""	""	""
"Toile ; pour mouchoirs"	6	"6"	""	""	""	""	""
"Toile ; pour nappes"	6	"6a"	""	""	""	""	""
"Toile ; pour nappes et serviettes"	6	"6a"	""	""	""	""	""
"Toile ; pour serviettes"	6	"6a"	""	""	""	""	""
"Toile ; pour tabac"	6	"6"	""	""	""	""	""
"Toile ; pour tableaux"		""	""	""	""	""	""
"Toile ; pour talliet"		""	""	""	""	""	""
"Toile ; pour tentes"		""	""	""	""	""	""
"Toile ; presitte"		""	""	""	""	""	""
"Toile ; pressée"		""	""	""	""	""	""
"Toile ; ramoise"		""	""	"linens"	"6"	"6a"	""
"Toile ; rayée"		""	""	""	""	""	""
"Toile ; rayée pour mouchoirs"	6	"6"	""	""	""	""	""
"Toile ; rayée, ardoisée et rayonnée"	6	"6a"	""	""	""	""	""
"Toile ; rouge"	6	"6a"	""	""	""	""	""
"Toile ; rousse"		""	""	""	""	""	""
"Toile ; serpillière"		""	""	"linens"	"6"	"6a"	""
"Toile ; teinte"		""	""	""	""	""	""
"Toile ; à bas"		""	""	""	""	""	""
"Toile ; à bats"		""	""	""	""	""	""
"Toile ; à canevas"		""	""	""	""	""	""
"Toile ; à canneva"		""	""	"linens"	"6"	"6a"	""
"Toile ; à carreaux"		""	""	""	""	""	""
"Toile ; à doubler"		""	""	""	""	""	""
"Toile ; à matelas"		""	""	"linens"	"6"	"6a"	""
"Toile ; à napes"		""	""	"linens"	"6"	"6a"	""
"Toile ; à nappe"		""	""	""	""	""	""
"Toile ; à paillasse"		""	""	""	""	""	""
"Toile ; à pavillon"		""	""	""	""	""	""
"Toile ; à peindre"	6	"6a"	""	""	""	""	""
"Toile ; à sac"		""	""	""	""	""	""
"Toile ; à sacquette dite talette"	6	"6a"	""	""	""	""	""
"Toile ; à serviette"		""	""	""	""	""	""
"Toile ; à serviettes"		""	""	"linens"	"6"	"6a"	""
"Toile ; à tamis"	6	"6"	""	""	""	""	""
"Toile ; à tapisser"	6	"6a"	""	""	""	""	""
"Toile ; à voile"		""	""	""	""	""	""
"Toile ; écru, grise et ardoisée"		""	""	""	""	""	""
"Toile ; écrue pour essuie mains"	6	"6"	""	""	""	""	""
"Toile ; étoupe ; de lin"		""	""	""	""	""	""
"Toile ; étrangere"		""	""	"linens"	"6"	"6a"	""
"Toile ; étrangère"		""	""	""	""	""	""
"Toile ; étrangères"		""	""	""	""	""	""
"Toiles ; de 3 aunes de largeur et en dessus"	6	"6a"	""	""	""	""	""
"Toilettes"		""	""	""	""	""	""
"Toilettes ; de bois"		""	""	""	""	""	""
"Toilettes ; de femme"		""	""	""	""	""	""
"Toilettes ; de lin blanches"	6	"6a"	""	""	""	""	""
"Toilettes ; de lin grises"	6	"6a"	"toilettes crue ou grise"	""	""	""	""
"Toile ; Killis"		""	""	""	""	""	""
"Toile ; blanche ; ordinaire"		""	""	""	""	""	""
"Toile ; de Barrois"		""	""	""	""	""	""
"Toile ; de chanvre"		""	""	""	""	""	""
"Toile ; de coton à imprimer"		""	""	""	""	""	""
"Toile ; diverse"	6	"6a"	""	""	""	""	""
"Toile ; embabis"		""	""	""	""	""	""
"Toile ; lavée"		""	""	""	""	""	""
"Toile ; pour ameublement (toile cirée)"		""	""	""	""	""	""
"Tombeaux"		""	""	""	""	""	""
"Ton mariné"	0	"0a"	""	""	""	""	""
"Tondelle"		""	""	""	""	""	""
"Tondures de drap"		""	""	"…"	"6"	"6"	""
"Tonneaux"		""	""	"…"	"8"	"8"	""
"Tonneaux ; vides"		""	""	""	""	""	""
"Tonneaux, cuvelles et futailles"	6	"6"	""	""	""	""	""
"Torons"		""	""	""	""	""	""
"Tortues"	0	"0"	"tortues en vie"	""	""	""	""
"Tortües"		""	""	"…"	"0"	"0b"	""
"Tour ; à filer"		""	""	""	""	""	""
"Tour pour tourneur"	6	"6"	""	""	""	""	""
"Tourbes"		""	""	"…"	"2"	"2"	"Terre noirâtre (Savary)"
"Tournebroches"		""	""	""	""	""	""
"Tournesols"		""	""	"…"	"2"	"2"	""
"Tours"		""	""	"…"	"7"	"7"	"Machine à filer (Savary)"
"Tours ; de lit ; de bourre"		""	""	"…"	"7"	"7"	""
"Tours ; à filer"		""	""	""	""	""	""
"Toutenague"		""	""	""	""	""	""
"Trait ; d'or"		""	""	""	""	""	""
"Trait ; d'or et d'argent"		""	""	""	""	""	""
"Travons ; de sapin"		""	""	""	""	""	""
"Treillis"		""	""	"..."	"6"	"6"	"Toile de chanvre grossière"
"Treillis ; bougrand et canevas"	6	"6a"	""	""	""	""	""
"Treillis ; non lustrée"	6	"6"	""	""	""	""	""
"Tremille"		""	""	""	""	""	""
"Trenelle ; d'espars"		""	""	""	""	""	""
"Tresse ; d'argent"		""	""	"..."	"6"	"6"	""
"Tresse ; d'or"		""	""	""	""	""	""
"Tresse ; de fil"		""	""	""	""	""	""
"Tresse ; de fleuret"		""	""	""	""	""	""
"Tresse ; de laine"		""	""	""	""	""	""
"Tresse ; de soie"		""	""	""	""	""	""
"Tretaux de chêne de 6 pouces"	2	"2"	""	""	""	""	""
"Treuils ; d'espars"		""	""	""	""	""	""
"Trictrac"		""	""	"…"	"8"	"8"	"Jouets ou jeux"
"Tripe"	6	"6b"	"trippe et velours de queux"	""	""	""	""
"Tripieds"		""	""	""	""	""	""
"Tripoli"		""	""	""	""	""	""
"Trippe ; de Lannoy"		""	""	""	""	""	""
"Trippe ; de laine"		""	""	""	""	""	""
"Trippe ; de velours"		""	""	""	""	""	""
"Trippe ; sur soie"	6	"6c"	"pluche sur soye"	""	""	""	""
"Trot de vin"	0	"0a"	""	""	""	""	""
"Trousse ; de fleures"		""	""	""	""	""	""
"Truelles ; de fer"		""	""	"..."	"6"	"6"	""
"Truffes"	0	"0a"	""	""	""	""	""
"Truffes ; noires"		""	""	""	""	""	""
"Truffes, culs d'artichaux et autres sec"	0	"0a"	""	""	""	""	""
"Truites"	0	"0a"	""	""	""	""	""
"Truites et anguilles"	0	"0a"	""	""	""	""	""
"Tuffaux"		""	""	""	""	""	""
"Tuiles"		""	""	"..."	"6"	"6"	""
"Tuiles ; cirée"		""	""	""	""	""	""
"Tuiles ; de Bretagne ; de Pontivy"		""	""	""	""	""	""
"Tuiles ; de Bretagne ; de halle"		""	""	""	""	""	""
"Tuiles ; de Bretagne ; de pontivy"		""	""	"..."	"6"	"6"	""
"Tuiles ; de lin ; de Beauvais"		""	""	""	""	""	""
"Tuiles ; de lin ; de Laval"		""	""	""	""	""	""
"Tuiles ; à voile"		""	""	""	""	""	""
"Tuiles ; coubées"	6	"6"	"thuiles courbées"	""	""	""	""
"Tuiles ; plates"	6	"6"	"thuiles plattes"	""	""	""	""
"Tulie"		""	""	""	""	""	""
"Turbit"		""	""	""	""	""	""
"Turcoise"		""	""	"…"	"2"	"2"	"Pierre précieuse (Savary)"
"Turquoise"		""	""	""	""	""	""
"Turquoise et Turlutaines"	8	"8"	""	""	""	""	""
"Tutic"		""	""	""	""	""	""
"Tutie"		""	""	""	""	""	""
"Tutilly"		""	""	""	""	""	""
"Tuyaux d'orgue"		""	""	""	""	""	""
"Tuyaux d'orgue ; plomb"	6	"6"	""	""	""	""	""
"Télescopes"		""	""	""	""	""	""
"Téraile ; commune"		""	""	""	""	""	""
"Téraille"		""	""	"…"	"6"	"6"	""
"Téraille ; divers"		""	""	""	""	""	""
"Téraille ; diverse"		""	""	"…"	"6"	"6"	""
"Térébenthine"		""	""	"..."	"5"	"5"	""
"Têtes ; de carabé"		""	""	""	""	""	""
"Têtes ; de cuir en poil"		""	""	""	""	""	""
"Têtes ; à perruques"		""	""	""	""	""	""
"Ustanciles ; de mer"		""	""	"…"	"8"	"8"	""
"Ustanciles ; de pêche"		""	""	"…"	"8"	"8"	""
"Ustanciles ; diverses"		""	""	"…"	"8"	"8"	""
"Ustansiles ; d'imprimerie"		""	""	"…"	"8"	"8"	""
"Ustensiles ; d'imprimerie"		""	""	""	""	""	""
"Ustensiles ; de mer"		""	""	""	""	""	""
