marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_rg	marchandises	marchandises_normalisees_inter	product_prix	dutchtranslation	englishproduct	unit	source_RG_1774	source_RGbase	source_France	_merge
"Poisson ; Morue ; Verte"	"Poisson"	"0"	"0a"	""		""	""	""	"Morues ; Vertes"	"Morue ; verte"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Verte"	"Poisson"	"0"	"0a"	""		""	""	""	"Morües ; vertes"	"Morue ; verte"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Verte"	"Poisson"	"0"	"0a"	""		""	""	""	"Morue verte"	"Morue ; verte"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Verte"	"Poisson"	"0"	"0a"	""		""	""	""	"Morue ; verte"	"Morue ; verte"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; d'eau douce"	"Poisson"	"0"	"0a"	""		""	""	""	"Poissons D'eau douce"	"Poisson ; d'eau douce"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; d'eau douce"	"Poisson"	"0"	"0a"	""		""	""	""	"Poisson ; d'eau douce"	"Poisson ; d'eau douce"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; d'eau douce"	"Poisson"	"0"	"0a"	""		""	""	""	"Poissons ; D'eau douce"	"Poisson ; d'eau douce"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; d'eau douce"	"Poisson"	"0"	"0a"	""		""	""	""	"Poisson; d'eau douce"	"Poisson ; d'eau douce"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; d'eau douce"	"Poisson"	"0"	"0a"	""		""	""	""	"Poissons ; d'eau douce"	"Poisson ; d'eau douce"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; de mer"	"Poisson"	"0"	"0a"	""		""	""	""	"Poissons ; de mer"	"Poisson ; de mer"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; de mer"	"Poisson"	"0"	"0a"	""		""	""	""	"Poisson; de mer"	"Poisson ; de mer"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; de toute sorte"	"Poisson"	"0"	"0a"	""		""	""	""	"1///Subsistances///Poissons de toutes sortes"	"Poisson ; de toute sorte"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; frais"	"Poisson"	"0"	"0a"	""		""	""	""	"Poisson ;frais"	"Poisson ; frais"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; frais"	"Poisson"	"0"	"0a"	""		""	""	""	"poissons frais"	"Poisson ; frais"	""	"verse vis"	"fresh fish"	"baskets"	1	1	0	"matched (3)"
"Poisson ; frais"	"Poisson"	"0"	"0a"	""		""	""	""	"Poissons; frais de mer"	"Poisson ; frais"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; frais"	"Poisson"	"0"	"0a"	""		""	""	""	"Poissons; salé"	"Poisson ; frais"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; frais"	"Poisson"	"0"	"0a"	""		""	""	""	"Poissons frais"	"Poisson ; frais"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; frais"	"Poisson"	"0"	"0a"	""		""	""	""	"Poisson ; frais"	"Poisson ; frais"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; frais"	"Poisson"	"0"	"0a"	""		""	""	""	"Poissons ; frais"	"Poisson ; frais"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; frais ; de mer"	"Poisson"	"0"	"0a"	""		""	""	""	"Poissons ; De mer frais"	"Poisson ; frais ; de mer"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; frais ; de mer"	"Poisson"	"0"	"0a"	""		""	""	""	"Poisson ; Frais ; De mer"	"Poisson ; frais ; de mer"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; frais ; de mer"	"Poisson"	"0"	"0a"	""		""	""	""	"Poisson ; frais de mer"	"Poisson ; frais ; de mer"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; frit"	"Poisson"	"0"	"0a"	""		""	""	""	"Poissons ; frits"	"Poisson ; frit"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; frit"	"Poisson"	"0"	"0a"	""		""	""	""	"Poissons ; frit"	"Poisson ; frit"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; frit"	"Poisson"	"0"	"0a"	""		""	""	""	"Poisson ; frit"	"Poisson ; frit"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; frit"	"Poisson"	"0"	"0a"	""		""	""	""	"Poisson ; fris"	"Poisson ; frit"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; salé"	"Poisson"	"0"	"0a"	""		""	""	""	"Poisson ; salé"	"Poisson ; salé"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; salé"	"Poisson"	"0"	"0a"	""		""	""	""	"Poisson; salé"	"Poisson ; salé"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; salés"	"Poisson"	"0"	"0a"	""		""	""	"..."	"Poissons ; salé"	"Poisson ; salés"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; à la daube"	"Poisson"	"0"	"0a"	""	0	"0a"	""	""	"Poisson ; à la daube"	"Poisson ; à la daube"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Langue"	"Poisson"	"0"	"0a"	""		""	""	""	"Langues ; de morüe"	"Langue ; de morue"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Langue"	"Poisson"	"0"	"0a"	""		""	""	""	"Langues ; de morue"	"Langue ; de morue"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Langue"	"Poisson"	"0"	"0a"	""		""	""	""	"Langues ; de morues"	"Langue ; de morue"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Langue"	"Poisson"	"0"	"0a"	""		""	""	""	"Morues ; note alang"	"Morue ; note alang"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Langue"	"Poisson"	"0"	"0a"	""		""	""	""	"Langues ; de Moruc"	"Langue ; de morue"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Rave"	"Poisson"	"0"	"0a"	""		""	""	""	"Roques ; de morüe"	"Rognes ; de morue"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Rave"	"Poisson"	"0"	"0a"	""		""	""	""	"Roques ; de stofiche"	"Rognes ; de stockfish"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Rave"	"Poisson"	"0"	"0a"	""		""	""	""	"Rognes de morue"	"Rognes ; de morue"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Rave"	"Poisson"	"0"	"0a"	""		""	""	""	"Rogues ; destocliche"	"Rognes ; de stockfish"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Rave"	"Poisson"	"0"	"0a"	""		""	""	""	"Rogues ; de stocfiche"	"Rognes ; de stockfish"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Rave"	"Poisson"	"0"	"0a"	""		""	""	""	"Rogues de stocfiche"	"Rognes ; de stockfish"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Rave"	"Poisson"	"0"	"0a"	""		""	""	""	"Rase de morue"	"Raves ; de morue"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Rave"	"Poisson"	"0"	"0a"	""		""	""	""	"Rogues de morue"	"Rognes ; de morue"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Rave"	"Poisson"	"0"	"0a"	""		""	""	""	"Rogues ; de morue"	"Rognes ; de morue"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Rave"	"Poisson"	"0"	"0a"	""		""	""	""	"Raves de morüe"	"Raves ; de morue"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Rave"	"Poisson"	"0"	"0a"	""		""	""	""	"Rogues ; de morüe"	"Rognes ; de morue"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Rave"	"Poisson"	"0"	"0a"	""		""	""	""	"Raves de morue"	"Raves ; de morue"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; Morue ; Rave"	"Poisson"	"0"	"0a"	""		""	""	""	"Raves emerue"	"Raves ; de morue"	""	""	""	""	0	0	1	"matched (3)"
"Poisson ; morue"	"Poisson"	"0"	"0a"	""		""	""	""	"morues"	"Morue"	""	"kabeljauw (gezouten)"	"salted codfish"	"tons"	1	1	0	"matched (3)"
"Poix"	"Poix"	"0"	"0a"	""		""	""	"..."	"Poix"	"Poix"	""	""	""	""	0	0	1	"matched (3)"
"Poix ; blanche"	"Poix"	"5"	"5"	""		""	""	"..."	"Poix ; blanche"	"Poix ; blanche"	""	""	""	""	0	0	1	"matched (3)"
"Poix ; de bourgogne"	"Légumes"	"0"	"0a"	""		""	""	""	"Poix ; noir"	"Poix ; de bourgogne"	""	""	""	""	0	0	1	"matched (3)"
"Poix ; de bourgogne"	"Légumes"	"0"	"0a"	""		""	""	""	"Poix ; de Bourgogne"	"Poix ; de bourgogne"	""	""	""	""	0	0	1	"matched (3)"
"Poix ; de bourgogne"	"Légumes"	"0"	"0a"	""		""	""	""	"Poix ; de bourgogne"	"Poix ; de bourgogne"	""	""	""	""	0	0	1	"matched (3)"
"Poix ; résine"	"Poix"	"5"	"5"	""		""	""	""	"Poix ; raisine"	"Poix ; résine"	""	""	""	""	0	0	1	"matched (3)"
"Poix ; résine"	"Poix"	"5"	"5"	""		""	""	""	"Poix raisin"	"Poix ; résine"	""	""	""	""	0	0	1	"matched (3)"
"Poix ; résine"	"Poix"	"5"	"5"	""		""	""	""	"Poix; raisine"	"Poix ; résine"	""	""	""	""	0	0	1	"matched (3)"
"Poix ; résine"	"Poix"	"5"	"5"	""		""	""	""	"Poix ; daisine"	"Poix ; résine"	""	""	""	""	0	0	1	"matched (3)"
"Poix ; secs"	"Légumes"	"0"	"0a"	""		""	""	""	"Pois ; secs"	"Poix ; secs"	""	""	""	""	0	0	1	"matched (3)"
"Polemits"	"Polemits"	"6"	"6b"	""	6	"6b"	""	""	"Potimy"	"Polemits"	""	""	""	""	0	0	1	"matched (3)"
"Polemits"	"Polemits"	"6"	"6b"	""	6	"6b"	""	""	"Polimy"	"Polemits"	""	""	""	""	0	0	1	"matched (3)"
"Polemits"	"Polemits"	"6"	"6b"	""	6	"6b"	""	""	"polimits et lampareille"	"Polemits"	""	"kamelot (polimit)"	"polimit"	"ell"	1	0	0	"matched (3)"
"Pommade"	"Pommade"	"5"	"5"	""		""	""	""	"Pommade"	"Pommade"	""	""	""	""	0	0	1	"matched (3)"
"Pommade"	"Pommade"	"5"	"5"	""		""	""	""	"Poinade"	"Pommade"	""	""	""	""	0	0	1	"matched (3)"
"Pommade"	"Pommade"	"5"	"5"	""		""	""	""	"Pomades"	"Pommade"	""	""	""	""	0	0	1	"matched (3)"
"Pomme ; d'apis"	"Fruits"	"0"	"0a"	""		""	""	""	"pommes d'apis"	"Pomme ; d'apis"	""	""	""	""	0	0	0	"matched (3)"
"Pommes ; de canne"	"Pommes ; de canne"	"8"	"8"	""		""	""	""	"Pommes ; de terre"	"Pommes ; de canne"	""	""	""	""	0	0	1	"matched (3)"
"Pommes ; de terre"	"Légumes"	"0"	"0a"	""		""	""	""	"Pommes de terre"	"Pommes ; de terre"	""	""	""	""	0	0	1	"matched (3)"
"Pompes"	"Pompes"	"6"	"6"	""	6	"6"	""	""	"Pompes"	"Pompes"	""	""	""	""	0	0	1	"matched (3)"
"Pompes ; de bois"	"Pompes"	"6"	"6"	""		""	""	""	"Pompes ; de bois"	"Pompes ; de bois"	""	""	""	""	0	0	1	"matched (3)"
"Porcelaine"	"Porcelaine"	"6"	"6"	""		""	""	""	"Porcelaine"	"Porcelaine"	""	""	""	""	0	0	1	"matched (3)"
"Porcelaine"	"Porcelaine"	"6"	"6"	""		""	""	""	"Marchandises provenant du commerce français dans l'Inde ; Porcelaine"	"Porcelaine"	""	""	""	""	0	0	1	"matched (3)"
"Porcelaine"	"Porcelaine"	"6"	"6"	""		""	""	""	"///Industrie Générale///Porcelaine"	"Porcelaine"	""	""	""	""	0	0	1	"matched (3)"
"Porcelaine ; de Saxe"	"Porcelaine"	"6"	"6"	""		""	""	""	"Porcelaine ; de Saxe"	"Porcelaine ; de Saxe"	""	""	""	""	0	0	1	"matched (3)"
"Porcelaine ; de Saxe"	"Porcelaine"	"6"	"6"	""		""	""	""	"Porcelaine; de Saxe"	"Porcelaine ; de Saxe"	""	""	""	""	0	0	1	"matched (3)"
"Porcelaine ; de Saxe"	"Porcelaine"	"6"	"6"	""		""	""	""	"Porcelaine; de saxe"	"Porcelaine ; de Saxe"	""	""	""	""	0	0	1	"matched (3)"
"Porcelaine ; de Tournai"	"Porcelaine"	"6"	"6"	""		""	""	""	"porcelaine de Tournai"	"Porcelaine ; de Tournai"	""	""	""	""	0	0	0	"matched (3)"
"Porcelaine ; ordinaire"	"Porcelaine"	"6"	"6"	""		""	""	""	"Porcelaine; ordinaire"	"Porcelaine ; ordinaire"	""	""	""	""	0	0	1	"matched (3)"
"Porcelaine ; ordinaire"	"Porcelaine"	"6"	"6"	""		""	""	""	"Porcelaine ; ordinaire"	"Porcelaine ; ordinaire"	""	""	""	""	0	0	1	"matched (3)"
"Porcs"	"Bétail"	"0"	"0a"	""		""	""	""	"porcs"	"Porcs"	""	"varkens"	"pigs"	"pieces"	1	1	0	"matched (3)"
"Porcs ; en vie"	"Bétail"	"0"	"0a"	""		""	""	""	"Porcs ; en vie"	"Porcs ; en vie"	""	""	""	""	0	0	1	"matched (3)"
"Porcs ; porcelets"	"Bétail"	"0"	"0a"	""		""	""	""	"Porcs ; porcelets"	"Porcs ; porcelets"	""	""	""	""	0	0	1	"matched (3)"
"Porcs ; salé"	"Viande"	"0"	"0a"	""		""	""	"..."	"Porcs ; salés"	"Porcs ; salé"	""	""	""	""	0	0	1	"matched (3)"
"Porcs ; salé"	"Viande"	"0"	"0a"	""		""	""	"..."	"Porcs ; salé"	"Porcs ; salé"	""	""	""	""	0	0	1	"matched (3)"
"Potasses, vedasses et gravelées"	"Potasses"	"5"	"5"	""		""	""	""	"2///Matières premières///Potasse, vedasse et gravelées"	"Potasses, vedasses et gravelées"	""	""	""	""	0	0	1	"matched (3)"
"Potasses, vedasses et gravelées"	"Potasses"	"5"	"5"	""		""	""	""	"Potasse, vedasse et gravelées"	"Potasses, vedasses et gravelées"	""	""	""	""	0	0	0	"matched (3)"
"Potasses, vedasses et gravelées"	"Potasses"	"5"	"5"	""		""	""	""	"2///Matières premières///Potasses, vedasses et gravelées"	"Potasses, vedasses et gravelées"	""	""	""	""	0	0	1	"matched (3)"
"Poterie"	"Poterie"	"6"	"6"	""		""	""	""	"Poterie"	"Poterie"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de gres"	"Poterie ; de grès"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de grez"	"Poterie ; de grès"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de formes à sucre"	"Poterie ; de grès"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de grek"	"Poterie ; de grès"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès"	"Poterie"	"6"	"6"	""		""	""	""	"potterie ; de grez"	"Poterie ; de grès"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; barbançons"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie; de grez; barbançons"	"Poterie ; de grès ; barbançons"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; barbançons"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de gron ; barbaucon"	"Poterie ; de grès ; barbançons"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; barbançons"	"Poterie"	"6"	"6"	""		""	""	""	"Poterie; de grez; barbançons"	"Poterie ; de grès ; barbançons"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; barbançons"	"Poterie"	"6"	"6"	""		""	""	""	"Poterie ; degrez ; barbançons"	"Poterie ; de grès ; barbançons"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; bouteilles"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de gron ; bouteilles"	"Poterie ; de grès ; bouteilles"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; canettes"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie; de grez; cannettes"	"Poterie ; de grès ; canettes"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; cannettes"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de grez ; cannettes"	"Poterie ; de grès ; cannettes"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; cannettes"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de gron ; canettes"	"Poterie ; de grès ; cannettes"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; cruches"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de grez ; cruches"	"Poterie ; de grès ; cruches"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; cruches"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de gron ; cruches"	"Poterie ; de grès ; cruches"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; cruches"	"Poterie"	"6"	"6"	""		""	""	""	"Poterie ; degrez ; cruches"	"Poterie ; de grès ; cruches"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; divers"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie; de grez; diverses"	"Poterie ; de grès ; divers"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; divers"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de grez ; diverses"	"Poterie ; de grès ; divers"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; divers"	"Poterie"	"6"	"6"	""		""	""	""	"Poterie ; degrez ; diverses"	"Poterie ; de grès ; divers"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; divers"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de gron ; diverses"	"Poterie ; de grès ; divers"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de grès ; divers"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie; de terre; diverses"	"Poterie ; de grès ; divers"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de terre"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de terre"	"Poterie ; de terre"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de terre"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de tere"	"Poterie ; de terre"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de terre ; diverses"	"Poterie"	"6"	"6"	""		""	""	""	"Poterie ; de terre ; diverses"	"Poterie ; de terre ; diverses"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de terre ; diverses"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de terre ; divers"	"Poterie ; de terre ; diverses"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de terre ; diverses"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de terre ; diverse"	"Poterie ; de terre ; diverses"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de terre ; terraille"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de terre ; terrailles"	"Poterie ; de terre ; terraille"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de terre ; terraille"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; de terre ; terraille"	"Poterie ; de terre ; terraille"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; de terre ; terraille"	"Poterie"	"6"	"6"	""		""	""	""	"Poterie ; de terre ; terraille"	"Poterie ; de terre ; terraille"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; diverse"	"Poterie"	"6"	"6"	""		""	""	""	"Potteries diverses"	"Poterie ; diverse"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; formes ; à sucre"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; formes à suer"	"Poterie ; formes ; à sucre"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; formes ; à sucre"	"Poterie"	"6"	"6"	""		""	""	""	"Formes ; à sucres"	"Formes ; à sucres"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; formes ; à sucre"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; et formes à sucre"	"Poterie ; formes ; à sucre"	""	""	""	""	0	0	1	"matched (3)"
"Poterie ; terraille"	"Poterie"	"6"	"6"	""		""	""	""	"Potterie ; terraille"	"Poterie ; terraille"	""	""	""	""	0	0	1	"matched (3)"
"Poudre ; d'Ailhaud"	"Poudre ; d'Ailhaud"	"5"	"5"	""		""	""	""	"Poudre ; d'ailhaud"	"Poudre ; d'Ailhaud"	""	""	""	""	0	0	1	"matched (3)"
"Poudre ; d'Ailhaud"	"Poudre ; d'Ailhaud"	"5"	"5"	""		""	""	""	"Poudre ; d'Ailhaud"	"Poudre ; d'Ailhaud"	""	""	""	""	0	0	1	"matched (3)"
"Poudre ; d'Ailhaud"	"Poudre ; d'Ailhaud"	"5"	"5"	""		""	""	""	"Poudre ; d'Aichaut"	"Poudre ; d'Ailhaud"	""	""	""	""	0	0	1	"matched (3)"
"Poudre ; d'Ailhaud"	"Poudre ; d'Ailhaud"	"5"	"5"	""		""	""	""	"Poudre ; D'aIchant"	"Poudre ; d'Ailhaud"	""	""	""	""	0	0	1	"matched (3)"
"Poudre ; d'Ailhaud"	"Poudre ; d'Ailhaud"	"5"	"5"	""		""	""	""	"Poudre ; d'ail????ud?"	"Poudre ; d'Ailhaud"	""	""	""	""	0	0	1	"matched (3)"
"Poudre ; médicinale"	"Poudre ; médicinale"	"5"	"5"	""		""	""	""	"Poudre ; medecinale"	"Poudre ; médicinale"	""	""	""	""	0	0	1	"matched (3)"
"Poudre ; à canon"	"Poudre ; à canon"	"9"	"9"	""		""	""	""	"Poudre ; a canon"	"Poudre ; à canon"	""	""	""	""	0	0	1	"matched (3)"
"Poudre ; à canon"	"Poudre ; à canon"	"9"	"9"	""		""	""	""	"Poudre; à canon"	"Poudre ; à canon"	""	""	""	""	0	0	1	"matched (3)"
"Poudre ; à canon"	"Poudre ; à canon"	"9"	"9"	""		""	""	""	"Poudre ; à canon"	"Poudre ; à canon"	""	""	""	""	0	0	1	"matched (3)"
"Poudre ; à poudrer"	"Poudre ; à poudrer"	"5"	"5"	""		""	""	""	"Poudre ; à poudrer"	"Poudre ; à poudrer"	""	""	""	""	0	0	1	"matched (3)"
"Poudre ; à poudrer"	"Poudre ; à poudrer"	"5"	"5"	""		""	""	""	"Poudre ; a poudrer"	"Poudre ; à poudrer"	""	""	""	""	0	0	1	"matched (3)"
"Poudre ; à tirer"	"Poudre ; à tirer"	"5"	"5"	""		""	""	"..."	"///Industrie Générale///Poudre à tirer"	"Poudre ; à tirer"	""	""	""	""	0	0	1	"matched (3)"
"Poudre à tirer"	"Poudre à tirer"	"9"	"9"	""		""	""	""	"Poudre; d'oxaca"	"Poudre à tirer"	""	""	""	""	0	0	1	"matched (3)"
"Poudre à tirer"	"Poudre à tirer"	"9"	"9"	""		""	""	""	"Poudres à tirer"	"Poudre à tirer"	""	""	""	""	0	0	1	"matched (3)"
"Poudre ; à tirer"	"Poudre ; à tirer"	"9"	"9"	""	9	"9"	""	""	"poudre à tirer pour fusils"	"Poudre ; à tirer"	""	"buskruit (geweer)"	"gunpowder (rifles)"	"pounds"	1	0	0	"matched (3)"
"Poudre ; à tirer"	"Poudre ; à tirer"	"9"	"9"	""	9	"9"	""	""	"poudre à tirer pour canons"	"Poudre ; à tirer"	""	"buskruit (kanon)"	"cannon powder"	"pounds"	1	0	0	"matched (3)"
"Poudre ; à tirer"	"Poudre ; à tirer"	"9"	"9"	""	9	"9"	""	""	"poudre à tirer"	"Poudre ; à tirer"	""	"buskruit"	"gunpowder"	"pounds"	1	1	0	"matched (3)"
"Poudre ; à tirer"	"Poudre ; à tirer"	"9"	"9"	""	9	"9"	""	""	"Poudre a tirer"	"Poudre ; à tirer"	""	""	""	""	0	0	1	"matched (3)"
"Poulies"	"Poulies"	"6"	"6"	""		""	""	""	"Poupées"	"Poulies"	""	""	""	""	0	0	1	"matched (3)"
"Poulies"	"Poulies"	"6"	"6"	""		""	""	""	"Poulier"	"Poulies"	""	""	""	""	0	0	1	"matched (3)"
"Poussière ; d'encens"	"Poussière ; d'encens"	"5"	"5"	""		""	""	""	"Poussiere ; de foin"	"Poussière ; d'encens"	""	""	""	""	0	0	1	"matched (3)"
"Poussière ; d'encens"	"Poussière ; d'encens"	"5"	"5"	""		""	""	""	"Poussiere ; d'Encens"	"Poussière ; d'encens"	""	""	""	""	0	0	1	"matched (3)"
"Poussière ; d'encens"	"Poussière ; d'encens"	"5"	"5"	""		""	""	""	"Poussiere ; d'encens"	"Poussière ; d'encens"	""	""	""	""	0	0	1	"matched (3)"
"Poussière ; de résine"	"Poussière ; de résine"	"5"	"5"	""		""	""	""	"Poussiere ; de raisine"	"Poussière ; de résine"	""	""	""	""	0	0	1	"matched (3)"
"Poussière ; de tartre"	"Poussière ; de tartre"	"5"	"5"	""		""	""	""	"Poussiere de tartre"	"Poussière ; de tartre"	""	""	""	""	0	0	1	"matched (3)"
"Poutargues"	"Poutargues"	"…"	"…"	""		""	""	""	"Poutargue"	"Poutargues"	""	""	""	""	0	0	1	"matched (3)"
"Poutargues"	"Poutargues"	"…"	"…"	""		""	""	""	"Poutarges"	"Poutargues"	""	""	""	""	0	0	1	"matched (3)"
"Poutargues"	"Poutargues"	"…"	"…"	""		""	""	""	"Poutargues"	"Poutargues"	""	""	""	""	0	0	1	"matched (3)"
"Poêles ; à feu"	"Poêles ; à feu"	"6"	"6"	""		""	""	""	"Poeles à feu"	"Poêles ; à feu"	""	""	""	""	0	0	1	"matched (3)"
"Poêles ; à feu"	"Poêles ; à feu"	"6"	"6"	""		""	""	""	"Poetes à feu"	"Poêles ; à feu"	""	""	""	""	0	0	1	"matched (3)"
"Poêles ; à feu"	"Poêles ; à feu"	"6"	"6"	""		""	""	""	"Poëles ; à feu"	"Poêles ; à feu"	""	""	""	""	0	0	1	"matched (3)"
"Preceintes"	"Preceintes"	"…"	"…"	""		""	""	""	"Preceintes"	"Preceintes"	""	""	""	""	0	0	1	"matched (3)"
"Presse"	"Presse"	"7"	"7"	""		""	""	""	"Presses"	"Presse"	""	""	""	""	0	0	1	"matched (3)"
"Prohibé"	"Prohibé"	"…"	"…"	""		""	""	""	"Probibé"	"Prohibé"	""	""	""	""	0	0	1	"matched (3)"
"Provisions ; de bouche"	"Provisions"	"0"	"0a"	""		""	""	""	"Provision ; de boucher"	"Provisions ; de bouche"	""	""	""	""	0	0	1	"matched (3)"
"Provisions ; de bouche"	"Provisions"	"0"	"0a"	""		""	""	""	"Provisions de bouche"	"Provisions ; de bouche"	""	""	""	""	0	0	1	"matched (3)"
"Provisions ; de bouche"	"Provisions"	"0"	"0a"	""		""	""	""	"Provisions ; de bouche"	"Provisions ; de bouche"	""	""	""	""	0	0	1	"matched (3)"
"Provisions ; de bouche"	"Provisions"	"0"	"0a"	""		""	""	""	"Provision ; de bouche"	"Provisions ; de bouche"	""	""	""	""	0	0	1	"matched (3)"
