marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	nbr_lignes_fr_bis
Silex		2	2				11
Singes	Singes	9	9		9	9	2
Siramonbas	Siramonbas	…	…				1
Sirop	Sirop	1	1				15
Sirop ; d'alherme	Sirop	1	1				281
Sirop ; d'amont	Sirop	1	1				3
Sirop ; d'orgeat	Sirop	1	1				1
Sirop ; de calabre	Sirop	1	1				212
Sirop ; de calbabre	Sirop	1	1				
Sirop ; de capillaire	Sirop	5	5				2
Sirop ; de capillaire et autre composées	Sirop	5	5	sirop de capillaire	5	5	0
Sirop ; de capitaine	Sirop	5	5				0
Sirop ; de citron	Sirop	1	1				0
Sirop ; de coriande	Sirop	5	5				0
Sirop ; de sucre candis	Sirop	1	1		0	0b	0
Sirop ; de violette	Sirop	1	1				0
Sirop ; des Iles	Sirop	1	1				0
Sirop ; mélasse	Sirop	1	1				6
Sirop ; ou jus de cerises et de grenades	Sirop	1	1				0
Sistresay	Sistresay	…	…				0
Sitz et Indienne	Sitz et Indienne	6	6d		6	6a	0
Sivadille	Sivadille	…	…				
Smalte	Smalte	5	5		5	5	0
Soc		6	6				0
Soc ; de charrue		6	6				0
Socs	Socs	6	6		6	6	
Socs ; de charrues	Socs	6	6	pièces travaillantes de la charrue (wikipedia)			
Soie	Soie	2	2				8
Soie ; à broder	Soie	6	6c				1
Soie ; à coudre	Soie	6	6c				4
Soie ; apprêtée	Soie	6	6c				18
Soie ; blanche	Soie	6	6c				4
Soie ; brute		2	2				277
Soie ; cocons	Soie	2	2				1
Soie ; crue	Soie	2	2				12
Soie ; de Bengale		6	6c				4
Soie ; de Chine		6	6c				2
Soie ; de la chaîne		6	6c				0
Soie ; de Nankin		6	6c				3
Soie ; de porc	Soie	2	2				26
Soie ; de porc et sanglier	Soie	2	2				7
Soie ; des Indes		6	6c				0
Soie ; des indes	Soie	6	6c				
Soie ; dite fleuret	Soie	6	6c				
Soie ; diverse	Soie	2	2				5
Soie ; écrue		2	2				0
Soie ; en cocon	Soie	2	2				0
Soie ; en fleuret	Soie	6	6c				
Soie ; en rames	Soie	2	2				3
Soie ; en suaze (?)	Soie	2	2				0
Soie ; filée		2	2				24
Soie ; filoselle	Soie	6	6c				141
Soie ; fleuret		2	2				14
Soie ; floche		2	2				1
Soie ; grège	Soie	6	6c				13
Soie ; Nankin	Soie	6	6c				10
Soie ; ouvrée	Soie	6	6c				0
Soie ; pour tisser		2	2				1
Soie ; tapis	Soie	6	6c				81
Soie ; teinte	Soie	6	6c				1
Soie ; teinte et à coudre		6	6c				1
Soie ; torce	Soie	2	2				3
Soie ; trame de	Soie	6	6c				0
Soierie	Soierie	6	6c				32
Soierie en étoffe, Mouchoir, gazes et rubans		6	6c				20
Soierie en étoffe, mouchoirs, gazes et rubans	Soierie	6	6c				
Soieries ; des Indes		6	6c				0
Soieries ; diverses		6	6c				0
Soieries et coton ; des Indes		6	6c				11
Soja		0	0b				3
Soles ; ou langues		0	0a				2
Soliveaux	Soliveaux	2	2				22
Soliveaux ; de sapin	Soliveaux	2	2				26
Solles et playsses sec et fumés	Solles et playsses sec et fumés	0	0a		0	0a	
Solles ou langues	Solles ou langues	0	0a		0	0a	
Sommier	Sommier	8	8				10
Sommier ; brut pour Mannem	Sommier	8	8		2	2	11
Sommier ; de chêne faconnés	Sommier	8	8		2	2	1
Sommier ; menu		8	8				6
Sommier ; ou corps d'arbre de sapin	Sommier	8	8		2	2	2
Sommiers		8	8				1
Son	Son	0	0a				16
Son ; de farine		0	0a				1
Sonde	Sonde	…	…				5
Sonnettes	Sonnettes	6	6				17
Soucis	Soucis	2	2				2
Soucis ; pour mouchoir		6	6				1
Soucis ; pour mouchoirs	Soucis ; pour mouchoirs	6	6		6	6	
Soucrion		0	0a				2
Soucrion (grain pour la bière)		0	0a				4
Soucrions ; en gerbe		0	0a				1
Soucrions ; en jarbes	Soucrions ; en jarbes	0	0a		0	0a	
Soude	Soude	5	5				8
Soudure	Soudure	6	6		6	6	2
Soufflet ; de bois	Soufflet	8	8		6	6	2
Soufflet ; de forge	Soufflet	8	8				1
Soufflet ; de maréchal	Soufflet	8	8		6	6	1
Soufflet ; petits	Soufflet	8	8				7
Soufflet ; pour orgues	Soufflet	8	8		6	6	6
Soufflets	Soufflet	8	8				3
Souffre	Souffre	5	5				7
Souffre ; en fanon		5	5				3
Souffre ; en fleur		5	5				4
Souffre ; raffiné		5	5				3
Souffre et salpêtre	Souffre et salpêtre	5	5				136
Souffres ; en fanon		5	5				2
Soufre ; et mêches		5	5				
Soufre et mêches		5	5				1
Souliers	Souliers	8	8				10
Souliers ; brodés	Souliers	8	8				1
Souliers ; d'enfants	Souliers	8	8				1
Souliers ; de maroquin	Souliers	8	8				1
Souliers ; neufs	Souliers	8	8				8
Souliers ; ordinaires	Souliers	8	8				13
Souliers ; vieux	Souliers	8	8				6
Souliers et bottes		8	8				2
Souliers, pantoufles et galoches	Souliers	8	8		8	8	3
Spalme	Spalme	…	…				1
Spalte	Spalte	…	…				2
Spardilles	Spardilles	8	8	Espadrilles			3
Spath ; zinc ; smithsonite		…	…				1
Spermaceti	Spermaceti	4	4		4	4	2
Spicaceltica	Spicaceltica	2	2				1
Spicanardi	Spicanardi	…	…				0
Spirinck	Spirinck	0	0a		0	0a	1
Spode	Spode	5	5	Espèce de cendre qui sert dans la médecine (Savary)			11
Squine	Squine	2	2	Racine médicinale qui vient de Chine ou d'Inde (Savary)			2
Stafisagre	Stafisagre	2	2				1
Stil de grain	Drogues ; pour la teinture	5	5	Stil de grain ou stil de grun : composition qu'utilisent les peintres à l'huile pour le jaune (Savary)			1
StinKerque	StinKerque	8	8				
Stinkerque		8	8				24
Storax	Storax	2	2				
Sublimé	Sublimé	5	5				0
Sublime corosif	Sublime corosif	5	5		5	5	
Subsistance		0	0a				21
Succade	Succade	0	0a				0
Succade et confitures	Succade et confitures	0	0a	confitures et biscuits	0	0b	0
Succin ; déchet		2	2				2
Sucre	Sucre	0	0b				18
Sucre ; à devises et à casser	Sucre	0	0b	fruits à deviser	0	0b	0
Sucre ; bâtard	Sucre	0	0b				0
Sucre ; blanc	Sucre	0	0b				0
Sucre ; blanc ; en pain		0	0b				0
Sucre ; brun	Sucre	0	0b		0	0b	0
Sucre ; brut	Sucre	0	0b				3
Sucre ; candy	Sucre	0	0b		0	0b	0
Sucre ; carré	Sucre	0	0b				0
Sucre ; cassonade	Sucre	0	0b				0
Sucre ; commun	Sucre	0	0b				0
Sucre ; d'érable	Sucre	0	0b				0
Sucre ; d'orge	Sucre	0	0b				1
Sucre ; de moscovie	Sucre	0	0b				0
Sucre ; dite Lompen	Sucre	0	0b		0	0b	0
Sucre ; divers	Sucre	0	0b				0
Sucre ; en dragées	Sucre	0	0b		0	0b	0
Sucre ; en pain	Sucre	0	0b				0
Sucre ; en poudre	Sucre	0	0b				0
Sucre ; en poudre ; blanc		0	0b				0
Sucre ; en poudre blanc	Sucre	0	0b		0	0b	0
Sucre ; en poudre blanc de haut prix	Sucre	0	0b		0	0b	
Sucre ; en poudre brun	Sucre	0	0b		0	0b	0
Sucre ; et amandes		0	0a				
Sucre ; et anis		0	0a				
Sucre ; et cuir		…	…				
Sucre ; et prunes		0	0a				
Sucre ; ferré	Sucre	0	0b				0
Sucre ; fin		0	0b				0
Sucre ; mêlé	Sucre	0	0b				
Sucre ; non raffiné		0	0b				0
Sucre ; raffiné		0	0b				0
Sucre ; raffiné ; en pain	Sucre	0	0b				14
Sucre ; terré	Sucre	0	0b				0
Sucre ; terré ; tête		0	0b				1
Sucre ; tête	Sucre	0	0b				2
Sucre ; vergeoise	Sucre	0	0b				0
Sucre ; versoir	Sucre	0	0b				0
Sucre et amandes		0	0a				0
Sucre et anis		0	0a				0
Sucre et cuir		…	…				0
Sucre et fruits ; secs ; raisins		0	0a				0
Sucre et prunes		0	0a				0
Sucrerie		0	0a				0
Sucrerie ; dragée		0	0a				0
Sucreries ; diverses	Sucreries	0	0a				
Sucreries ; dragées	Sucreries	0	0a				
Sucrion	Sucrion	0	0a	Variété d'orge (probablement pâtois du Nord de la France)			0
Suie ; de cheminée		4	4				0
Suif	Suif	4	4				45
Suif ; à faire des chandelles	Suif	4	4		4	4	0
Suif ; en branche		4	4				0
Suif ; en chandelle	Suif	4	4				0
Suif ; en masse	Suif	4	4		4	4	0
Suif ; en pain	Suif	4	4				0
Suif ; en poil		4	4				0
Suif ; fondu		4	4				0
Suif ; fondu et en Chandelle		4	4				3
Suif ; fondu et en chandelles	Suif	4	4				
Suif ; pour raffiner le cuivre		4	4				0
Suine	Suine	…	…				0
Sulfide ; de cuivre		5	5				0
Tabac	Tabac	1	1				24
Tabac ; à fumer	Tabac ; à fumer	1	1				0
Tabac ; à varié	Tabac ; à varié	1	1				0
Tabac ; avarié	Tabac ; avarié	1	1				0
Tabac ; commun	Tabac ; commun	1	1				0
Tabac ; d'Espagne	Tabac ; d'Espagne	1	1				0
Tabac ; d'Hollande	Tabac ; d'Hollande	1	1		1	1	
Tabac ; de Brésil	Tabac ; de Brésil	1	1				0
Tabac ; de Brésil, de Virginie	Tabac ; de Brésil, de Virginie	1	1		1	1	0
Tabac ; de caisse	Tabac ; de caisse	1	1				0
Tabac ; de cantine	Tabac ; de cantine	1	1				0
Tabac ; de carottes	Tabac ; de carottes	1	1				
Tabac ; de Hollande		1	1				0
Tabac ; de la Ferme	Tabac ; de la Ferme	1	1				
Tabac ; de Séville	Tabac ; de Séville	1	1				0
Tabac ; de St. Domingue	Tabac ; de St. Domingue	1	1				0
Tabac ; de St. Vincent	Tabac ; de St. Vincent	1	1				0
Tabac ; de Virginie	Tabac ; de Virginie	1	1				0
Tabac ; des prises	Tabac ; des prises	1	1				
Tabac ; en caisses	Tabac ; en caisses	1	1				0
Tabac ; en carotte		1	1				0
Tabac ; en carottes	Tabac ; en carottes	1	1				0
Tabac ; en carottes et roles		1	1				0
Tabac ; en carottes et rolles	Tabac ; en carottes et rolles	1	1		1	1	
Tabac ; en corde		1	1				0
Tabac ; en cordes	Tabac ; en cordes	1	1				
Tabac ; en cottes	Tabac ; en cottes	1	1		1	1	0
Tabac ; en feuilles	Tabac ; en feuilles	1	1				0
Tabac ; en poudre	Tabac ; en poudre	1	1	tabac en poudre et rapé	1	1	0
Tabac ; en roles		1	1				0
Tabac ; en rolles	Tabac ; en rolles	1	1		1	1	
Tabac ; et cuir		…	…				
Tabac ; et fruits ; secs ; raisin		…	…				
Tabac ; et savon		…	…				
Tabac ; et sucre		…	…				
Tabac ; fabriqué	Tabac ; fabriqué	1	1				0
Tabac ; feuilles		1	1				9
Tabac ; haché et à fumer	Tabac ; haché et à fumer	1	1	tabac filé, haché et à fumé	1	1	0
Tabac ; ouvré	Tabac ; ouvré	1	1				0
Tabac ; pour échantillon	Tabac ; pour échantillon	1	1				0
Tabac ; pressé d'Allemagne	Tabac ; pressé d'Allemagne	1	1		1	1	0
Tabac ; rapé	Tabac ; rapé	1	1				
Tabac ; râpé		1	1				0
Tabac ; rappé	Tabac ; rappé	1	1				
Tabac en feuilles		1	1				0
Tabac et cuir		…	…				0
Tabac et fruits ; secs ; raisin		…	…				0
Tabac et savon		…	…				0
Tabac et son d'Espagne	Tabac ; et son d'Espagne	…	…		1	1	0
Tabac et sucre		…	…				0
Tabacs	Tabacs	1	1				
Tabatière		8	8				0
Tabatière ; communes		8	8				0
Tabatière ; d'agate		8	8				0
Tabatière ; d'argent		8	8				0
Tabatière ; d'écaille		8	8				1
Tabatière ; d'écailles		8	8				0
Tabatière ; d'émail		8	8				0
Tabatière ; d'olivier		8	8				0
Tabatière ; d'or		8	8				0
Tabatière ; de bergamote		8	8				0
Tabatière ; de bois		8	8				0
Tabatière ; de bois vernis		8	8				0
Tabatière ; de carton		8	8				0
Tabatière ; de corne		8	8				0
Tabatière ; de cuir		8	8				0
Tabatière ; de fer blanc		8	8				0
Tabatière ; de forme		8	8				0
Tabatière ; de nacre		8	8				0
Tabatière ; de paille		8	8				0
Tabatière ; de pinsbeck		8	8				0
Tabatière ; émaillée		8	8				0
Tabatière ; enrichies		8	8				0
Tabatière ; étuis et autres bijouteries garnis d'or et d'argent		8	8				0
Tabatière ; vernies		8	8				0
Tabatière et étuis garnis d'argent		8	8				0
Tabatière et étuis garnis d'or		8	8				0
Tabatière et étuis garnis d'or et d'argent		8	8				0
Tabatières	Tabatières	8	8				
Tabatières ; communes	Tabatières ; communes	8	8		8	8	
Tabatières ; d'agate	Tabatières ; d'agate	8	8				
Tabatières ; d'argent	Tabatières ; d'argent	8	8				
Tabatières ; d'écaille	Tabatières ; d'écaille	8	8				
Tabatières ; d'écailles	Tabatières ; d'écailles	8	8	tabatieres d'ecaille incrustrées	8	8	
Tabatières ; d'émail	Tabatières ; d'émail	8	8				
Tabatières ; d'olivier	Tabatières ; d'olivier	8	8				
Tabatières ; d'or	Tabatières ; d'or	8	8				
Tabatières ; de bergamote	Tabatières ; de bergamote	8	8				
Tabatières ; de bois	Tabatières ; de bois	8	8				
Tabatières ; de bois vernis	Tabatières ; de bois vernis	8	8				
Tabatières ; de carton	Tabatières ; de carton	8	8				
Tabatières ; de corne	Tabatières ; de corne	8	8				
Tabatières ; de cuir	Tabatières ; de cuir	8	8		8	8	
Tabatières ; de fer blanc	Tabatières ; de fer blanc	8	8				
Tabatières ; de forme	Tabatières ; de forme	8	8				
Tabatières ; de nacre	Tabatières ; de nacre	8	8				
Tabatières ; de paille	Tabatières ; de paille	8	8				
Tabatières ; de pinsbeck	Tabatières ; de pinsbeck	8	8				
Tabatières ; diverses	Tabatières ; diverses	8	8				
Tabatières ; émaillée	Tabatières ; émaillée	8	8		8	8	
Tabatières ; enrichies	Tabatières ; enrichies	8	8				
Tabatières ; étuis et autres bijouteries garnis d'or et d'argent	Tabatières ; étuis et autres bijouteries garnis d'or et d'argent	8	8		8	8	
Tabatières ; vernies	Tabatières ; vernies	8	8				
Tabatières et étuis garnis d'argent	Tabatières ; et étuis garnis d'argent	8	8		8	8	
Tabatières et étuis garnis d'or	Tabatières ; et étuis garnis d'or	8	8		8	8	
Tabatières et étuis garnis d'or et d'argent	Tabatières ; et étuis garnis d'or et d'argent	8	8		8	8	
Tabernacles	Tabernacles	8	8				0
Tabernacles ; de marbre	Tabernacles ; de marbre	8	8				0
Table		8	8				0
Table ; d'ardoise		8	8				0
Table ; de bois		8	8				0
Table ; de marbre		8	8				0
Table ; de nuit		8	8				0
Table ; de sapin		8	8				0
Tableau		8	8				0
Tableau ; commun		8	8				0
Tableau ; de famille		8	8				0
Tableau ; encadré		8	8				0
Tableaux	Tableaux	8	8				
Tableaux ; communs	Tableaux ; communs	8	8				
Tableaux ; de famille	Tableaux ; de famille	8	8				
Tableaux et estampes	Tableaux et estampes	8	8				20
Tables	Tables	8	8				
Tables ; d'ardoises	Tables ; d'ardoises	8	8				
Tables ; de bois	Tables ; de bois	8	8				
Tables ; de marbre	Tables ; de marbre	8	8				
Tables ; de nuit	Tables ; de nuit	8	8				
Tables ; de sapin	Tables ; de sapin	8	8				
Tablette ; anisée		8	8				0
Tablettes ; anisées	Tablettes ; anisées	8	8				
Tablier		8	8				0
Tablier ; peint		8	8				0
Tablier brodé		8	8				0
Tabliers ; peints	Tabliers ; peints	8	8				
Tabliers brodés	Tabliers brodés	8	8				
Tabliers et blouses ; pour barbier et chirurgien		8	8				0
Tacques de cheminée	Tacques de cheminée	6	6		6	6	0
Taffetas	Taffetas	6	6c				0
Taffetas ; foulas	Taffetas ; foulas	6	6c				0
Taffia	Taffia	1	1				
Tafia		1	1				0
Taies		6	6				0
Taillanderie	Taillanderie	…	…				0
Talc	Talc	5	5				2
Talons ; de bois	Talons ; de bois	6	6				0
Tamarin	Tamarin	5	5		5	5	0
Tambours	Tambours	8	8		8	8	0
Tambours ; à sucre	Tambours	8	8				0
Tambours ; de fer	Tambours	8	8				0
Tamis	Tamis	6	6				0
Tamis ; à tabac	Tamis	6	6				0
Tamis ; de crin	Tamis	6	6				0
Tamis ; faits et à faire	Tamis	6	6		6	6	0
Tanche	Tanche	0	0a		0	0a	0
Tanelles	Tanelles	…	…				0
Tapette	Tapette	8	8		8	8	0
Tapette à mouches	Tapette à mouches	8	8				0
Tapis	Tapis	6	6				1
Tapis ; d'Angleterre		6	6				0
Tapis ; d'Aubusson	Tapis	6	6				0
Tapis ; d'Auvergne	Tapis	6	6				0
Tapis ; d'indienne	Tapis	6	6d				0
Tapis ; de laine	Tapis	6	6b				0
Tapis ; de moquette	Tapis	6	6				0
Tapis ; de toile cirée	Tapis	6	6d				0
Tapis ; de toile peinte	Tapis	6	6d				0
Tapis ; de Turquie	Tapis	6	6d				0
Tapis ; divers	Tapis	6	6				0
Tapis ; fabrique de Tournais	Tapis	6	6		6	6	0
Tapis ; fil et coton	Tapis	6	6a				0
Tapis ; fil teint	Tapis	6	6a				0
Tapisserie	Tapisserie	6	6		6	6	0
Tapisserie ; commune	Tapisserie	6	6		6	6	2
Tapisserie ; d'Amiens	Tapisserie	6	6				0
Tapisserie ; d'Aubusson	Tapisserie	6	6				0
Tapisserie ; d'Auvergne	Tapisserie	6	6				0
Tapisserie ; d'Elbeuf	Tapisserie	6	6				0
Tapisserie ; d'Hautelisse	Tapisserie	6	6				0
Tapisserie ; d'Oudenarde	Tapisserie	6	6				0
Tapisserie ; de Beauvais	Tapisserie	6	6				0
Tapisserie ; de Bergame	Tapisserie	6	6				0
Tapisserie ; de Bergames	Tapisserie	6	6				0
Tapisserie ; de Bruxelles	Tapisserie	6	6				1
Tapisserie ; de coton imprimé		6	6d				0
Tapisserie ; de cuir doré	Tapisserie	6	6				1
Tapisserie ; de Dauphiné	Tapisserie	6	6				0
Tapisserie ; de fil ; teint	Tapisserie	6	6a				0
Tapisserie ; de fil et laine	Tapisserie	6	6a				
Tapisserie ; de filoselle	Tapisserie	6	6c				0
Tapisserie ; de Flandres	Tapisserie	6	6a				0
Tapisserie ; de la Marche	Tapisserie	6	6a				0
Tapisserie ; de laine	Tapisserie	6	6				0
Tapisserie ; de moquette	Tapisserie	6	6b				0
Tapisserie ; de Rouen	Tapisserie	6	6b				0
Tapisserie ; de toile cirée		6	6a				2
Tapisserie ; des Gobelins	Tapisserie	6	6				21
Tapisserie ; diverses	Tapisserie	6	6				
Tapisserie ; fil et laine		6	6				0
Tapisserie ; peinte	Tapisserie	6	6				0
Tapisserie ; peinte ; de Hongrie		6	6				0
Tapisserie ; point d'Hongrie	Tapisserie	6	6				
Tapisserie ; simples		6	6				0
Tapisserie ; tantisse	Tapisserie	6	6				0
Tapisserie ; verdure	Tapisserie	6	6				0
Tapisserie ; vieille	Tapisserie	6	6				0
Tapisseries ; de haute lice	Tapisserie	6	6		6	6	0
Tapisseries ; papiers		6	6				0
Tapsel	Toile ; de coton	6	6d	« Tapsel : Grosse toile de coton rayée , ordinairement de couleur bleue , qui vient des Indes Orientales , particulierement de Bengale. » (Savary)			0
Tartre	Tartre	5	5				0
Tartre ; de vin		5	5				0
Taupine ; de soie et coton	Taupine ; de soie et coton	…	…				0
Taureau		0	0a				0
Taureaux	Taureaux	0	0a				
Tavelle	Tavelle	6	6	Plusieurs sens : petite pièce, triangle de bois ; mais aussi dentelle de fil et soie en provenance de Rouen (Savary)			0
Tavelle ; de laine	Tavelle ; de laine	6	6b				0
Tayolles	Tayolles	8	8	« Tayolle : espece de ceinture de fil ou de laine » (Savary)			0
Teinture	Teinture	5	5		5	5	0
Télescopes	Télescopes	8	8				0
Tendeurs de voiles	Tendeurs de voiles	6	6		6	6	3
Tentes	Tentes et voiles	6	6		6	6	0
Tentes et voiles	Tentes et voiles	6	6				0
Tentes et voiles (en rolles ou pièces)	Tentes et voiles	6	6		6	6	0
Téraile ; commune	Téraille	6	6				1
Téraille	Téraille	6	6				0
Téraille ; divers	Téraille	6	6				0
Tercq	Tercq	…	…				1
Terramerita	Épices	0	0b	Terramerita est l'autre nom du curcuma (Savary)			6
Terre	Terre	2	2				2
Terre ; à bâtir	Terre	2	2				3
Terre ; à ciment	Terre	2	2				1
Terre ; à faïence	Terre	2	2				5
Terre ; à faire pipe		2	2				0
Terre ; à faire pippes	Terre	2	2		2	2	
Terre ; à fouler	Terre	2	2		2	2	0
Terre ; à foulon	Terre	2	2				2
Terre ; à pipe		2	2				0
Terre ; à pipes	Terre	2	2				
Terre ; à poterie		2	2				13
Terre ; à poterie ; et à faire Pipe		2	2				
Terre ; à poterie ; et à fouler		2	2				
Terre ; à poterie et à faire Pipe		2	2				0
Terre ; à poterie et à fouler		2	2				1
Terre ; à potier	Terre	2	2				
Terre ; à pottier	Terre	2	2		2	2	
Terre ; à pottier et à faire pipes	Terre	2	2		2	2	
Terre ; à pottier et à fouler	Terre	2	2		2	2	
Terre ; à sucre	Terre	0	0b				0
Terre ; blanche	Terre	2	2				0
Terre ; commune	Terre	2	2		2	2	8
Terre ; d'emery	Terre	5	5				4
Terre ; d'ombre	Terre	5	5		5	5	8
Terre ; d'ombre de Cologne et de Roucou	Terre	5	5		5	5	8
Terre ; de Bologne	Terre	2	2				0
Terre ; de ciment	Terre	2	2				0
Terre ; de Cologne	Terre	2	2				8
Terre ; de faïence	Terre	2	2				
Terre ; de France		2	2				0
Terre ; de grès	Terre	2	2				0
Terre ; de monnaie	Terre	2	2				0
Terre ; de mulardeau	Terre	2	2		2	2	0
Terre ; de plomb	Terre	2	2				0
Terre ; de porcelaine	Terre	2	2				0
Terre ; de rocou	Terre	5	5				0
Terre ; de Rome	Terre	2	2		2	2	0
Terre ; de Rouen	Terre	5	5		5	5	0
Terre ; de Satine	Terre	2	2				0
Terre ; de soufre		2	2				1
Terre ; de Suède		2	2				0
Terre ; de Vérone	Terre	2	2				0
Terre ; de verrerie	Terre	2	2				0
Terre ; dite souda	Terre	5	5		5	5	0
Terre ; diverses	Terre	2	2				
Terre ; glaise	Terre	2	2				1
Terre ; grasse	Terre	2	2				1
Terre ; houille	Charbon ; de terre	3	3		3	3	0
Terre ; jaune	Terre	2	2				2
Terre ; jaune ou herbe à teindre	Terre	2	2	terre jaune	5	5	0
Terre ; manganèse	Terre	2	2				2
Terre ; noire		3	3				1
Terre ; pour verreries	Terre	2	2		2	2	0
Terre ; pourrie	Terre	2	2				87
Terre ; Pozolane	Terre	2	2				0
Terre ; rouge	Terre	2	2				0
Terre ; segillé		2	2				0
Terre ; Séguillée	Terre	2	2				0
Terre ; verte	Terre	5	5		5	5	0
Terrerie	Terrerie	2	2				0
Terriers ; de fer	Terriers ; de fer	…	…				0
Têtes ; à perruques	Têtes ; à perruques	…	…				0
Têtes ; de carabé	Têtes ; de carabé	…	…				2
Têtes ; de cuir en poil	Têtes ; de cuir en poil	…	…				1
Têtes ; de morue		0	0a				0
Tétras ; noirs		0	0a	Volaille qui tient du coq de bruyère et du faisan			0
Textile		6	6				0
Textile ; Gronekens		6	6				0
Textile ; Gronen		6	6				0
Textile ; Stramian		6	6				0
Thé	Thér	0	0b				22
Thé ; bouilli		0	0b				0
Thé ; pays		0	0b				0
Thé : ?		0	0b				1
Théières	Théières	6	6				0
Théières ; de métal	Théières ; de métal	6	6				0
Thépays	Thépays	0	0b				
Thérebentine	Thérebentine	5	5		5	5	
Thériaque	Thériaque	5	5				0
Thermomètre	Thermomètre	8	8				0
Thon	Poisson	0	0a				0
Thon ; frais	Poisson	0	0a				0
Thon ; mariné	Poisson	0	0a				0
Thon ; salé	Poisson	0	0a				0
Thon ; thonine	Poisson	0	0a				0
Tiers ; à tonneaux	Tiers ; à tonneaux	6	6				0
Tiges ; en bottes		2	2				0
Tiretaine	Tiretaine	6	6b	Etoffe de laine et fils (Savary)			0
Tiretaine ; et miselaine		6	6b				
Tiretaine et miselaine		6	6b				0
Tissu		6	6				0
Tissu ; d’Écosse		6	6				0
Tissu ; d’Osnabrück		6	6				0
Tissu ; de coton		6	6d				0
Tissu ; de coton ; gratté d'un côté		6	6d				0
Tissu ; de crin		6	6b				0
Tissu ; de Gorlitz		6	6				0
Tissu ; de laine		6	6b				0
Tissu ; de laine ; Angora		6	6b				0
Tissu ; de laine ; double fil		6	6b				0
Tissu ; de laine ; fabriqué à Arras		6	6b				0
Tissu ; de lin		6	6a				0
Tissu ; de soie		6	6c				0
Tissu ; de Windau		6	6				0
Tissu ; écarlate		6	6				0
Tissu ; fin		6	6				0
Tissu ; gris ; de Lübeck		6	6				0
Tissu ; pour vêtements militaires		6	6				0
Tissu ; rayé		6	6				0
Tissu ; Thirumtin		6	6				0
Toile	Toile	6	6				26
Toile ; à bas	Toile	6	6				0
Toile ; à bats	Toile	6	6				
Toile ; à canevas	Toile	6	6a				0
Toile ; à carreaux	Toile	6	6a				0
Toile ; à doubler	Toile	6	6a				0
Toile ; à drapeaux		6	6a				0
Toile ; à matelas	Toile	6	6a				0
Toile ; à nappe	Toile	6	6a				0
Toile ; à paillasse	Toile	6	6a				0
Toile ; à pavillon	Toile	6	6a				0
Toile ; à peindre	Toile	6	6a		6	6a	0
Toile ; à sac	Toile	6	6a				0
Toile ; à sacquette dite talette	Toile	6	6a		6	6a	0
Toile ; à serviette	Toile	6	6a				0
Toile ; à serviettes	Toile	6	6a				0
Toile ; à tamis	Toile	6	6a		6	6	0
Toile ; à tapisser	Toile	6	6a		6	6a	0
Toile ; à voile	Toile	6	6a				0
Toile ; abat	Toile	6	6a				
Toile ; ardoisée et rayonnée	Toile	6	6a		6	6a	0
Toile ; assorties	Toile	6	6a				0
Toile ; au lait	Toile	6	6a				0
Toile ; au lait ; lin		6	6a				0
Toile ; bajutapeau		6	6d				0
Toile ; baptiste	Toile	6	6a				1
Toile ; barriere	Toile	6	6				0
Toile ; basin	Toile	6	6d				0
Toile ; batiste	Toile	6	6a				0
Toile ; beaudille	Toile	6	6				0
Toile ; Bem ; A voile	Toile	6	6a				0
Toile ; Bem ; De Vimoutiers	Toile	6	6a				
Toile ; Bem ; de Vimoutiers		6	6				0
Toile ; beurriere	Toile	6	6a				
Toile ; beurrière		6	6a				0
Toile ; blancard	Toile	6	6a				0
Toile ; blanche	Toile	6	6d		6	6a	0
Toile ; blanche ; de la Compagnie		6	6a				0
Toile ; blanche ; fine		6	6a				0
Toile ; blanche ; ordinaire	Toile	6	6a				0
Toile ; blanche et rouge	Toile	6	6a				0
Toile ; blanche et teinte	Toile	6	6				0
Toile ; blanches		6	6				0
Toile ; bleue	Toile	6	6				0
Toile ; boucassine	Toile	6	6a				0
Toile ; bougran	Toile	6	6a				0
Toile ; brochée	Toile	6	6				0
Toile ; caisse	Toile	6	6				0
Toile ; caladaris	Toile	6	6d				0
Toile ; canevas	Toile	6	6a				0
Toile ; ce chasse	Toile	6	6				
Toile ; céruse		6	6				0
Toile ; chapelure		6	6				0
Toile ; chapilas		6	6				0
Toile ; Cholet	Toile	6	6				0
Toile ; cirée	Toile	6	6a				0
Toile ; cirée et lustrée	Toile	6	6a		6	6a	0
Toile ; cirée et peinte	Toile	6	6a		6	6a	0
Toile ; colette		6	6a	Sorte de toiles qu'on tire de Hollande ou de Hambourg pour les Canaries où les Anglais en portent beaucoup (Savary)			0
Toile ; commune	Toile	6	6a				0
Toile ; cordat	Toile	6	6				0
Toile ; coton		6	6d				0
Toile ; coton ; blanche	Toile	6	6d				0
Toile ; cotray	Toile	6	6a				
Toile ; cottray	Toile	6	6a				
Toile ; Courtrai		6	6				0
Toile ; coutil	Toile	6	6a				3
Toile ; coutil ; fil		6	6a				0
Toile ; crée	Toile	6	6				
Toile ; cretonne	Toile	6	6				0
Toile ; crise	Toile	6	6a				2
Toile ; crue	Toile	6	6a				0
Toile ; crüe	Toile	6	6a				0
Toile ; d'Agen	Toile	6	6				0
Toile ; d'Allemagne	Toile	6	6				0
