simplification,categorization,note
corne ; de bœuf,cornes,
corne ; de bétail,,
corne ; ?,cornes,
cornaline,cornalines,
coriandre et riz,,
coriandre et noix,,
coriandre,coriandre,
cordouan,cordouan,
cordonnet ; de poil,cordonnets ; de poil,
cordonnet,cordes,
cordon ; de soie,cordons,
cordon ; de montre ; avec or,,
cordon ; de montre,cordons,
cordon ; de fleuret,cordons,
cordon ; de filoselle,,
cordon ; de fil,cordons,
cordon ; d'or et d'argent,cordons,
cordon ; d'or,cordons,
cordon ; d'argent,cordons,
cordon,cordes,
cordillaterie,étoffe ; de laine,
drap ; cordeillard,drap,
"corde, cable et ficelle",,
corde et écorce de tilleul,,
corde et ficelle,cordes,
corde ; à violon,cordes,
corde ; à instrument,,
corde ; à fouet,cordes,
corde ; à boyau et à violon,,
corde ; à boyau,cordes,
corde ; à arçon,cordes,
corde ; vieille,,
corde ; pour navire,,
corde ; en fibre,,
corde ; de violon,,
corde ; de tilleul,cordes,
corde ; de guitare,,
corde ; de chanvre,,
corde ; d'or,,
corde ; d'auf,,
corde,,
cordage et ficelle,cordage,
cordage et corde,,
cordage ; à boyau,cordage,
cordage ; vieux,cordage,
cordage ; goudronné,,
cordage ; en ficelle,cordage,
cordage ; divers,cordage,
cordage ; de tilleul,cordage,
cordage ; de jonc,cordage,
cordage ; de chanvre,cordage,
cordage ; de Satangres,cordage,
cordage ; de Caret,,
cordage ; d'ethit,cordage,
cordage ; d'espar,cordage,
cordage ; d'emballage,cordage,
cordage ; d'auf,cordage,
cordage,cordage,
corbeille,,
corail ; terraille,corail,
corail ; rouge,corail,
corail ; gros,corail,
corail ; fin ; ouvré,,
corail ; faux,corail,
corail ; en grabeau,corail,
corail ; de jardin,corail,
corail ; brut et taillé,,
corail ; brut,corail,
corail ; brun,corail,
corail ; blanc,corail,
corail ; ouvré,corail,
corail,corail,
cor ; de chasse,cors ; de chasse,
coquille ; écaille de tortue et nacre de perle,,
coquille ; de nacre,coquilles ; écaille de tortue et nacre de perle,
coquille ; de mer,coquilles ; écaille de tortue et nacre de perle,
coquillage,coquillages,
coque ; du Levant,,
coque ; Levant,coque ; levant,
coq ; d'Inde,coqs ; d'inde,
coq,,
copeau ; pour fourreau d'épée,,
conty,,
contre-bordé,,
contrahierba,contrahierba,
conterie,conterie,
conserve ; de rose,conserve ; de rose,
conserve ; de fleure d'orange,conserve ; de fleures d'orange,
connoissement,,
congre,congres,
confiture ; sèche,,
confiture,confitures,
confiserie,,
confection ; d'hyacinthe,,
confection ; d'alkermès,,
confection,confection,
conducteur,,
concombre et cornichon,,
concombre,,
compotiers; de terre,,
composition ; de verre,composition ; de verre,
composition ; de chimie,composition ; de chimie,
compas ; de mer,instruments de marine,
compas ; de cuivre,instruments de marine,
compas,instruments de marine,
commode ; ornée,,
commode ; de sapin,,
commode ; de noyer,,
commode ; de marqueterie,,
commode ; de bois ; violet,,
commode ; de bois,commodes ; de bois,
commode ; avec dessus de marbre,,
commode,commodes,
comme ; animée ou Courbary,,
comestible ; riz,,
comestible ; pâte d'Italie et vermicelle,,
comestible ; lard ; salé,,
comestible ; jambon,,
comestible ; gruau,,
comestible ; graisse ; diverse,,
comestible ; fromage ; divers,,
comestible ; farine,,
comestible ; divers,comestibles,
comestible ; cuisse ; d'oye,,
comestible ; confiture ; diverse,,
comestible ; cochon ; salé,,
comestible ; chair ; salée ; diverse,,
comestible ; bœuf ; salé,,
comestible ; biscuit,,
comestible ; beurre ; salé,,
comestible,comestibles,
colorant ?,,
colorant ; rouge et marron,,
colorant ; rouge,,
drogue ; médicinale ; coloquinte,drogue ; médicinale,
colophane ou Spingler,,
colonne ; de noyer,,
colombine,laque ; colombine,
collier ; de verre,,
collier ; de perle ; fausse,bijoux,
collier ; de perle,bijoux,
collier ; de nacre ; de perle,,
collier ; de jais,bijoux,
collier ; de grenat,,
collier ; de cheval,harnachement,
collier ; d'ambre,,
colle ; à papier,colle,
colle ; ordinaire,,
colle ; forte ; de poisson,,
colle ; forte ; de Flandres,,
colle ; forte,colle,
colle ; faible,,
colle ; de poisson,colle,
colle ; de Flandre,colle,
colle ; commune,colle,
colle,colle,
colin,,
coity,,
coin,,
coiffure ; à dentelle,,
coiffure ; de gaze,,
coiffure ; de blonde et palatine,,
coiffure ; de blonde,,
coiffure,,
coiffe de chapeau,chapeaux,
coiffe ; à perruque,,
coiffe ; de tambou,,
coiffe ; de gaze,chapeaux,
coiffe ; de dentelle ; de soie,,
coiffe ; de chapeau,,
coiffe ; blonde,,
cognac,,
coffre fort ; de fer,,
coffre et cercueil en cyprès,,
coffre ; à garniture de peau,,
coffre ; vieux,boîtes,
coffre ; fort,boîtes,
coffre ; de voyage,,
coffre ; de thé,,
coffre ; de sapin,,
coffre ; de noyer,,
coffre ; de fer et berse,,
coffre ; de fer,,
coffre ; de chirurgie,boîtes,
coffre ; de bois,boîtes,
coffre,,
codearia,,
codde blanc,,
cocullus,,
coctif,coctif,
cocon ; de soie,cocons ; de soie,
cocon,cocons ; de soie,
coco ; du levant,,
coco ; de levant,,
coco,,
cochon ; salé,cochons ; salé,
cochon ; de lait,bestiaux,
cochenille et indigo,,
cochenille ; sylvestre,,
cochenille ; silvestre,,
cochenille ; mestèque,,
cochenille ; mesteque,,
cochenille ; campêche,,
drogue ; pour la peinture et la teinture ; cochenille,drogue ; pour la peinture et la teinture,
cocalum,,
coas ; de soie,,
cloutier,,
clou et caboche de fer,,
clou et acier,,
épicerie ; girofle,épicerie,
clou ; doré,clous,
clou ; de girofle,,
clou ; de fer,,
clou ; de cuivre ; doré,,
clou ; de cuivre,,
clou,,
cloporte,cloportes,
clochette ; de fonte,,
clochette,clochettes,
cloche ; en fonte,,
cloche ; de verre,cloches,
cloche ; de métal,cloches,
cloche ; de fonte,cloches,
cloche ; de cuivre,cloches,
cloche,cloches,
clinquant ; d'or faux,clinquant ; d'or faux,
claye ; à parquer,clayes ; à parquer,
clavecin ; vieux,,
clavecin,instruments ; de musique,
clarifiant,,
clappe ou douve à baril de sapin,,
clappe ou douve à baril,,
claphout en blocq,,
claphout,,
clairon,,
citron et orange,citrons et oranges,
citron ; vert,,
citron ; salé,,
citron ; en conserve,,
citron ; confit,citrons,
citron ; aigre,,
citron,citrons,
ciseau,ciseaux,
cirsaca,toile ; de coton,
cire et chandelle ; de cire,,
cire ; à cacheter,cire,
cire ; verte,cire,
cire ; rouge en flambeau,,
cire ; jaune et blanche,,
cire ; jaune en pain,,
cire ; jaune en cierge et flambeau,,
cire ; jaune en bougie et chandelle,,
cire ; jaune ; du levant,,
cire ; jaune,cire,
cire ; en pain,cire,
cire ; en grain,cire,
cire ; en grabeau,cire,
cire ; en flambeau,,
cire ; en figure,,
cire ; en crasse,cire,
cire ; en bougie,cire,
cire ; diverse,cire,
cire ; de bougie,cire,
cire ; d'Espagne à cacheter,,
cire ; d'Espagne,cire,
cire ; blanche et jaune ; fondue et en bougie,cire,
cire ; blanche et jaune,cire,
cire ; blanche en flambeau,,
cire ; blanche en feuille,,
cire ; blanche en bougie,,
cire ; blanche ; ouvrée,,
cire ; blanche,cire,
cire,,
cirage ; pour chaussure,,
cinabre ; fin,,
cinabre ; en roche,,
cinabre ; broyé,,
drogue ; pour la peinture et la teinture ; cinabre,drogue ; pour la peinture et la teinture,
ciment ou tiras,,
ciment,ciment,
cime,,
cierge et flambeau,,
cierge ; de cire ; blanche,,
cierge,cierges,
cidre,cidre,
fruit ; cru ; châtaigne et noix,,
fruit ; cru ; châtaigne ; sèche,,
fruit ; cru ; châtaigne ; blanche,,
fruit ; cru ; châtaigne,fruits,
chuquelas,toile ; de soie et coton,
christ ; d'ivoire ; monté de velours,,
christ ; d'ivoire,christ ; d'ivoire,
chou ; à planter,,
chou ; salé,,
chou ; confit,choux ; confits,
chou ; cabus,,
chou,choux,
chocolat ; en patte,,
chocolat,chocolat,
chivelle,chivelles,
chitte ; étoffe,étoffe,
chitte,étoffe,
chitspamabage,,
chise de fourneau,,
chinois,chinois,
chine,chine,
chima ; calin,,
chilas,toile ; de coton,
chiffon,,
chien,chiens,
chicotin,chicotin,
chicorée ; moulue,,
chicorée,,
chicas,,
chialar,,
chevron ; de sapin ; de 24 pieds,,
chevron ; de sapin ; de 14 pieds,,
chevron ; de sapin ; de 10 pieds,,
chevron ; de sapin ; 12 pieds,,
chevron ; de sapin,,
chevron ; de merisier,,
chevron ; de cèdre,,
chevron ; de bois ; d'acajou,,
chevron ; de bois,chevrons,
chevron ; de 26 pieds,,
chevron ; de 18 pieds,,
chevron ; de 16 pieds,,
chevron,chevrons,
cheveu,cheveux,
cheval ; à moyen prix,,
cheval ; à haut prix,,
cheval ; à bas prix,,
cheval ; petit,,
cheval ; de selle,,
cheval ; de labour,,
cheval ; de bois,cheval ; de bois,
cheval ; de 3 ans,,
cheval ; d'un an,,
chenille ; de soie,chenille ; de soie,
chenille ; de flavret,,
chenille ; de chêne,,
chenille ; au quart,chenille ; au quart,
chemise ouvrée ; blanche,,
chemise ; écossaise,,
chemise ; à nègre,chemises,
chemise ; à fumer,,
chemise ; unie,chemises,
chemise ; de toile ; de lin,,
chemise ; pour homme,,
chemise ; neuve,,
chemise ; neutre,,
chemise ; garnie ; pour homme,,
chemise ; garnie ; pour femme,,
chemise ; garnie ; de Batiste,,
chemise ; garnie,chemises,
chemise ; fine,chemises,
chemise ; de toile de lin,,
chemise ; de toile de St Jean,,
chemise ; de toile de Bretagne,chemises,
chemise ; de toile ; de lin ; garnie,,
chemise ; de toile ; commune,,
chemise ; de toile,,
chemise ; de nègre,chemises,
chemise ; de lin,chemises,
chemise ; de laine,,
chemise ; de gingas,chemises,
chemise ; de Laval,chemises,
chemise ; commune,chemises,
chemise ; bretonne,chemises,
chemise ; bleue,,
chemise,chemises,
cheminée ; statue,,
cheminée ; de pierre ; de lierre,,
cheminée ; de marbre,cheminée,
chaîne ; de montre,chaînes ; de montre,
chaîne ; de laiton,chaînes ; de laiton,
chaîne ; de fer,,
chazetas,chazetas,
"chaux, plâtre et ciment",,
chaux et cendre de chaux mellé,,
chaux et cendre,chaux,
chaux ; éteinte,chaux,
chaux ; à bâtir,chaux,
chaux ; vive,chaux,
chaux ; fondu,,
chaux ; de calcaire,,
chaux,chaux,
chaussure,,
chausson ; de laine,chaussons,
chausson ; de fil,chaussons,
chausson ; de carisee et drap à laver maison,,
chausson,chaussons,
chaussette ; de fil,chaussettes ; de fil,
chaussette,,
chausseterie,chausseterie,
chaufferette ; de bois,,
chauffe ; pieds,,
chaudron ; fond,,
chaudron ; en laiton,,
chaudron ; de potin,,
chaudron ; de fer,,
chaudron,,
chaudière et cuve,,
chaudière ; de potin,,
chaudière ; de fonte,,
chaudière ; de fer,,
chaudière ; de cuivre,,
chaudière ; de bray,,
chaton,chatons,
chasuble,chasubles,
chasselas,chasselas,
chasse mouche,,
charrue,charrues,
charrette,,
charpie,,
charonin,,
charonie,,
charlotonne,charlotonne,
chariot ; à feu,,
chariot ; neuf,,
chariot,,
charge en fer ; blanc,,
chardon ; à drapier,,
chardon ; cardier,,
chardon,chardons,
charbon ; de terre,charbon ; de terre,
charbon ; de pierre,charbon ; de terre,
charbon ; de boulanger et bresette,,
charbon ; de boulanger,charbon ; de boulanger et bresette,
charbon ; de bois et de terre,,
charbon ; de bois,charbon ; de bois,
charbon,charbon,
chapon,chapons,
chapla,chaplas,
chapellerie ; en poil et en laine,,
chapellerie ; en paille et sparterie,,
chapellerie ; divers,,
chapellerie,chapeaux,
chapelet ; de verre,chapelets,
chapelet ; de coco,chapelets,
chapelet ; de bois,chapelets,
chapelet ; commun,chapelets,
chapelet,chapelets,
chapeau ; à nègre,chapeaux,
chapeau ; vieux,,
chapeau ; uni et demi forme,,
chapeau ; uni,chapeaux,
chapeau ; sorti,chapeaux,
chapeau ; perse,chapeaux,
chapeau ; neuf,,
chapeau ; mêlé,chapeaux,
chapeau ; mi vigogne,chapeaux,
chapeau ; mi castor,chapeaux,
chapeau ; fin,chapeaux,
chapeau ; divers,chapeaux,
chapeau ; demi-castor,,
chapeau ; demi,,
chapeau ; de vigogne,,
chapeau ; de velours,chapeaux,
chapeau ; de soie,chapeaux,
chapeau ; de satin,chapeaux,
chapeau ; de poil et laine,chapeaux,
chapeau ; de poil ; brodé d'or et d'argent,,
chapeau ; de poil,chapeaux,
chapeau ; de paille,chapeaux,
chapeau ; de loutre,,
chapeau ; de laine ; commun,chapeaux,
chapeau ; de laine,chapeaux,
chapeau ; de feutre uni,,
chapeau ; de feutre,chapeaux,
chapeau ; de femme,chapeaux,
chapeau ; de cuir,chapeaux,
chapeau ; de castor ; verni,,
chapeau ; de castor ; uni,,
chapeau ; de castor ; non brodé,,
chapeau ; de castor ; fin,,
chapeau ; de castor ; brodé d'or et d'argent,,
chapeau ; de castor ; brodé d'or,,
chapeau ; de castor ; brodé,,
chapeau ; de castor ; bordé or et argent,,
chapeau ; de castor,chapeaux,
chapeau ; de bois,chapeaux,
chapeau ; dauphin,chapeaux,
chapeau ; d'écorce d'arbre,chapeaux,
chapeau ; d'écorce ; de tilleul,,
chapeau ; d'enfant,,
chapeau ; d'Angleterre,chapeaux,
chapeau ; commun,,
chapeau ; castor ; uni,,
chapeau ; castor ; brodé d'or,,
chapeau ; castor ; bordé ; d'or,,
chapeau ; castor ; bordé ; d'argent,,
chapeau ; castor ; bordé,,
chapeau ; brodé d'or,chapeaux,
chapeau ; brodé,chapeaux,
chapeau ; bordé d'argent,,
chapeau ; bordé ; d'or et d'argent,,
chapeau ; assorti,chapeaux,
chapeau ; ? castor,chapeaux,
chapeau ; 1/2 castor,,
chapeau,chapeaux,
chanvre et lin,chanvre et lin,
chanvre ; écru,chanvre,
chanvre ; tressé,,
chanvre ; tillé,chanvre,
chanvre ; sérancé,,
chanvre ; saisir,chanvre,
chanvre ; peigné,chanvre,
chanvre ; en rame,chanvre,
chanvre ; en ramade,,
chanvre ; en masse,chanvre,
chanvre ; en lien,,
chanvre ; eau,chanvre,
chanvre ; divers,chanvre,
chanvre ; dit chenevolle,chanvre,
chanvre ; de masse,chanvre,
chanvre ; cru,chanvre,
chanvre ; brut,chanvre,
chanvre ; battu,chanvre,
chanvre ; apprêté,chanvre,
chanvre ; 2e qualité,chanvre,
chanvre ; 1ère qualité,chanvre,
chanvre,chanvre,
chanoni,,
changeante,changeante,
chandelle ; à porteur,chandelles,
chandelle ; à l'huile de baleine,,
chandelle ; roulante,chandelles,
chandelle ; moitié cire,chandelles,
chandelle ; de suif,,
chandelle ; de rotin,chandelles,
chandelle ; de paille,chandelles,
chandelle ; de jonc,chandelles,
chandelle ; de commodité,chandelles,
chandelle ; de canne,chandelles,
chandelle ; de bois,,
chandelle,,
chandelier ; à pique,,
chandelier ; de laiton,,
chandelier ; de cuivre,chandeliers,
chandelier ; de bois,,
chandal,,
chamure,,
champignon ; sec,,
champignon ; mariné,,
champignon,,
champhew,champhew,
chamois,,
chambranle ; de porte,,
chaloupe ; démontée,,
chaloupe,,
chalon ; peint,,
chalon ; blanc souphré,,
chalon ; blanc,,
chalon,chalons,
chalbafs,chalbafs,
chaise et fauteuil de paille,,
chaise et fauteuil de canne,chaises,
chaise et fauteuil ; de jonc,,
chaise et fauteuil,chaises,
chaise et cabriolet,,
chaise ; à porteur,chaises,
chaise ; à deux roue,,
chaise ; roulante ; vieille,,
chaise ; roulante ; avec son train,,
chaise ; roulante ; avec harnais,,
chaise ; roulante,chaises,
chaise ; pliante ; de cuir de Russie,,
chaise ; pliante,,
chaise ; de tapisserie,,
chaise ; de rotin,,
chaise ; de poste,,
chaise ; de passerame leurs arnoies,,
chaise ; de paille,chaises,
chaise ; de noyer,,
chaise ; de jonc,chaises,
chaise ; de fer,,
chaise ; de commodité,,
chaise ; de canne,chaises,
chaise ; de bois,,
chaise ; d'enfant,,
chaise ; commune,,
chaise,,
chair salée ; chair de porc ; saucisson,,
chair salée ; chair de porc ; lard,,
chair salée ; chair de porc ; jambon,,
chair salée ; chair de porc ; diverse,,
chair salée ; chair de bœuf ; langue de bœuf,,
chair salée ; chair de bœuf ; diverse,,
chair salée ; chair de bœuf ; bœuf salé,,
chair salée ; chair de bœuf ; boyau salé,,
chair ; volaille et gibier,,
chair ; salée et fraîche,,
chair ; salée ; saumure,chair,
chair ; salée ; saucisson,chair,
chair ; salée ; porc,chair,
chair ; salée ; petit salé,chair,
chair ; salée ; lard,chair,
chair ; salée ; langue de bœuf,chair,
chair ; salée ; jambon,chair,
chair ; salée ; diverse,chair,
chair ; salée ; de toute sorte,,
chair ; salée ; de porc,chair,
chair ; salée ; cuisse d'oie,chair,
chair ; salée ; bœuf ; fumé,chair,
chair ; salée ; bœuf,chair,
chair ; salée ; boyau,chair,
chair ; salée,chair,
chair ; fumée,chair,
chair ; fraîche ; de viande,chair,
chair ; fraîche,,
chair ; diverse,,
chair ; de porc ; en jambon,,
chair ; de bœuf,,
chair ; de boucherie,chair,
chair ; cuite,chair,
chair ; ?,,
chagrin,,
chade,,
drogue ; médicinale ; cévadille,drogue ; médicinale,
cervelas,,
cerneau,cerneaux,
cerise,cerises,
cercocole,cercocole,
cercle ; de jonc,,
cercle ; à tonneau,cercles,
cercle ; à tamis,cercles,
cercle ; à quart,,
cercle ; à pipe,,
cercle ; à barrique,,
cercle ; à baril,,
cercle ; ocloir,cercles,
cercle ; de feuillard,,
cercle et feuillard ; en fer,,
cercle ; de bois ; de barrique,,
cercle ; de bois,,
cercle et feuillard,,
cercle et feuillard ; en bois,,
cercle,,
cerceau ; de fût,,
cerceau,,
centaurée et bleuet,,
cendre ; à savon,,
cendre ; à orfèvre,cendre,
cendre ; à fumer ; terre,cendre,
cendre ; à fumer,cendre,
cendre ; verte,cendre,
cendre ; vedasse,cendre,
cendre ; tourbe,cendre,
"cendre ; soude, natron et salin",,
cendre ; soude et potasse,,
cendre ; soude ; d'Egypte ou Natrum,,
cendre ; soude,cendre,
cendre ; pour manufacture,,
"cendre ; potasse, vedasse et gravelée",,
cendre ; potasse et vedasse,cendre,
cendre ; potasse,cendre,
cendre ; poreuse,cendre,
cendre ; menuisée,,
cendre ; gravelée,cendre,
cendre ; gravelin,,
cendre ; fonde,,
cendre ; flore,,
cendre ; diverse,cendre,
cendre ; des tourbe,,
cendre ; des rois,cendre,
cendre ; de vitarch,cendre,
cendre ; de verre,cendre,
cendre ; de varet,cendre,
cendre ; de varech,cendre,
cendre ; de toute espece à engraisser,,
cendre ; de tourbe et de paille,cendre,
cendre ; de tourbe,cendre,
cendre ; de soude,cendre,
cendre ; de plomb,cendre,
cendre ; de mer,cendre,
cendre ; de matron,cendre,
cendre ; de malte,,
cendre ; de lessive,cendre,
cendre ; de houille,cendre,
cendre ; de grignon,cendre,
cendre ; de frêne,,
cendre ; de courbe,,
cendre ; de chaux,cendre,
cendre ; de bois,cendre,
cendre ; de Sicile,cendre,
cendre ; d'os,cendre,
cendre ; d'Angleterre,,
cendre ; commune,cendre,
cendre ; casseaux,cendre,
cendre ; cassant,cendre,
cendre ; caleinée,cendre,
cendre ; broyée ; à l'huile,cendre,
cendre ; bleue et verte,,
cendre ; bleue,cendre,
cendre ; bleu,,
cendre ; blan,cendre,
cendre ; barille et fonde,,
cendre ; barille,,
cendre ; ??,,
cendre,cendre,
cendaline,cendaline,
cement,,
ceinturons; piqué,,
ceinturon et bandouilliere,,
ceinturon ; uni,,
ceinturon ; de soie,,
ceinturon ; de peau,,
ceinturon ; de buffle,,
ceinturon ; brodé d'or,,
ceinturon ; brodé ; d'argent,,
ceinturon ; brodé,,
ceinturon,ceinturons,
ceinture; brodée ; de soie,,
ceinture de prêtre,,
ceinture ; marine,,
ceinture ; de soie,,
ceinture ; d'argent fin,,
ceinture,ceintures,
ceaustatille étoffe,,
cazé,,
cayette,,
cavizé,,
caviar,caviar,
cave ; à tabac,,
cave ; garnie,caves ; garnies,
cave ; file,,
cave,,
causel de bar,causels de bar,
cauris,cauris,
caume ; de jonc,caumes,
caume ; de bois,caumes,
caume ; bambou,caumes,
catéchisme,,
catequin,,
catendevy,,
catadarit,,
castoteunt,castoteunt,
castoreum,,
castor ; sec,,
castor ; gras,,
castor ; blanc,,
castor,,
castalogne,castalogne,
cassonnade,sucre,
cassole,cassoles,
cassis,cassis,
drogue ; médicinale ; cassia lignea,drogue ; médicinale,
casserole ; de fer,,
casserole,,
cassela,casselas,
casse étoffe,étoffe,
casse ; remède,drogue ; médicinale,
casse ; garnie,casse,
casse ; en bâton,,
casse ; de laiton,casse,
casse ; de fer,casse,
casse ; au canéfice,,
casse,casse,
casque et cuirasse,,
casque de charge,,
cascarille,cascarilles,
casaque de peau,casaques de peau,
casaque de froc,,
casaque ; à nègre,,
casaque,,
carzé,carzé,
carvi,carvi,
carubi,carubi,
cartouche,cartouches,
carton ; à drapier,,
carton ; ouvré et en feuille,,
ouvrage ; de carton,ouvrages,
carton ; moulé,,
carton ; en feuille,,
carton,cartons,
carte ; à jouer,cartes ; à jouer,
carte ; marine,cartes ; géographiques,
carte ; géographique,cartes ; géographiques,
carte ; de la côte d'Angleterre,,
carte ; de géographie ; sur toile,,
carte ; de géographie,,
carte,,
cartager,,
carré,carré,
carrouge,carrouges,
carrosse et harnois,,
carrosse ; vieux,,
carrosse ; neuf,,
carrosse ; grand ; monté sur leur train et harnois riche,,
carrosse,carrosses,
carret,,
carrelet séché,,
carrelage,,
carreau ; à paver,carreaux,
carreau ; à dentelle,carreaux,
carreau ; Île de France,,
carreau ; rouge,,
carreau ; pour le sol,,
carreau ; noir,carreaux,
carreau ; moulage ; de France,,
carreau ; moulage ; de Brie,,
carreau ; moulage,carreaux,
carreau ; meulage de France,,
carreau ; meulage de Brie,,
carreau ; de verre à vitre,,
carreau ; de verre,,
carreau ; de terre à paver,carreaux,
carreau ; de terre,carreaux,
carreau ; de sera,carreaux,
carreau ; de pierre à paver,,
carreau ; de pierre noire,,
carreau ; de pierre de terre,,
carreau ; de pierre,,
carreau ; de marbre à paver,,
carreau ; de marbre ; pour le roi,,
carreau ; de marbre,carreaux,
carreau ; de lorre,carreaux,
carreau ; de faïence,carreaux,
carreau ; de dentelle,carreaux,
carreau ; de brique,carreaux,
carreau ; de bidache,carreaux,
carreau ; d'ardoise,carreaux,
carreau ; bleu,carreaux,
carreau ; ?,carreaux,
carreau,,
carpette,carpette,
carpeaux ; alvin,poisson,
carpe,poisson,
carotte ; d'enfant,,
carotte,carottes,
carol,carols,
carny,carny,
carnifié,,
carnatane,carnatane,
carnasse,carnasse,
carnadière,drogue ; médicinale,
carmin,carmin,
carlé,carlé,
carizé ; étoffe,,
carizé ; vieille,,
carizé,carizé,
carisaye ; teinte,,
carisaye ; mellée,,
carisaye ; blanche,,
caril,,
cargaison,,
caret,,
carelet,,
cardon,cardons,
cardine ; de sapin,,
cardine,cardines,
carde ; à carder,cardes,
carde ; vieille,,
carde ; à drapier,cardes,
carde ; neuve,cardes,
carde et cardon champêtre,,
carde ; en fer,,
carde ; de bois et fil de fer,,
carde ; carder,,
carde,,
carcasse ; à peu de soie,carcasses,
carcasse,carcasses,
carcajou,,
caramel,caramel,
caractère d'imprimerie,caractère d'imprimerie,
caractère ; à imprimer,,
carabine à air comprimé,,
caput mortum,,
capsliatte,capsliatte,
capoterie,capoterie,
capons,,
capiton ; de soie,,
capiton,capiton,
capilaire ; vert,,
capilaire ; en herbe,capilaire ; en herbe,
capilaire,capilaire,
capies,capies,
capeabas,capeabas,
cape ; de drap,,
cape ; de camelot,capes,
cape ; de Bearn,capes,
cape ; cabas,capes,
cape,,
caparaçon,,
capalme,,
capa,capas,
caoutchouc,,
canéfice,,
cantine,,
canonnière ; de cantil,canons,
canon et boulet de fer,,
canon et boulet ; de fer,,
canon et boulet,,
canon et balle ; de fer,,
canon ; en fer ; de 2 livre,,
canon ; de métal,,
canon ; de fonte ; petit,,
canon ; de fonte,canons,
canon ; de fer de 4 livre de balle,,
canon ; de fer ; petit,,
canon ; de fer ; de 4 livre,,
canon ; de fer ; de 3 livre,,
canon ; de fer ; de 18 et 30 livre de balle,,
canon ; de fer ; de 18 a 24 livre,,
canon ; de fer,canons,
canon ; de cuivre,,
canon ; de fusil,canons,
canon ; de 18 de balle,,
cannette ; de terre et de grès,,
cannette ; de terre,,
cannette ; de grès,,
cannette ; de bois ; de sapin,,
cannette ; de ?,,
cannette ; d'étain,,
cannette,,
cannelle et poivre,,
épicerie ; cannelle ; gerofflée,épicerie,
épicerie ; cannelle,épicerie,
canne ; à pomme d'or ; ayant servi,,
canne ; à pomme d'or,,
canne ; à main,,
canne ; garnie,,
canne et bâton ; verni,,
canne ; diverse,cannes,
canne ; dit genette,,
canne ; de jonc,cannes,
canne ; de bois montée et non montée,,
canne ; de bois,cannes,
canne ; bambou,cannes,
canne,,
canique,,
canif,,
canevette ; à flacon,,
canevette ; de grès,canevettes,
canevette,canevettes,
canevas ; tracé,,
canevas ; de fil,,
canevas,toile ; de chanvre ou de lin,
canette ; de terre,,
canette ; de grès,,
canetille ; d'or faux,canetilles ; d'or faux,
"canelle, giroffle, poivre, etc.",,
canefiée,canefiée,
drogue ; médicinale ; canéfice,drogue ; médicinale,
candeta,candetas,
canaux,canaux,
canari ou serin,,
canard ; en vie,,
canard,canards,
canapé ; de maroquin et table à joué,,
canapé ; de cuir de Russie,,
canapé,canapé,
camphre ; raffiné,drogue ; médicinale,
camphre,drogue ; médicinale,
camisolle,camisolles,
camelot; écarlate,,
camelot ; à peu de soie,,
camelot ; soie et laine,,
camelot ; rayé,,
camelot ; poil et soie,camelot,
camelot ; poil et laine,camelot,
étoffe ; de laine ; camelot petit dit de Berlin,,
camelot ; mêlé ; de soie,,
camelot ; mi soie,camelot,
camelot ; laine et soie,,
camelot ; des isles,,
camelot ; des Indes,camelot,
camelot ; de terrine,camelot,
camelot ; de soie,,
camelot ; de laine,camelot,
camelot ; de burail,,
camelot ; de Lille et autre,camelot,
camelot ; de Lille,,
camelot ; de Hollande,camelot,
camelot ; de Bruxelles,camelot,
camelot ; d'écarlatte,,
camelot ; d'Auvergne,camelot,
camelot ; d'Angleterre et Hollande,camelot,
camelot ; d'Amiens,camelot,
camelot ; burail,,
camelot ; au sixième de soie,,
camelot ; au quart,camelot,
camelot ; a peu de soie,camelot,
camelot,camelot,
cambray,,
cambouis,cambouis,
cambaye,cambaye,
calèche,calèches,
calotte et sac de papier,calottes et sacs de papier,
calotte ; de prêtre,,
calotte ; de peau divine,,
calotte,calottes,
calmotte,,
camelot ; de laine et soie,camelot,
callemande,,
calicot,,
calice ; d'argent,,
cale ; en bois,,
calandrine,calandrine,
calamus ; aromatisé,calamus ; aromatisé,
calamus,calamus,
calamine ; grillée,,
calamine,calamine,
caisse ; à carafon,caisses,
caisse ; vide,,
caisse et tête ; de carton,,
caisse ; de liège,caisses,
caisse ; de carosse,,
caisse ; de berline et train,,
caisse,,
caillou,cailloux,
caille,,
cage ; d'oiseau,,
cage,cages,
café et provision,,
café et cacao,café,
café ; des Indes,café,
café ; de moka,café,
café ; de Martinique,,
café ; du Levant,café,
café,café,
caffard ; carpette et ligature,,
caffar ; de laine,,
caffar ; blanc,,
caffar,,
cafetou fer,,
cafetière ; de métal,,
cafetière ; de fer ; blanc,,
cafetière ; de cuivre,,
cafetière ; de Levant,,
cafetière,cafetières,
cadre ; doré,cadres,
cadre ; de bois,cadres,
cachou ; brut,,
cachou,cachou,
cachet ; doré,,
cachet ; d'argent,cachets ; d'argent,
cache,,
cacao et chocolat,,
cacao ; en graine,,
cacao ; des îles,,
cacao ; broyé,,
cacao,cacao,
cabrouet,,
cabrion,,
cabriolet,cabriolets,
cabochon,,
caboche ; de fer,,
caboche,cabriolet,
cabinet ; peint,,
cabinet ; de sapin,,
cabinet ; de noyer,,
cabinet,,
cabine de bain,,
