source,product_orthographic,product_simplification,product_sitc,product_edentreaty,product_canada,product_medicinales,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,product_RE_aggregate,product_threesectors,product_threesectorsM,nbr_occurences_navigo_marseille_,nbr_occurences_navigo_g5,nbr_occurrences_datasprint
Pêche à la baleine,pêche à la baleine,pêche à la baleine,0a,,Autres pêches,,,Pas grain (0),,,,,,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,4,0
Pêche à la morue,pêche à la morue,morue,0a,,Pêche d'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,159,8
Pêche à la morue de Terre Neuve,pêche à la morue de Terre-Neuve,pêche à la morue de Terre-Neuve,0a,,Autres pêches,,,Pas grain (0),,,,,,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,17,0
Pêche à la morue verte de Terre Neuve,pêche à la morue verte de Terre-Neuve,morue verte de Terre Neuve,0a,,Autres pêches,,,Pas grain (0),,,,,,Pêche et fruits de mer,,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,30,0
Pêche à la raie,pêche à la raie,pêche à la raie,0a,,Autres pêches,,,Pas grain (0),,,,,,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,3,0
Pêche à la sardine,pêche à la sardine,pêche à la sardine,0a,,Autres pêches,,,Pas grain (0),,,,,,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,2,0
Quelques effets,quelques effets,habits,8,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Habits et lingerie,No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,2,0
Quelques marchandises,quelques marchandises,marchandises,9b,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers mélangés,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,1,0
Quincaillerie,quincaillerie,quincaillerie,6j,Hardware,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Quincaillerie,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,3,0
Quincailleries,quincaillerie,quincaillerie,6j,Hardware,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Quincaillerie,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Quinquaillerie,quincaillerie,quincaillerie,6j,Hardware,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Quincaillerie,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Raisin,raisin,raisin,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,"Fruits ; divers ; amandes, pelures, raisins, prunes",Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fruits frais,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,3,0
Raisins,raisin,raisin,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,"Fruits ; divers ; amandes, pelures, raisins, prunes",Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fruits frais,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,2,0
Raisins de Corinthe,raisin de Corinthe,raisin de Corinthe,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,"Fruits ; divers ; amandes, pelures, raisins, prunes",Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fruits frais,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,5,0,0
Raisins secs,raisin sec,raisin sec,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,"Fruits ; divers ; amandes, pelures, raisins, prunes",Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fruits secs et noix,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,6,0,0
Rame,rames,rames,7,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers incertains,No link with beaver,,,,Machines et moyens de transport y compris sellerie,Machines and transportation,Other industrial products,Divers,Unknown,Inconnus,1,0,0
Raphia,raphia,raphia,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Ras de Sel,raz de Sel,raze de Sel,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Toiles diverses,,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Objets manufacturés,Manufactures,Produits manufacturés,0,2,0
Reglisse,réglisse,réglisse,0a,,Pas importé en France depuis l'Amérique avant 1763,narrow medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Réglisse,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Drogues,Manufactures,Produits manufacturés,5,0,0
Resine,résines,résines,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Brai, goudron et résines",No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,1,2
Restant de Boeure,restant de beurre,restant de beurre,0a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Beurre,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,4
Restant de beurre,restant de beurre,restant de beurre,0a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Beurre,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
Restant de boeure [beurre],restant de beurre,restant de beurre,0a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Beurre,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
Restant de chargement,restant de chargement,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,1,0
Restant de marchandise,restant de marchandises,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,0,2
Restant de marchandises,restant de marchandises,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,1,0
Restant de marchandises en boeure,restant de marchandises en beurre,beurre,0a,,Hors Canada,not a medical product,Beurre,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Beurre,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,2
Restant de sa cargaison,restant de cargaison,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,1,2
Restant de ses marchandises,restant de ses marchandises,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,1,0
Restant de son chargement,restant de son chargement,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,3,0
Restant de vin,restant de vin,restant de vin,1,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Vins divers,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,Subsistances,Agriculture,Produits agricoles,0,4,0
Restants de sel de sa cargaison,restant de sel de sa cargaison,restant de sel,0a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Sel,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
Reste de beurre,reste de beurre,restant de beurre,0a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Beurre,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,5
Reste de blés,reste de blé,blé,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Froment (1),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,2
Reste de cargaison,reste de cargaison,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,21,0
Reste de futaille,reste de futaille,restant de futaille,6b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Reste de futailles,reste de futailles,restant de futailles,,,,,,,,,,,,,,,,,,,,[vide],Unknown,Inconnus,0,0,4
Reste de grains,reste de grains,grains,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,0,2
Reste de marchandise,reste de marchandises,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,0,18
Reste de marchandises,reste de marchandises,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,26,0
Reste de marchandises des isles,reste de marchandises des Îles,marchandises des Îles,0b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers mélangés,No link with beaver,,,,Produits agricoles alimentaires des régions de colonisation européenne,Plantation foodstuff,Plantation foodstuffs,Divers,Unknown,Inconnus,0,0,2
Reste de sa cargaison,reste de sa cargaison,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,1,0
Reste de sardines pressé de Bretagne,reste de sardines pressées de Bretagne,sardines pressées de Bretagne,,,,,,,,,,,,,,,,,,,,[vide],Unknown,Inconnus,0,0,2
Reste de sel de sa cargaison,reste de sel de sa cargaison,restant de sel,0a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Sel,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
Reste de sel de sa pêche,reste de sel de sa pêche,restant de sel de sa pêche,0a,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Sel,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
"Reste de son chargeme,t",reste de son chargement,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,1,0
Reste de son chargement,reste de son chargement,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,178,0
Reste de son chargement de fer,reste de son chargement de fer,restant de fer,6j,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Fer,No link with beaver,,,,"Métaux, produits métalliques et outils",Metal products,Other industrial products,Métaux,Non-agricultural primary goods,Produits primaires,0,1,0
Reste de son chargement de planches,reste de son chargement de planches,restant de planches,6b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",Industrie française et étrangère,Manufactures,Produits manufacturés,0,1,0
Reste du chargement,restes du chargement,restant de marchandises,9b,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,Divers,Unknown,Inconnus,0,4,0
Rhum,rhum,rhum,1,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,Subsistances,Agriculture,Produits agricoles,0,1,0
Ris,riz,grains riz,0a,,Hors Canada,not a medical product,Riz,Menus grains (3),not raw cotton,rice,Not coffee,Sans lien avec la porcelaine,out,Riz,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,271,3,0
Riz,riz,grains riz,0a,,Hors Canada,not a medical product,Riz,Menus grains (3),not raw cotton,rice,Not coffee,Sans lien avec la porcelaine,out,Riz,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,1,2,0
Rocou,rocou,rocou,2,,Hors Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Rocou,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Rogue,rogues,rogues,2,,Autres pêches,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Subsistances,Agriculture,Produits agricoles,0,3,0
Rogues de poisson,rogues de poisson,rogues de poisson,2,,Autres pêches,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Subsistances,Agriculture,Produits agricoles,0,1,0
Rouge brun,rouge brun,rouge brun,5,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières brutes et transformées pour teinture,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Matières premières,Non-agricultural primary goods,Produits primaires,2,0,0
Rougebrun,rouge brun,rouge brun,5,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières brutes et transformées pour teinture,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Rouleaux de toile,rouleau de toile,toile en rouleau,6h,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Toiles diverses,No link with beaver,,,,Autres filés ou tissés mélangés de fibres végétales dont toiles,Other vegetal threads and fabrics,Other threads and fabrics,Objets manufacturés,Manufactures,Produits manufacturés,1,0,0
Réglisse,réglisse,réglisse,0a,,Pas importé en France depuis l'Amérique avant 1763,narrow medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Réglisse,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Drogues,Manufactures,Produits manufacturés,0,20,0
Résine,résines,résines,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Brai, goudron et résines",No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,2,177,5
"Résine, bray, goudron",résines brais goudron,"brai, goudron et résine",5,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,"Brai, goudron et résines",No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Sables pour les verreries,sable pour les verreries,sable de verre,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Sabots,sabots,sabots,8,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Ouvrages divers et mélangés,No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,0,2,0
Sacs,sacs,sacs,8,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Ouvrages divers et mélangés,No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Safran,safran,safran,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,Safran ; orange,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Safran,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Drogues médicinales,Agriculture,Produits agricoles,0,1,0
Safranon,safranum,safranum,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,Safran ; orange,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Safran,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Drogues médicinales,Agriculture,Produits agricoles,1,0,0
Salaison,salaisons,salaisons,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Chairs et œufs,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,3,7
Salaisons,salaisons,salaisons,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Chairs et œufs,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,1,7,2
Saligot,ali,ali,9c,,Pas importé en France depuis l'Amérique avant 1763,,,,,,,,,Produits inconnus,,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,0,1,0
Salmon,saumon,saumon,0a,,Pêche d'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
Salpetre,salpêtre,salpêtre,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Salpêtre et soufre,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,3,0,0
Sanctuaire,sanctuaire,sanctuaire,8,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Ouvrages divers et mélangés,No link with beaver,,,,Articles manufacturés divers n.d.a,Various manufactures,Other industrial products,Industrie française et étrangère,Manufactures,Produits manufacturés,1,0,0
Sandre [Cendre],cendre,cendre,2,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Cendres diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Sandre [Cendres],cendre,cendre,2,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Cendres diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Sandre [cendres],cendre,cendre,2,,Peut-être Canada,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Cendres diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,0,0,16
Sardine,sardines,sardines,0a,,Autres pêches,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
Sardine préssée,sardines pressées,sardines pressées,0a,,Autres pêches,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,1,0
Sardines,sardines,sardines,0a,,Autres pêches,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,14,19
Sardines salées,sardines salées,sardines salées,0a,,Autres pêches,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,0,2,10
Sarmant,sarment,sament,9c,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Produits inconnus,,,,,Divers incertains et inconnus,Various uncertain and unknown,Other,Divers,Unknown,Inconnus,1,0,0
Saudre [Cendre],soudes,soudes,5,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Alcalis,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Drogues,Non-agricultural primary goods,Produits primaires,0,1,0
Saumac,sumac,sumac,5,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,Sumac,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Matières brutes et transformées pour teinture,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Matières premières,Non-agricultural primary goods,Produits primaires,0,1,0
Saumon,saumon,saumon,0a,,Pêche d'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Pêche et fruits de mer,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,6,2,0
Savon,savon,savon,5,,Peut-être Canada,not a medical product,Savon,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Savon,No link with beaver,,,,Produits chimiques transformés n.d.a.,Processed chemical products,Chemical products,Industrie française et étrangère,Manufactures,Produits manufacturés,13,29,3
Scieures de corne,sciures de corne,rognures de cornes,2,,Pas importé en France depuis l'Amérique avant 1763,,,Pas grain (0),,,,,,Matières premières diverses,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Matières premières,Non-agricultural primary goods,Produits primaires,1,0,0
Seigle,seigle,grains seigle,0a,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Céréales inférieures (2),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,Subsistances,Agriculture,Produits agricoles,1,32,0
Sel,sel,sel,2,,Pas importé en France depuis l'Amérique avant 1763,not a medical product,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Sel,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",Subsistances,Agriculture,Produits agricoles,1,2556,4269
