numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,doubleaccounts
266,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,"2///Matières premières///Potasse, vedasse et gravelées",Angleterre,36600,1213700,0
267,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Soude,Royaume d'Espagne,730400,1830800,0
268,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Soude,Hollande,12600,1830800,0
269,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Soude,Royaume de Prusse,3300,1830800,0
270,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Soude,Milane et toscane,46100,1830800,0
271,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Soude,Empire ottoman et barbarie,53400,1830800,0
272,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Soude,Royaume de naples,851900,1830800,0
273,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Soude,Royaume de Sardaigne,10700,1830800,0
274,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Soude,Angleterre,122400,1830800,0
275,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Charbons,Milane et toscane,57300,6845300,0
276,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Charbons,Royaume de naples,31400,6845300,0
277,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Charbons,Empire d'Autriche,908500,6845300,0
278,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Charbons,Angleterre,5848100,6845300,0
279,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Circes blanche et jaune,Hollande,186900,1482800,0
280,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Circes blanche et jaune,Etats-Unis d'amérique,25000,1482800,0
281,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Circes blanche et jaune,Villes anséatique,606000,1482800,0
282,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Circes blanche et jaune,Empire ottoman et barbarie,641200,1482800,0
283,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Circes blanche et jaune,Empire d'Autriche,13700,1482800,0
284,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Circes blanche et jaune,"Colonies francaises en Asie,Afrique en Amérique",10000,1482800,0
285,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Cuirs en poil,Royaume d'Espagne,236600,3589600,0
286,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Cuirs en poil,Hollande,107900,3589600,0
287,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Cuirs en poil,Etats d'Allemagne,110000,3589600,0
288,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Cuirs en poil,Villes anséatique,13700,3589600,0
289,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Cuirs en poil,République de Genes,162500,3589600,0
290,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Cuirs en poil,Empire ottoman et barbarie,993400,3589600,0
291,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Cuirs en poil,Royaume de naples,26800,3589600,0
292,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Cuirs en poil,Royaume de Sardaigne,57700,3589600,0
293,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Cuirs en poil,Empire d'Autriche,55400,3589600,0
294,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Cuirs en poil,Royaume de Portugal,1319100,3589600,0
295,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Cuirs en poil,Angleterre,23500,3589600,0
296,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Cuirs en poil,"Colonies francaises en Asie,Afrique en Amérique",483000,3589600,0
297,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Huile d'olive pour fabriques,Hollande,489500,21566300,0
298,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Huile d'olive pour fabriques,République de Genes,3752200,21566300,0
299,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Huile d'olive pour fabriques,Empire ottoman et barbarie,9028600,21566300,0
300,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Huile d'olive pour fabriques,Royaume de naples,7476400,21566300,0
301,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Huile d'olive pour fabriques,Royaume de Sardaigne,819600,21566300,0
302,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Huile de poisson,Royaume d'Espagne,10400,1241300,0
303,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Huile de poisson,Hollande,53300,1241300,0
304,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Huile de poisson,Etats-Unis d'amérique,351700,1241300,0
305,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Huile de poisson,Royaume de suede,97300,1241300,0
306,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Huile de poisson,Empire d'Autriche,10000,1241300,0
307,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Huile de poisson,Royaume de Portugal,147700,1241300,0
308,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Huile de poisson,Angleterre,570900,1241300,0
309,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Souffre et salpetre,Royaume d'Espagne,15100,613900,0
310,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Souffre et salpetre,Royaume de Danemarck,30800,613900,0
311,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Souffre et salpetre,Empire ottoman et barbarie,32500,613900,0
312,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Souffre et salpetre,Royaume de naples,491500,613900,0
313,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Souffre et salpetre,"Colonies francaises en Asie,Afrique en Amérique",44000,613900,0
314,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Suif,Royaume d'Espagne,99300,4650400,0
315,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Suif,Hollande,77700,4650400,0
316,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Suif,Royaume de Prusse,12300,4650400,0
317,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Suif,Villes anséatique,144300,4650400,0
318,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Suif,Royaume de Danemarck,173900,4650400,0
319,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Suif,Milane et toscane,534000,4650400,0
320,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Suif,République de Genes,25400,4650400,0
321,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Suif,Empire ottoman et barbarie,15800,4650400,0
322,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Suif,Royaume de Sardaigne,27700,4650400,0
323,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Suif,Empire d'Autriche,11600,4650400,0
324,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Suif,Empire de Russie,1313900,4650400,0
325,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Suif,Royaume de Portugal,20300,4650400,0
326,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Suif,Etats de Rome,102100,4650400,0
327,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Suif,Angleterre,2073500,4650400,0
328,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Suif,République de Venise,18600,4650400,0
329,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Houblon,Empire d'Autriche,696300,696300,0
330,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Tabacs,Hollande,1017200,4179100,0
331,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Tabacs,Etats-Unis d'amérique,1399400,4179100,0
332,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Tabacs,Empire d'Autriche,60500,4179100,0
333,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Tabacs,Royaume de Portugal,731100,4179100,0
334,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Tabacs,Angleterre,843100,4179100,0
335,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Tabacs,"Colonies francaises en Asie,Afrique en Amérique",127800,4179100,0
336,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,"2///Matières premières///Goudron ,poix et résine",Hollande,70500,601400,0
337,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,"2///Matières premières///Goudron ,poix et résine",Etats-Unis d'amérique,22800,601400,0
338,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,"2///Matières premières///Goudron ,poix et résine",Villes anséatique,63000,601400,0
339,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,"2///Matières premières///Goudron ,poix et résine",Royaume de Danemarck,77400,601400,0
340,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,"2///Matières premières///Goudron ,poix et résine",Royaume de suede,207400,601400,0
341,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,"2///Matières premières///Goudron ,poix et résine",Empire de Russie,160300,601400,0
342,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Graines diverses et de lin,Royaume d'Espagne,18100,1094700,0
343,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Graines diverses et de lin,Hollande,548100,1094700,0
344,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Graines diverses et de lin,Royaume de Prusse,57800,1094700,0
345,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Graines diverses et de lin,Etats-Unis d'amérique,66400,1094700,0
346,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Graines diverses et de lin,Villes anséatique,25400,1094700,0
347,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Graines diverses et de lin,Empire ottoman et barbarie,20500,1094700,0
348,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Graines diverses et de lin,Royaume de naples,52900,1094700,0
349,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Graines diverses et de lin,Royaume de Sardaigne,25100,1094700,0
350,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Graines diverses et de lin,Empire de Russie,240000,1094700,0
351,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Graines diverses et de lin,Angleterre,40400,1094700,0
352,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Articles réunis,Royaume d'Espagne,195800,1939200,0
353,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Articles réunis,Hollande,305200,1939200,0
354,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Articles réunis,Etats-Unis d'amérique,141300,1939200,0
355,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Articles réunis,Villes anséatique,47100,1939200,0
356,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,9,2///Matières premières///Articles réunis,République de Genes,50600,1939200,0
357,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Articles réunis,Royaume de naples,15200,1939200,0
358,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Articles réunis,Empire d'Autriche,579400,1939200,0
359,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Articles réunis,Empire de Russie,121700,1939200,0
360,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Articles réunis,Royaume de Portugal,176900,1939200,0
361,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Matières premières///Articles réunis,Etats de Rome,84400,1939200,0
362,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,10,2///Suite des matières premières///Articles réunis,"Colonies francaises en Asie,Afrique en Amérique",221600,1939200,0
363,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Indigo,Royaume d'Espagne,3740900,15074800,0
364,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Indigo,Hollande,80000,15074800,0
365,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Indigo,Empire d'Autriche,98500,15074800,0
366,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Indigo,Royaume de Portugal,339500,15074800,0
367,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Indigo,Angleterre,363800,15074800,0
368,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Indigo,"Colonies francaises en Asie,Afrique en Amérique",10452100,15074800,0
369,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Rocou,"Colonies francaises en Asie,Afrique en Amérique",226300,226300,0
370,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Cochenille,Royaume d'Espagne,1935500,2124600,0
371,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Cochenille,République de Genes,73400,2124600,0
372,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Cochenille,Empire d'Autriche,11400,2124600,0
373,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Cochenille,Angleterre,104300,2124600,0
374,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Alun,Royaume d'Espagne,114000,1101700,0
375,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Alun,Royaume de suede,39800,1101700,0
376,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Alun,Empire ottoman et barbarie,91000,1101700,0
377,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Alun,Empire d'Autriche,10200,1101700,0
378,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Alun,Etats de Rome,134700,1101700,0
379,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Alun,Angleterre,712000,1101700,0
380,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Céruse,Hollande,639200,650000,0
381,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Céruse,Empire d'Autriche,10800,650000,0
382,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Azur,Hollande,192900,295600,0
383,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Azur,Etats d'Allemagne,51800,295600,0
384,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Azur,Villes anséatique,20700,295600,0
385,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Azur,Empire d'Autriche,30200,295600,0
386,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Garance,Royaume d'Espagne,65100,587000,0
387,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Garance,Hollande,488300,587000,0
388,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Garance,Empire d'Autriche,33600,587000,0
389,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Noix de galle,Milane et toscane,71500,245600,0
390,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Noix de galle,Empire ottoman et barbarie,143600,245600,0
391,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Noix de galle,Royaume de naples,30500,245600,0
392,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Drogues diverses réunies,Royaume d'Espagne,275000,2221300,0
393,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Drogues diverses réunies,Hollande,434100,2221300,0
394,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Drogues diverses réunies,Etats d'Allemagne,26100,2221300,0
395,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Drogues diverses réunies,Etats-Unis d'amérique,156900,2221300,0
396,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Drogues diverses réunies,Villes anséatique,34400,2221300,0
397,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Drogues diverses réunies,Royaume de Danemarck,10000,2221300,0
398,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Drogues diverses réunies,Royaume de suede,14500,2221300,0
399,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Drogues diverses réunies,Milane et toscane,81600,2221300,0
400,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Drogues diverses réunies,République de Genes,19200,2221300,0
401,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,3///Suite des matières premières///Drogues diverses réunies,Empire ottoman et barbarie,638700,2221300,0
402,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Drogues diverses réunies,Royaume de naples,94100,2221300,0
403,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Drogues diverses réunies,Empire d'Autriche,10400,2221300,0
404,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Drogues diverses réunies,Royaume de Portugal,83500,2221300,0
405,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Drogues diverses réunies,Angleterre,289700,2221300,0
406,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,3///Suite des matières premières///Drogues diverses réunies,"Colonies francaises en Asie,Afrique en Amérique",53100,2221300,0
407,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,///Betes de somme///Cheveaux,Hollande,83200,2648300,0
408,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,///Betes de somme///Cheveaux,Etats d'Allemagne,13200,2648300,0
409,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,///Betes de somme///Cheveaux,République de suisse,579200,2648300,0
410,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,///Betes de somme///Cheveaux,Royaume de Danemarck,78700,2648300,0
411,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,///Betes de somme///Cheveaux,Royaume de Sardaigne,73300,2648300,0
412,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,///Betes de somme///Cheveaux,Empire d'Autriche,1117900,2648300,0
413,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,///Betes de somme///Cheveaux,Angleterre,702800,2648300,0
414,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,///Betes de somme///Mulets,Royaume de Sardaigne,244200,475700,0
415,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,12,///Betes de somme///Mulets,Empire d'Autriche,231500,475700,0
416,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,///Métaux///Argent vif,Etats d'Allemagne,79700,125100,0
417,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,///Métaux///Argent vif,République de Genes,45400,125100,0
418,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,"///Métaux///Cuivre,bronze et laiton",Hollande,418300,9584100,0
419,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,"///Métaux///Cuivre,bronze et laiton",Etats d'Allemagne,1758600,9584100,0
420,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,"///Métaux///Cuivre,bronze et laiton",Villes anséatique,1030800,9584100,0
421,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1788.csv,Résumé,1788,Imports,11,"///Métaux///Cuivre,bronze et laiton",Royaume de suede,257800,9584100,0
